date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150702T01Z,EMPTY,7565,MISSING,7737
20150702T02Z,EMPTY,7528,MISSING,7734
20150702T03Z,EMPTY,7358,MISSING,7614
20150702T04Z,EMPTY,7132,MISSING,7462
20150702T05Z,EMPTY,6999,MISSING,7219
20150702T06Z,EMPTY,6586,MISSING,6945
20150702T07Z,EMPTY,6029,MISSING,6353
20150702T08Z,5780,5623,OKAY,5780
20150702T09Z,5497,5376,OKAY,5497
20150702T10Z,5306,5212,OKAY,5306
20150702T11Z,5178,5133,OKAY,5178
20150702T12Z,5235,5159,OKAY,5235
20150702T13Z,5382,5293,OKAY,5382
20150702T14Z,5723,5614,OKAY,5723
20150702T15Z,6115,5955,OKAY,6115
20150702T16Z,6435,6243,OKAY,6435
20150702T17Z,6718,6474,OKAY,6718
20150702T18Z,6936,6678,OKAY,6936
20150702T19Z,7094,6865,OKAY,7094
20150702T20Z,7260,7046,OKAY,7260
20150702T21Z,7418,7188,OKAY,7418
20150702T22Z,7477,7297,OKAY,7477
20150702T23Z,7619,7395,OKAY,7619
20150703T00Z,7674,7456,OKAY,7674
20150703T01Z,7730,7494,OKAY,7730
20150703T02Z,7601,7450,OKAY,7601
20150703T03Z,7438,7295,OKAY,7438
20150703T04Z,7270,7085,OKAY,7270
20150703T05Z,7141,6956,OKAY,7141
20150703T06Z,6733,6561,OKAY,6733
20150703T07Z,6245,6044,OKAY,6245
20150703T08Z,5742,5830,OKAY,5742
20150703T09Z,5457,5546,OKAY,5457
20150703T10Z,5242,5372,OKAY,5242
20150703T11Z,5105,5286,OKAY,5105
20150703T12Z,5062,5275,OKAY,5062
20150703T13Z,5037,5304,OKAY,5037
20150703T14Z,5198,5424,OKAY,5198
20150703T15Z,5493,5664,OKAY,5493
20150703T16Z,5982,6018,OKAY,5982
20150703T17Z,6276,6344,OKAY,6276
20150703T18Z,6499,6597,OKAY,6499
20150703T19Z,6770,6805,OKAY,6770
20150703T20Z,6886,6925,OKAY,6886
20150703T21Z,7055,7023,OKAY,7055
20150703T22Z,7156,7139,OKAY,7156
20150703T23Z,7142,7201,OKAY,7142
20150704T00Z,7359,7240,OKAY,7359
20150704T01Z,7381,7264,OKAY,7381
20150704T02Z,7311,7160,OKAY,7311
20150704T03Z,7151,6941,OKAY,7151
20150704T04Z,6918,6723,OKAY,6918
20150704T05Z,6843,6648,OKAY,6843
20150704T06Z,6553,6364,OKAY,6553
20150704T07Z,6064,5934,OKAY,6064
20150704T08Z,5669,5633,OKAY,5669
20150704T09Z,5401,5245,OKAY,5401
20150704T10Z,5147,5019,OKAY,5147
20150704T11Z,5045,4902,OKAY,5045
20150704T12Z,5010,4823,OKAY,5010
20150704T13Z,4960,4730,OKAY,4960
20150704T14Z,5107,4734,OKAY,5107
20150704T15Z,5389,4996,OKAY,5389
20150704T16Z,5800,5461,OKAY,5800
20150704T17Z,6089,5844,OKAY,6089
20150704T18Z,6388,6087,OKAY,6388
20150704T19Z,6581,6262,OKAY,6581
20150704T20Z,6699,6379,OKAY,6699
20150704T21Z,6795,6462,OKAY,6795
20150704T22Z,6878,6556,OKAY,6878
20150704T23Z,6926,6681,OKAY,6926
20150705T00Z,6946,6784,OKAY,6946
20150705T01Z,7002,6842,OKAY,7002
20150705T02Z,6951,6801,OKAY,6951
20150705T03Z,6818,6629,OKAY,6818
20150705T04Z,6620,6410,OKAY,6620
20150705T05Z,6427,6320,OKAY,6427
20150705T06Z,6161,6044,OKAY,6161
20150705T07Z,5980,5608,OKAY,5980
20150705T08Z,5595,5393,OKAY,5595
20150705T09Z,5293,5242,OKAY,5293
20150705T10Z,5116,5100,OKAY,5116
20150705T11Z,5005,4998,OKAY,5005
20150705T12Z,4964,4943,OKAY,4964
20150705T13Z,4898,4866,OKAY,4898
20150705T14Z,4989,4876,OKAY,4989
20150705T15Z,5281,5124,OKAY,5281
20150705T16Z,5681,5550,OKAY,5681
20150705T17Z,6002,5896,OKAY,6002
20150705T18Z,6273,6148,OKAY,6273
20150705T19Z,6472,6356,OKAY,6472
20150705T20Z,6679,6481,OKAY,6679
20150705T21Z,6829,6589,OKAY,6829
20150705T22Z,6909,6708,OKAY,6909
20150705T23Z,7029,6785,OKAY,7029
20150706T00Z,7089,6874,OKAY,7089
20150706T01Z,7179,6991,OKAY,7179
20150706T02Z,7160,6956,OKAY,7160
20150706T03Z,7048,6814,OKAY,7048
20150706T04Z,6837,6611,OKAY,6837
20150706T05Z,6730,6487,OKAY,6730
20150706T06Z,6302,6157,OKAY,6302
20150706T07Z,5663,5728,OKAY,5663
20150706T08Z,5340,5401,OKAY,5340
20150706T09Z,5073,5221,OKAY,5073
20150706T10Z,4980,5104,OKAY,4980
20150706T11Z,4942,5040,OKAY,4942
20150706T12Z,4985,5096,OKAY,4985
20150706T13Z,5145,5256,OKAY,5145
20150706T14Z,5502,5589,OKAY,5502
20150706T15Z,5896,5976,OKAY,5896
20150706T16Z,6208,6327,OKAY,6208
20150706T17Z,6436,6596,OKAY,6436
20150706T18Z,6655,6834,OKAY,6655
20150706T19Z,6842,7018,OKAY,6842
20150706T20Z,7008,7202,OKAY,7008
20150706T21Z,7147,7349,OKAY,7147
20150706T22Z,7257,7447,OKAY,7257
20150706T23Z,7299,7550,OKAY,7299
20150707T00Z,7352,7599,OKAY,7352
20150707T01Z,7356,7655,OKAY,7356
20150707T02Z,7292,7609,OKAY,7292
20150707T03Z,7095,7426,OKAY,7095
20150707T04Z,6972,7171,OKAY,6972
20150707T05Z,6796,7003,OKAY,6796
20150707T06Z,6454,6582,OKAY,6454
20150707T07Z,5955,6035,OKAY,5955
20150707T08Z,5551,5584,OKAY,5551
20150707T09Z,5274,5267,OKAY,5274
20150707T10Z,5133,5110,OKAY,5133
20150707T11Z,5080,5034,OKAY,5080
20150707T12Z,5075,5080,OKAY,5075
20150707T13Z,5269,5240,OKAY,5269
20150707T14Z,5649,5570,OKAY,5649
20150707T15Z,5928,5915,OKAY,5928
20150707T16Z,6163,6201,OKAY,6163
20150707T17Z,6352,6421,OKAY,6352
20150707T18Z,6527,6613,OKAY,6527
20150707T19Z,6671,6775,OKAY,6671
20150707T20Z,6797,6939,OKAY,6797
20150707T21Z,6913,7081,OKAY,6913
20150707T22Z,7118,7182,OKAY,7118
20150707T23Z,7246,7285,OKAY,7246
20150708T00Z,7290,7338,OKAY,7290
20150708T01Z,7341,7401,OKAY,7341
20150708T02Z,7283,7363,OKAY,7283
20150708T03Z,7162,7199,OKAY,7162
20150708T04Z,7020,6975,OKAY,7020
20150708T05Z,6878,6831,OKAY,6878
20150708T06Z,6493,6433,OKAY,6493
20150708T07Z,5932,5907,OKAY,5932
20150708T08Z,5568,5472,OKAY,5568
20150708T09Z,5371,5267,OKAY,5371
20150708T10Z,5255,5140,OKAY,5255
20150708T11Z,5168,5072,OKAY,5168
20150708T12Z,5233,5126,OKAY,5233
20150708T13Z,5360,5293,OKAY,5360
20150708T14Z,5663,5629,OKAY,5663
20150708T15Z,5969,5988,OKAY,5969
20150708T16Z,6249,6264,OKAY,6249
20150708T17Z,6451,6471,OKAY,6451
20150708T18Z,6652,6654,OKAY,6652
20150708T19Z,6796,6814,OKAY,6796
20150708T20Z,6936,6975,OKAY,6936
20150708T21Z,7108,7119,OKAY,7108
20150708T22Z,7233,7228,OKAY,7233
20150708T23Z,7300,7348,OKAY,7300
20150709T00Z,7415,7420,OKAY,7415
20150709T01Z,7522,7493,OKAY,7522
20150709T02Z,7466,7454,OKAY,7466
20150709T03Z,7299,7293,OKAY,7299
20150709T04Z,7080,7079,OKAY,7080
20150709T05Z,6981,6949,OKAY,6981
20150709T06Z,6584,6539,OKAY,6584
20150709T07Z,6036,5980,OKAY,6036
20150709T08Z,5618,5567,OKAY,5618
20150709T09Z,5398,5322,OKAY,5398
20150709T10Z,5249,5179,OKAY,5249
20150709T11Z,5198,5120,OKAY,5198
20150709T12Z,5270,5164,OKAY,5270
20150709T13Z,5463,5323,OKAY,5463
20150709T14Z,5751,5657,OKAY,5751
20150709T15Z,6060,6005,OKAY,6060
20150709T16Z,6266,6271,OKAY,6266
20150709T17Z,6443,6500,OKAY,6443
20150709T18Z,6612,6676,OKAY,6612
20150709T19Z,6765,6836,OKAY,6765
20150709T20Z,6951,6991,OKAY,6951
20150709T21Z,7094,7135,OKAY,7094
20150709T22Z,7156,7233,OKAY,7156
20150709T23Z,7221,7326,OKAY,7221
20150710T00Z,7259,7379,OKAY,7259
20150710T01Z,7302,7428,OKAY,7302
20150710T02Z,7232,7380,OKAY,7232
20150710T03Z,7048,7230,OKAY,7048
20150710T04Z,6928,7036,OKAY,6928
20150710T05Z,6791,6915,OKAY,6791
20150710T06Z,6423,6527,OKAY,6423
20150710T07Z,5927,6000,OKAY,5927
20150710T08Z,5610,5557,OKAY,5610
20150710T09Z,5445,5333,OKAY,5445
20150710T10Z,5302,5179,OKAY,5302
20150710T11Z,5278,5107,OKAY,5278
20150710T12Z,5333,5148,OKAY,5333
20150710T13Z,5499,5299,OKAY,5499
20150710T14Z,5792,5603,OKAY,5792
20150710T15Z,6090,5952,OKAY,6090
20150710T16Z,6309,6238,OKAY,6309
20150710T17Z,6429,6456,OKAY,6429
20150710T18Z,6589,6600,OKAY,6589
20150710T19Z,6634,6719,OKAY,6634
20150710T20Z,6671,6821,OKAY,6671
20150710T21Z,6732,6917,OKAY,6732
20150710T22Z,6737,6974,OKAY,6737
20150710T23Z,6749,7025,OKAY,6749
20150711T00Z,6773,7035,OKAY,6773
20150711T01Z,6747,7031,OKAY,6747
20150711T02Z,6677,6935,OKAY,6677
20150711T03Z,6562,6749,OKAY,6562
20150711T04Z,6439,6573,OKAY,6439
20150711T05Z,6428,6538,OKAY,6428
20150711T06Z,6045,6265,OKAY,6045
20150711T07Z,5637,5808,OKAY,5637
20150711T08Z,5376,5406,OKAY,5376
20150711T09Z,5198,5166,OKAY,5198
20150711T10Z,5037,5013,OKAY,5037
20150711T11Z,4952,4932,OKAY,4952
20150711T12Z,4953,4906,OKAY,4953
20150711T13Z,5028,4883,OKAY,5028
20150711T14Z,5144,4947,OKAY,5144
20150711T15Z,5353,5256,OKAY,5353
20150711T16Z,5654,5692,OKAY,5654
20150711T17Z,5867,6001,OKAY,5867
20150711T18Z,5961,6154,OKAY,5961
20150711T19Z,6016,6230,OKAY,6016
20150711T20Z,6029,6250,OKAY,6029
20150711T21Z,6030,6265,OKAY,6030
20150711T22Z,6035,6267,OKAY,6035
20150711T23Z,6029,6319,OKAY,6029
20150712T00Z,6054,6353,OKAY,6054
20150712T01Z,6112,6393,OKAY,6112
20150712T02Z,6074,6342,OKAY,6074
20150712T03Z,6009,6212,OKAY,6009
20150712T04Z,5990,6088,OKAY,5990
20150712T05Z,5974,6088,OKAY,5974
20150712T06Z,5710,5874,OKAY,5710
20150712T07Z,5342,5480,OKAY,5342
20150712T08Z,5057,5062,OKAY,5057
20150712T09Z,4899,4881,OKAY,4899
20150712T10Z,4807,4774,OKAY,4807
20150712T11Z,4735,4714,OKAY,4735
20150712T12Z,4729,4697,OKAY,4729
20150712T13Z,4723,4677,OKAY,4723
20150712T14Z,4828,4743,OKAY,4828
20150712T15Z,5090,5043,OKAY,5090
20150712T16Z,5427,5462,OKAY,5427
20150712T17Z,5646,5755,OKAY,5646
20150712T18Z,5840,5898,OKAY,5840
20150712T19Z,5943,5994,OKAY,5943
