date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150702T01Z,8961,6977,OKAY,8961
20150702T02Z,8409,6613,OKAY,8409
20150702T03Z,7545,5968,OKAY,7545
20150702T04Z,6689,5365,OKAY,6689
20150702T05Z,5950,4780,OKAY,5950
20150702T06Z,5431,4390,OKAY,5431
20150702T07Z,5060,4109,OKAY,5060
20150702T08Z,4817,3966,OKAY,4817
20150702T09Z,4763,3952,OKAY,4763
20150702T10Z,4895,4058,OKAY,4895
20150702T11Z,5185,4322,OKAY,5185
20150702T12Z,5496,4600,OKAY,5496
20150702T13Z,6122,5038,OKAY,6122
20150702T14Z,6971,5693,OKAY,6971
20150702T15Z,7843,6292,OKAY,7843
20150702T16Z,8585,6816,OKAY,8585
20150702T17Z,9174,7276,OKAY,9174
20150702T18Z,9400,7656,OKAY,9400
20150702T19Z,9246,7794,OKAY,9246
20150702T20Z,8872,7856,OKAY,8872
20150702T21Z,8498,7708,OKAY,8498
20150702T22Z,8334,7517,OKAY,8334
20150702T23Z,8140,7280,OKAY,8140
20150703T00Z,7825,6807,OKAY,7825
20150703T01Z,7568,6529,OKAY,7568
20150703T02Z,7250,6265,OKAY,7250
20150703T03Z,6694,5701,OKAY,6694
20150703T04Z,6037,5171,OKAY,6037
20150703T05Z,5431,4761,OKAY,5431
20150703T06Z,4999,4393,OKAY,4999
20150703T07Z,4668,4142,OKAY,4668
20150703T08Z,4464,3992,OKAY,4464
20150703T09Z,4391,3915,OKAY,4391
20150703T10Z,4435,3943,OKAY,4435
20150703T11Z,4576,3999,OKAY,4576
20150703T12Z,4841,4153,OKAY,4841
20150703T13Z,5578,4750,OKAY,5578
20150703T14Z,6498,5509,OKAY,6498
20150703T15Z,7421,6213,OKAY,7421
20150703T16Z,8257,6793,OKAY,8257
20150703T17Z,8988,7303,OKAY,8988
20150703T18Z,9484,7642,OKAY,9484
20150703T19Z,9749,7803,OKAY,9749
20150703T20Z,9963,7853,OKAY,9963
