date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,19421,OKAY,19421,19291
2015-07-02 01:00:00,18790,OKAY,18790,18747
2015-07-02 02:00:00,17984,OKAY,17984,17638
2015-07-02 03:00:00,16686,OKAY,16686,15971
2015-07-02 04:00:00,15244,OKAY,15244,14334
2015-07-02 05:00:00,13935,OKAY,13935,13029
2015-07-02 06:00:00,12977,OKAY,12977,12182
2015-07-02 07:00:00,12257,OKAY,12257,11894
2015-07-02 08:00:00,11834,OKAY,11834,11579
2015-07-02 09:00:00,11731,OKAY,11731,11589
2015-07-02 10:00:00,12026,OKAY,12026,12109
2015-07-02 11:00:00,12646,OKAY,12646,12699
2015-07-02 12:00:00,13317,OKAY,13317,13683
2015-07-02 13:00:00,14598,OKAY,14598,15370
2015-07-02 14:00:00,16262,OKAY,16262,17050
2015-07-02 15:00:00,17963,OKAY,17963,18702
2015-07-02 16:00:00,19424,OKAY,19424,19813
2015-07-02 17:00:00,20421,OKAY,20421,20805
2015-07-02 18:00:00,21194,OKAY,21194,21773
2015-07-02 19:00:00,21631,OKAY,21631,22318
2015-07-02 20:00:00,21691,OKAY,21691,21963
2015-07-02 21:00:00,21562,OKAY,21562,21528
2015-07-02 22:00:00,20917,OKAY,20917,20677
2015-07-02 23:00:00,19915,OKAY,19915,19992
2015-07-03 00:00:00,18923,OKAY,18923,19116
2015-07-03 01:00:00,18338,OKAY,18338,18555
2015-07-03 02:00:00,17648,OKAY,17648,17455
2015-07-03 03:00:00,16500,OKAY,16500,16042
2015-07-03 04:00:00,15190,OKAY,15190,14368
2015-07-03 05:00:00,13824,OKAY,13824,12828
2015-07-03 06:00:00,12942,OKAY,12942,12178
2015-07-03 07:00:00,12278,OKAY,12278,11919
2015-07-03 08:00:00,11755,OKAY,11755,11584
2015-07-03 09:00:00,11462,OKAY,11462,11446
2015-07-03 10:00:00,11513,OKAY,11513,11810
2015-07-03 11:00:00,11692,OKAY,11692,12218
2015-07-03 12:00:00,12257,OKAY,12257,13373
2015-07-03 13:00:00,13988,OKAY,13988,14925
2015-07-03 14:00:00,15932,OKAY,15932,16819
2015-07-03 15:00:00,17628,OKAY,17628,18552
