date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150702T01Z,7620,8048,MISSING,7622
20150702T02Z,7476,7795,MISSING,7448
20150702T03Z,7194,7463,MISSING,7180
20150702T04Z,7071,7248,MISSING,7010
20150702T05Z,6723,6874,MISSING,6618
20150702T06Z,6272,6475,MISSING,6094
20150702T07Z,5815,6034,MISSING,5771
20150702T08Z,5422,5602,OKAY,5422
20150702T09Z,5121,5322,OKAY,5121
20150702T10Z,4871,5130,OKAY,4871
20150702T11Z,4620,4986,OKAY,4620
20150702T12Z,4559,4869,OKAY,4559
20150702T13Z,4563,4826,OKAY,4563
20150702T14Z,4560,4875,OKAY,4560
20150702T15Z,4811,5101,OKAY,4811
20150702T16Z,5299,5479,OKAY,5299
20150702T17Z,5596,5897,OKAY,5596
20150702T18Z,5869,6315,OKAY,5916
20150702T19Z,6295,6690,OKAY,6326
20150702T20Z,6638,7000,OKAY,6675
20150702T21Z,6958,7287,OKAY,6981
20150702T22Z,7296,7431,OKAY,7319
20150702T23Z,7584,7543,OKAY,7555
20150703T00Z,7635,7571,MISSING,7662
20150703T01Z,7492,7698,MISSING,7676
20150703T02Z,7280,7458,MISSING,7465
20150703T03Z,6991,7079,MISSING,7274
20150703T04Z,6855,6954,MISSING,6989
20150703T05Z,6670,6753,MISSING,6715
20150703T06Z,6169,6278,MISSING,6277
20150703T07Z,5524,5760,MISSING,5754
20150703T08Z,5364,5538,OKAY,5365
20150703T09Z,5031,5238,OKAY,5032
20150703T10Z,4799,5095,OKAY,4800
20150703T11Z,4635,4892,OKAY,4635
20150703T12Z,4547,4759,OKAY,4548
20150703T13Z,4456,4657,OKAY,4457
20150703T14Z,4434,4538,OKAY,4434
20150703T15Z,4697,4793,OKAY,4697
20150703T16Z,5082,5167,OKAY,5082
20150703T17Z,5566,5618,OKAY,5566
20150703T18Z,6065,5969,OKAY,6065
20150703T19Z,6474,6339,OKAY,6474
20150703T20Z,6813,6719,OKAY,6813
20150703T21Z,7098,6948,OKAY,7098
20150703T22Z,7340,7191,OKAY,7340
20150703T23Z,7485,7385,OKAY,7485
20150704T00Z,7592,7302,MISSING,7385
20150704T01Z,7562,7274,MISSING,7305
20150704T02Z,7347,7037,MISSING,7172
20150704T03Z,7067,6875,MISSING,7038
20150704T04Z,6878,6777,MISSING,6666
20150704T05Z,6567,6511,MISSING,6275
20150704T06Z,6157,6215,MISSING,6043
20150704T07Z,5742,5833,MISSING,5721
20150704T08Z,5369,5416,OKAY,5369
20150704T09Z,5079,5135,OKAY,5079
20150704T10Z,4869,4977,OKAY,4869
20150704T11Z,4689,4683,OKAY,4689
20150704T12Z,4595,4588,OKAY,4595
20150704T13Z,4426,4492,OKAY,4426
20150704T14Z,4424,4487,OKAY,4424
20150704T15Z,4477,4631,OKAY,4477
20150704T16Z,4700,5044,OKAY,4700
20150704T17Z,4988,5450,OKAY,4988
20150704T18Z,5322,5815,OKAY,5322
20150704T19Z,5455,6233,OKAY,5455
20150704T20Z,5667,6612,OKAY,5667
20150704T21Z,5889,6826,OKAY,5889
20150704T22Z,6035,7058,OKAY,6035
20150704T23Z,6241,7099,OKAY,6241
20150705T00Z,6351,7147,MISSING,6776
20150705T01Z,6344,6951,MISSING,7081
20150705T02Z,6245,6716,MISSING,6913
20150705T03Z,5998,6332,MISSING,6581
20150705T04Z,5900,6171,MISSING,6231
20150705T05Z,5643,5911,MISSING,6022
20150705T06Z,5423,5677,MISSING,5602
20150705T07Z,5155,5448,MISSING,5279
20150705T08Z,4832,5109,OKAY,4835
20150705T09Z,4562,4822,OKAY,4567
20150705T10Z,4423,4653,OKAY,4427
20150705T11Z,4251,4479,OKAY,4256
20150705T12Z,4162,4349,OKAY,4167
20150705T13Z,4046,4242,OKAY,4051
20150705T14Z,4023,4232,OKAY,4027
20150705T15Z,4286,4384,OKAY,4291
20150705T16Z,4690,4780,OKAY,4697
20150705T17Z,5111,5176,OKAY,5116
20150705T18Z,5518,5558,OKAY,5527
20150705T19Z,5859,5933,OKAY,5868
20150705T20Z,6117,6201,OKAY,6128
20150705T21Z,6046,6473,OKAY,6058
20150705T22Z,5801,6683,OKAY,5812
20150705T23Z,5669,6789,OKAY,5679
20150706T00Z,5626,6911,MISSING,6175
20150706T01Z,5675,6957,MISSING,6455
20150706T02Z,5653,6705,MISSING,6424
20150706T03Z,5561,6450,MISSING,6221
20150706T04Z,5558,6324,MISSING,5998
20150706T05Z,5450,6069,MISSING,5729
20150706T06Z,5167,5677,MISSING,5366
20150706T07Z,4823,5245,MISSING,4923
20150706T08Z,4534,4832,OKAY,4539
20150706T09Z,4305,4551,OKAY,4310
20150706T10Z,4166,4355,OKAY,4171
20150706T11Z,4066,4226,OKAY,4070
20150706T12Z,4092,4194,OKAY,4097
20150706T13Z,4138,4142,OKAY,4145
20150706T14Z,4181,4273,OKAY,4188
20150706T15Z,4416,4572,OKAY,4423
20150706T16Z,4664,5016,OKAY,4671
20150706T17Z,4935,5438,OKAY,4914
20150706T18Z,5173,5815,OKAY,5165
20150706T19Z,5543,6135,OKAY,5568
20150706T20Z,5901,6447,OKAY,5912
20150706T21Z,6231,6688,OKAY,6240
20150706T22Z,6468,6841,OKAY,6478
20150706T23Z,6544,7063,OKAY,6554
20150707T00Z,6551,7090,MISSING,6838
20150707T01Z,6495,7132,MISSING,6827
20150707T02Z,6117,7053,MISSING,6725
20150707T03Z,5547,6728,MISSING,6496
20150707T04Z,5440,6512,MISSING,6262
20150707T05Z,5268,6217,MISSING,5987
20150707T06Z,4947,5739,MISSING,5485
20150707T07Z,4610,5215,MISSING,4884
20150707T08Z,4323,4689,OKAY,4318
20150707T09Z,4134,4447,OKAY,4131
20150707T10Z,4013,4266,OKAY,4008
20150707T11Z,3944,4124,OKAY,3941
20150707T12Z,3923,4088,OKAY,3918
20150707T13Z,3976,4099,OKAY,3970
20150707T14Z,3984,4178,OKAY,3980
20150707T15Z,4211,4434,OKAY,4206
20150707T16Z,4535,4741,OKAY,4531
20150707T17Z,4872,5035,OKAY,4866
20150707T18Z,5294,5367,OKAY,5290
20150707T19Z,5555,5713,OKAY,5550
20150707T20Z,5884,5953,OKAY,5879
20150707T21Z,6117,6243,OKAY,6113
20150707T22Z,6271,6512,OKAY,6266
20150707T23Z,6243,6639,OKAY,6238
20150708T00Z,6219,6618,MISSING,6594
20150708T01Z,6296,6626,MISSING,6770
20150708T02Z,6120,6541,MISSING,6690
20150708T03Z,5913,6232,MISSING,6521
