date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,72,OKAY,72,72
2015-07-02 01:00:00,70,OKAY,70,69
2015-07-02 02:00:00,68,OKAY,68,66
2015-07-02 03:00:00,61,OKAY,61,60
2015-07-02 04:00:00,52,OKAY,52,53
2015-07-02 05:00:00,47,OKAY,47,47
2015-07-02 06:00:00,43,OKAY,43,46
2015-07-02 07:00:00,38,OKAY,38,43
2015-07-02 08:00:00,38,OKAY,38,40
2015-07-02 09:00:00,35,OKAY,35,38
2015-07-02 10:00:00,38,OKAY,38,41
2015-07-02 11:00:00,39,OKAY,39,41
2015-07-02 12:00:00,42,OKAY,42,45
2015-07-02 13:00:00,50,OKAY,50,52
2015-07-02 14:00:00,57,OKAY,57,62
2015-07-02 15:00:00,65,OKAY,65,68
2015-07-02 16:00:00,73,OKAY,73,74
2015-07-02 17:00:00,78,OKAY,78,65
2015-07-02 18:00:00,83,OKAY,83,67
2015-07-02 19:00:00,87,OKAY,87,70
2015-07-02 20:00:00,84,OKAY,84,68
2015-07-02 21:00:00,62,OKAY,62,69
2015-07-02 22:00:00,71,OKAY,71,73
2015-07-02 23:00:00,65,OKAY,65,74
2015-07-03 00:00:00,60,OKAY,60,72
2015-07-03 01:00:00,59,OKAY,59,70
2015-07-03 02:00:00,57,OKAY,57,68
2015-07-03 03:00:00,54,OKAY,54,61
2015-07-03 04:00:00,48,OKAY,48,52
2015-07-03 05:00:00,42,OKAY,42,47
2015-07-03 06:00:00,38,OKAY,38,43
2015-07-03 07:00:00,36,OKAY,36,38
2015-07-03 08:00:00,35,OKAY,35,38
2015-07-03 09:00:00,33,OKAY,33,35
2015-07-03 10:00:00,34,OKAY,34,38
2015-07-03 11:00:00,36,OKAY,36,39
2015-07-03 12:00:00,40,OKAY,40,42
2015-07-03 13:00:00,47,OKAY,47,50
2015-07-03 14:00:00,55,OKAY,55,57
2015-07-03 15:00:00,65,OKAY,65,65
2015-07-03 16:00:00,70,OKAY,70,73
2015-07-03 17:00:00,74,OKAY,74,78
2015-07-03 18:00:00,79,OKAY,79,83
2015-07-03 19:00:00,82,OKAY,82,87
