date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150702T01Z,1701,1695,OKAY,1701
20150702T02Z,1659,1665,OKAY,1659
20150702T03Z,1609,1595,OKAY,1609
20150702T04Z,1580,1520,OKAY,1580
20150702T05Z,1493,1425,OKAY,1493
20150702T06Z,1373,1320,OKAY,1373
20150702T07Z,1292,1250,OKAY,1292
20150702T08Z,1245,1185,OKAY,1245
20150702T09Z,1190,1150,OKAY,1190
20150702T10Z,1180,1130,OKAY,1180
20150702T11Z,1182,1140,OKAY,1182
20150702T12Z,1203,1165,OKAY,1203
20150702T13Z,1256,1245,OKAY,1256
20150702T14Z,1366,1340,OKAY,1366
20150702T15Z,1436,1435,OKAY,1436
20150702T16Z,1503,1485,OKAY,1503
20150702T17Z,1535,1530,OKAY,1535
20150702T18Z,1594,1595,OKAY,1594
20150702T19Z,1625,1640,OKAY,1625
20150702T20Z,1659,1670,OKAY,1659
20150702T21Z,1679,1705,OKAY,1679
20150702T22Z,1699,1725,OKAY,1699
20150702T23Z,1712,1725,OKAY,1712
20150703T00Z,1696,1725,OKAY,1696
20150703T01Z,1693,1705,OKAY,1693
20150703T02Z,1624,1660,OKAY,1624
20150703T03Z,1575,1630,OKAY,1575
20150703T04Z,1537,1580,OKAY,1537
20150703T05Z,1462,1500,OKAY,1462
20150703T06Z,1341,1335,OKAY,1341
20150703T07Z,1261,1235,OKAY,1261
20150703T08Z,1220,1180,OKAY,1220
20150703T09Z,1165,1145,OKAY,1165
20150703T10Z,1145,1125,OKAY,1145
20150703T11Z,1150,1145,OKAY,1150
20150703T12Z,1148,1160,OKAY,1148
20150703T13Z,1180,1230,OKAY,1180
20150703T14Z,1238,1330,OKAY,1238
20150703T15Z,1324,1405,OKAY,1324
20150703T16Z,1382,1450,OKAY,1382
20150703T17Z,1456,1505,OKAY,1456
20150703T18Z,1494,1585,OKAY,1494
20150703T19Z,1539,1605,OKAY,1539
20150703T20Z,1591,1635,OKAY,1591
20150703T21Z,1626,1675,OKAY,1626
20150703T22Z,1647,1695,OKAY,1647
20150703T23Z,1686,1700,OKAY,1686
20150704T00Z,1684,1695,OKAY,1684
20150704T01Z,1658,1685,OKAY,1658
20150704T02Z,1633,1645,OKAY,1633
20150704T03Z,1586,1595,OKAY,1586
20150704T04Z,1528,1525,OKAY,1528
20150704T05Z,1468,1425,OKAY,1468
20150704T06Z,1364,1315,OKAY,1364
20150704T07Z,1280,1215,OKAY,1280
20150704T08Z,1216,1165,OKAY,1216
20150704T09Z,1170,1135,OKAY,1170
20150704T10Z,1141,1115,OKAY,1141
20150704T11Z,1137,1125,OKAY,1137
20150704T12Z,1115,1150,OKAY,1115
20150704T13Z,1146,1170,OKAY,1146
20150704T14Z,1191,1250,OKAY,1191
20150704T15Z,1280,1295,OKAY,1280
20150704T16Z,1365,1365,OKAY,1365
20150704T17Z,1414,1420,OKAY,1414
20150704T18Z,1452,1470,OKAY,1452
20150704T19Z,1506,1505,OKAY,1506
20150704T20Z,1530,1535,OKAY,1530
20150704T21Z,1564,1560,OKAY,1564
20150704T22Z,1577,1575,OKAY,1577
20150704T23Z,1607,1595,OKAY,1607
20150705T00Z,1609,1600,OKAY,1609
20150705T01Z,1585,1570,OKAY,1585
20150705T02Z,1555,1540,OKAY,1555
20150705T03Z,1506,1505,OKAY,1506
20150705T04Z,1470,1465,OKAY,1470
20150705T05Z,1419,1425,OKAY,1419
20150705T06Z,1352,1315,OKAY,1352
20150705T07Z,1261,1215,OKAY,1261
20150705T08Z,1202,1165,OKAY,1202
20150705T09Z,1153,1130,OKAY,1153
20150705T10Z,1128,1110,OKAY,1128
20150705T11Z,1115,1135,OKAY,1115
20150705T12Z,1114,1145,OKAY,1114
20150705T13Z,1115,1185,OKAY,1115
20150705T14Z,1140,1210,OKAY,1140
20150705T15Z,1191,1295,OKAY,1191
20150705T16Z,1241,1375,OKAY,1241
20150705T17Z,1259,1425,OKAY,1259
20150705T18Z,1276,1480,OKAY,1276
20150705T19Z,1256,1510,OKAY,1256
20150705T20Z,1284,1540,OKAY,1284
20150705T21Z,1282,1555,OKAY,1282
20150705T22Z,1281,1575,OKAY,1281
20150705T23Z,1307,1580,OKAY,1307
20150706T00Z,1316,1565,OKAY,1316
20150706T01Z,1314,1535,OKAY,1314
20150706T02Z,1307,1505,OKAY,1307
20150706T03Z,1286,1485,OKAY,1286
20150706T04Z,1296,1395,OKAY,1296
20150706T05Z,1244,1365,OKAY,1244
20150706T06Z,1164,1290,OKAY,1164
20150706T07Z,1110,1210,OKAY,1110
20150706T08Z,1093,1165,OKAY,1093
20150706T09Z,1048,1130,OKAY,1048
20150706T10Z,1053,1110,OKAY,1053
20150706T11Z,1073,1135,OKAY,1073
20150706T12Z,1104,1160,OKAY,1104
20150706T13Z,1169,1200,OKAY,1169
20150706T14Z,1255,1280,OKAY,1255
20150706T15Z,1297,1355,OKAY,1297
20150706T16Z,1331,1400,OKAY,1331
20150706T17Z,1361,1440,OKAY,1361
20150706T18Z,1389,1505,OKAY,1389
20150706T19Z,1399,1545,OKAY,1399
20150706T20Z,1434,1575,OKAY,1434
20150706T21Z,1443,1595,OKAY,1443
20150706T22Z,1467,1610,OKAY,1467
20150706T23Z,1502,1610,OKAY,1502
20150707T00Z,1496,1590,OKAY,1496
20150707T01Z,1484,1565,OKAY,1484
20150707T02Z,1446,1525,OKAY,1446
20150707T03Z,1419,1485,OKAY,1419
20150707T04Z,1398,1365,OKAY,1398
20150707T05Z,1353,1305,OKAY,1353
20150707T06Z,1235,1260,OKAY,1235
20150707T07Z,1177,1085,OKAY,1177
20150707T08Z,1125,1060,OKAY,1125
20150707T09Z,1094,1030,OKAY,1094
20150707T10Z,1093,1025,OKAY,1093
20150707T11Z,1102,1050,OKAY,1102
20150707T12Z,1131,1080,OKAY,1131
20150707T13Z,1201,1150,OKAY,1201
20150707T14Z,1299,1240,OKAY,1299
20150707T15Z,1336,1295,OKAY,1336
20150707T16Z,1383,1325,OKAY,1383
20150707T17Z,1432,1375,OKAY,1432
20150707T18Z,1454,1420,OKAY,1454
20150707T19Z,1465,1435,OKAY,1465
20150707T20Z,1478,1465,OKAY,1478
20150707T21Z,1510,1475,OKAY,1510
20150707T22Z,1519,1495,OKAY,1519
20150707T23Z,1525,1510,OKAY,1525
20150708T00Z,1500,1505,OKAY,1500
20150708T01Z,1470,1485,OKAY,1470
20150708T02Z,1440,1465,OKAY,1440
20150708T03Z,1409,1385,OKAY,1409
20150708T04Z,1397,1255,OKAY,1397
20150708T05Z,1325,1225,OKAY,1325
20150708T06Z,1234,1190,OKAY,1234
20150708T07Z,1167,1150,OKAY,1167
20150708T08Z,1119,1110,OKAY,1119
20150708T09Z,1111,1085,OKAY,1111
20150708T10Z,1087,1075,OKAY,1087
20150708T11Z,1099,1080,OKAY,1099
20150708T12Z,1130,1105,OKAY,1130
20150708T13Z,1198,1175,OKAY,1198
20150708T14Z,1264,1300,OKAY,1264
20150708T15Z,1335,1330,OKAY,1335
20150708T16Z,1378,1365,OKAY,1378
20150708T17Z,1430,1395,OKAY,1430
20150708T18Z,1453,1410,OKAY,1453
20150708T19Z,1469,1425,OKAY,1469
20150708T20Z,1490,1445,OKAY,1490
20150708T21Z,1518,1475,OKAY,1518
20150708T22Z,1542,1495,OKAY,1542
20150708T23Z,1571,1495,OKAY,1571
20150709T00Z,1556,1485,OKAY,1556
20150709T01Z,1574,1465,OKAY,1574
20150709T02Z,1533,1430,OKAY,1533
20150709T03Z,1498,1405,OKAY,1498
20150709T04Z,1479,1395,OKAY,1479
20150709T05Z,1401,1330,OKAY,1401
20150709T06Z,1308,1225,OKAY,1308
20150709T07Z,1206,1130,OKAY,1206
20150709T08Z,1164,1080,OKAY,1164
20150709T09Z,1158,1070,OKAY,1158
20150709T10Z,1133,1050,OKAY,1133
20150709T11Z,1133,1065,OKAY,1133
20150709T12Z,1168,1105,OKAY,1168
20150709T13Z,1234,1190,OKAY,1234
20150709T14Z,1311,1300,OKAY,1311
20150709T15Z,1378,1310,OKAY,1378
20150709T16Z,1442,1355,OKAY,1442
20150709T17Z,1498,1400,OKAY,1498
20150709T18Z,1536,1420,OKAY,1536
20150709T19Z,1568,1435,OKAY,1568
20150709T20Z,1619,1445,OKAY,1619
20150709T21Z,1636,1470,OKAY,1636
20150709T22Z,1671,1485,OKAY,1671
20150709T23Z,1685,1490,OKAY,1685
20150710T00Z,1676,1465,OKAY,1676
20150710T01Z,1656,1425,OKAY,1656
20150710T02Z,1613,1405,OKAY,1613
20150710T03Z,1550,1365,OKAY,1550
20150710T04Z,1523,1360,OKAY,1523
20150710T05Z,1427,1295,OKAY,1427
20150710T06Z,1316,1200,OKAY,1316
20150710T07Z,1235,1160,OKAY,1235
20150710T08Z,1177,1130,OKAY,1177
20150710T09Z,1171,1110,OKAY,1171
20150710T10Z,1139,1090,OKAY,1139
20150710T11Z,1140,1095,OKAY,1140
20150710T12Z,1166,1130,OKAY,1166
20150710T13Z,1219,1195,OKAY,1219
20150710T14Z,1299,1295,OKAY,1299
20150710T15Z,1385,1310,OKAY,1385
20150710T16Z,1442,1335,OKAY,1442
20150710T17Z,1497,1380,OKAY,1497
20150710T18Z,1545,1425,OKAY,1545
20150710T19Z,1569,1440,OKAY,1569
20150710T20Z,1598,1455,OKAY,1598
20150710T21Z,1613,1480,OKAY,1613
20150710T22Z,1621,1495,OKAY,1621
20150710T23Z,1601,1535,OKAY,1601
20150711T00Z,1518,1525,OKAY,1518
20150711T01Z,1468,1510,OKAY,1468
20150711T02Z,1415,1500,OKAY,1415
20150711T03Z,1369,1465,OKAY,1369
20150711T04Z,1369,1445,OKAY,1369
20150711T05Z,1321,1360,OKAY,1321
20150711T06Z,1243,1260,OKAY,1243
20150711T07Z,1178,1135,OKAY,1178
20150711T08Z,1145,1095,OKAY,1145
20150711T09Z,1116,1085,OKAY,1116
20150711T10Z,1108,1075,OKAY,1108
20150711T11Z,1104,1070,OKAY,1104
20150711T12Z,1120,1075,OKAY,1120
20150711T13Z,1132,1100,OKAY,1132
20150711T14Z,1174,1145,OKAY,1174
20150711T15Z,1251,1195,OKAY,1251
20150711T16Z,1310,1210,OKAY,1310
20150711T17Z,1357,1235,OKAY,1357
20150711T18Z,1365,1265,OKAY,1365
20150711T19Z,1377,1280,OKAY,1377
20150711T20Z,1394,1320,OKAY,1394
20150711T21Z,1400,1340,OKAY,1400
20150711T22Z,1410,1340,OKAY,1410
20150711T23Z,1441,1335,OKAY,1441
20150712T00Z,1409,1325,OKAY,1409
20150712T01Z,1395,1295,OKAY,1395
20150712T02Z,1366,1270,OKAY,1366
20150712T03Z,1330,1255,OKAY,1330
20150712T04Z,1314,1210,OKAY,1314
20150712T05Z,1268,1185,OKAY,1268
20150712T06Z,1203,1150,OKAY,1203
20150712T07Z,1151,1130,OKAY,1151
20150712T08Z,1123,1105,OKAY,1123
20150712T09Z,1098,1095,OKAY,1098
20150712T10Z,1088,1085,OKAY,1088
20150712T11Z,1086,1075,OKAY,1086
20150712T12Z,1067,1085,OKAY,1067
20150712T13Z,1067,1110,OKAY,1067
20150712T14Z,1136,1195,OKAY,1136
20150712T15Z,1199,1215,OKAY,1199
20150712T16Z,1263,1250,OKAY,1263
20150712T17Z,1320,1275,OKAY,1320
20150712T18Z,1357,1300,OKAY,1357
20150712T19Z,1376,1310,OKAY,1376
20150712T20Z,1373,1335,OKAY,1373
20150712T21Z,1382,1345,OKAY,1382
20150712T22Z,1400,1360,OKAY,1400
20150712T23Z,1431,1360,OKAY,1431
20150713T00Z,1461,1350,OKAY,1461
20150713T01Z,1471,1310,OKAY,1471
20150713T02Z,1456,1290,OKAY,1456
20150713T03Z,1434,1275,OKAY,1434
20150713T04Z,1402,1265,OKAY,1402
20150713T05Z,1332,1200,OKAY,1332
20150713T06Z,1238,1150,OKAY,1238
20150713T07Z,1160,1140,OKAY,1160
20150713T08Z,1112,1105,OKAY,1112
20150713T09Z,1087,1095,OKAY,1087
20150713T10Z,1069,1090,OKAY,1069
20150713T11Z,1084,1100,OKAY,1084
20150713T12Z,1104,1130,OKAY,1104
20150713T13Z,1181,1165,OKAY,1181
20150713T14Z,1256,1200,OKAY,1256
20150713T15Z,1343,1245,OKAY,1343
20150713T16Z,1382,1300,OKAY,1382
20150713T17Z,1437,1340,OKAY,1437
20150713T18Z,1483,1380,OKAY,1483
20150713T19Z,1501,1410,OKAY,1501
20150713T20Z,1527,1440,OKAY,1527
20150713T21Z,1545,1460,OKAY,1545
20150713T22Z,1557,1490,OKAY,1557
20150713T23Z,1566,1500,OKAY,1566
20150714T00Z,1543,1490,OKAY,1543
20150714T01Z,1514,1470,OKAY,1514
20150714T02Z,1498,1435,OKAY,1498
20150714T03Z,1441,1385,OKAY,1441
20150714T04Z,1433,1295,OKAY,1433
20150714T05Z,1346,1265,OKAY,1346
20150714T06Z,1216,1160,OKAY,1216
20150714T07Z,1144,1115,OKAY,1144
20150714T08Z,1104,1085,OKAY,1104
20150714T09Z,1084,1060,OKAY,1084
20150714T10Z,1067,1075,OKAY,1067
20150714T11Z,1066,1100,OKAY,1066
20150714T12Z,1113,1175,OKAY,1113
20150714T13Z,1158,1265,OKAY,1158
20150714T14Z,1254,1285,OKAY,1254
20150714T15Z,1314,1310,OKAY,1314
20150714T16Z,1355,1335,OKAY,1355
20150714T17Z,1405,1350,OKAY,1405
20150714T18Z,1450,1395,OKAY,1450
20150714T19Z,1467,1415,OKAY,1467
20150714T20Z,1493,1430,OKAY,1493
20150714T21Z,1521,1445,OKAY,1521
20150714T22Z,1548,1465,OKAY,1548
20150714T23Z,1531,1480,OKAY,1531
20150715T00Z,1525,1485,OKAY,1525
20150715T01Z,1507,1460,OKAY,1507
20150715T02Z,1480,1410,OKAY,1480
20150715T03Z,1429,1395,OKAY,1429
20150715T04Z,1402,1365,OKAY,1402
20150715T05Z,1326,1320,OKAY,1326
20150715T06Z,1211,1215,OKAY,1211
20150715T07Z,1151,1095,OKAY,1151
20150715T08Z,1109,1065,OKAY,1109
20150715T09Z,1086,1030,OKAY,1086
20150715T10Z,1082,1015,OKAY,1082
20150715T11Z,1073,1020,OKAY,1073
20150715T12Z,1107,1075,OKAY,1107
20150715T13Z,1182,1130,OKAY,1182
20150715T14Z,1272,1230,OKAY,1272
20150715T15Z,1323,1300,OKAY,1323
20150715T16Z,1343,1340,OKAY,1343
20150715T17Z,1360,1395,OKAY,1360
20150715T18Z,1384,1440,OKAY,1384
20150715T19Z,1381,1450,OKAY,1381
20150715T20Z,1398,1495,OKAY,1398
20150715T21Z,1421,1505,OKAY,1421
20150715T22Z,1426,1520,OKAY,1426
20150715T23Z,1431,1530,OKAY,1431
20150716T00Z,1427,1515,OKAY,1427
20150716T01Z,1401,1485,OKAY,1401
20150716T02Z,1380,1460,OKAY,1380
20150716T03Z,1341,1395,OKAY,1341
20150716T04Z,1337,1395,OKAY,1337
20150716T05Z,1268,1300,OKAY,1268
20150716T06Z,1166,1165,OKAY,1166
20150716T07Z,1101,1110,OKAY,1101
20150716T08Z,1066,1080,OKAY,1066
20150716T09Z,1048,1050,OKAY,1048
20150716T10Z,1036,1035,OKAY,1036
20150716T11Z,1048,1035,OKAY,1048
20150716T12Z,1076,1080,OKAY,1076
20150716T13Z,1149,1135,OKAY,1149
20150716T14Z,1226,1250,OKAY,1226
20150716T15Z,1299,1275,OKAY,1299
20150716T16Z,1342,1325,OKAY,1342
20150716T17Z,1381,1370,OKAY,1381
20150716T18Z,1408,1415,OKAY,1408
20150716T19Z,1422,1425,OKAY,1422
20150716T20Z,1436,1450,OKAY,1436
20150716T21Z,1443,1485,OKAY,1443
20150716T22Z,1463,1505,OKAY,1463
20150716T23Z,1437,1490,OKAY,1437
20150717T00Z,1405,1485,OKAY,1405
20150717T01Z,1364,1475,OKAY,1364
20150717T02Z,1335,1430,OKAY,1335
20150717T03Z,1323,1375,OKAY,1323
20150717T04Z,1332,1360,OKAY,1332
20150717T05Z,1273,1295,OKAY,1273
20150717T06Z,1176,1160,OKAY,1176
20150717T07Z,1114,1115,OKAY,1114
20150717T08Z,1084,1065,OKAY,1084
20150717T09Z,1071,1045,OKAY,1071
20150717T10Z,1057,1030,OKAY,1057
20150717T11Z,1076,1030,OKAY,1076
20150717T12Z,1105,1070,OKAY,1105
20150717T13Z,1135,1145,OKAY,1135
20150717T14Z,1213,1250,OKAY,1213
20150717T15Z,1283,1320,OKAY,1283
20150717T16Z,1320,1360,OKAY,1320
20150717T17Z,1358,1385,OKAY,1358
20150717T18Z,1369,1415,OKAY,1369
20150717T19Z,1369,1445,OKAY,1369
20150717T20Z,1387,1465,OKAY,1387
20150717T21Z,1393,1495,OKAY,1393
20150717T22Z,1402,1495,OKAY,1402
20150717T23Z,1401,1490,OKAY,1401
20150718T00Z,1376,1475,OKAY,1376
20150718T01Z,1362,1440,OKAY,1362
20150718T02Z,1342,1405,OKAY,1342
20150718T03Z,1295,1375,OKAY,1295
20150718T04Z,1292,1335,OKAY,1292
20150718T05Z,1235,1295,OKAY,1235
20150718T06Z,1187,1185,OKAY,1187
20150718T07Z,1142,1100,OKAY,1142
20150718T08Z,1083,1070,OKAY,1083
20150718T09Z,1052,1040,OKAY,1052
20150718T10Z,1070,1015,OKAY,1070
20150718T11Z,1061,1025,OKAY,1061
20150718T12Z,1070,1040,OKAY,1070
20150718T13Z,1071,1065,OKAY,1071
20150718T14Z,1103,1110,OKAY,1103
20150718T15Z,1166,1190,OKAY,1166
20150718T16Z,1215,1240,OKAY,1215
20150718T17Z,1246,1280,OKAY,1246
20150718T18Z,1265,1305,OKAY,1265
20150718T19Z,1273,1325,OKAY,1273
20150718T20Z,1274,1330,OKAY,1274
20150718T21Z,1276,1340,OKAY,1276
20150718T22Z,1283,1360,OKAY,1283
20150718T23Z,1295,1370,OKAY,1295
20150719T00Z,1317,1350,OKAY,1317
20150719T01Z,1333,1325,OKAY,1333
20150719T02Z,1326,1305,OKAY,1326
20150719T03Z,1303,1275,OKAY,1303
20150719T04Z,1278,1255,OKAY,1278
20150719T05Z,1253,1215,OKAY,1253
20150719T06Z,1180,1140,OKAY,1180
20150719T07Z,1121,1115,OKAY,1121
20150719T08Z,1096,1080,OKAY,1096
20150719T09Z,1083,1065,OKAY,1083
20150719T10Z,1076,1050,OKAY,1076
20150719T11Z,1091,1035,OKAY,1091
20150719T12Z,1077,1030,OKAY,1077
20150719T13Z,1072,1020,OKAY,1072
20150719T14Z,1109,1095,OKAY,1109
20150719T15Z,1170,1145,OKAY,1170
20150719T16Z,1223,1210,OKAY,1223
20150719T17Z,1262,1255,OKAY,1262
20150719T18Z,1301,1310,OKAY,1301
20150719T19Z,1339,1320,OKAY,1339
20150719T20Z,1361,1335,OKAY,1361
20150719T21Z,1372,1345,OKAY,1372
20150719T22Z,1400,1390,OKAY,1400
20150719T23Z,1426,1405,OKAY,1426
20150720T00Z,1453,1420,OKAY,1453
20150720T01Z,1447,1430,OKAY,1447
20150720T02Z,1432,1400,OKAY,1432
20150720T03Z,1428,1385,OKAY,1428
20150720T04Z,1410,1375,OKAY,1410
20150720T05Z,1335,1300,OKAY,1335
20150720T06Z,1227,1195,OKAY,1227
20150720T07Z,1157,1125,OKAY,1157
20150720T08Z,1098,1075,OKAY,1098
20150720T09Z,1078,1060,OKAY,1078
20150720T10Z,1060,1025,OKAY,1060
20150720T11Z,1076,1050,OKAY,1076
