date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150702T01Z,MISSING,69,MISSING,NA
20150702T02Z,MISSING,69,MISSING,NA
20150702T03Z,MISSING,69,MISSING,NA
20150702T04Z,MISSING,69,MISSING,NA
20150702T05Z,MISSING,MISSING,MISSING,NA
20150702T06Z,MISSING,MISSING,MISSING,NA
20150702T07Z,MISSING,MISSING,MISSING,NA
20150702T08Z,MISSING,MISSING,MISSING,NA
20150702T09Z,MISSING,MISSING,MISSING,NA
20150702T10Z,MISSING,MISSING,MISSING,NA
20150702T11Z,MISSING,MISSING,MISSING,NA
20150702T12Z,MISSING,MISSING,MISSING,NA
20150702T13Z,MISSING,MISSING,MISSING,NA
20150702T14Z,MISSING,MISSING,MISSING,NA
20150702T15Z,MISSING,MISSING,MISSING,NA
20150702T16Z,MISSING,MISSING,MISSING,NA
20150702T17Z,MISSING,MISSING,MISSING,NA
20150702T18Z,MISSING,MISSING,MISSING,NA
20150702T19Z,MISSING,MISSING,MISSING,NA
20150702T20Z,MISSING,MISSING,MISSING,NA
20150702T21Z,MISSING,MISSING,MISSING,NA
20150702T22Z,MISSING,MISSING,MISSING,NA
20150702T23Z,MISSING,MISSING,MISSING,NA
20150703T00Z,MISSING,MISSING,MISSING,NA
20150703T01Z,MISSING,MISSING,MISSING,NA
20150703T02Z,MISSING,MISSING,MISSING,NA
20150703T03Z,MISSING,MISSING,MISSING,NA
20150703T04Z,MISSING,MISSING,MISSING,NA
20150703T05Z,MISSING,MISSING,MISSING,NA
20150703T06Z,MISSING,MISSING,MISSING,NA
20150703T07Z,MISSING,MISSING,MISSING,NA
20150703T08Z,MISSING,MISSING,MISSING,NA
20150703T09Z,MISSING,MISSING,MISSING,NA
20150703T10Z,MISSING,MISSING,MISSING,NA
20150703T11Z,MISSING,MISSING,MISSING,NA
20150703T12Z,MISSING,MISSING,MISSING,NA
20150703T13Z,MISSING,MISSING,MISSING,NA
20150703T14Z,MISSING,MISSING,MISSING,NA
20150703T15Z,MISSING,MISSING,MISSING,NA
20150703T16Z,MISSING,MISSING,MISSING,NA
20150703T17Z,MISSING,MISSING,MISSING,NA
20150703T18Z,MISSING,MISSING,MISSING,NA
20150703T19Z,MISSING,MISSING,MISSING,NA
20150703T20Z,MISSING,MISSING,MISSING,NA
20150703T21Z,MISSING,MISSING,MISSING,NA
20150703T22Z,MISSING,MISSING,MISSING,NA
20150703T23Z,MISSING,MISSING,MISSING,NA
20150704T00Z,MISSING,MISSING,MISSING,NA
20150704T01Z,MISSING,MISSING,MISSING,NA
20150704T02Z,MISSING,MISSING,MISSING,NA
20150704T03Z,MISSING,MISSING,MISSING,NA
20150704T04Z,MISSING,MISSING,MISSING,NA
20150704T05Z,MISSING,MISSING,MISSING,NA
20150704T06Z,MISSING,MISSING,MISSING,NA
20150704T07Z,MISSING,MISSING,MISSING,NA
20150704T08Z,MISSING,MISSING,MISSING,NA
20150704T09Z,MISSING,MISSING,MISSING,NA
20150704T10Z,MISSING,MISSING,MISSING,NA
20150704T11Z,MISSING,MISSING,MISSING,NA
20150704T12Z,MISSING,MISSING,MISSING,NA
20150704T13Z,MISSING,MISSING,MISSING,NA
20150704T14Z,MISSING,MISSING,MISSING,NA
20150704T15Z,MISSING,MISSING,MISSING,NA
20150704T16Z,MISSING,MISSING,MISSING,NA
20150704T17Z,MISSING,MISSING,MISSING,NA
20150704T18Z,MISSING,MISSING,MISSING,NA
20150704T19Z,MISSING,MISSING,MISSING,NA
20150704T20Z,MISSING,MISSING,MISSING,NA
20150704T21Z,MISSING,MISSING,MISSING,NA
20150704T22Z,MISSING,MISSING,MISSING,NA
20150704T23Z,MISSING,MISSING,MISSING,NA
20150705T00Z,MISSING,MISSING,MISSING,NA
20150705T01Z,MISSING,MISSING,MISSING,NA
20150705T02Z,MISSING,MISSING,MISSING,NA
20150705T03Z,MISSING,MISSING,MISSING,NA
20150705T04Z,MISSING,MISSING,MISSING,NA
20150705T05Z,MISSING,MISSING,MISSING,NA
20150705T06Z,MISSING,MISSING,MISSING,NA
20150705T07Z,MISSING,MISSING,MISSING,NA
20150705T08Z,MISSING,MISSING,MISSING,NA
20150705T09Z,MISSING,MISSING,MISSING,NA
20150705T10Z,MISSING,MISSING,MISSING,NA
20150705T11Z,MISSING,MISSING,MISSING,NA
20150705T12Z,MISSING,MISSING,MISSING,NA
20150705T13Z,MISSING,MISSING,MISSING,NA
20150705T14Z,MISSING,MISSING,MISSING,NA
20150705T15Z,MISSING,MISSING,MISSING,NA
20150705T16Z,MISSING,MISSING,MISSING,NA
20150705T17Z,MISSING,MISSING,MISSING,NA
20150705T18Z,MISSING,MISSING,MISSING,NA
20150705T19Z,MISSING,MISSING,MISSING,NA
20150705T20Z,MISSING,MISSING,MISSING,NA
20150705T21Z,MISSING,MISSING,MISSING,NA
20150705T22Z,MISSING,MISSING,MISSING,NA
20150705T23Z,MISSING,MISSING,MISSING,NA
20150706T00Z,MISSING,MISSING,MISSING,NA
20150706T01Z,MISSING,MISSING,MISSING,NA
20150706T02Z,MISSING,MISSING,MISSING,NA
20150706T03Z,MISSING,MISSING,MISSING,NA
20150706T04Z,MISSING,MISSING,MISSING,NA
20150706T05Z,MISSING,MISSING,MISSING,NA
20150706T06Z,MISSING,MISSING,MISSING,NA
20150706T07Z,MISSING,MISSING,MISSING,NA
20150706T08Z,MISSING,MISSING,MISSING,NA
20150706T09Z,MISSING,MISSING,MISSING,NA
20150706T10Z,MISSING,MISSING,MISSING,NA
20150706T11Z,MISSING,MISSING,MISSING,NA
20150706T12Z,MISSING,MISSING,MISSING,NA
20150706T13Z,MISSING,MISSING,MISSING,NA
20150706T14Z,MISSING,MISSING,MISSING,NA
20150706T15Z,MISSING,MISSING,MISSING,NA
20150706T16Z,MISSING,MISSING,MISSING,NA
20150706T17Z,MISSING,MISSING,MISSING,NA
20150706T18Z,MISSING,MISSING,MISSING,NA
20150706T19Z,MISSING,MISSING,MISSING,NA
20150706T20Z,MISSING,MISSING,MISSING,NA
20150706T21Z,MISSING,MISSING,MISSING,NA
20150706T22Z,MISSING,MISSING,MISSING,NA
20150706T23Z,MISSING,MISSING,MISSING,NA
20150707T00Z,MISSING,MISSING,MISSING,NA
20150707T01Z,MISSING,MISSING,MISSING,NA
20150707T02Z,MISSING,MISSING,MISSING,NA
20150707T03Z,MISSING,MISSING,MISSING,NA
20150707T04Z,MISSING,MISSING,MISSING,NA
20150707T05Z,MISSING,MISSING,MISSING,NA
20150707T06Z,MISSING,MISSING,MISSING,NA
20150707T07Z,MISSING,MISSING,MISSING,NA
20150707T08Z,MISSING,MISSING,MISSING,NA
20150707T09Z,MISSING,MISSING,MISSING,NA
20150707T10Z,MISSING,MISSING,MISSING,NA
20150707T11Z,MISSING,MISSING,MISSING,NA
20150707T12Z,MISSING,MISSING,MISSING,NA
20150707T13Z,MISSING,MISSING,MISSING,NA
20150707T14Z,MISSING,MISSING,MISSING,NA
20150707T15Z,MISSING,MISSING,MISSING,NA
20150707T16Z,MISSING,MISSING,MISSING,NA
20150707T17Z,MISSING,MISSING,MISSING,NA
20150707T18Z,MISSING,MISSING,MISSING,NA
20150707T19Z,MISSING,MISSING,MISSING,NA
20150707T20Z,MISSING,MISSING,MISSING,NA
20150707T21Z,MISSING,MISSING,MISSING,NA
20150707T22Z,MISSING,MISSING,MISSING,NA
20150707T23Z,MISSING,MISSING,MISSING,NA
20150708T00Z,MISSING,MISSING,MISSING,NA
20150708T01Z,MISSING,MISSING,MISSING,NA
20150708T02Z,MISSING,MISSING,MISSING,NA
20150708T03Z,MISSING,MISSING,MISSING,NA
20150708T04Z,MISSING,MISSING,MISSING,NA
20150708T05Z,MISSING,MISSING,MISSING,NA
20150708T06Z,MISSING,MISSING,MISSING,NA
20150708T07Z,MISSING,MISSING,MISSING,NA
20150708T08Z,MISSING,MISSING,MISSING,NA
20150708T09Z,MISSING,MISSING,MISSING,NA
20150708T10Z,MISSING,MISSING,MISSING,NA
20150708T11Z,MISSING,MISSING,MISSING,NA
20150708T12Z,MISSING,MISSING,MISSING,NA
20150708T13Z,MISSING,MISSING,MISSING,NA
20150708T14Z,MISSING,MISSING,MISSING,NA
20150708T15Z,MISSING,MISSING,MISSING,NA
20150708T16Z,MISSING,MISSING,MISSING,NA
20150708T17Z,MISSING,MISSING,MISSING,NA
20150708T18Z,MISSING,MISSING,MISSING,NA
20150708T19Z,MISSING,MISSING,MISSING,NA
20150708T20Z,MISSING,MISSING,MISSING,NA
20150708T21Z,MISSING,MISSING,MISSING,NA
20150708T22Z,MISSING,MISSING,MISSING,NA
20150708T23Z,MISSING,MISSING,MISSING,NA
20150709T00Z,MISSING,MISSING,MISSING,NA
20150709T01Z,MISSING,MISSING,MISSING,NA
20150709T02Z,MISSING,MISSING,MISSING,NA
20150709T03Z,MISSING,MISSING,MISSING,NA
20150709T04Z,MISSING,MISSING,MISSING,NA
20150709T05Z,MISSING,MISSING,MISSING,NA
20150709T06Z,MISSING,MISSING,MISSING,NA
20150709T07Z,MISSING,MISSING,MISSING,NA
20150709T08Z,MISSING,MISSING,MISSING,NA
20150709T09Z,MISSING,MISSING,MISSING,NA
20150709T10Z,MISSING,MISSING,MISSING,NA
20150709T11Z,MISSING,MISSING,MISSING,NA
20150709T12Z,MISSING,MISSING,MISSING,NA
20150709T13Z,MISSING,MISSING,MISSING,NA
20150709T14Z,MISSING,MISSING,MISSING,NA
