date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150702T01Z,8488,8712,OKAY,8488
20150702T02Z,8242,8477,OKAY,8242
20150702T03Z,8065,8203,OKAY,8065
20150702T04Z,7982,7963,OKAY,7982
20150702T05Z,7348,7496,OKAY,7348
20150702T06Z,6935,6854,OKAY,6935
20150702T07Z,6466,6475,OKAY,6466
20150702T08Z,6094,6144,OKAY,6094
20150702T09Z,5892,5918,OKAY,5892
20150702T10Z,5736,5760,OKAY,5736
20150702T11Z,5707,5682,OKAY,5707
20150702T12Z,5762,5791,OKAY,5762
20150702T13Z,5942,5912,OKAY,5942
20150702T14Z,6290,6336,OKAY,6290
20150702T15Z,6781,6736,OKAY,6781
20150702T16Z,7163,7155,OKAY,7163
20150702T17Z,7540,7482,OKAY,7540
20150702T18Z,7904,7726,OKAY,7904
20150702T19Z,8140,7995,OKAY,8140
20150702T20Z,8329,8298,OKAY,8329
20150702T21Z,8476,8473,OKAY,8476
20150702T22Z,8571,8634,OKAY,8571
20150702T23Z,8623,8681,OKAY,8623
20150703T00Z,8560,8627,OKAY,8560
20150703T01Z,8423,8486,OKAY,8423
20150703T02Z,8134,8283,OKAY,8134
20150703T03Z,7774,7999,OKAY,7774
20150703T04Z,7596,7760,OKAY,7596
20150703T05Z,7255,7353,OKAY,7255
20150703T06Z,6693,6748,OKAY,6693
20150703T07Z,6221,6290,OKAY,6221
20150703T08Z,5918,5987,OKAY,5918
20150703T09Z,5688,5747,OKAY,5688
20150703T10Z,5555,5658,OKAY,5555
20150703T11Z,5520,5594,OKAY,5520
20150703T12Z,5526,5643,OKAY,5526
20150703T13Z,5569,5726,OKAY,5569
20150703T14Z,5795,6215,OKAY,5795
20150703T15Z,6188,6693,OKAY,6188
20150703T16Z,6649,7003,OKAY,6649
20150703T17Z,7093,7338,OKAY,7093
20150703T18Z,7415,7632,OKAY,7415
20150703T19Z,7685,7798,OKAY,7685
20150703T20Z,7899,8065,OKAY,7899
20150703T21Z,8071,8317,OKAY,8071
20150703T22Z,8147,8468,OKAY,8147
20150703T23Z,8270,8526,OKAY,8270
20150704T00Z,8267,8490,OKAY,8267
20150704T01Z,8165,8400,OKAY,8165
20150704T02Z,7946,8264,OKAY,7946
20150704T03Z,7653,8001,OKAY,7653
20150704T04Z,7496,7675,OKAY,7496
20150704T05Z,7120,7213,OKAY,7120
20150704T06Z,6647,6644,OKAY,6647
20150704T07Z,6287,6267,OKAY,6287
20150704T08Z,5973,5971,OKAY,5973
20150704T09Z,5738,5773,OKAY,5738
20150704T10Z,5625,5617,OKAY,5625
20150704T11Z,5543,5463,OKAY,5543
20150704T12Z,5472,5471,OKAY,5472
20150704T13Z,5469,5429,OKAY,5469
20150704T14Z,5603,5588,OKAY,5603
20150704T15Z,5898,5933,OKAY,5898
20150704T16Z,6297,6303,OKAY,6297
20150704T17Z,6573,6656,OKAY,6573
20150704T18Z,6825,6984,OKAY,6825
20150704T19Z,7092,7061,OKAY,7092
20150704T20Z,7255,7337,OKAY,7255
20150704T21Z,7414,7455,OKAY,7414
20150704T22Z,7552,7598,OKAY,7552
20150704T23Z,7665,7665,OKAY,7665
20150705T00Z,7591,7703,OKAY,7591
20150705T01Z,7426,7601,OKAY,7426
20150705T02Z,7078,7407,OKAY,7078
20150705T03Z,6748,7145,OKAY,6748
20150705T04Z,6609,6778,OKAY,6609
20150705T05Z,6310,6499,OKAY,6310
20150705T06Z,6190,6419,OKAY,6190
20150705T07Z,5970,6235,OKAY,5970
20150705T08Z,5684,5970,OKAY,5684
20150705T09Z,5504,5718,OKAY,5504
20150705T10Z,5364,5582,OKAY,5364
20150705T11Z,5337,5434,OKAY,5337
20150705T12Z,5291,5394,OKAY,5291
20150705T13Z,5302,5315,OKAY,5302
20150705T14Z,5376,5579,OKAY,5376
20150705T15Z,5636,5944,OKAY,5636
20150705T16Z,5864,6196,OKAY,5864
20150705T17Z,5949,6507,OKAY,5949
20150705T18Z,6117,6717,OKAY,6117
20150705T19Z,6396,6888,OKAY,6396
20150705T20Z,6632,7218,OKAY,6632
20150705T21Z,6873,7383,OKAY,6873
20150705T22Z,7073,7544,OKAY,7073
20150705T23Z,7231,7639,OKAY,7231
20150706T00Z,7307,7671,OKAY,7307
20150706T01Z,7262,7588,OKAY,7262
20150706T02Z,7123,7500,OKAY,7123
20150706T03Z,6952,7413,OKAY,6952
20150706T04Z,6860,7250,OKAY,6860
20150706T05Z,6555,6945,OKAY,6555
20150706T06Z,6048,6424,OKAY,6048
20150706T07Z,5723,6164,OKAY,5723
20150706T08Z,5493,5754,OKAY,5493
20150706T09Z,5340,5576,OKAY,5340
20150706T10Z,5274,5504,OKAY,5274
20150706T11Z,5256,5463,OKAY,5256
20150706T12Z,5400,5551,OKAY,5400
20150706T13Z,5612,5805,OKAY,5612
20150706T14Z,5959,6209,OKAY,5959
20150706T15Z,6407,6596,OKAY,6407
20150706T16Z,6705,6978,OKAY,6705
20150706T17Z,7014,7339,OKAY,7014
20150706T18Z,7346,7569,OKAY,7346
20150706T19Z,7520,7776,OKAY,7520
20150706T20Z,7580,7994,OKAY,7580
20150706T21Z,7536,8120,OKAY,7536
20150706T22Z,7458,8204,OKAY,7458
20150706T23Z,7421,8290,OKAY,7421
20150707T00Z,7278,8259,OKAY,7278
20150707T01Z,7193,8165,OKAY,7193
20150707T02Z,7030,8019,OKAY,7030
20150707T03Z,6892,7825,OKAY,6892
20150707T04Z,6849,7614,OKAY,6849
20150707T05Z,6530,7166,OKAY,6530
20150707T06Z,6176,6565,OKAY,6176
20150707T07Z,5682,6095,OKAY,5682
20150707T08Z,5495,5774,OKAY,5495
20150707T09Z,5344,5545,OKAY,5344
20150707T10Z,5269,5434,OKAY,5269
20150707T11Z,5263,5369,OKAY,5263
20150707T12Z,5405,5478,OKAY,5405
20150707T13Z,5609,5612,OKAY,5609
20150707T14Z,5902,6034,OKAY,5902
20150707T15Z,6258,6417,OKAY,6258
20150707T16Z,6595,6746,OKAY,6595
20150707T17Z,6828,7035,OKAY,6828
20150707T18Z,7048,7301,OKAY,7048
20150707T19Z,7217,7410,OKAY,7217
20150707T20Z,7416,7658,OKAY,7416
20150707T21Z,7401,7831,OKAY,7401
20150707T22Z,7327,7985,OKAY,7327
20150707T23Z,7212,8054,OKAY,7212
20150708T00Z,7201,8016,OKAY,7201
20150708T01Z,7180,7907,OKAY,7180
20150708T02Z,6974,7760,OKAY,6974
20150708T03Z,6761,7545,OKAY,6761
20150708T04Z,6793,7276,OKAY,6793
20150708T05Z,6467,6927,OKAY,6467
20150708T06Z,6014,6362,OKAY,6014
20150708T07Z,5671,6030,OKAY,5671
20150708T08Z,5451,5705,OKAY,5451
20150708T09Z,5282,5533,OKAY,5282
20150708T10Z,5194,5456,OKAY,5194
20150708T11Z,5226,5390,OKAY,5226
20150708T12Z,5345,5475,OKAY,5345
20150708T13Z,5543,5606,OKAY,5543
20150708T14Z,5793,5791,OKAY,5793
20150708T15Z,6108,6189,OKAY,6108
20150708T16Z,6315,6567,OKAY,6315
20150708T17Z,6354,6784,OKAY,6354
20150708T18Z,6400,6974,OKAY,6400
20150708T19Z,6490,7079,OKAY,6490
20150708T20Z,6630,7291,OKAY,6630
20150708T21Z,6677,7475,OKAY,6677
20150708T22Z,6795,7636,OKAY,6795
20150708T23Z,6933,7735,OKAY,6933
20150709T00Z,7014,7757,OKAY,7014
20150709T01Z,6953,7646,OKAY,6953
20150709T02Z,6794,7499,OKAY,6794
20150709T03Z,6609,7337,OKAY,6609
20150709T04Z,6610,7131,OKAY,6610
20150709T05Z,6238,6799,OKAY,6238
20150709T06Z,5740,6325,OKAY,5740
20150709T07Z,5386,5776,OKAY,5386
20150709T08Z,5133,5490,OKAY,5133
20150709T09Z,4986,5306,OKAY,4986
20150709T10Z,4958,5231,OKAY,4958
20150709T11Z,4990,5178,OKAY,4990
20150709T12Z,5110,5284,OKAY,5110
20150709T13Z,5282,5432,OKAY,5282
20150709T14Z,5579,5808,OKAY,5579
20150709T15Z,5841,6124,OKAY,5841
20150709T16Z,6153,6397,OKAY,6153
20150709T17Z,6328,6688,OKAY,6328
20150709T18Z,6561,6906,OKAY,6561
20150709T19Z,6762,7043,OKAY,6762
20150709T20Z,6903,7214,OKAY,6903
20150709T21Z,7066,7351,OKAY,7066
20150709T22Z,7020,7459,OKAY,7020
20150709T23Z,6852,7558,OKAY,6852
20150710T00Z,6682,7517,OKAY,6682
20150710T01Z,6525,7399,OKAY,6525
20150710T02Z,6429,7288,OKAY,6429
20150710T03Z,6338,7085,OKAY,6338
20150710T04Z,6359,6943,OKAY,6359
20150710T05Z,6052,6616,OKAY,6052
20150710T06Z,5665,6135,OKAY,5665
20150710T07Z,5324,5674,OKAY,5324
20150710T08Z,5152,5433,OKAY,5152
20150710T09Z,5038,5285,OKAY,5038
20150710T10Z,4951,5208,OKAY,4951
20150710T11Z,4943,5133,OKAY,4943
20150710T12Z,5014,5166,OKAY,5014
20150710T13Z,5135,5283,OKAY,5135
20150710T14Z,5432,5632,OKAY,5432
20150710T15Z,5726,5862,OKAY,5726
20150710T16Z,5972,6117,OKAY,5972
20150710T17Z,6145,6361,OKAY,6145
20150710T18Z,6346,6545,OKAY,6346
20150710T19Z,6443,6648,OKAY,6443
20150710T20Z,6366,6848,OKAY,6366
20150710T21Z,6388,6971,OKAY,6388
20150710T22Z,6438,7083,OKAY,6438
20150710T23Z,6476,7243,OKAY,6476
20150711T00Z,6523,7315,OKAY,6523
20150711T01Z,6426,7262,OKAY,6426
20150711T02Z,6315,7127,OKAY,6315
20150711T03Z,6092,6977,OKAY,6092
20150711T04Z,6215,6792,OKAY,6215
20150711T05Z,5863,6446,OKAY,5863
20150711T06Z,5472,5989,OKAY,5472
20150711T07Z,5214,5761,OKAY,5214
20150711T08Z,5005,5481,OKAY,5005
20150711T09Z,4871,5344,OKAY,4871
20150711T10Z,4792,5221,OKAY,4792
20150711T11Z,4747,5147,OKAY,4747
20150711T12Z,4787,5115,OKAY,4787
20150711T13Z,4874,5123,OKAY,4874
20150711T14Z,5034,5393,OKAY,5034
20150711T15Z,5322,5724,OKAY,5322
20150711T16Z,5635,6018,OKAY,5635
20150711T17Z,5867,6314,OKAY,5867
20150711T18Z,6106,6523,OKAY,6106
20150711T19Z,6248,6687,OKAY,6248
20150711T20Z,6370,6942,OKAY,6370
20150711T21Z,6463,7088,OKAY,6463
20150711T22Z,6593,7228,OKAY,6593
20150711T23Z,6648,7278,OKAY,6648
20150712T00Z,6732,7285,OKAY,6732
20150712T01Z,6708,7220,OKAY,6708
20150712T02Z,6564,7156,OKAY,6564
20150712T03Z,6358,7106,OKAY,6358
20150712T04Z,6324,6825,OKAY,6324
20150712T05Z,6117,6536,OKAY,6117
20150712T06Z,5729,6119,OKAY,5729
20150712T07Z,5371,5877,OKAY,5371
20150712T08Z,5120,5592,OKAY,5120
20150712T09Z,4956,5299,OKAY,4956
20150712T10Z,4885,5172,OKAY,4885
20150712T11Z,4820,5105,OKAY,4820
20150712T12Z,4836,5065,OKAY,4836
20150712T13Z,4766,5075,OKAY,4766
20150712T14Z,4921,5342,OKAY,4921
20150712T15Z,5284,5691,OKAY,5284
20150712T16Z,5582,6004,OKAY,5582
20150712T17Z,5778,6247,OKAY,5778
20150712T18Z,5977,6425,OKAY,5977
20150712T19Z,6230,6639,OKAY,6230
20150712T20Z,6424,6812,OKAY,6424
20150712T21Z,6633,6976,OKAY,6633
20150712T22Z,6827,7104,OKAY,6827
20150712T23Z,7030,7226,OKAY,7030
20150713T00Z,7200,7279,OKAY,7200
20150713T01Z,7116,7248,OKAY,7116
20150713T02Z,6958,7097,OKAY,6958
20150713T03Z,6712,7010,OKAY,6712
20150713T04Z,6597,6801,OKAY,6597
20150713T05Z,6267,6523,OKAY,6267
20150713T06Z,5811,6065,OKAY,5811
20150713T07Z,5438,5906,OKAY,5438
20150713T08Z,5212,5583,OKAY,5212
20150713T09Z,5025,5415,OKAY,5025
20150713T10Z,4978,5277,OKAY,4978
20150713T11Z,4975,5208,OKAY,4975
20150713T12Z,5144,5360,OKAY,5144
20150713T13Z,5327,5560,OKAY,5327
20150713T14Z,5656,5945,OKAY,5656
20150713T15Z,6082,6285,OKAY,6082
20150713T16Z,6444,6676,OKAY,6444
20150713T17Z,6727,6992,OKAY,6727
20150713T18Z,7047,7260,OKAY,7047
20150713T19Z,7306,7443,OKAY,7306
20150713T20Z,7526,7685,OKAY,7526
20150713T21Z,7790,7811,OKAY,7790
20150713T22Z,7769,7944,OKAY,7769
20150713T23Z,7822,7978,OKAY,7822
20150714T00Z,7724,7943,OKAY,7724
20150714T01Z,7502,7827,OKAY,7502
20150714T02Z,7321,7645,OKAY,7321
20150714T03Z,6879,7460,OKAY,6879
20150714T04Z,6911,7245,OKAY,6911
20150714T05Z,6532,6914,OKAY,6532
20150714T06Z,6038,6314,OKAY,6038
20150714T07Z,5645,5773,OKAY,5645
20150714T08Z,5389,5504,OKAY,5389
20150714T09Z,5222,5331,OKAY,5222
20150714T10Z,5125,5223,OKAY,5125
20150714T11Z,5116,5156,OKAY,5116
20150714T12Z,5252,5258,OKAY,5252
20150714T13Z,5415,5555,OKAY,5415
20150714T14Z,5708,5813,OKAY,5708
20150714T15Z,6085,6198,OKAY,6085
20150714T16Z,6418,6589,OKAY,6418
20150714T17Z,6694,6857,OKAY,6694
20150714T18Z,6948,7086,OKAY,6948
20150714T19Z,7181,7218,OKAY,7181
20150714T20Z,7387,7445,OKAY,7387
20150714T21Z,7503,7570,OKAY,7503
20150714T22Z,7670,7654,OKAY,7670
20150714T23Z,7808,7725,OKAY,7808
20150715T00Z,7768,7709,OKAY,7768
20150715T01Z,7644,7572,OKAY,7644
20150715T02Z,7429,7375,OKAY,7429
20150715T03Z,7152,7212,OKAY,7152
20150715T04Z,7045,7024,OKAY,7045
20150715T05Z,6633,6585,OKAY,6633
20150715T06Z,6140,6184,OKAY,6140
20150715T07Z,EMPTY,5974,MISSING,5587
20150715T08Z,EMPTY,5638,MISSING,5218
20150715T09Z,EMPTY,5463,MISSING,5065
20150715T10Z,EMPTY,5348,MISSING,4951
20150715T11Z,EMPTY,5294,MISSING,5104
20150715T12Z,EMPTY,5380,MISSING,5135
20150715T13Z,EMPTY,5542,MISSING,5363
20150715T14Z,EMPTY,5834,MISSING,5574
20150715T15Z,EMPTY,6164,MISSING,5847
20150715T16Z,EMPTY,6524,MISSING,6112
20150715T17Z,EMPTY,6814,MISSING,6348
20150715T18Z,EMPTY,7055,MISSING,6533
20150715T19Z,EMPTY,7281,MISSING,6848
20150715T20Z,EMPTY,7457,MISSING,6889
20150715T21Z,EMPTY,7566,MISSING,7044
20150715T22Z,EMPTY,7659,MISSING,7189
20150715T23Z,EMPTY,7705,MISSING,7145
20150716T00Z,EMPTY,7672,MISSING,7122
20150716T01Z,EMPTY,7536,MISSING,6929
20150716T02Z,EMPTY,7355,MISSING,6853
20150716T03Z,EMPTY,7244,MISSING,6738
20150716T04Z,EMPTY,7062,MISSING,6479
20150716T05Z,EMPTY,6721,MISSING,6143
20150716T06Z,EMPTY,6195,MISSING,5803
20150716T07Z,MISSING,MISSING,MISSING,5307
20150716T08Z,MISSING,MISSING,MISSING,5219
20150716T09Z,MISSING,MISSING,MISSING,4967
20150716T10Z,MISSING,MISSING,MISSING,4945
20150716T11Z,MISSING,MISSING,MISSING,5026
20150716T12Z,MISSING,MISSING,MISSING,5041
20150716T13Z,MISSING,MISSING,MISSING,5290
20150716T14Z,MISSING,MISSING,MISSING,5514
20150716T15Z,MISSING,MISSING,MISSING,5838
20150716T16Z,MISSING,MISSING,MISSING,6168
20150716T17Z,MISSING,MISSING,MISSING,6309
20150716T18Z,MISSING,MISSING,MISSING,6695
20150716T19Z,MISSING,MISSING,MISSING,6886
20150716T20Z,MISSING,MISSING,MISSING,7038
20150716T21Z,MISSING,MISSING,MISSING,7312
20150716T22Z,MISSING,MISSING,MISSING,7392
20150716T23Z,MISSING,MISSING,MISSING,7435
20150717T00Z,MISSING,MISSING,MISSING,7212
20150717T01Z,MISSING,MISSING,MISSING,7108
20150717T02Z,MISSING,MISSING,MISSING,6992
20150717T03Z,MISSING,MISSING,MISSING,6848
20150717T04Z,MISSING,MISSING,MISSING,6532
20150717T05Z,MISSING,MISSING,MISSING,6259
20150717T06Z,MISSING,MISSING,MISSING,5894
20150717T07Z,MISSING,MISSING,MISSING,5576
20150717T08Z,MISSING,MISSING,MISSING,5313
20150717T09Z,MISSING,MISSING,MISSING,5140
20150717T10Z,MISSING,MISSING,MISSING,5051
20150717T11Z,MISSING,MISSING,MISSING,5118
20150717T12Z,MISSING,MISSING,MISSING,5131
20150717T13Z,MISSING,MISSING,MISSING,5492
20150717T14Z,MISSING,MISSING,MISSING,5642
20150717T15Z,MISSING,MISSING,MISSING,5922
20150717T16Z,MISSING,MISSING,MISSING,6183
20150717T17Z,MISSING,MISSING,MISSING,6554
20150717T18Z,MISSING,MISSING,MISSING,6816
20150717T19Z,MISSING,MISSING,MISSING,6928
20150717T20Z,MISSING,MISSING,MISSING,7094
20150717T21Z,MISSING,MISSING,MISSING,7238
20150717T22Z,MISSING,MISSING,MISSING,7384
20150717T23Z,MISSING,MISSING,MISSING,7132
20150718T00Z,MISSING,MISSING,MISSING,7036
20150718T01Z,MISSING,MISSING,MISSING,7028
20150718T02Z,MISSING,MISSING,MISSING,6794
20150718T03Z,MISSING,MISSING,MISSING,6635
20150718T04Z,MISSING,MISSING,MISSING,6357
20150718T05Z,MISSING,MISSING,MISSING,6102
