date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150702T01Z,103392,41045,OKAY,103392
20150702T02Z,101862,39964,OKAY,101862
20150702T03Z,96385,36830,OKAY,96385
20150702T04Z,89387,33373,OKAY,89387
20150702T05Z,82916,29377,OKAY,82916
20150702T06Z,78807,27567,OKAY,78807
20150702T07Z,75981,26464,OKAY,75981
20150702T08Z,74349,25850,OKAY,74349
20150702T09Z,74516,25967,OKAY,74516
20150702T10Z,76778,27141,OKAY,76778
20150702T11Z,79549,29409,OKAY,79549
20150702T12Z,83459,31806,OKAY,83459
20150702T13Z,87532,33668,OKAY,87532
20150702T14Z,90936,35266,OKAY,90936
20150702T15Z,94310,36703,OKAY,94310
20150702T16Z,96771,37850,OKAY,96771
20150702T17Z,98424,38804,OKAY,98424
20150702T18Z,99845,39769,OKAY,99845
20150702T19Z,100168,40463,OKAY,100168
20150702T20Z,100101,41031,OKAY,100101
20150702T21Z,99948,41564,OKAY,99948
20150702T22Z,99598,41525,OKAY,99598
20150702T23Z,97607,40466,OKAY,97607
20150703T00Z,94843,39306,OKAY,94843
20150703T01Z,92847,38441,OKAY,92847
20150703T02Z,92013,37415,OKAY,92013
20150703T03Z,86977,34611,OKAY,86977
20150703T04Z,80446,31519,OKAY,80446
20150703T05Z,75620,26881,OKAY,75620
20150703T06Z,72699,25393,OKAY,72699
20150703T07Z,70193,24430,OKAY,70193
20150703T08Z,68542,24035,OKAY,68542
20150703T09Z,68049,24249,OKAY,68049
20150703T10Z,68821,25370,OKAY,68821
20150703T11Z,69801,27350,OKAY,69801
20150703T12Z,71654,29629,OKAY,71654
20150703T13Z,74843,31463,OKAY,74843
20150703T14Z,79828,33079,OKAY,79828
20150703T15Z,84252,34479,OKAY,84252
20150703T16Z,87856,35479,OKAY,87856
20150703T17Z,91031,36246,OKAY,91031
20150703T18Z,93580,37050,OKAY,93580
20150703T19Z,95523,37634,OKAY,95523
20150703T20Z,97219,38188,OKAY,97219
20150703T21Z,97914,38559,OKAY,97914
20150703T22Z,97612,38316,OKAY,97612
20150703T23Z,95186,37174,OKAY,95186
20150704T00Z,91960,35863,OKAY,91960
20150704T01Z,90283,35044,OKAY,90283
20150704T02Z,89176,34476,OKAY,89176
20150704T03Z,85357,32409,OKAY,85357
20150704T04Z,80078,29807,OKAY,80078
20150704T05Z,75461,27458,OKAY,75461
20150704T06Z,71516,25872,OKAY,71516
20150704T07Z,69613,24862,OKAY,69613
20150704T08Z,69288,24265,OKAY,69288
20150704T09Z,68363,23971,OKAY,68363
20150704T10Z,68490,23911,OKAY,68490
20150704T11Z,68025,24071,OKAY,68025
20150704T12Z,68880,25369,OKAY,68880
20150704T13Z,71998,27544,OKAY,71998
20150704T14Z,77278,29390,OKAY,77278
20150704T15Z,81867,30664,OKAY,81867
20150704T16Z,85819,31349,OKAY,85819
20150704T17Z,88684,31732,OKAY,88684
20150704T18Z,90671,31850,OKAY,90671
20150704T19Z,91974,32005,OKAY,91974
20150704T20Z,93401,32167,OKAY,93401
20150704T21Z,94158,32473,OKAY,94158
20150704T22Z,93894,32819,OKAY,93894
20150704T23Z,92096,32256,OKAY,92096
20150705T00Z,88884,31739,OKAY,88884
20150705T01Z,85964,31482,OKAY,85964
