date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150702T01Z,1277,1240,OKAY,1277
20150702T02Z,1226,1185,OKAY,1226
20150702T03Z,1186,1150,OKAY,1186
20150702T04Z,1157,1125,OKAY,1157
20150702T05Z,1148,1110,OKAY,1148
20150702T06Z,1099,1055,OKAY,1099
20150702T07Z,995,955,OKAY,995
20150702T08Z,921,890,OKAY,921
20150702T09Z,859,842,OKAY,859
20150702T10Z,826,815,OKAY,826
20150702T11Z,819,810,OKAY,819
20150702T12Z,826,817,OKAY,826
20150702T13Z,870,880,OKAY,870
20150702T14Z,980,990,OKAY,980
20150702T15Z,1095,1114,OKAY,1095
20150702T16Z,1164,1162,OKAY,1164
20150702T17Z,1209,1207,OKAY,1209
20150702T18Z,1231,1238,OKAY,1231
20150702T19Z,1246,1261,OKAY,1246
20150702T20Z,1265,1255,OKAY,1265
20150702T21Z,1268,1270,OKAY,1268
20150702T22Z,1282,1270,OKAY,1282
20150702T23Z,1281,1275,OKAY,1281
20150703T00Z,1284,1275,OKAY,1284
20150703T01Z,1281,1260,OKAY,1281
20150703T02Z,1221,1205,OKAY,1221
20150703T03Z,1176,1160,OKAY,1176
20150703T04Z,1140,1140,OKAY,1140
20150703T05Z,1121,1120,OKAY,1121
20150703T06Z,1083,1070,OKAY,1083
20150703T07Z,992,985,OKAY,992
20150703T08Z,923,921,OKAY,923
20150703T09Z,867,853,OKAY,867
20150703T10Z,834,836,OKAY,834
20150703T11Z,818,873,OKAY,818
20150703T12Z,846,875,OKAY,846
20150703T13Z,865,885,OKAY,865
20150703T14Z,936,935,OKAY,936
20150703T15Z,1015,1005,OKAY,1015
20150703T16Z,1080,1085,OKAY,1080
20150703T17Z,1133,1155,OKAY,1133
20150703T18Z,1178,1185,OKAY,1178
20150703T19Z,1204,1205,OKAY,1204
20150703T20Z,1209,1205,OKAY,1209
20150703T21Z,1220,1215,OKAY,1220
20150703T22Z,1218,1205,OKAY,1218
20150703T23Z,1228,1220,OKAY,1228
20150704T00Z,1240,1250,OKAY,1240
20150704T01Z,1236,1280,OKAY,1236
20150704T02Z,1204,1255,OKAY,1204
20150704T03Z,1171,1230,OKAY,1171
20150704T04Z,1134,1235,OKAY,1134
20150704T05Z,1128,1200,OKAY,1128
20150704T06Z,1096,1145,OKAY,1096
20150704T07Z,1026,1070,OKAY,1026
20150704T08Z,960,960,OKAY,960
20150704T09Z,905,905,OKAY,905
20150704T10Z,868,870,OKAY,868
20150704T11Z,860,845,OKAY,860
20150704T12Z,844,840,OKAY,844
20150704T13Z,831,855,OKAY,831
20150704T14Z,854,860,OKAY,854
20150704T15Z,910,915,OKAY,910
20150704T16Z,998,1035,OKAY,998
20150704T17Z,1044,1105,OKAY,1044
20150704T18Z,1087,1145,OKAY,1087
20150704T19Z,1104,1160,OKAY,1104
20150704T20Z,1118,1165,OKAY,1118
20150704T21Z,1116,1165,OKAY,1116
20150704T22Z,1121,1160,OKAY,1121
20150704T23Z,1108,1155,OKAY,1108
20150705T00Z,1118,1170,OKAY,1118
20150705T01Z,1109,1160,OKAY,1109
20150705T02Z,1105,1145,OKAY,1105
20150705T03Z,1073,1130,OKAY,1073
20150705T04Z,1051,1140,OKAY,1051
20150705T05Z,1035,1105,OKAY,1035
20150705T06Z,1004,1060,OKAY,1004
20150705T07Z,978,995,OKAY,978
20150705T08Z,930,930,OKAY,930
20150705T09Z,891,885,OKAY,891
20150705T10Z,867,860,OKAY,867
20150705T11Z,846,845,OKAY,846
20150705T12Z,837,835,OKAY,837
20150705T13Z,817,835,OKAY,817
