date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150702T01Z,38696,38445,OKAY,38696
20150702T02Z,37245,36878,OKAY,37245
20150702T03Z,36321,36048,OKAY,36321
20150702T04Z,34084,33685,OKAY,34084
20150702T05Z,31400,30702,OKAY,31400
20150702T06Z,29231,29056,OKAY,29231
20150702T07Z,27588,27487,OKAY,27588
20150702T08Z,26475,26409,OKAY,26475
20150702T09Z,25734,25782,OKAY,25734
20150702T10Z,25506,25602,OKAY,25506
20150702T11Z,26089,26304,OKAY,26089
20150702T12Z,26946,27289,OKAY,26946
20150702T13Z,28137,28822,OKAY,28137
20150702T14Z,29550,30356,OKAY,29550
20150702T15Z,30914,31832,OKAY,30914
20150702T16Z,32262,33521,OKAY,32262
20150702T17Z,33460,34987,OKAY,33460
20150702T18Z,34506,36351,OKAY,34506
20150702T19Z,35392,37370,OKAY,35392
20150702T20Z,35700,37730,OKAY,35700
20150702T21Z,35924,37900,OKAY,35924
20150702T22Z,35857,37902,OKAY,35857
20150702T23Z,35173,37283,OKAY,35173
20150703T00Z,34183,36306,OKAY,34183
20150703T01Z,33056,35186,OKAY,33056
20150703T02Z,32028,33868,OKAY,32028
20150703T03Z,31239,33119,OKAY,31239
20150703T04Z,29540,30991,OKAY,29540
20150703T05Z,27443,28498,OKAY,27443
20150703T06Z,25607,26623,OKAY,25607
20150703T07Z,24347,25166,OKAY,24347
20150703T08Z,23531,24131,OKAY,23531
20150703T09Z,22982,23416,OKAY,22982
20150703T10Z,22797,23037,OKAY,22797
20150703T11Z,23058,22961,OKAY,23058
20150703T12Z,23225,22717,OKAY,23225
20150703T13Z,23912,23510,OKAY,23912
20150703T14Z,25348,25291,OKAY,25348
20150703T15Z,27052,27126,OKAY,27052
20150703T16Z,28623,28709,OKAY,28623
20150703T17Z,30127,29992,OKAY,30127
20150703T18Z,31500,31122,OKAY,31500
20150703T19Z,32735,32085,OKAY,32735
20150703T20Z,33544,32771,OKAY,33544
20150703T21Z,34276,33555,OKAY,34276
20150703T22Z,34711,33802,OKAY,34711
20150703T23Z,34536,33633,OKAY,34536
20150704T00Z,33621,32911,OKAY,33621
20150704T01Z,32372,31697,OKAY,32372
20150704T02Z,30929,30326,OKAY,30929
20150704T03Z,30108,29647,OKAY,30108
20150704T04Z,28531,28276,OKAY,28531
20150704T05Z,26750,26514,OKAY,26750
20150704T06Z,24978,25381,OKAY,24978
20150704T07Z,23577,23985,OKAY,23577
20150704T08Z,22605,23031,OKAY,22605
20150704T09Z,22039,22368,OKAY,22039
20150704T10Z,21679,21989,OKAY,21679
20150704T11Z,21634,21889,OKAY,21634
20150704T12Z,21349,21722,OKAY,21349
20150704T13Z,21894,22547,OKAY,21894
20150704T14Z,23550,24492,OKAY,23550
20150704T15Z,25600,26491,OKAY,25600
20150704T16Z,27701,28268,OKAY,27701
20150704T17Z,29587,29827,OKAY,29587
20150704T18Z,31153,31137,OKAY,31153
20150704T19Z,32376,32240,OKAY,32376
20150704T20Z,33303,33152,OKAY,33303
20150704T21Z,33999,34182,OKAY,33999
20150704T22Z,34146,34762,OKAY,34146
20150704T23Z,33748,34734,OKAY,33748
20150705T00Z,32812,34160,OKAY,32812
20150705T01Z,31523,33029,OKAY,31523
20150705T02Z,29984,31741,OKAY,29984
20150705T03Z,28840,31046,OKAY,28840
20150705T04Z,27697,29628,OKAY,27697
20150705T05Z,26707,27819,OKAY,26707
20150705T06Z,25312,25936,OKAY,25312
20150705T07Z,24017,24611,OKAY,24017
20150705T08Z,23042,23762,OKAY,23042
20150705T09Z,22437,23131,OKAY,22437
20150705T10Z,22146,22726,OKAY,22146
20150705T11Z,22153,22651,OKAY,22153
20150705T12Z,21967,22500,OKAY,21967
20150705T13Z,22735,23393,OKAY,22735
20150705T14Z,24521,25323,OKAY,24521
20150705T15Z,26830,27354,OKAY,26830
20150705T16Z,29143,29016,OKAY,29143
20150705T17Z,31227,30746,OKAY,31227
20150705T18Z,33224,32457,OKAY,33224
20150705T19Z,34951,33967,OKAY,34951
20150705T20Z,36353,35129,OKAY,36353
20150705T21Z,37428,36091,OKAY,37428
20150705T22Z,38186,36720,OKAY,38186
20150705T23Z,38428,36823,OKAY,38428
20150706T00Z,37835,36250,OKAY,37835
20150706T01Z,36563,35391,OKAY,36563
20150706T02Z,35184,34400,OKAY,35184
20150706T03Z,34516,33834,OKAY,34516
20150706T04Z,32508,32063,OKAY,32508
20150706T05Z,30043,29714,OKAY,30043
20150706T06Z,28090,27350,OKAY,28090
20150706T07Z,26756,25956,OKAY,26756
20150706T08Z,25827,25084,OKAY,25827
20150706T09Z,25268,24589,OKAY,25268
20150706T10Z,25176,24717,OKAY,25176
20150706T11Z,25843,25545,OKAY,25843
20150706T12Z,26712,26797,OKAY,26712
20150706T13Z,28120,28608,OKAY,28120
20150706T14Z,29917,30273,OKAY,29917
20150706T15Z,31798,31915,OKAY,31798
20150706T16Z,33792,33733,OKAY,33792
20150706T17Z,35473,35313,OKAY,35473
20150706T18Z,36914,36639,OKAY,36914
20150706T19Z,38170,37840,OKAY,38170
20150706T20Z,38739,38430,OKAY,38739
20150706T21Z,38938,38765,OKAY,38938
20150706T22Z,38485,38692,OKAY,38485
