date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,630,OKAY,630,619
2015-07-02 01:00:00,633,OKAY,633,617
2015-07-02 02:00:00,620,OKAY,620,602
2015-07-02 03:00:00,612,OKAY,612,597
2015-07-02 04:00:00,598,OKAY,598,577
2015-07-02 05:00:00,596,OKAY,596,583
2015-07-02 06:00:00,570,OKAY,570,542
2015-07-02 07:00:00,515,OKAY,515,490
2015-07-02 08:00:00,466,OKAY,466,439
2015-07-02 09:00:00,454,OKAY,454,415
2015-07-02 10:00:00,427,OKAY,427,402
2015-07-02 11:00:00,426,OKAY,426,397
2015-07-02 12:00:00,427,OKAY,427,404
2015-07-02 13:00:00,438,OKAY,438,423
2015-07-02 14:00:00,472,OKAY,472,458
2015-07-02 15:00:00,515,OKAY,515,494
2015-07-02 16:00:00,549,OKAY,549,527
2015-07-02 17:00:00,581,OKAY,581,547
2015-07-02 18:00:00,601,OKAY,601,564
2015-07-02 19:00:00,616,OKAY,616,588
2015-07-02 20:00:00,625,OKAY,625,605
2015-07-02 21:00:00,637,OKAY,637,611
2015-07-02 22:00:00,638,OKAY,638,616
2015-07-02 23:00:00,644,OKAY,644,620
2015-07-03 00:00:00,638,OKAY,638,619
2015-07-03 01:00:00,639,OKAY,639,618
2015-07-03 02:00:00,632,OKAY,632,606
2015-07-03 03:00:00,614,OKAY,614,597
2015-07-03 04:00:00,601,OKAY,601,576
2015-07-03 05:00:00,603,OKAY,603,579
2015-07-03 06:00:00,572,OKAY,572,541
2015-07-03 07:00:00,531,OKAY,531,489
2015-07-03 08:00:00,487,OKAY,487,446
2015-07-03 09:00:00,456,OKAY,456,425
2015-07-03 10:00:00,443,OKAY,443,410
2015-07-03 11:00:00,425,OKAY,425,402
2015-07-03 12:00:00,424,OKAY,424,410
2015-07-03 13:00:00,416,OKAY,416,417
2015-07-03 14:00:00,437,OKAY,437,442
2015-07-03 15:00:00,464,OKAY,464,475
2015-07-03 16:00:00,506,OKAY,506,506
2015-07-03 17:00:00,536,OKAY,536,531
2015-07-03 18:00:00,562,OKAY,562,554
2015-07-03 19:00:00,572,OKAY,572,568
2015-07-03 20:00:00,584,OKAY,584,574
2015-07-03 21:00:00,590,OKAY,590,582
2015-07-03 22:00:00,603,OKAY,603,578
2015-07-03 23:00:00,602,OKAY,602,579
2015-07-04 00:00:00,607,OKAY,607,578
2015-07-04 01:00:00,605,OKAY,605,575
2015-07-04 02:00:00,595,OKAY,595,560
2015-07-04 03:00:00,587,OKAY,587,545
2015-07-04 04:00:00,567,OKAY,567,532
2015-07-04 05:00:00,560,OKAY,560,537
2015-07-04 06:00:00,555,OKAY,555,522
2015-07-04 07:00:00,512,OKAY,512,489
2015-07-04 08:00:00,477,OKAY,477,450
2015-07-04 09:00:00,433,OKAY,433,423
2015-07-04 10:00:00,422,OKAY,422,401
2015-07-04 11:00:00,401,OKAY,401,391
2015-07-04 12:00:00,396,OKAY,396,388
2015-07-04 13:00:00,381,OKAY,381,373
2015-07-04 14:00:00,392,OKAY,392,370
2015-07-04 15:00:00,411,OKAY,411,392
2015-07-04 16:00:00,457,OKAY,457,432
2015-07-04 17:00:00,486,OKAY,486,469
2015-07-04 18:00:00,518,OKAY,518,495
2015-07-04 19:00:00,530,OKAY,530,508
2015-07-04 20:00:00,544,OKAY,544,513
2015-07-04 21:00:00,546,OKAY,546,513
2015-07-04 22:00:00,540,OKAY,540,510
2015-07-04 23:00:00,551,OKAY,551,511
2015-07-05 00:00:00,544,OKAY,544,512
2015-07-05 01:00:00,540,OKAY,540,514
2015-07-05 02:00:00,535,OKAY,535,508
2015-07-05 03:00:00,522,OKAY,522,495
2015-07-05 04:00:00,507,OKAY,507,482
2015-07-05 05:00:00,507,OKAY,507,492
2015-07-05 06:00:00,487,OKAY,487,482
2015-07-05 07:00:00,477,OKAY,477,459
2015-07-05 08:00:00,452,OKAY,452,453
2015-07-05 09:00:00,428,OKAY,428,427
2015-07-05 10:00:00,409,OKAY,409,410
2015-07-05 11:00:00,391,OKAY,391,398
2015-07-05 12:00:00,387,OKAY,387,396
2015-07-05 13:00:00,384,OKAY,384,387
2015-07-05 14:00:00,377,OKAY,377,383
2015-07-05 15:00:00,405,OKAY,405,410
2015-07-05 16:00:00,443,OKAY,443,447
2015-07-05 17:00:00,478,OKAY,478,483
2015-07-05 18:00:00,499,OKAY,499,503
2015-07-05 19:00:00,521,OKAY,521,521
2015-07-05 20:00:00,539,OKAY,539,528
2015-07-05 21:00:00,546,OKAY,546,537
2015-07-05 22:00:00,549,OKAY,549,538
2015-07-05 23:00:00,559,OKAY,559,544
2015-07-06 00:00:00,562,OKAY,562,548
2015-07-06 01:00:00,576,OKAY,576,555
2015-07-06 02:00:00,574,OKAY,574,556
2015-07-06 03:00:00,567,OKAY,567,547
2015-07-06 04:00:00,560,OKAY,560,542
2015-07-06 05:00:00,557,OKAY,557,554
2015-07-06 06:00:00,542,OKAY,542,527
2015-07-06 07:00:00,488,OKAY,488,481
2015-07-06 08:00:00,453,OKAY,453,431
2015-07-06 09:00:00,420,OKAY,420,410
2015-07-06 10:00:00,407,OKAY,407,395
2015-07-06 11:00:00,401,OKAY,401,390
2015-07-06 12:00:00,409,OKAY,409,403
2015-07-06 13:00:00,425,OKAY,425,428
2015-07-06 14:00:00,456,OKAY,456,453
2015-07-06 15:00:00,490,OKAY,490,490
2015-07-06 16:00:00,530,OKAY,530,529
2015-07-06 17:00:00,548,OKAY,548,555
2015-07-06 18:00:00,577,OKAY,577,578
2015-07-06 19:00:00,592,OKAY,592,610
2015-07-06 20:00:00,608,OKAY,608,623
2015-07-06 21:00:00,625,OKAY,625,633
2015-07-06 22:00:00,629,OKAY,629,634
2015-07-06 23:00:00,634,OKAY,634,639
2015-07-07 00:00:00,631,OKAY,631,640
2015-07-07 01:00:00,637,OKAY,637,632
2015-07-07 02:00:00,624,OKAY,624,622
2015-07-07 03:00:00,604,OKAY,604,610
2015-07-07 04:00:00,582,OKAY,582,597
2015-07-07 05:00:00,582,OKAY,582,601
2015-07-07 06:00:00,546,OKAY,546,547
2015-07-07 07:00:00,498,OKAY,498,495
2015-07-07 08:00:00,455,OKAY,455,454
2015-07-07 09:00:00,428,OKAY,428,433
2015-07-07 10:00:00,407,OKAY,407,415
2015-07-07 11:00:00,412,OKAY,412,410
2015-07-07 12:00:00,416,OKAY,416,414
2015-07-07 13:00:00,432,OKAY,432,430
2015-07-07 14:00:00,456,OKAY,456,464
2015-07-07 15:00:00,494,OKAY,494,501
2015-07-07 16:00:00,519,OKAY,519,531
2015-07-07 17:00:00,531,OKAY,531,555
2015-07-07 18:00:00,543,OKAY,543,574
2015-07-07 19:00:00,560,OKAY,560,599
2015-07-07 20:00:00,570,OKAY,570,610
2015-07-07 21:00:00,587,OKAY,587,622
2015-07-07 22:00:00,589,OKAY,589,623
2015-07-07 23:00:00,599,OKAY,599,627
2015-07-08 00:00:00,601,OKAY,601,625
2015-07-08 01:00:00,608,OKAY,608,622
2015-07-08 02:00:00,603,OKAY,603,611
2015-07-08 03:00:00,583,OKAY,583,601
2015-07-08 04:00:00,574,OKAY,574,581
2015-07-08 05:00:00,566,OKAY,566,585
2015-07-08 06:00:00,533,OKAY,533,548
2015-07-08 07:00:00,493,OKAY,493,500
2015-07-08 08:00:00,450,OKAY,450,445
2015-07-08 09:00:00,428,OKAY,428,426
2015-07-08 10:00:00,414,OKAY,414,408
2015-07-08 11:00:00,408,OKAY,408,405
2015-07-08 12:00:00,413,OKAY,413,410
2015-07-08 13:00:00,429,OKAY,429,428
2015-07-08 14:00:00,457,OKAY,457,462
2015-07-08 15:00:00,486,OKAY,486,498
2015-07-08 16:00:00,516,OKAY,516,534
2015-07-08 17:00:00,534,OKAY,534,558
2015-07-08 18:00:00,557,OKAY,557,577
2015-07-08 19:00:00,565,OKAY,565,593
2015-07-08 20:00:00,580,OKAY,580,613
2015-07-08 21:00:00,591,OKAY,591,625
2015-07-08 22:00:00,594,OKAY,594,630
2015-07-08 23:00:00,612,OKAY,612,634
2015-07-09 00:00:00,612,OKAY,612,631
2015-07-09 01:00:00,609,OKAY,609,631
2015-07-09 02:00:00,606,OKAY,606,618
2015-07-09 03:00:00,602,OKAY,602,609
2015-07-09 04:00:00,581,OKAY,581,589
2015-07-09 05:00:00,572,OKAY,572,583
2015-07-09 06:00:00,550,OKAY,550,554
2015-07-09 07:00:00,499,OKAY,499,506
2015-07-09 08:00:00,459,OKAY,459,457
2015-07-09 09:00:00,433,OKAY,433,437
2015-07-09 10:00:00,411,OKAY,411,416
2015-07-09 11:00:00,415,OKAY,415,414
2015-07-09 12:00:00,425,OKAY,425,419
2015-07-09 13:00:00,444,OKAY,444,435
2015-07-09 14:00:00,467,OKAY,467,468
2015-07-09 15:00:00,501,OKAY,501,505
2015-07-09 16:00:00,520,OKAY,520,542
2015-07-09 17:00:00,549,OKAY,549,566
2015-07-09 18:00:00,562,OKAY,562,585
2015-07-09 19:00:00,577,OKAY,577,600
2015-07-09 20:00:00,588,OKAY,588,614
2015-07-09 21:00:00,602,OKAY,602,621
2015-07-09 22:00:00,611,OKAY,611,625
2015-07-09 23:00:00,619,OKAY,619,630
2015-07-10 00:00:00,614,OKAY,614,626
2015-07-10 01:00:00,621,OKAY,621,625
2015-07-10 02:00:00,607,OKAY,607,611
2015-07-10 03:00:00,592,OKAY,592,600
2015-07-10 04:00:00,566,OKAY,566,586
2015-07-10 05:00:00,569,OKAY,569,590
2015-07-10 06:00:00,532,OKAY,532,561
2015-07-10 07:00:00,486,OKAY,486,509
2015-07-10 08:00:00,451,OKAY,451,444
2015-07-10 09:00:00,425,OKAY,425,416
2015-07-10 10:00:00,421,OKAY,421,405
2015-07-10 11:00:00,409,OKAY,409,399
2015-07-10 12:00:00,423,OKAY,423,408
2015-07-10 13:00:00,442,OKAY,442,424
2015-07-10 14:00:00,462,OKAY,462,443
2015-07-10 15:00:00,495,OKAY,495,475
2015-07-10 16:00:00,512,OKAY,512,501
2015-07-10 17:00:00,526,OKAY,526,518
2015-07-10 18:00:00,548,OKAY,548,532
2015-07-10 19:00:00,553,OKAY,553,542
2015-07-10 20:00:00,554,OKAY,554,544
2015-07-10 21:00:00,549,OKAY,549,550
2015-07-10 22:00:00,545,OKAY,545,545
2015-07-10 23:00:00,542,OKAY,542,545
2015-07-11 00:00:00,537,OKAY,537,539
2015-07-11 01:00:00,524,OKAY,524,540
2015-07-11 02:00:00,513,OKAY,513,526
2015-07-11 03:00:00,514,OKAY,514,519
2015-07-11 04:00:00,510,OKAY,510,510
2015-07-11 05:00:00,516,OKAY,516,520
2015-07-11 06:00:00,491,OKAY,491,501
2015-07-11 07:00:00,453,OKAY,453,463
2015-07-11 08:00:00,427,OKAY,427,436
2015-07-11 09:00:00,404,OKAY,404,412
2015-07-11 10:00:00,399,OKAY,399,397
2015-07-11 11:00:00,383,OKAY,383,388
2015-07-11 12:00:00,394,OKAY,394,389
2015-07-11 13:00:00,390,OKAY,390,383
2015-07-11 14:00:00,397,OKAY,397,379
2015-07-11 15:00:00,424,OKAY,424,402
2015-07-11 16:00:00,446,OKAY,446,435
2015-07-11 17:00:00,481,OKAY,481,464
2015-07-11 18:00:00,493,OKAY,493,482
2015-07-11 19:00:00,500,OKAY,500,491
2015-07-11 20:00:00,500,OKAY,500,492
2015-07-11 21:00:00,495,OKAY,495,492
2015-07-11 22:00:00,481,OKAY,481,489
2015-07-11 23:00:00,488,OKAY,488,488
2015-07-12 00:00:00,487,OKAY,487,489
2015-07-12 01:00:00,486,OKAY,486,493
2015-07-12 02:00:00,482,OKAY,482,492
2015-07-12 03:00:00,484,OKAY,484,489
2015-07-12 04:00:00,484,OKAY,484,481
2015-07-12 05:00:00,486,OKAY,486,492
2015-07-12 06:00:00,465,OKAY,465,481
2015-07-12 07:00:00,445,OKAY,445,448
2015-07-12 08:00:00,415,OKAY,415,428
2015-07-12 09:00:00,395,OKAY,395,408
2015-07-12 10:00:00,388,OKAY,388,396
2015-07-12 11:00:00,375,OKAY,375,385
2015-07-12 12:00:00,378,OKAY,378,382
2015-07-12 13:00:00,379,OKAY,379,375
2015-07-12 14:00:00,384,OKAY,384,363
2015-07-12 15:00:00,397,OKAY,397,382
2015-07-12 16:00:00,424,OKAY,424,415
2015-07-12 17:00:00,449,OKAY,449,445
2015-07-12 18:00:00,472,OKAY,472,461
2015-07-12 19:00:00,486,OKAY,486,474
2015-07-12 20:00:00,488,OKAY,488,477
2015-07-12 21:00:00,496,OKAY,496,477
2015-07-12 22:00:00,501,OKAY,501,476
2015-07-12 23:00:00,504,OKAY,504,478
2015-07-13 00:00:00,516,OKAY,516,487
2015-07-13 01:00:00,524,OKAY,524,492
2015-07-13 02:00:00,522,OKAY,522,497
2015-07-13 03:00:00,517,OKAY,517,493
2015-07-13 04:00:00,509,OKAY,509,493
2015-07-13 05:00:00,530,OKAY,530,503
2015-07-13 06:00:00,499,OKAY,499,483
2015-07-13 07:00:00,457,OKAY,457,442
2015-07-13 08:00:00,430,OKAY,430,428
2015-07-13 09:00:00,402,OKAY,402,402
2015-07-13 10:00:00,398,OKAY,398,394
2015-07-13 11:00:00,393,OKAY,393,391
2015-07-13 12:00:00,402,OKAY,402,404
2015-07-13 13:00:00,428,OKAY,428,422
2015-07-13 14:00:00,448,OKAY,448,445
2015-07-13 15:00:00,489,OKAY,489,477
2015-07-13 16:00:00,512,OKAY,512,510
2015-07-13 17:00:00,532,OKAY,532,525
2015-07-13 18:00:00,540,OKAY,540,544
2015-07-13 19:00:00,557,OKAY,557,556
2015-07-13 20:00:00,562,OKAY,562,563
2015-07-13 21:00:00,576,OKAY,576,565
2015-07-13 22:00:00,573,OKAY,573,565
2015-07-13 23:00:00,579,OKAY,579,560
2015-07-14 00:00:00,589,OKAY,589,552
2015-07-14 01:00:00,590,OKAY,590,553
2015-07-14 02:00:00,576,OKAY,576,543
2015-07-14 03:00:00,567,OKAY,567,538
2015-07-14 04:00:00,541,OKAY,541,528
2015-07-14 05:00:00,552,OKAY,552,535
2015-07-14 06:00:00,519,OKAY,519,504
2015-07-14 07:00:00,471,OKAY,471,456
2015-07-14 08:00:00,431,OKAY,431,434
2015-07-14 09:00:00,408,OKAY,408,411
2015-07-14 10:00:00,400,OKAY,400,395
2015-07-14 11:00:00,393,OKAY,393,391
2015-07-14 12:00:00,399,OKAY,399,401
2015-07-14 13:00:00,416,OKAY,416,425
2015-07-14 14:00:00,446,OKAY,446,458
2015-07-14 15:00:00,483,OKAY,483,486
2015-07-14 16:00:00,511,OKAY,511,512
2015-07-14 17:00:00,542,OKAY,542,527
2015-07-14 18:00:00,550,OKAY,550,538
