date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150702T01Z,1243,1333,OKAY,1243
20150702T02Z,1219,1304,OKAY,1219
20150702T03Z,1176,1271,OKAY,1176
20150702T04Z,1173,1212,OKAY,1173
20150702T05Z,1102,1203,OKAY,1102
20150702T06Z,1185,1197,OKAY,1185
20150702T07Z,1113,1137,OKAY,1113
20150702T08Z,1075,1096,OKAY,1075
20150702T09Z,1044,1059,OKAY,1044
20150702T10Z,1024,1012,OKAY,1024
20150702T11Z,1012,1018,OKAY,1012
20150702T12Z,1008,1005,OKAY,1008
20150702T13Z,1010,1001,OKAY,1010
20150702T14Z,913,1001,OKAY,913
20150702T15Z,980,1056,OKAY,980
20150702T16Z,1051,1121,OKAY,1051
20150702T17Z,1095,1204,OKAY,1095
20150702T18Z,1164,1268,OKAY,1164
20150702T19Z,1218,1333,OKAY,1218
20150702T20Z,1258,1354,OKAY,1258
20150702T21Z,1296,1388,OKAY,1296
20150702T22Z,1345,1413,OKAY,1345
20150702T23Z,1353,1434,OKAY,1353
20150703T00Z,1368,1421,OKAY,1368
20150703T01Z,1341,1393,OKAY,1341
20150703T02Z,1305,1340,OKAY,1305
20150703T03Z,1273,1288,OKAY,1273
20150703T04Z,1263,1246,OKAY,1263
20150703T05Z,1206,1234,OKAY,1206
20150703T06Z,1259,1205,OKAY,1259
20150703T07Z,1190,0,OKAY,1190
20150703T08Z,1122,1098,OKAY,1122
20150703T09Z,1083,1056,OKAY,1083
20150703T10Z,1048,1019,OKAY,1048
20150703T11Z,1034,1006,OKAY,1034
20150703T12Z,1031,998,OKAY,1031
20150703T13Z,1029,982,OKAY,1029
20150703T14Z,913,983,OKAY,913
20150703T15Z,922,1043,OKAY,922
20150703T16Z,978,1123,OKAY,978
20150703T17Z,1027,1184,OKAY,1027
20150703T18Z,1097,1267,OKAY,1097
20150703T19Z,1147,1323,OKAY,1147
20150703T20Z,1196,1298,OKAY,1196
20150703T21Z,1233,1355,OKAY,1233
20150703T22Z,1264,1384,OKAY,1264
20150703T23Z,1297,1434,OKAY,1297
20150704T00Z,1305,1408,OKAY,1305
20150704T01Z,1314,1366,OKAY,1314
20150704T02Z,1274,1331,OKAY,1274
20150704T03Z,1249,1275,OKAY,1249
20150704T04Z,1206,1244,OKAY,1206
20150704T05Z,1160,1267,OKAY,1160
20150704T06Z,1232,1227,OKAY,1232
20150704T07Z,1161,1162,OKAY,1161
20150704T08Z,1104,1108,OKAY,1104
20150704T09Z,1061,1072,OKAY,1061
20150704T10Z,1031,1040,OKAY,1031
20150704T11Z,1008,1015,OKAY,1008
20150704T12Z,1002,1005,OKAY,1002
20150704T13Z,1001,989,OKAY,1001
20150704T14Z,967,963,OKAY,967
20150704T15Z,993,1014,OKAY,993
20150704T16Z,1061,1093,OKAY,1061
20150704T17Z,1125,1163,OKAY,1125
20150704T18Z,1175,1236,OKAY,1175
20150704T19Z,1230,1308,OKAY,1230
20150704T20Z,1187,1272,OKAY,1187
20150704T21Z,1206,1317,OKAY,1206
20150704T22Z,1239,1345,OKAY,1239
20150704T23Z,1260,1349,OKAY,1260
20150705T00Z,1263,1330,OKAY,1263
20150705T01Z,1243,1312,OKAY,1243
20150705T02Z,1232,1262,OKAY,1232
20150705T03Z,1191,1220,OKAY,1191
20150705T04Z,1212,1174,OKAY,1212
20150705T05Z,1169,1219,OKAY,1169
20150705T06Z,1178,1193,OKAY,1178
20150705T07Z,1127,1131,OKAY,1127
20150705T08Z,1064,1076,OKAY,1064
20150705T09Z,1025,1046,OKAY,1025
20150705T10Z,992,1010,OKAY,992
20150705T11Z,976,994,OKAY,976
20150705T12Z,981,988,OKAY,981
20150705T13Z,970,975,OKAY,970
20150705T14Z,928,960,OKAY,928
20150705T15Z,961,1017,OKAY,961
20150705T16Z,1028,1093,OKAY,1028
20150705T17Z,1075,1167,OKAY,1075
20150705T18Z,1124,1242,OKAY,1124
20150705T19Z,1171,1321,OKAY,1171
20150705T20Z,1096,1308,OKAY,1096
20150705T21Z,1116,1315,OKAY,1116
20150705T22Z,1105,1331,OKAY,1105
20150705T23Z,1084,1322,OKAY,1084
20150706T00Z,1076,1312,OKAY,1076
20150706T01Z,1048,1298,OKAY,1048
20150706T02Z,1019,1242,OKAY,1019
20150706T03Z,1016,1219,OKAY,1016
20150706T04Z,1082,1208,OKAY,1082
20150706T05Z,1055,1190,OKAY,1055
20150706T06Z,1045,1168,OKAY,1045
20150706T07Z,989,1113,OKAY,989
20150706T08Z,973,1064,OKAY,973
20150706T09Z,953,1034,OKAY,953
20150706T10Z,896,1011,OKAY,896
20150706T11Z,906,982,OKAY,906
20150706T12Z,925,994,OKAY,925
20150706T13Z,916,997,OKAY,916
20150706T14Z,922,1003,OKAY,922
20150706T15Z,972,1070,OKAY,972
20150706T16Z,1044,1135,OKAY,1044
20150706T17Z,1111,1211,OKAY,1111
20150706T18Z,1181,1293,OKAY,1181
20150706T19Z,1260,1371,OKAY,1260
20150706T20Z,1214,1318,OKAY,1214
20150706T21Z,1248,1374,OKAY,1248
20150706T22Z,1254,1414,OKAY,1254
20150706T23Z,1243,1429,OKAY,1243
20150707T00Z,1238,1397,OKAY,1238
20150707T01Z,1215,1353,OKAY,1215
20150707T02Z,1182,1289,OKAY,1182
20150707T03Z,1153,1245,OKAY,1153
20150707T04Z,1217,1221,OKAY,1217
20150707T05Z,1164,1254,OKAY,1164
20150707T06Z,1125,1231,OKAY,1125
20150707T07Z,1060,1162,OKAY,1060
20150707T08Z,1028,1121,OKAY,1028
20150707T09Z,990,1084,OKAY,990
20150707T10Z,968,1056,OKAY,968
20150707T11Z,954,1035,OKAY,954
20150707T12Z,980,1032,OKAY,980
20150707T13Z,976,1046,OKAY,976
20150707T14Z,977,1022,OKAY,977
20150707T15Z,1040,1090,OKAY,1040
20150707T16Z,1086,1151,OKAY,1086
20150707T17Z,1156,1231,OKAY,1156
20150707T18Z,1217,1285,OKAY,1217
20150707T19Z,1270,1340,OKAY,1270
20150707T20Z,1204,1291,OKAY,1204
20150707T21Z,1227,1317,OKAY,1227
20150707T22Z,1249,1351,OKAY,1249
20150707T23Z,1252,1371,OKAY,1252
20150708T00Z,1266,1371,OKAY,1266
20150708T01Z,1244,1336,OKAY,1244
20150708T02Z,1236,1283,OKAY,1236
20150708T03Z,1206,1222,OKAY,1206
20150708T04Z,1258,1183,OKAY,1258
20150708T05Z,1210,1162,OKAY,1210
20150708T06Z,1181,1208,OKAY,1181
20150708T07Z,1113,1146,OKAY,1113
20150708T08Z,1032,1119,OKAY,1032
20150708T09Z,992,1018,OKAY,992
20150708T10Z,943,1039,OKAY,943
20150708T11Z,899,1019,OKAY,899
20150708T12Z,897,1018,OKAY,897
20150708T13Z,894,1006,OKAY,894
20150708T14Z,941,921,OKAY,941
20150708T15Z,1013,971,OKAY,1013
20150708T16Z,1076,1042,OKAY,1076
20150708T17Z,1154,1103,OKAY,1154
20150708T18Z,1223,1160,OKAY,1223
20150708T19Z,1287,1230,OKAY,1287
20150708T20Z,1234,1238,OKAY,1234
20150708T21Z,1257,1289,OKAY,1257
20150708T22Z,1271,1299,OKAY,1271
20150708T23Z,1274,1287,OKAY,1274
20150709T00Z,1288,1278,OKAY,1288
20150709T01Z,1276,1243,OKAY,1276
20150709T02Z,1253,1219,OKAY,1253
20150709T03Z,1213,1176,OKAY,1213
20150709T04Z,1219,1173,OKAY,1219
20150709T05Z,1167,1102,OKAY,1167
20150709T06Z,1123,1185,OKAY,1123
20150709T07Z,1063,1113,OKAY,1063
20150709T08Z,1020,1075,OKAY,1020
20150709T09Z,988,1044,OKAY,988
20150709T10Z,960,1024,OKAY,960
20150709T11Z,942,1012,OKAY,942
20150709T12Z,956,1008,OKAY,956
20150709T13Z,944,1010,OKAY,944
20150709T14Z,972,913,OKAY,972
20150709T15Z,1027,980,OKAY,1027
20150709T16Z,1073,1051,OKAY,1073
20150709T17Z,1142,1095,OKAY,1142
20150709T18Z,1168,1164,OKAY,1168
20150709T19Z,1217,1218,OKAY,1217
20150709T20Z,1240,1258,OKAY,1240
20150709T21Z,1262,1296,OKAY,1262
20150709T22Z,1272,1345,OKAY,1272
20150709T23Z,1275,1353,OKAY,1275
20150710T00Z,1269,1368,OKAY,1269
20150710T01Z,1255,1341,OKAY,1255
20150710T02Z,1267,1305,OKAY,1267
20150710T03Z,1232,1273,OKAY,1232
20150710T04Z,1208,1263,OKAY,1208
20150710T05Z,1154,1206,OKAY,1154
20150710T06Z,1077,1259,OKAY,1077
20150710T07Z,1004,1190,OKAY,1004
20150710T08Z,931,1122,OKAY,931
20150710T09Z,912,1083,OKAY,912
20150710T10Z,891,1048,OKAY,891
20150710T11Z,880,1034,OKAY,880
20150710T12Z,883,1031,OKAY,883
20150710T13Z,879,1029,OKAY,879
20150710T14Z,915,913,OKAY,915
20150710T15Z,987,922,OKAY,987
20150710T16Z,1036,978,OKAY,1036
