date_time,Cleaned Demand (MW)
20150702T01Z,394745
20150702T02Z,387042
20150702T03Z,368121
20150702T04Z,338220
20150702T05Z,312999
20150702T06Z,297745
20150702T07Z,285357
20150702T08Z,277538
20150702T09Z,275655
20150702T10Z,281917
20150702T11Z,294279
20150702T12Z,308668
20150702T13Z,325865
20150702T14Z,342924
20150702T15Z,360170
20150702T16Z,375282
20150702T17Z,387844
20150702T18Z,397724
20150702T19Z,403000
20150702T20Z,404951
20150702T21Z,403797
20150702T22Z,400232
20150702T23Z,390683
20150703T00Z,379566
20150703T01Z,369519
20150703T02Z,363458
20150703T03Z,346673
20150703T04Z,322069
20150703T05Z,298670
20150703T06Z,282656
20150703T07Z,271145
20150703T08Z,263747
20150703T09Z,260523
20150703T10Z,262048
20150703T11Z,265652
20150703T12Z,272600
20150703T13Z,287912
20150703T14Z,308026
20150703T15Z,327414
20150703T16Z,342580
20150703T17Z,355431
20150703T18Z,365896
20150703T19Z,374422
20150703T20Z,380049
20150703T21Z,383345
20150703T22Z,383178
20150703T23Z,376051
20150704T00Z,364077
20150704T01Z,354209
20150704T02Z,347647
20150704T03Z,333503
20150704T04Z,311965
20150704T05Z,291650
20150704T06Z,274210
20150704T07Z,263298
20150704T08Z,256630
20150704T09Z,252128
20150704T10Z,251078
20150704T11Z,250479
20150704T12Z,253590
20150704T13Z,268011
20150704T14Z,290222
20150704T15Z,312228
20150704T16Z,330462
20150704T17Z,344372
20150704T18Z,354422
20150704T19Z,361286
20150704T20Z,366332
20150704T21Z,369739
20150704T22Z,368961
20150704T23Z,361753
20150705T00Z,348849
20150705T01Z,335919
20150705T02Z,326272
20150705T03Z,315902
20150705T04Z,303146
20150705T05Z,285837
20150705T06Z,269373
20150705T07Z,258071
20150705T08Z,251878
20150705T09Z,248786
20150705T10Z,247336
20150705T11Z,245867
20150705T12Z,249683
20150705T13Z,266749
20150705T14Z,290258
20150705T15Z,314387
20150705T16Z,335996
20150705T17Z,355487
20150705T18Z,371885
20150705T19Z,383948
20150705T20Z,392725
20150705T21Z,399268
20150705T22Z,402084
20150705T23Z,398545
20150706T00Z,388749
20150706T01Z,378765
20150706T02Z,372492
20150706T03Z,356522
20150706T04Z,330865
20150706T05Z,306984
20150706T06Z,290902
20150706T07Z,279921
20150706T08Z,274027
20150706T09Z,273082
20150706T10Z,279620
20150706T11Z,292727
20150706T12Z,312829
20150706T13Z,335644
20150706T14Z,358697
20150706T15Z,382202
20150706T16Z,404929
20150706T17Z,424563
20150706T18Z,444306
20150706T19Z,454186
20150706T20Z,460358
20150706T21Z,463123
20150706T22Z,462850
20150706T23Z,453981
20150707T00Z,440019
20150707T01Z,425602
20150707T02Z,415694
20150707T03Z,393352
20150707T04Z,362784
20150707T05Z,334898
20150707T06Z,315406
20150707T07Z,302681
20150707T08Z,294496
20150707T09Z,292485
20150707T10Z,298744
20150707T11Z,312942
20150707T12Z,331392
20150707T13Z,351560
20150707T14Z,373308
20150707T15Z,395385
20150707T16Z,415643
20150707T17Z,430713
20150707T18Z,442894
20150707T19Z,448685
20150707T20Z,450577
20150707T21Z,449829
20150707T22Z,446697
20150707T23Z,437759
20150708T00Z,423942
20150708T01Z,412496
20150708T02Z,403938
20150708T03Z,382594
20150708T04Z,353412
20150708T05Z,328408
20150708T06Z,311149
20150708T07Z,298948
20150708T08Z,290987
20150708T09Z,289171
20150708T10Z,295762
20150708T11Z,310131
20150708T12Z,326020
20150708T13Z,344518
20150708T14Z,363757
20150708T15Z,384310
20150708T16Z,402682
20150708T17Z,418207
20150708T18Z,430353
20150708T19Z,438998
20150708T20Z,442237
20150708T21Z,441413
20150708T22Z,437458
20150708T23Z,429911
20150709T00Z,418850
20150709T01Z,408493
20150709T02Z,401434
20150709T03Z,380987
20150709T04Z,352607
20150709T05Z,327993
20150709T06Z,310433
20150709T07Z,298485
20150709T08Z,290480
20150709T09Z,288544
20150709T10Z,295814
20150709T11Z,310602
20150709T12Z,327196
20150709T13Z,345980
20150709T14Z,366475
20150709T15Z,387675
20150709T16Z,407160
20150709T17Z,422530
20150709T18Z,435965
20150709T19Z,445267
20150709T20Z,450962
20150709T21Z,454236
20150709T22Z,453253
20150709T23Z,445906
20150710T00Z,433746
20150710T01Z,421298
20150710T02Z,411603
20150710T03Z,390413
20150710T04Z,361339
20150710T05Z,334500
20150710T06Z,317784
20150710T07Z,303471
20150710T08Z,294002
20150710T09Z,290482
20150710T10Z,295838
20150710T11Z,307764
20150710T12Z,324801
20150710T13Z,344796
20150710T14Z,367903
20150710T15Z,390995
20150710T16Z,411906
20150710T17Z,427584
20150710T18Z,440993
20150710T19Z,451520
20150710T20Z,457481
20150710T21Z,461116
20150710T22Z,459587
20150710T23Z,450544
20150711T00Z,435101
20150711T01Z,417514
20150711T02Z,406059
20150711T03Z,386502
20150711T04Z,358702
20150711T05Z,332417
20150711T06Z,311298
20150711T07Z,297580
20150711T08Z,287408
20150711T09Z,281213
20150711T10Z,280123
20150711T11Z,281698
20150711T12Z,288762
20150711T13Z,310183
20150711T14Z,336724
20150711T15Z,364952
20150711T16Z,389372
20150711T17Z,408088
20150711T18Z,421532
20150711T19Z,431146
20150711T20Z,438290
20150711T21Z,442839
20150711T22Z,442490
20150711T23Z,436261
20150712T00Z,423258
20150712T01Z,408597
20150712T02Z,399984
20150712T03Z,381974
20150712T04Z,356390
20150712T05Z,331110
20150712T06Z,310961
20150712T07Z,296470
20150712T08Z,286032
20150712T09Z,279637
20150712T10Z,276881
20150712T11Z,275983
20150712T12Z,280801
20150712T13Z,299655
20150712T14Z,328329
20150712T15Z,356510
20150712T16Z,381509
20150712T17Z,402995
20150712T18Z,419885
20150712T19Z,432603
20150712T20Z,441380
20150712T21Z,448142
20150712T22Z,449087
20150712T23Z,447441
20150713T00Z,439064
20150713T01Z,426041
20150713T02Z,418181
20150713T03Z,399397
20150713T04Z,369792
20150713T05Z,341113
20150713T06Z,322665
20150713T07Z,310295
20150713T08Z,301201
20150713T09Z,298697
20150713T10Z,304491
20150713T11Z,318847
20150713T12Z,337971
20150713T13Z,361750
20150713T14Z,387000
20150713T15Z,413290
20150713T16Z,438370
20150713T17Z,458749
20150713T18Z,474610
20150713T19Z,484760
20150713T20Z,490926
20150713T21Z,494337
20150713T22Z,494394
20150713T23Z,487575
20150714T00Z,474403
20150714T01Z,460495
20150714T02Z,448174
20150714T03Z,422389
20150714T04Z,389722
20150714T05Z,358558
20150714T06Z,337882
20150714T07Z,323533
20150714T08Z,314712
20150714T09Z,311363
20150714T10Z,318211
20150714T11Z,332758
20150714T12Z,350030
20150714T13Z,371677
20150714T14Z,394101
20150714T15Z,417356
20150714T16Z,436640
20150714T17Z,453333
20150714T18Z,466228
20150714T19Z,475597
20150714T20Z,480204
20150714T21Z,482966
20150714T22Z,481406
20150714T23Z,472743
20150715T00Z,460430
20150715T01Z,444458
20150715T02Z,431270
20150715T03Z,408777
20150715T04Z,377930
20150715T05Z,349697
20150715T06Z,329466
20150715T07Z,315820
20150715T08Z,306820
20150715T09Z,303163
20150715T10Z,308823
20150715T11Z,323294
20150715T12Z,339644
20150715T13Z,358088
20150715T14Z,377193
20150715T15Z,397303
20150715T16Z,415169
20150715T17Z,429590
20150715T18Z,441764
20150715T19Z,451175
20150715T20Z,457364
20150715T21Z,460707
20150715T22Z,459393
20150715T23Z,449877
20150716T00Z,437006
20150716T01Z,422687
20150716T02Z,412139
20150716T03Z,389465
20150716T04Z,359785
20150716T05Z,331722
20150716T06Z,312345
20150716T07Z,299018
20150716T08Z,290375
20150716T09Z,287526
20150716T10Z,293901
20150716T11Z,306828
20150716T12Z,322506
20150716T13Z,340711
20150716T14Z,360550
20150716T15Z,381014
20150716T16Z,399736
20150716T17Z,415412
20150716T18Z,428583
20150716T19Z,439049
20150716T20Z,446919
20150716T21Z,451967
20150716T22Z,453856
20150716T23Z,447848
20150717T00Z,435523
20150717T01Z,423443
20150717T02Z,414730
20150717T03Z,393328
20150717T04Z,364145
20150717T05Z,336242
20150717T06Z,316009
20150717T07Z,303545
20150717T08Z,295266
20150717T09Z,292559
20150717T10Z,298892
20150717T11Z,313527
20150717T12Z,329669
20150717T13Z,350487
20150717T14Z,375847
20150717T15Z,401223
20150717T16Z,425634
20150717T17Z,444935
20150717T18Z,460728
20150717T19Z,472340
20150717T20Z,479220
20150717T21Z,482980
20150717T22Z,480943
20150717T23Z,470887
20150718T00Z,456197
20150718T01Z,442704
20150718T02Z,431251
20150718T03Z,410625
20150718T04Z,380717
20150718T05Z,353708
20150718T06Z,333448
20150718T07Z,318001
20150718T08Z,306530
20150718T09Z,300227
20150718T10Z,298926
20150718T11Z,301520
20150718T12Z,309279
20150718T13Z,333388
20150718T14Z,362759
20150718T15Z,391107
20150718T16Z,415485
20150718T17Z,435071
20150718T18Z,449318
20150718T19Z,457908
20150718T20Z,466466
20150718T21Z,469346
20150718T22Z,470356
20150718T23Z,464380
20150719T00Z,456837
20150719T01Z,438882
20150719T02Z,427820
20150719T03Z,408116
20150719T04Z,381405
20150719T05Z,354971
20150719T06Z,334497
20150719T07Z,319819
20150719T08Z,308164
20150719T09Z,300710
20150719T10Z,297488
20150719T11Z,296254
20150719T12Z,304122
20150719T13Z,328053
20150719T14Z,359484
20150719T15Z,390815
20150719T16Z,418996
20150719T17Z,441769
20150719T18Z,458382
20150719T19Z,469181
20150719T20Z,475047
20150719T21Z,478348
20150719T22Z,480231
20150719T23Z,475744
20150720T00Z,464412
20150720T01Z,451426
20150720T02Z,440416
20150720T03Z,417942
20150720T04Z,387763
20150720T05Z,361687
20150720T06Z,342342
20150720T07Z,328238
20150720T08Z,318999
20150720T09Z,316956
20150720T10Z,324193
20150720T11Z,337856
20150720T12Z,358052
20150720T13Z,382487
20150720T14Z,409404
20150720T15Z,437719
20150720T16Z,463695
20150720T17Z,484739
20150720T18Z,501254
20150720T19Z,511926
20150720T20Z,516976
20150720T21Z,518366
20150720T22Z,515623
20150720T23Z,507686
20150721T00Z,493189
20150721T01Z,478234
20150721T02Z,464122
20150721T03Z,437485
20150721T04Z,403623
20150721T05Z,372609
20150721T06Z,350971
20150721T07Z,335116
20150721T08Z,324941
20150721T09Z,321089
20150721T10Z,327364
20150721T11Z,341737
20150721T12Z,357455
20150721T13Z,378149
20150721T14Z,400697
20150721T15Z,423888
20150721T16Z,445330
20150721T17Z,462010
20150721T18Z,474526
20150721T19Z,483345
20150721T20Z,487926
20150721T21Z,489013
20150721T22Z,486043
20150721T23Z,477502
20150722T00Z,461628
20150722T01Z,445290
20150722T02Z,432424
20150722T03Z,407996
20150722T04Z,374833
20150722T05Z,346017
20150722T06Z,326193
20150722T07Z,311582
20150722T08Z,302243
20150722T09Z,299063
20150722T10Z,304232
20150722T11Z,318128
20150722T12Z,334495
20150722T13Z,353820
20150722T14Z,375483
20150722T15Z,397602
20150722T16Z,417359
20150722T17Z,435158
20150722T18Z,449776
20150722T19Z,461227
20150722T20Z,467932
20150722T21Z,472194
20150722T22Z,470797
20150722T23Z,461364
20150723T00Z,446547
