date_time,Cleaned Demand (MW)
20150702T01Z,50171
20150702T02Z,48655
20150702T03Z,47667
20150702T04Z,44629
20150702T05Z,40754
20150702T06Z,37547
20150702T07Z,35199
20150702T08Z,33637
20150702T09Z,32759
20150702T10Z,32536
20150702T11Z,33527
20150702T12Z,35196
20150702T13Z,36637
20150702T14Z,39221
20150702T15Z,42398
20150702T16Z,45675
20150702T17Z,48667
20150702T18Z,51260
20150702T19Z,53719
20150702T20Z,55525
20150702T21Z,56836
20150702T22Z,57505
20150702T23Z,56807
20150703T00Z,55044
20150703T01Z,52776
20150703T02Z,50986
20150703T03Z,49845
20150703T04Z,46817
20150703T05Z,43307
20150703T06Z,40173
20150703T07Z,37954
20150703T08Z,36353
20150703T09Z,35346
20150703T10Z,34981
20150703T11Z,35402
20150703T12Z,35919
20150703T13Z,36447
20150703T14Z,38820
20150703T15Z,42009
20150703T16Z,45201
20150703T17Z,48116
20150703T18Z,50501
20150703T19Z,52232
20150703T20Z,53443
20150703T21Z,54180
20150703T22Z,54510
20150703T23Z,54028
20150704T00Z,52732
20150704T01Z,50673
20150704T02Z,49028
20150704T03Z,47940
20150704T04Z,45385
20150704T05Z,42470
20150704T06Z,39566
20150704T07Z,37379
20150704T08Z,35757
20150704T09Z,34698
20150704T10Z,34057
20150704T11Z,33939
20150704T12Z,33910
20150704T13Z,34456
20150704T14Z,37333
20150704T15Z,41075
20150704T16Z,45018
20150704T17Z,48470
20150704T18Z,51173
20150704T19Z,52980
20150704T20Z,54226
20150704T21Z,54755
20150704T22Z,54722
20150704T23Z,54308
20150705T00Z,52974
20150705T01Z,50742
20150705T02Z,48474
20150705T03Z,46782
20150705T04Z,44767
20150705T05Z,42872
20150705T06Z,40437
20150705T07Z,38209
20150705T08Z,36459
20150705T09Z,35240
20150705T10Z,34500
20150705T11Z,34275
20150705T12Z,33984
20150705T13Z,34489
20150705T14Z,37297
20150705T15Z,40940
20150705T16Z,44533
20150705T17Z,47856
20150705T18Z,50701
20150705T19Z,52879
20150705T20Z,54568
20150705T21Z,55685
20150705T22Z,56335
20150705T23Z,56405
20150706T00Z,55512
20150706T01Z,53679
20150706T02Z,52057
20150706T03Z,51238
20150706T04Z,48381
20150706T05Z,44766
20150706T06Z,41716
20150706T07Z,39612
20150706T08Z,38216
20150706T09Z,37343
20150706T10Z,37325
20150706T11Z,38482
20150706T12Z,40081
20150706T13Z,41317
20150706T14Z,43577
20150706T15Z,46689
20150706T16Z,49913
20150706T17Z,52908
20150706T18Z,55354
20150706T19Z,57435
20150706T20Z,58925
20150706T21Z,59711
20150706T22Z,59930
20150706T23Z,59304
20150707T00Z,57860
20150707T01Z,55746
20150707T02Z,54110
20150707T03Z,52898
20150707T04Z,49409
20150707T05Z,45439
20150707T06Z,42025
20150707T07Z,39906
20150707T08Z,38581
20150707T09Z,37850
20150707T10Z,37916
20150707T11Z,39148
20150707T12Z,40895
20150707T13Z,42087
20150707T14Z,43999
20150707T15Z,46636
20150707T16Z,49708
20150707T17Z,52015
20150707T18Z,53759
20150707T19Z,55421
20150707T20Z,56694
20150707T21Z,57189
20150707T22Z,56906
20150707T23Z,55872
20150708T00Z,54385
20150708T01Z,52647
20150708T02Z,51754
20150708T03Z,51032
20150708T04Z,48208
20150708T05Z,44611
20150708T06Z,41550
20150708T07Z,39577
20150708T08Z,38291
20150708T09Z,37544
20150708T10Z,37545
20150708T11Z,38747
20150708T12Z,40249
20150708T13Z,41210
20150708T14Z,42927
20150708T15Z,45307
20150708T16Z,47839
20150708T17Z,50133
20150708T18Z,51675
20150708T19Z,53007
20150708T20Z,53892
20150708T21Z,54698
20150708T22Z,55243
20150708T23Z,55120
20150709T00Z,54163
20150709T01Z,52435
20150709T02Z,51291
20150709T03Z,50386
20150709T04Z,47339
20150709T05Z,43762
20150709T06Z,40674
20150709T07Z,38644
20150709T08Z,37246
20150709T09Z,36413
20150709T10Z,36291
20150709T11Z,37340
20150709T12Z,38847
20150709T13Z,40093
20150709T14Z,42543
20150709T15Z,45601
20150709T16Z,48847
20150709T17Z,51624
20150709T18Z,54256
20150709T19Z,56757
20150709T20Z,58875
20150709T21Z,60458
20150709T22Z,61133
20150709T23Z,60661
20150710T00Z,59092
20150710T01Z,56622
20150710T02Z,54311
20150710T03Z,52761
20150710T04Z,49075
20150710T05Z,44771
20150710T06Z,41144
20150710T07Z,38589
20150710T08Z,36785
20150710T09Z,35688
20150710T10Z,35399
20150710T11Z,36384
20150710T12Z,37726
20150710T13Z,38978
20150710T14Z,41656
20150710T15Z,44938
20150710T16Z,48512
20150710T17Z,51701
20150710T18Z,54559
20150710T19Z,57143
20150710T20Z,59142
20150710T21Z,60595
20150710T22Z,61174
20150710T23Z,60690
20150711T00Z,58895
20150711T01Z,56277
20150711T02Z,53832
20150711T03Z,52111
20150711T04Z,48757
20150711T05Z,44945
20150711T06Z,41603
20150711T07Z,39103
20150711T08Z,37255
20150711T09Z,35962
20150711T10Z,35185
20150711T11Z,35182
20150711T12Z,35265
20150711T13Z,36075
20150711T14Z,39199
20150711T15Z,42961
20150711T16Z,46804
20150711T17Z,50282
20150711T18Z,53053
20150711T19Z,55303
20150711T20Z,56943
20150711T21Z,58099
20150711T22Z,58805
20150711T23Z,58674
20150712T00Z,57576
20150712T01Z,55472
20150712T02Z,53054
20150712T03Z,51565
20150712T04Z,48465
20150712T05Z,44990
20150712T06Z,41794
20150712T07Z,39315
20150712T08Z,37331
20150712T09Z,35886
20150712T10Z,35026
20150712T11Z,34756
20150712T12Z,34420
20150712T13Z,35021
20150712T14Z,38219
20150712T15Z,42049
20150712T16Z,45945
20150712T17Z,49743
20150712T18Z,52982
20150712T19Z,55687
20150712T20Z,57801
20150712T21Z,59316
20150712T22Z,60254
20150712T23Z,60501
20150713T00Z,59694
20150713T01Z,57851
20150713T02Z,55693
20150713T03Z,54186
20150713T04Z,50588
20150713T05Z,46394
20150713T06Z,42767
20150713T07Z,40163
20150713T08Z,38324
20150713T09Z,37208
20150713T10Z,36919
20150713T11Z,37868
20150713T12Z,39245
20150713T13Z,40564
20150713T14Z,43402
20150713T15Z,46898
20150713T16Z,50816
20150713T17Z,54576
20150713T18Z,57976
20150713T19Z,61033
20150713T20Z,63178
20150713T21Z,64405
20150713T22Z,64922
20150713T23Z,64662
20150714T00Z,63467
