date_time,raw demand (MW),cleaned demand (MW)
2015-07-02 00:00:00,93608.0,118026
2015-07-02 01:00:00,94726.0,123882
2015-07-02 02:00:00,92762.0,121291
2015-07-02 03:00:00,90666.0,118526
2015-07-02 04:00:00,88801.0,115405
2015-07-02 05:00:00,85940.0,111470
2015-07-02 06:00:00,136942.0,105091
2015-07-02 07:00:00,74709.0,96695
2015-07-02 08:00:00,84109.0,89354
2015-07-02 09:00:00,79336.0,84303
2015-07-02 10:00:00,75788.0,80685
2015-07-02 11:00:00,73928.0,78687
2015-07-02 12:00:00,73604.0,78458
2015-07-02 13:00:00,74330.0,80476
2015-07-02 14:00:00,77525.0,84048
2015-07-02 15:00:00,82716.0,89627
2015-07-02 16:00:00,88517.0,95852
2015-07-02 17:00:00,93395.0,101139
2015-07-02 18:00:00,97788.0,105846
2015-07-02 19:00:00,101893.0,110280
2015-07-02 20:00:00,105431.0,113949
2015-07-02 21:00:00,108866.0,117652
2015-07-02 22:00:00,112023.0,120929
2015-07-02 23:00:00,114349.0,123263
2015-07-03 00:00:00,101924.0,124749
2015-07-03 01:00:00,103447.0,124573
2015-07-03 02:00:00,101318.0,121783
2015-07-03 03:00:00,97873.0,117700
2015-07-03 04:00:00,94703.0,113407
2015-07-03 05:00:00,91543.0,109613
2015-07-03 06:00:00,86306.0,103095
2015-07-03 07:00:00,79490.0,95313
2015-07-03 08:00:00,83142.0,88187
2015-07-03 09:00:00,78161.0,82946
2015-07-03 10:00:00,74613.0,79283
2015-07-03 11:00:00,72351.0,76943
2015-07-03 12:00:00,71735.0,76297
2015-07-03 13:00:00,70800.0,76481
2015-07-03 14:00:00,72047.0,78055
2015-07-03 15:00:00,75008.0,81310
2015-07-03 16:00:00,79059.0,85753
2015-07-03 17:00:00,83840.0,90893
2015-07-03 18:00:00,88136.0,95534
2015-07-03 19:00:00,92006.0,99668
2015-07-03 20:00:00,95408.0,103316
2015-07-03 21:00:00,98976.0,107128
2015-07-03 22:00:00,102243.0,110520
2015-07-03 23:00:00,105024.0,113553
2015-07-04 00:00:00,95157.0,116027
2015-07-04 01:00:00,97728.0,116937
2015-07-04 02:00:00,96638.0,115374
2015-07-04 03:00:00,94326.0,112615
2015-07-04 04:00:00,91250.0,108853
2015-07-04 05:00:00,88345.0,105130
2015-07-04 06:00:00,83855.0,99627
2015-07-04 07:00:00,78006.0,92868
2015-07-04 08:00:00,81348.0,86197
2015-07-04 09:00:00,76264.0,80915
2015-07-04 10:00:00,72736.0,77210
2015-07-04 11:00:00,70751.0,75101
2015-07-04 12:00:00,69450.0,73721
2015-07-04 13:00:00,67609.0,72899
2015-07-04 14:00:00,68455.0,73898
2015-07-04 15:00:00,70739.0,76493
2015-07-04 16:00:00,75149.0,81321
2015-07-04 17:00:00,80241.0,86838
2015-07-04 18:00:00,85079.0,92019
2015-07-04 19:00:00,88794.0,96054
2015-07-04 20:00:00,92238.0,99730
