date_time,demand (MW),forecast demand (MW)
2015-07-01 05:00:00,MISSING,MISSING
2015-07-01 06:00:00,MISSING,MISSING
2015-07-01 07:00:00,MISSING,MISSING
2015-07-01 08:00:00,4478,4513
2015-07-01 09:00:00,4227,4245
2015-07-01 10:00:00,4016,4028
2015-07-01 11:00:00,3879,3932
2015-07-01 12:00:00,3821,3902
2015-07-01 13:00:00,3823,3940
2015-07-01 14:00:00,3960,4109
2015-07-01 15:00:00,4169,4341
2015-07-01 16:00:00,4377,4562
2015-07-01 17:00:00,4597,4810
2015-07-01 18:00:00,4864,5094
2015-07-01 19:00:00,5183,5376
2015-07-01 20:00:00,5440,5629
2015-07-01 21:00:00,5707,5915
2015-07-01 22:00:00,5937,6220
2015-07-01 23:00:00,6089,6468
2015-07-02 00:00:00,6097,6664
2015-07-02 01:00:00,6018,6640
2015-07-02 02:00:00,5783,6448
2015-07-02 03:00:00,5655,6277
2015-07-02 04:00:00,5581,6067
2015-07-02 05:00:00,5320,5689
2015-07-02 06:00:00,4909,5197
2015-07-02 07:00:00,4509,4725
2015-07-02 08:00:00,4189,4321
2015-07-02 09:00:00,3964,4084
2015-07-02 10:00:00,3794,3894
2015-07-02 11:00:00,3680,3792
2015-07-02 12:00:00,3682,3790
2015-07-02 13:00:00,3693,3845
2015-07-02 14:00:00,3851,4004
2015-07-02 15:00:00,4108,4242
2015-07-02 16:00:00,4376,4451
2015-07-02 17:00:00,4675,4696
2015-07-02 18:00:00,4995,4963
2015-07-02 19:00:00,5310,5191
2015-07-02 20:00:00,5541,5418
2015-07-02 21:00:00,5810,5730
2015-07-02 22:00:00,6066,6038
2015-07-02 23:00:00,6282,6299
2015-07-03 00:00:00,6411,6444
2015-07-03 01:00:00,6396,6386
2015-07-03 02:00:00,6194,6197
2015-07-03 03:00:00,5962,6044
2015-07-03 04:00:00,5810,5889
2015-07-03 05:00:00,5525,5597
2015-07-03 06:00:00,5123,5148
2015-07-03 07:00:00,4767,4734
2015-07-03 08:00:00,4450,4417
2015-07-03 09:00:00,4205,4150
2015-07-03 10:00:00,4020,3945
2015-07-03 11:00:00,3891,3817
2015-07-03 12:00:00,3845,3704
2015-07-03 13:00:00,3855,3620
2015-07-03 14:00:00,3820,3597
2015-07-03 15:00:00,3851,3799
2015-07-03 16:00:00,3959,4085
2015-07-03 17:00:00,4121,4392
2015-07-03 18:00:00,4305,4698
2015-07-03 19:00:00,4493,5002
2015-07-03 20:00:00,4672,5283
2015-07-03 21:00:00,4846,5574
2015-07-03 22:00:00,5008,5892
2015-07-03 23:00:00,5050,6142
2015-07-04 00:00:00,5187,6302
2015-07-04 01:00:00,5353,6362
2015-07-04 02:00:00,5287,6204
2015-07-04 03:00:00,5123,5986
2015-07-04 04:00:00,5068,5797
2015-07-04 05:00:00,4886,5492
2015-07-04 06:00:00,4567,5068
2015-07-04 07:00:00,4272,4634
2015-07-04 08:00:00,4008,4391
2015-07-04 09:00:00,3804,4131
2015-07-04 10:00:00,3623,3919
2015-07-04 11:00:00,3495,3760
2015-07-04 12:00:00,3414,3674
2015-07-04 13:00:00,3343,3586
2015-07-04 14:00:00,3377,3603
2015-07-04 15:00:00,3629,3836
2015-07-04 16:00:00,3975,4129
2015-07-04 17:00:00,4347,4445
2015-07-04 18:00:00,4678,4775
2015-07-04 19:00:00,4922,5074
2015-07-04 20:00:00,5132,5336
2015-07-04 21:00:00,5270,5612
2015-07-04 22:00:00,5437,5884
2015-07-04 23:00:00,5552,5122
2015-07-05 00:00:00,5684,6246
2015-07-05 01:00:00,5663,6289
2015-07-05 02:00:00,5463,6154
2015-07-05 03:00:00,5236,5850
2015-07-05 04:00:00,5050,5627
2015-07-05 05:00:00,4804,5335
2015-07-05 06:00:00,4573,4960
2015-07-05 07:00:00,4291,4590
2015-07-05 08:00:00,4044,4346
2015-07-05 09:00:00,3833,4130
2015-07-05 10:00:00,3690,3947
2015-07-05 11:00:00,3574,3812
2015-07-05 12:00:00,3501,3712
2015-07-05 13:00:00,3440,3619
2015-07-05 14:00:00,3405,3593
2015-07-05 15:00:00,3548,3764
2015-07-05 16:00:00,3829,4027
2015-07-05 17:00:00,4191,4317
2015-07-05 18:00:00,4539,4604
2015-07-05 19:00:00,4837,4858
2015-07-05 20:00:00,5065,5110
2015-07-05 21:00:00,5257,5352
2015-07-05 22:00:00,5330,5613
2015-07-05 23:00:00,5355,5839
2015-07-06 00:00:00,5353,5984
2015-07-06 01:00:00,5337,6028
2015-07-06 02:00:00,5211,5885
2015-07-06 03:00:00,5006,5709
2015-07-06 04:00:00,4910,5592
