date_time,demand (MW),forecast demand (MW)
2015-07-01 05:00:00,MISSING,MISSING
2015-07-01 06:00:00,MISSING,MISSING
2015-07-01 07:00:00,MISSING,MISSING
2015-07-01 08:00:00,38210,35264
2015-07-01 09:00:00,35171,32894
2015-07-01 10:00:00,33243,31360
2015-07-01 11:00:00,31955,30579
2015-07-01 12:00:00,31199,30723
2015-07-01 13:00:00,31540,31820
2015-07-01 14:00:00,32551,33439
2015-07-01 15:00:00,34483,36243
2015-07-01 16:00:00,37003,38841
2015-07-01 17:00:00,39274,41520
2015-07-01 18:00:00,41265,44518
2015-07-01 19:00:00,43042,47055
2015-07-01 20:00:00,44869,49568
2015-07-01 21:00:00,46173,51948
2015-07-01 22:00:00,47600,53939
2015-07-01 23:00:00,48083,55490
2015-07-02 00:00:00,48300,56159
2015-07-02 01:00:00,48136,55685
2015-07-02 02:00:00,47343,54219
2015-07-02 03:00:00,46165,51656
2015-07-02 04:00:00,45380,49726
2015-07-02 05:00:00,44996,47582
2015-07-02 06:00:00,43173,42851
2015-07-02 07:00:00,39545,38571
2015-07-02 08:00:00,36073,34686
2015-07-02 09:00:00,33603,32722
2015-07-02 10:00:00,31746,31126
2015-07-02 11:00:00,30618,30281
2015-07-02 12:00:00,30157,30330
2015-07-02 13:00:00,30920,31351
2015-07-02 14:00:00,32074,33004
2015-07-02 15:00:00,34150,35451
2015-07-02 16:00:00,36828,38034
2015-07-02 17:00:00,38982,40522
2015-07-02 18:00:00,40598,42984
2015-07-02 19:00:00,42187,45072
2015-07-02 20:00:00,43556,47001
2015-07-02 21:00:00,45060,48969
2015-07-02 22:00:00,46767,50740
2015-07-02 23:00:00,48086,52017
2015-07-03 00:00:00,49005,52623
2015-07-03 01:00:00,49266,51946
2015-07-03 02:00:00,48231,50082
2015-07-03 03:00:00,46540,47767
2015-07-03 04:00:00,44693,46300
2015-07-03 05:00:00,43601,44627
2015-07-03 06:00:00,41628,40777
2015-07-03 07:00:00,38382,36926
2015-07-03 08:00:00,35140,33962
2015-07-03 09:00:00,32616,31805
2015-07-03 10:00:00,30689,30219
2015-07-03 11:00:00,29373,29200
2015-07-03 12:00:00,28936,28910
2015-07-03 13:00:00,28960,29096
2015-07-03 14:00:00,29277,29378
2015-07-03 15:00:00,30054,30795
2015-07-03 16:00:00,31213,32958
2015-07-03 17:00:00,33105,35245
2015-07-03 18:00:00,34797,37415
2015-07-03 19:00:00,36371,39168
2015-07-03 20:00:00,37921,41292
2015-07-03 21:00:00,39590,43238
2015-07-03 22:00:00,41542,44669
2015-07-03 23:00:00,43409,45343
2015-07-04 00:00:00,44932,45555
2015-07-04 01:00:00,45905,45236
2015-07-04 02:00:00,45878,44143
2015-07-04 03:00:00,44768,42473
2015-07-04 04:00:00,43090,41277
2015-07-04 05:00:00,41948,39790
2015-07-04 06:00:00,40172,37723
2015-07-04 07:00:00,37393,35048
2015-07-04 08:00:00,34368,32300
2015-07-04 09:00:00,31999,30335
2015-07-04 10:00:00,30200,28897
2015-07-04 11:00:00,29232,28076
2015-07-04 12:00:00,28404,27770
2015-07-04 13:00:00,28036,27832
2015-07-04 14:00:00,27930,27713
2015-07-04 15:00:00,27905,28839
2015-07-04 16:00:00,29112,30379
2015-07-04 17:00:00,31015,32195
2015-07-04 18:00:00,32867,34053
2015-07-04 19:00:00,34462,35827
2015-07-04 20:00:00,36236,37407
2015-07-04 21:00:00,37883,38935
2015-07-04 22:00:00,39236,40382
2015-07-04 23:00:00,40293,41470
2015-07-05 00:00:00,41210,42213
2015-07-05 01:00:00,41548,42177
2015-07-05 02:00:00,41399,41253
2015-07-05 03:00:00,40462,39718
2015-07-05 04:00:00,38824,38807
2015-07-05 05:00:00,37556,37600
2015-07-05 06:00:00,36007,35784
2015-07-05 07:00:00,34690,33448
2015-07-05 08:00:00,32777,31132
2015-07-05 09:00:00,30763,29715
2015-07-05 10:00:00,29095,28440
2015-07-05 11:00:00,27905,27563
2015-07-05 12:00:00,27357,27249
2015-07-05 13:00:00,27196,27234
2015-07-05 14:00:00,27098,27023
2015-07-05 15:00:00,27029,27739
2015-07-05 16:00:00,27901,29132
2015-07-05 17:00:00,29360,30639
2015-07-05 18:00:00,30887,31971
2015-07-05 19:00:00,32155,33308
2015-07-05 20:00:00,33455,34737
2015-07-05 21:00:00,34474,36405
2015-07-05 22:00:00,35307,38102
2015-07-05 23:00:00,36579,39617
2015-07-06 00:00:00,38071,40893
2015-07-06 01:00:00,39010,41588
2015-07-06 02:00:00,39405,41419
2015-07-06 03:00:00,39064,40034
2015-07-06 04:00:00,38220,39421
