date_time,demand (MW),forecast demand (MW)
2015-07-01 05:00:00,MISSING,MISSING
2015-07-01 06:00:00,MISSING,MISSING
2015-07-01 07:00:00,MISSING,MISSING
2015-07-01 08:00:00,925,986
2015-07-01 09:00:00,856,939
2015-07-01 10:00:00,839,915
2015-07-01 11:00:00,827,916
2015-07-01 12:00:00,856,940
2015-07-01 13:00:00,885,952
2015-07-01 14:00:00,962,995
2015-07-01 15:00:00,1076,1058
2015-07-01 16:00:00,1182,1155
2015-07-01 17:00:00,1266,1260
2015-07-01 18:00:00,1368,1358
2015-07-01 19:00:00,1422,1373
2015-07-01 20:00:00,1500,1480
2015-07-01 21:00:00,1545,1519
2015-07-01 22:00:00,1591,1556
2015-07-01 23:00:00,1590,1568
2015-07-02 00:00:00,1601,1565
2015-07-02 01:00:00,1552,1541
2015-07-02 02:00:00,1493,1516
2015-07-02 03:00:00,1461,1504
2015-07-02 04:00:00,1409,1441
2015-07-02 05:00:00,1283,1303
2015-07-02 06:00:00,1134,1161
2015-07-02 07:00:00,1007,1074
2015-07-02 08:00:00,962,990
2015-07-02 09:00:00,911,963
2015-07-02 10:00:00,880,932
2015-07-02 11:00:00,871,937
2015-07-02 12:00:00,896,973
2015-07-02 13:00:00,917,954
2015-07-02 14:00:00,995,992
2015-07-02 15:00:00,1099,1071
2015-07-02 16:00:00,1197,1184
2015-07-02 17:00:00,1295,1276
2015-07-02 18:00:00,1392,1404
2015-07-02 19:00:00,1477,1439
2015-07-02 20:00:00,1545,1508
2015-07-02 21:00:00,1607,1577
2015-07-02 22:00:00,1576,1612
2015-07-02 23:00:00,1667,1644
2015-07-03 00:00:00,1632,1625
2015-07-03 01:00:00,1578,1618
2015-07-03 02:00:00,1744,1561
2015-07-03 03:00:00,1499,1556
2015-07-03 04:00:00,1442,1483
2015-07-03 05:00:00,1321,1352
2015-07-03 06:00:00,1185,1224
2015-07-03 07:00:00,1087,1091
2015-07-03 08:00:00,1017,1
2015-07-03 09:00:00,968,995
2015-07-03 10:00:00,937,952
2015-07-03 11:00:00,918,951
2015-07-03 12:00:00,930,946
2015-07-03 13:00:00,908,900
2015-07-03 14:00:00,948,900
2015-07-03 15:00:00,1011,940
2015-07-03 16:00:00,1087,1038
2015-07-03 17:00:00,1205,1125
2015-07-03 18:00:00,1233,1254
2015-07-03 19:00:00,1251,1293
2015-07-03 20:00:00,1275,1325
2015-07-03 21:00:00,1360,1413
2015-07-03 22:00:00,1403,1407
2015-07-03 23:00:00,1433,1464
2015-07-04 00:00:00,1409,1396
2015-07-04 01:00:00,1366,1369
2015-07-04 02:00:00,1298,1393
2015-07-04 03:00:00,1281,1388
2015-07-04 04:00:00,1244,1369
2015-07-04 05:00:00,1154,1281
2015-07-04 06:00:00,1070,1174
2015-07-04 07:00:00,990,1062
2015-07-04 08:00:00,933,1
2015-07-04 09:00:00,897,945
2015-07-04 10:00:00,868,920
2015-07-04 11:00:00,852,913
2015-07-04 12:00:00,849,923
2015-07-04 13:00:00,828,876
2015-07-04 14:00:00,875,900
2015-07-04 15:00:00,951,927
2015-07-04 16:00:00,1032,992
2015-07-04 17:00:00,1125,1076
2015-07-04 18:00:00,1217,1169
2015-07-04 19:00:00,1285,1227
2015-07-04 20:00:00,1344,1272
2015-07-04 21:00:00,1392,1323
2015-07-04 22:00:00,1418,1333
2015-07-04 23:00:00,1416,1354
2015-07-05 00:00:00,1359,1326
2015-07-05 01:00:00,1306,1262
2015-07-05 02:00:00,1226,1206
2015-07-05 03:00:00,1200,1246
2015-07-05 04:00:00,1136,1215
2015-07-05 05:00:00,1079,1164
2015-07-05 06:00:00,1022,1102
2015-07-05 07:00:00,950,1055
2015-07-05 08:00:00,902,998
2015-07-05 09:00:00,873,956
2015-07-05 10:00:00,838,925
2015-07-05 11:00:00,825,913
2015-07-05 12:00:00,818,917
2015-07-05 13:00:00,792,869
2015-07-05 14:00:00,829,900
2015-07-05 15:00:00,901,933
2015-07-05 16:00:00,973,1000
2015-07-05 17:00:00,1074,1077
2015-07-05 18:00:00,1160,1173
2015-07-05 19:00:00,1228,1237
2015-07-05 20:00:00,1304,1289
2015-07-05 21:00:00,1330,1360
2015-07-05 22:00:00,1363,1366
2015-07-05 23:00:00,1403,1407
2015-07-06 00:00:00,1424,1401
2015-07-06 01:00:00,1366,1355
2015-07-06 02:00:00,1331,1350
2015-07-06 03:00:00,1323,1383
2015-07-06 04:00:00,1307,1359
2015-07-06 05:00:00,1218,1269
2015-07-06 06:00:00,1113,1154
2015-07-06 07:00:00,1015,1028
2015-07-06 08:00:00,954,976
