date_time,demand (MW),forecast demand (MW)
2015-07-01 05:00:00,84024,29484
2015-07-01 06:00:00,79791,27756
2015-07-01 07:00:00,76760,26643
2015-07-01 08:00:00,74931,26098
2015-07-01 09:00:00,74368,26289
2015-07-01 10:00:00,77156,27650
2015-07-01 11:00:00,81032,30157
2015-07-01 12:00:00,86061,32888
2015-07-01 13:00:00,89560,34919
2015-07-01 14:00:00,93093,36821
2015-07-01 15:00:00,97580,38665
2015-07-01 16:00:00,101457,40275
2015-07-01 17:00:00,104918,41504
2015-07-01 18:00:00,108219,42792
2015-07-01 19:00:00,110428,43784
2015-07-01 20:00:00,112143,44583
2015-07-01 21:00:00,113224,45110
2015-07-01 22:00:00,112936,44961
2015-07-01 23:00:00,110545,43573
2015-07-02 00:00:00,106560,42213
2015-07-02 01:00:00,103392,41114
2015-07-02 02:00:00,101862,40033
2015-07-02 03:00:00,96385,36899
2015-07-02 04:00:00,89387,33442
2015-07-02 05:00:00,82916,29377
2015-07-02 06:00:00,78807,27567
2015-07-02 07:00:00,75981,26464
2015-07-02 08:00:00,74349,25850
2015-07-02 09:00:00,74516,25967
2015-07-02 10:00:00,76778,27141
2015-07-02 11:00:00,79549,29409
2015-07-02 12:00:00,83459,31806
2015-07-02 13:00:00,87532,33668
2015-07-02 14:00:00,90936,35266
2015-07-02 15:00:00,94310,36703
2015-07-02 16:00:00,96771,37850
2015-07-02 17:00:00,98424,38804
2015-07-02 18:00:00,99845,39769
2015-07-02 19:00:00,100168,40463
2015-07-02 20:00:00,100101,41031
2015-07-02 21:00:00,99948,41564
2015-07-02 22:00:00,99598,41525
2015-07-02 23:00:00,97607,40466
2015-07-03 00:00:00,94843,39306
2015-07-03 01:00:00,92847,38441
2015-07-03 02:00:00,92013,37415
2015-07-03 03:00:00,86977,34611
2015-07-03 04:00:00,80446,31519
2015-07-03 05:00:00,75620,26881
2015-07-03 06:00:00,72699,25393
2015-07-03 07:00:00,70193,24430
2015-07-03 08:00:00,68542,24035
2015-07-03 09:00:00,68049,24249
2015-07-03 10:00:00,68821,25370
2015-07-03 11:00:00,69801,27350
2015-07-03 12:00:00,71654,29629
2015-07-03 13:00:00,74843,31463
2015-07-03 14:00:00,79828,33079
2015-07-03 15:00:00,84252,34479
2015-07-03 16:00:00,87856,35479
2015-07-03 17:00:00,91031,36246
2015-07-03 18:00:00,93580,37050
2015-07-03 19:00:00,95523,37634
2015-07-03 20:00:00,97219,38188
2015-07-03 21:00:00,97914,38559
