date_time,demand (MW),forecast demand (MW)
2015-07-01 05:00:00,225,274
2015-07-01 06:00:00,222,255
2015-07-01 07:00:00,213,243
2015-07-01 08:00:00,206,237
2015-07-01 09:00:00,207,238
2015-07-01 10:00:00,219,252
2015-07-01 11:00:00,245,277
2015-07-01 12:00:00,266,302
2015-07-01 13:00:00,292,322
2015-07-01 14:00:00,323,347
2015-07-01 15:00:00,344,372
2015-07-01 16:00:00,376,395
2015-07-01 17:00:00,408,417
2015-07-01 18:00:00,436,436
2015-07-01 19:00:00,458,457
2015-07-01 20:00:00,474,470
2015-07-01 21:00:00,481,468
2015-07-01 22:00:00,480,461
2015-07-01 23:00:00,467,450
2015-07-02 00:00:00,444,433
2015-07-02 01:00:00,425,418
2015-07-02 02:00:00,413,405
2015-07-02 03:00:00,378,371
2015-07-02 04:00:00,340,333
2015-07-02 05:00:00,307,307
2015-07-02 06:00:00,286,286
2015-07-02 07:00:00,270,270
2015-07-02 08:00:00,260,260
2015-07-02 09:00:00,257,257
2015-07-02 10:00:00,264,266
2015-07-02 11:00:00,283,289
2015-07-02 12:00:00,305,310
2015-07-02 13:00:00,329,332
2015-07-02 14:00:00,358,357
2015-07-02 15:00:00,391,378
2015-07-02 16:00:00,415,398
2015-07-02 17:00:00,401,413
2015-07-02 18:00:00,405,421
2015-07-02 19:00:00,381,425
2015-07-02 20:00:00,362,425
2015-07-02 21:00:00,354,419
2015-07-02 22:00:00,341,412
2015-07-02 23:00:00,335,398
2015-07-03 00:00:00,329,385
2015-07-03 01:00:00,328,377
2015-07-03 02:00:00,328,367
2015-07-03 03:00:00,309,343
2015-07-03 04:00:00,287,315
2015-07-03 05:00:00,264,264
2015-07-03 06:00:00,248,248
2015-07-03 07:00:00,238,238
2015-07-03 08:00:00,233,233
2015-07-03 09:00:00,231,230
2015-07-03 10:00:00,237,232
2015-07-03 11:00:00,246,234
2015-07-03 12:00:00,253,243
2015-07-03 13:00:00,277,268
2015-07-03 14:00:00,314,302
2015-07-03 15:00:00,351,334
2015-07-03 16:00:00,384,362
2015-07-03 17:00:00,410,389
2015-07-03 18:00:00,437,411
2015-07-03 19:00:00,458,429
2015-07-03 20:00:00,472,442
2015-07-03 21:00:00,480,450
2015-07-03 22:00:00,482,449
2015-07-03 23:00:00,466,434
2015-07-04 00:00:00,436,419
2015-07-04 01:00:00,414,402
2015-07-04 02:00:00,400,383
2015-07-04 03:00:00,369,358
2015-07-04 04:00:00,336,330
2015-07-04 05:00:00,307,307
2015-07-04 06:00:00,285,285
2015-07-04 07:00:00,269,269
2015-07-04 08:00:00,257,257
2015-07-04 09:00:00,250,248
2015-07-04 10:00:00,248,243
2015-07-04 11:00:00,248,237
2015-07-04 12:00:00,251,241
2015-07-04 13:00:00,273,270
2015-07-04 14:00:00,306,306
2015-07-04 15:00:00,335,337
2015-07-04 16:00:00,361,365
2015-07-04 17:00:00,393,388
2015-07-04 18:00:00,421,403
2015-07-04 19:00:00,432,411
2015-07-04 20:00:00,399,412
2015-07-04 21:00:00,370,414
2015-07-04 22:00:00,347,412
2015-07-04 23:00:00,325,395
