date_time,raw demand (MW),cleaned demand (MW)
2015-07-02 00:00:00,31662.0,51630
2015-07-02 01:00:00,33108.0,56547
2015-07-02 02:00:00,32379.0,55425
2015-07-02 03:00:00,31677.0,54287
2015-07-02 04:00:00,30921.0,52465
2015-07-02 05:00:00,29272.0,50070
2015-07-02 06:00:00,82926.0,46715
2015-07-02 07:00:00,25162.0,43046
2015-07-02 08:00:00,34732.0,39977
2015-07-02 09:00:00,33096.0,38063
2015-07-02 10:00:00,31872.0,36769
2015-07-02 11:00:00,31319.0,36078
2015-07-02 12:00:00,31405.0,36259
2015-07-02 13:00:00,31252.0,37398
2015-07-02 14:00:00,32879.0,39402
2015-07-02 15:00:00,35130.0,42041
2015-07-02 16:00:00,37254.0,44589
2015-07-02 17:00:00,38950.0,46694
2015-07-02 18:00:00,40706.0,48764
2015-07-02 19:00:00,42255.0,50642
2015-07-02 20:00:00,43631.0,52149
2015-07-02 21:00:00,44796.0,53582
2015-07-02 22:00:00,45640.0,54546
2015-07-02 23:00:00,46294.0,55208
2015-07-03 00:00:00,38794.0,55485
2015-07-03 01:00:00,40288.0,55055
2015-07-03 02:00:00,39392.0,53732
2015-07-03 03:00:00,38179.0,52089
2015-07-03 04:00:00,37229.0,50486
2015-07-03 05:00:00,35866.0,48715
2015-07-03 06:00:00,33480.0,45508
2015-07-03 07:00:00,30675.0,42150
2015-07-03 08:00:00,34172.0,39217
2015-07-03 09:00:00,32345.0,37130
2015-07-03 10:00:00,31193.0,35863
2015-07-03 11:00:00,30584.0,35176
2015-07-03 12:00:00,30436.0,34998
2015-07-03 13:00:00,29504.0,35185
2015-07-03 14:00:00,30527.0,36535
2015-07-03 15:00:00,32514.0,38816
2015-07-03 16:00:00,34820.0,41514
2015-07-03 17:00:00,37005.0,44058
2015-07-03 18:00:00,38968.0,46366
2015-07-03 19:00:00,40625.0,48287
2015-07-03 20:00:00,41862.0,49770
2015-07-03 21:00:00,43090.0,51242
2015-07-03 22:00:00,43957.0,52234
2015-07-03 23:00:00,44632.0,53161
2015-07-04 00:00:00,37663.0,53553
2015-07-04 01:00:00,39188.0,53171
2015-07-04 02:00:00,38402.0,52060
2015-07-04 03:00:00,37440.0,50734
2015-07-04 04:00:00,36316.0,49192
2015-07-04 05:00:00,35141.0,47411
2015-07-04 06:00:00,33058.0,44591
2015-07-04 07:00:00,30677.0,41619
2015-07-04 08:00:00,33904.0,38753
2015-07-04 09:00:00,31834.0,36485
2015-07-04 10:00:00,30645.0,35119
2015-07-04 11:00:00,29995.0,34345
2015-07-04 12:00:00,29634.0,33905
2015-07-04 13:00:00,28355.0,33645
2015-07-04 14:00:00,29126.0,34569
2015-07-04 15:00:00,30654.0,36408
2015-07-04 16:00:00,32792.0,38964
2015-07-04 17:00:00,34797.0,41394
2015-07-04 18:00:00,36775.0,43715
2015-07-04 19:00:00,38195.0,45455
2015-07-04 20:00:00,39383.0,46875
2015-07-04 21:00:00,40392.0,48070
2015-07-04 22:00:00,41079.0,48878
2015-07-04 23:00:00,41445.0,49317
2015-07-05 00:00:00,34922.0,49580
2015-07-05 01:00:00,36051.0,49298
2015-07-05 02:00:00,35208.0,48198
2015-07-05 03:00:00,33905.0,46365
2015-07-05 04:00:00,32880.0,44781
2015-07-05 05:00:00,31816.0,43256
2015-07-05 06:00:00,30508.0,41334
2015-07-05 07:00:00,29123.0,39421
2015-07-05 08:00:00,32241.0,37013
2015-07-05 09:00:00,30475.0,35025
2015-07-05 10:00:00,29507.0,33926
2015-07-05 11:00:00,28903.0,33189
2015-07-05 12:00:00,28640.0,32894
2015-07-05 13:00:00,27452.0,32710
2015-07-05 14:00:00,27886.0,33279
2015-07-05 15:00:00,29480.0,35146
2015-07-05 16:00:00,31696.0,37731
2015-07-05 17:00:00,33830.0,40295
2015-07-05 18:00:00,35536.0,42343
2015-07-05 19:00:00,37080.0,44143
2015-07-05 20:00:00,38453.0,45751
2015-07-05 21:00:00,39069.0,46567
2015-07-05 22:00:00,39455.0,47124
2015-07-05 23:00:00,39623.0,47427
2015-07-06 00:00:00,33910.0,47834
2015-07-06 01:00:00,35289.0,48083
2015-07-06 02:00:00,34957.0,47608
2015-07-06 03:00:00,34429.0,46802
2015-07-06 04:00:00,33742.0,45810
2015-07-06 05:00:00,32611.0,43996
2015-07-06 06:00:00,30432.0,41262
2015-07-06 07:00:00,28068.0,38194
2015-07-06 08:00:00,31048.0,35925
2015-07-06 09:00:00,29586.0,34320
2015-07-06 10:00:00,28913.0,33473
2015-07-06 11:00:00,28679.0,33260
2015-07-06 12:00:00,29286.0,33916
2015-07-06 13:00:00,29517.0,35388
2015-07-06 14:00:00,31277.0,37446
2015-07-06 15:00:00,33236.0,39812
2015-07-06 16:00:00,35056.0,42004
2015-07-06 17:00:00,36538.0,43891
2015-07-06 18:00:00,37997.0,45461
2015-07-06 19:00:00,39140.0,46971
2015-07-06 20:00:00,40229.0,48154
2015-07-06 21:00:00,40997.0,49018
2015-07-06 22:00:00,41485.0,49658
2015-07-06 23:00:00,41664.0,49911
2015-07-07 00:00:00,35047.0,50117
2015-07-07 01:00:00,36652.0,50118
2015-07-07 02:00:00,36057.0,49136
2015-07-07 03:00:00,35250.0,48016
2015-07-07 04:00:00,34462.0,46822
2015-07-07 05:00:00,33089.0,44858
2015-07-07 06:00:00,31079.0,42019
2015-07-07 07:00:00,28446.0,38314
2015-07-07 08:00:00,30952.0,35708
2015-07-07 09:00:00,29640.0,34188
2015-07-07 10:00:00,28875.0,33281
2015-07-07 11:00:00,28623.0,33133
2015-07-07 12:00:00,29126.0,33647
2015-07-07 13:00:00,29357.0,35133
2015-07-07 14:00:00,31055.0,37201
2015-07-07 15:00:00,32910.0,39301
2015-07-07 16:00:00,34588.0,41349
2015-07-07 17:00:00,35939.0,42982
2015-07-07 18:00:00,37264.0,44522
2015-07-07 19:00:00,38471.0,45868
2015-07-07 20:00:00,39593.0,47153
2015-07-07 21:00:00,40299.0,47978
2015-07-07 22:00:00,40898.0,48867
2015-07-07 23:00:00,41068.0,48921
2015-07-08 00:00:00,34826.0,49400
2015-07-08 01:00:00,36396.0,49533
2015-07-08 02:00:00,35705.0,48664
2015-07-08 03:00:00,34930.0,47459
2015-07-08 04:00:00,34294.0,46299
2015-07-08 05:00:00,32848.0,44301
2015-07-08 06:00:00,30688.0,41434
2015-07-08 07:00:00,28292.0,38226
2015-07-08 08:00:00,31189.0,35885
2015-07-08 09:00:00,29750.0,34270
2015-07-08 10:00:00,28952.0,33340
2015-07-08 11:00:00,28653.0,33098
2015-07-08 12:00:00,29284.0,33732
2015-07-08 13:00:00,29321.0,35108
2015-07-08 14:00:00,30881.0,36979
2015-07-08 15:00:00,32991.0,39380
2015-07-08 16:00:00,34323.0,41308
2015-07-08 17:00:00,35701.0,42749
2015-07-08 18:00:00,36804.0,44046
2015-07-08 19:00:00,37803.0,45181
2015-07-08 20:00:00,38728.0,46333
2015-07-08 21:00:00,39401.0,47157
2015-07-08 22:00:00,39947.0,47791
2015-07-08 23:00:00,40376.0,48284
2015-07-09 00:00:00,34363.0,48817
2015-07-09 01:00:00,36058.0,48739
2015-07-09 02:00:00,35386.0,47778
2015-07-09 03:00:00,34645.0,46644
2015-07-09 04:00:00,33878.0,45595
2015-07-09 05:00:00,32601.0,43682
2015-07-09 06:00:00,30378.0,40736
2015-07-09 07:00:00,28032.0,37692
2015-07-09 08:00:00,30670.0,35355
2015-07-09 09:00:00,29458.0,34030
2015-07-09 10:00:00,28715.0,33146
2015-07-09 11:00:00,28450.0,32899
2015-07-09 12:00:00,29004.0,33464
2015-07-09 13:00:00,29000.0,34721
2015-07-09 14:00:00,30581.0,36648
2015-07-09 15:00:00,32412.0,38785
2015-07-09 16:00:00,33933.0,40694
2015-07-09 17:00:00,35244.0,42261
2015-07-09 18:00:00,36515.0,43757
2015-07-09 19:00:00,37598.0,45012
2015-07-09 20:00:00,38662.0,46317
2015-07-09 21:00:00,39471.0,47222
2015-07-09 22:00:00,39995.0,47821
2015-07-09 23:00:00,40181.0,48090
2015-07-10 00:00:00,34512.0,48181
2015-07-10 01:00:00,35720.0,47926
2015-07-10 02:00:00,35240.0,46962
2015-07-10 03:00:00,34448.0,45838
2015-07-10 04:00:00,33774.0,44876
2015-07-10 05:00:00,32449.0,43177
2015-07-10 06:00:00,30241.0,40305
2015-07-10 07:00:00,27937.0,37260
2015-07-10 08:00:00,30550.0,35178
2015-07-10 09:00:00,29462.0,33983
2015-07-10 10:00:00,28740.0,33124
2015-07-10 11:00:00,28415.0,32814
2015-07-10 12:00:00,28829.0,33366
2015-07-10 13:00:00,28665.0,34449
2015-07-10 14:00:00,30151.0,36282
2015-07-10 15:00:00,32008.0,38389
2015-07-10 16:00:00,33678.0,40485
2015-07-10 17:00:00,34865.0,41912
2015-07-10 18:00:00,35914.0,43127
2015-07-10 19:00:00,36694.0,44055
2015-07-10 20:00:00,37270.0,44746
2015-07-10 21:00:00,37803.0,45224
2015-07-10 22:00:00,38233.0,45832
2015-07-10 23:00:00,38467.0,46021
2015-07-11 00:00:00,32861.0,46037
2015-07-11 01:00:00,34147.0,45698
2015-07-11 02:00:00,33303.0,44477
2015-07-11 03:00:00,32341.0,43549
2015-07-11 04:00:00,31959.0,42808
2015-07-11 05:00:00,30875.0,41471
2015-07-11 06:00:00,28916.0,38882
2015-07-11 07:00:00,27052.0,36437
2015-07-11 08:00:00,29837.0,34420
2015-07-11 09:00:00,28535.0,32965
2015-07-11 10:00:00,27739.0,32096
2015-07-11 11:00:00,27249.0,31476
2015-07-11 12:00:00,27333.0,31581
2015-07-11 13:00:00,26600.0,31929
2015-07-11 14:00:00,27459.0,33093
