date_time,Cleaned Demand (MW)
20150702T01Z,33016
20150702T02Z,32436
20150702T03Z,30526
20150702T04Z,25966
20150702T05Z,24382
20150702T06Z,25405
20150702T07Z,24441
20150702T08Z,23722
20150702T09Z,23570
20150702T10Z,24142
20150702T11Z,25254
20150702T12Z,25606
20150702T13Z,26837
20150702T14Z,28617
20150702T15Z,30704
20150702T16Z,32679
20150702T17Z,35050
20150702T18Z,36607
20150702T19Z,36970
20150702T20Z,37294
20150702T21Z,36682
20150702T22Z,35534
20150702T23Z,34082
20150703T00Z,33854
20150703T01Z,32893
20150703T02Z,32696
20150703T03Z,31136
20150703T04Z,29258
20150703T05Z,27287
20150703T06Z,26340
20150703T07Z,25546
20150703T08Z,25067
20150703T09Z,24860
20150703T10Z,25023
20150703T11Z,25056
20150703T12Z,24837
20150703T13Z,25895
20150703T14Z,27107
20150703T15Z,28865
20150703T16Z,30071
20150703T17Z,31427
20150703T18Z,32654
20150703T19Z,33542
20150703T20Z,33780
20150703T21Z,34110
20150703T22Z,34267
20150703T23Z,33907
20150704T00Z,32909
20150704T01Z,31791
20150704T02Z,31403
20150704T03Z,29839
20150704T04Z,27061
20150704T05Z,25369
20150704T06Z,23677
20150704T07Z,23098
20150704T08Z,22359
20150704T09Z,21889
20150704T10Z,21857
20150704T11Z,21422
20150704T12Z,21095
20150704T13Z,21946
20150704T14Z,23607
20150704T15Z,25689
20150704T16Z,27400
20150704T17Z,28777
20150704T18Z,30074
20150704T19Z,31491
20150704T20Z,32012
20150704T21Z,32146
20150704T22Z,31894
20150704T23Z,30848
20150705T00Z,29154
20150705T01Z,27697
20150705T02Z,27076
20150705T03Z,26104
20150705T04Z,25142
20150705T05Z,23701
20150705T06Z,22155
20150705T07Z,21484
20150705T08Z,21007
20150705T09Z,20719
20150705T10Z,20645
20150705T11Z,20373
20150705T12Z,20339
20150705T13Z,21542
20150705T14Z,22982
20150705T15Z,24761
20150705T16Z,26216
20150705T17Z,27659
20150705T18Z,28757
20150705T19Z,29499
20150705T20Z,30060
20150705T21Z,30467
20150705T22Z,30694
20150705T23Z,30650
20150706T00Z,29867
20150706T01Z,28888
20150706T02Z,28859
20150706T03Z,27399
20150706T04Z,25136
20150706T05Z,23391
20150706T06Z,23658
20150706T07Z,22892
20150706T08Z,22776
20150706T09Z,23037
20150706T10Z,23582
20150706T11Z,24088
20150706T12Z,24865
20150706T13Z,26258
20150706T14Z,27552
20150706T15Z,28614
20150706T16Z,30690
20150706T17Z,32666
20150706T18Z,37594
20150706T19Z,37123
20150706T20Z,38259
20150706T21Z,38818
20150706T22Z,39704
20150706T23Z,38704
20150707T00Z,37670
20150707T01Z,35895
20150707T02Z,35148
20150707T03Z,32876
20150707T04Z,30027
20150707T05Z,27880
20150707T06Z,26448
20150707T07Z,25520
20150707T08Z,24621
20150707T09Z,24264
20150707T10Z,24692
20150707T11Z,25470
20150707T12Z,26147
20150707T13Z,27743
20150707T14Z,29881
20150707T15Z,32669
20150707T16Z,35222
20150707T17Z,37129
20150707T18Z,39277
20150707T19Z,40151
20150707T20Z,41087
20150707T21Z,41336
20150707T22Z,41497
20150707T23Z,40912
