date_time,raw demand (MW),cleaned demand (MW)
2015-07-02 00:00:00,13646.0,18096
2015-07-02 01:00:00,13482.0,19199
2015-07-02 02:00:00,13040.0,18523
2015-07-02 03:00:00,12824.0,18074
2015-07-02 04:00:00,12500.0,17560
2015-07-02 05:00:00,11672.0,16404
2015-07-02 06:00:00,10843.0,15203
2015-07-02 07:00:00,10002.0,14104
2015-07-02 08:00:00,13304.0,13304
2015-07-02 09:00:00,12637.0,12637
2015-07-02 10:00:00,12170.0,12170
2015-07-02 11:00:00,11991.0,11991
2015-07-02 12:00:00,12042.0,12042
2015-07-02 13:00:00,12158.0,12158
2015-07-02 14:00:00,12572.0,12572
2015-07-02 15:00:00,13436.0,13436
2015-07-02 16:00:00,14435.0,14435
2015-07-02 17:00:00,15463.0,15463
2015-07-02 18:00:00,16484.0,16484
2015-07-02 19:00:00,17451.0,17451
2015-07-02 20:00:00,18244.0,18244
2015-07-02 21:00:00,19010.0,19010
2015-07-02 22:00:00,19616.0,19616
2015-07-02 23:00:00,19969.0,19969
2015-07-03 00:00:00,14125.0,20259
2015-07-03 01:00:00,13893.0,20252
2015-07-03 02:00:00,13695.0,19820
2015-07-03 03:00:00,13154.0,19071
2015-07-03 04:00:00,12781.0,18228
2015-07-03 05:00:00,12076.0,17297
2015-07-03 06:00:00,11198.0,15959
2015-07-03 07:00:00,10433.0,14781
2015-07-03 08:00:00,13830.0,13830
2015-07-03 09:00:00,13200.0,13200
2015-07-03 10:00:00,12731.0,12731
2015-07-03 11:00:00,12394.0,12394
2015-07-03 12:00:00,12363.0,12363
2015-07-03 13:00:00,12336.0,12336
2015-07-03 14:00:00,12243.0,12243
2015-07-03 15:00:00,12440.0,12440
2015-07-03 16:00:00,13026.0,13026
2015-07-03 17:00:00,13730.0,13730
2015-07-03 18:00:00,14371.0,14371
2015-07-03 19:00:00,15010.0,15010
2015-07-03 20:00:00,15625.0,15625
2015-07-03 21:00:00,16296.0,16296
2015-07-03 22:00:00,16744.0,16744
2015-07-03 23:00:00,16983.0,16983
2015-07-04 00:00:00,12562.0,17542
2015-07-04 01:00:00,12635.0,17861
2015-07-04 02:00:00,12358.0,17436
2015-07-04 03:00:00,12118.0,17113
2015-07-04 04:00:00,11844.0,16571
2015-07-04 05:00:00,11256.0,15771
2015-07-04 06:00:00,10625.0,14864
2015-07-04 07:00:00,9936.0,13856
