date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,582,OKAY,582,658
2015-07-02 01:00:00,577,OKAY,577,633
2015-07-02 02:00:00,571,OKAY,571,623
2015-07-02 03:00:00,527,OKAY,527,569
2015-07-02 04:00:00,468,OKAY,468,504
2015-07-02 05:00:00,428,OKAY,428,451
2015-07-02 06:00:00,405,OKAY,405,419
2015-07-02 07:00:00,385,OKAY,385,399
2015-07-02 08:00:00,382,OKAY,382,392
2015-07-02 09:00:00,384,OKAY,384,392
2015-07-02 10:00:00,404,OKAY,404,411
2015-07-02 11:00:00,436,OKAY,436,450
2015-07-02 12:00:00,477,OKAY,477,487
2015-07-02 13:00:00,508,OKAY,508,516
2015-07-02 14:00:00,534,OKAY,534,549
2015-07-02 15:00:00,553,OKAY,553,577
2015-07-02 16:00:00,565,OKAY,565,593
2015-07-02 17:00:00,559,OKAY,559,606
2015-07-02 18:00:00,557,OKAY,557,625
2015-07-02 19:00:00,551,OKAY,551,638
2015-07-02 20:00:00,548,OKAY,548,638
2015-07-02 21:00:00,564,OKAY,564,650
2015-07-02 22:00:00,586,OKAY,586,655
2015-07-02 23:00:00,596,OKAY,596,643
2015-07-03 00:00:00,593,OKAY,593,622
2015-07-03 01:00:00,569,OKAY,569,604
2015-07-03 02:00:00,567,OKAY,567,595
2015-07-03 03:00:00,525,OKAY,525,552
2015-07-03 04:00:00,471,OKAY,471,492
2015-07-03 05:00:00,419,OKAY,419,442
2015-07-03 06:00:00,392,OKAY,392,405
2015-07-03 07:00:00,374,OKAY,374,389
2015-07-03 08:00:00,366,OKAY,366,378
2015-07-03 09:00:00,368,OKAY,368,377
2015-07-03 10:00:00,380,OKAY,380,383
2015-07-03 11:00:00,404,OKAY,404,398
2015-07-03 12:00:00,425,OKAY,425,424
2015-07-03 13:00:00,465,OKAY,465,465
2015-07-03 14:00:00,500,OKAY,500,510
2015-07-03 15:00:00,528,OKAY,528,547
2015-07-03 16:00:00,536,OKAY,536,562
2015-07-03 17:00:00,548,OKAY,548,581
2015-07-03 18:00:00,562,OKAY,562,590
2015-07-03 19:00:00,577,OKAY,577,591
2015-07-03 20:00:00,588,OKAY,588,599
2015-07-03 21:00:00,587,OKAY,587,606
2015-07-03 22:00:00,587,OKAY,587,606
2015-07-03 23:00:00,575,OKAY,575,587
2015-07-04 00:00:00,556,OKAY,556,562
2015-07-04 01:00:00,544,OKAY,544,534
2015-07-04 02:00:00,542,OKAY,542,519
2015-07-04 03:00:00,505,OKAY,505,498
2015-07-04 04:00:00,458,OKAY,458,456
2015-07-04 05:00:00,416,OKAY,416,415
2015-07-04 06:00:00,387,OKAY,387,383
2015-07-04 07:00:00,375,OKAY,375,365
2015-07-04 08:00:00,364,OKAY,364,357
2015-07-04 09:00:00,365,OKAY,365,353
2015-07-04 10:00:00,368,OKAY,368,355
2015-07-04 11:00:00,380,OKAY,380,359
2015-07-04 12:00:00,397,OKAY,397,376
2015-07-04 13:00:00,436,OKAY,436,423
2015-07-04 14:00:00,479,OKAY,479,478
2015-07-04 15:00:00,509,OKAY,509,512
2015-07-04 16:00:00,526,OKAY,526,540
2015-07-04 17:00:00,535,OKAY,535,555
2015-07-04 18:00:00,545,OKAY,545,564
2015-07-04 19:00:00,549,OKAY,549,568
2015-07-04 20:00:00,551,OKAY,551,574
2015-07-04 21:00:00,554,OKAY,554,586
2015-07-04 22:00:00,557,OKAY,557,590
2015-07-04 23:00:00,542,OKAY,542,579
2015-07-05 00:00:00,531,OKAY,531,554
2015-07-05 01:00:00,509,OKAY,509,529
2015-07-05 02:00:00,489,OKAY,489,529
2015-07-05 03:00:00,481,OKAY,481,499
2015-07-05 04:00:00,464,OKAY,464,456
2015-07-05 05:00:00,420,OKAY,420,412
2015-07-05 06:00:00,391,OKAY,391,383
2015-07-05 07:00:00,374,OKAY,374,361
2015-07-05 08:00:00,366,OKAY,366,354
2015-07-05 09:00:00,362,OKAY,362,351
2015-07-05 10:00:00,367,OKAY,367,353
2015-07-05 11:00:00,375,OKAY,375,357
2015-07-05 12:00:00,397,OKAY,397,380
2015-07-05 13:00:00,442,OKAY,442,431
2015-07-05 14:00:00,479,OKAY,479,475
2015-07-05 15:00:00,510,OKAY,510,493
2015-07-05 16:00:00,536,OKAY,536,511
2015-07-05 17:00:00,561,OKAY,561,531
2015-07-05 18:00:00,583,OKAY,583,540
2015-07-05 19:00:00,588,OKAY,588,545
2015-07-05 20:00:00,592,OKAY,592,544
2015-07-05 21:00:00,592,OKAY,592,551
2015-07-05 22:00:00,585,OKAY,585,562
2015-07-05 23:00:00,576,OKAY,576,559
2015-07-06 00:00:00,564,OKAY,564,551
2015-07-06 01:00:00,552,OKAY,552,539
2015-07-06 02:00:00,549,OKAY,549,532
2015-07-06 03:00:00,513,OKAY,513,495
2015-07-06 04:00:00,467,OKAY,467,449
2015-07-06 05:00:00,425,OKAY,425,422
2015-07-06 06:00:00,399,OKAY,399,394
2015-07-06 07:00:00,384,OKAY,384,377
2015-07-06 08:00:00,375,OKAY,375,371
2015-07-06 09:00:00,380,OKAY,380,376
2015-07-06 10:00:00,402,OKAY,402,401
2015-07-06 11:00:00,439,OKAY,439,444
2015-07-06 12:00:00,483,OKAY,483,487
2015-07-06 13:00:00,513,OKAY,513,520
2015-07-06 14:00:00,550,OKAY,550,555
