date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,87106,OKAY,87106,93085
2015-07-02 01:00:00,85142,OKAY,85142,90381
2015-07-02 02:00:00,84173,OKAY,84173,88967
2015-07-02 03:00:00,82404,OKAY,82404,86413
2015-07-02 04:00:00,77086,OKAY,77086,80579
2015-07-02 05:00:00,71479,OKAY,71479,75053
2015-07-02 06:00:00,67323,OKAY,67323,69631
2015-07-02 07:00:00,64587,OKAY,64587,67867
2015-07-02 08:00:00,62873,OKAY,62873,66209
2015-07-02 09:00:00,62138,OKAY,62138,65603
2015-07-02 10:00:00,63253,OKAY,63253,66556
2015-07-02 11:00:00,65794,OKAY,65794,69220
2015-07-02 12:00:00,69326,OKAY,69326,72692
2015-07-02 13:00:00,73047,OKAY,73047,75754
2015-07-02 14:00:00,76123,OKAY,76123,79245
2015-07-02 15:00:00,78943,OKAY,78943,82503
2015-07-02 16:00:00,81634,OKAY,81634,85472
2015-07-02 17:00:00,83930,OKAY,83930,87828
2015-07-02 18:00:00,86153,OKAY,86153,89805
2015-07-02 19:00:00,88073,OKAY,88073,91621
2015-07-02 20:00:00,89456,OKAY,89456,92700
2015-07-02 21:00:00,90025,OKAY,90025,93349
2015-07-02 22:00:00,89977,OKAY,89977,93432
2015-07-02 23:00:00,88840,OKAY,88840,92479
2015-07-03 00:00:00,86617,OKAY,86617,90507
2015-07-03 01:00:00,84035,OKAY,84035,87829
2015-07-03 02:00:00,82697,OKAY,82697,86520
2015-07-03 03:00:00,80747,OKAY,80747,84230
2015-07-03 04:00:00,75547,OKAY,75547,78687
2015-07-03 05:00:00,69890,OKAY,69890,73399
2015-07-03 06:00:00,65701,OKAY,65701,68237
2015-07-03 07:00:00,62852,OKAY,62852,66285
2015-07-03 08:00:00,60966,OKAY,60966,64472
2015-07-03 09:00:00,59757,OKAY,59757,63733
2015-07-03 10:00:00,59940,OKAY,59940,64481
2015-07-03 11:00:00,60735,OKAY,60735,66658
2015-07-03 12:00:00,61883,OKAY,61883,70120
2015-07-03 13:00:00,64948,OKAY,64948,72857
2015-07-03 14:00:00,69386,OKAY,69386,76548
2015-07-03 15:00:00,73575,OKAY,73575,80098
2015-07-03 16:00:00,76766,OKAY,76766,83255
2015-07-03 17:00:00,79045,OKAY,79045,85710
2015-07-03 18:00:00,80973,OKAY,80973,87670
2015-07-03 19:00:00,82617,OKAY,82617,89318
2015-07-03 20:00:00,83892,OKAY,83892,90195
2015-07-03 21:00:00,84849,OKAY,84849,90569
2015-07-03 22:00:00,85395,OKAY,85395,90156
2015-07-03 23:00:00,84955,OKAY,84955,88563
2015-07-04 00:00:00,83036,OKAY,83036,85975
2015-07-04 01:00:00,80300,OKAY,80300,82698
2015-07-04 02:00:00,78827,OKAY,78827,80487
2015-07-04 03:00:00,77143,OKAY,77143,78540
2015-07-04 04:00:00,73104,OKAY,73104,74155
2015-07-04 05:00:00,68519,OKAY,68519,69770
2015-07-04 06:00:00,64265,OKAY,64265,64916
2015-07-04 07:00:00,61292,OKAY,61292,62715
2015-07-04 08:00:00,59282,OKAY,59282,60469
2015-07-04 09:00:00,58046,OKAY,58046,58861
2015-07-04 10:00:00,57636,OKAY,57636,57489
2015-07-04 11:00:00,57350,OKAY,57350,55332
2015-07-04 12:00:00,57551,OKAY,57551,53574
2015-07-04 13:00:00,60515,OKAY,60515,55384
2015-07-04 14:00:00,65163,OKAY,65163,60203
2015-07-04 15:00:00,69930,OKAY,69930,65371
2015-07-04 16:00:00,73838,OKAY,73838,69353
2015-07-04 17:00:00,76903,OKAY,76903,72217
2015-07-04 18:00:00,78837,OKAY,78837,73133
2015-07-04 19:00:00,80112,OKAY,80112,74537
2015-07-04 20:00:00,81067,OKAY,81067,75845
2015-07-04 21:00:00,81992,OKAY,81992,77227
2015-07-04 22:00:00,82468,OKAY,82468,78321
2015-07-04 23:00:00,82044,OKAY,82044,78286
2015-07-05 00:00:00,80122,OKAY,80122,76719
2015-07-05 01:00:00,77235,OKAY,77235,73987
2015-07-05 02:00:00,75163,OKAY,75163,72113
2015-07-05 03:00:00,73266,OKAY,73266,71613
2015-07-05 04:00:00,70980,OKAY,70980,68993
2015-07-05 05:00:00,67902,OKAY,67902,66294
