date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,7709,OKAY,7709,8003
2015-07-02 01:00:00,7620,OKAY,7620,8048
2015-07-02 02:00:00,7476,OKAY,7476,7795
2015-07-02 03:00:00,7194,OKAY,7194,7463
2015-07-02 04:00:00,7071,OKAY,7071,7248
2015-07-02 05:00:00,6723,OKAY,6723,6874
2015-07-02 06:00:00,6272,OKAY,6272,6475
2015-07-02 07:00:00,5815,OKAY,5815,6034
2015-07-02 08:00:00,5422,OKAY,5422,5602
2015-07-02 09:00:00,5121,OKAY,5121,5322
2015-07-02 10:00:00,4871,OKAY,4871,5130
2015-07-02 11:00:00,4620,OKAY,4620,4986
2015-07-02 12:00:00,4559,OKAY,4559,4869
2015-07-02 13:00:00,4563,OKAY,4563,4826
2015-07-02 14:00:00,4560,OKAY,4560,4875
2015-07-02 15:00:00,4811,OKAY,4811,5101
2015-07-02 16:00:00,5299,OKAY,5299,5479
2015-07-02 17:00:00,5596,OKAY,5596,5897
2015-07-02 18:00:00,5869,OKAY,5869,6315
2015-07-02 19:00:00,6295,OKAY,6295,6690
2015-07-02 20:00:00,6638,OKAY,6638,7000
2015-07-02 21:00:00,6958,OKAY,6958,7287
2015-07-02 22:00:00,7296,OKAY,7296,7431
2015-07-02 23:00:00,7584,OKAY,7584,7543
2015-07-03 00:00:00,7635,OKAY,7635,7571
2015-07-03 01:00:00,7492,OKAY,7492,7698
2015-07-03 02:00:00,7280,OKAY,7280,7458
2015-07-03 03:00:00,6991,OKAY,6991,7079
2015-07-03 04:00:00,6855,OKAY,6855,6954
2015-07-03 05:00:00,6670,OKAY,6670,6753
2015-07-03 06:00:00,6169,OKAY,6169,6278
2015-07-03 07:00:00,5524,OKAY,5524,5760
2015-07-03 08:00:00,5364,OKAY,5364,5538
2015-07-03 09:00:00,5031,OKAY,5031,5238
2015-07-03 10:00:00,4799,OKAY,4799,5095
2015-07-03 11:00:00,4635,OKAY,4635,4892
2015-07-03 12:00:00,4547,OKAY,4547,4759
2015-07-03 13:00:00,4456,OKAY,4456,4657
2015-07-03 14:00:00,4434,OKAY,4434,4538
2015-07-03 15:00:00,4697,OKAY,4697,4793
2015-07-03 16:00:00,5082,OKAY,5082,5167
2015-07-03 17:00:00,5566,OKAY,5566,5618
2015-07-03 18:00:00,6065,OKAY,6065,5969
2015-07-03 19:00:00,6474,OKAY,6474,6339
2015-07-03 20:00:00,6813,OKAY,6813,6719
2015-07-03 21:00:00,7098,OKAY,7098,6948
2015-07-03 22:00:00,7340,OKAY,7340,7191
2015-07-03 23:00:00,7485,OKAY,7485,7385
2015-07-04 00:00:00,7592,OKAY,7592,7302
2015-07-04 01:00:00,7562,OKAY,7562,7274
2015-07-04 02:00:00,7347,OKAY,7347,7037
2015-07-04 03:00:00,7067,OKAY,7067,6875
2015-07-04 04:00:00,6878,OKAY,6878,6777
2015-07-04 05:00:00,6567,OKAY,6567,6511
2015-07-04 06:00:00,6157,OKAY,6157,6215
2015-07-04 07:00:00,5742,OKAY,5742,5833
2015-07-04 08:00:00,5369,OKAY,5369,5416
2015-07-04 09:00:00,5079,OKAY,5079,5135
2015-07-04 10:00:00,4869,OKAY,4869,4977
2015-07-04 11:00:00,4689,OKAY,4689,4683
2015-07-04 12:00:00,4595,OKAY,4595,4588
2015-07-04 13:00:00,4426,OKAY,4426,4492
2015-07-04 14:00:00,4424,OKAY,4424,4487
2015-07-04 15:00:00,4477,OKAY,4477,4631
2015-07-04 16:00:00,4700,OKAY,4700,5044
2015-07-04 17:00:00,4988,OKAY,4988,5450
2015-07-04 18:00:00,5322,OKAY,5322,5815
2015-07-04 19:00:00,5455,OKAY,5455,6233
2015-07-04 20:00:00,5667,OKAY,5667,6612
2015-07-04 21:00:00,5889,OKAY,5889,6826
2015-07-04 22:00:00,6035,OKAY,6035,7058
2015-07-04 23:00:00,6241,OKAY,6241,7099
2015-07-05 00:00:00,6351,OKAY,6351,7147
2015-07-05 01:00:00,6344,OKAY,6344,6951
2015-07-05 02:00:00,6245,OKAY,6245,6716
2015-07-05 03:00:00,5998,OKAY,5998,6332
2015-07-05 04:00:00,5900,OKAY,5900,6171
2015-07-05 05:00:00,5643,OKAY,5643,5911
2015-07-05 06:00:00,5423,OKAY,5423,5677
2015-07-05 07:00:00,5155,OKAY,5155,5448
2015-07-05 08:00:00,4832,OKAY,4832,5109
2015-07-05 09:00:00,4562,OKAY,4562,4822
2015-07-05 10:00:00,4423,OKAY,4423,4653
2015-07-05 11:00:00,4251,OKAY,4251,4479
2015-07-05 12:00:00,4162,OKAY,4162,4349
2015-07-05 13:00:00,4046,OKAY,4046,4242
2015-07-05 14:00:00,4023,OKAY,4023,4232
2015-07-05 15:00:00,4286,OKAY,4286,4384
2015-07-05 16:00:00,4690,OKAY,4690,4780
2015-07-05 17:00:00,5111,OKAY,5111,5176
2015-07-05 18:00:00,5518,OKAY,5518,5558
2015-07-05 19:00:00,5859,OKAY,5859,5933
2015-07-05 20:00:00,6117,OKAY,6117,6201
2015-07-05 21:00:00,6046,OKAY,6046,6473
2015-07-05 22:00:00,5801,OKAY,5801,6683
2015-07-05 23:00:00,5669,OKAY,5669,6789
2015-07-06 00:00:00,5626,OKAY,5626,6911
2015-07-06 01:00:00,5675,OKAY,5675,6957
2015-07-06 02:00:00,5653,OKAY,5653,6705
2015-07-06 03:00:00,5561,OKAY,5561,6450
2015-07-06 04:00:00,5558,OKAY,5558,6324
2015-07-06 05:00:00,5450,OKAY,5450,6069
2015-07-06 06:00:00,5167,OKAY,5167,5677
2015-07-06 07:00:00,4823,OKAY,4823,5245
2015-07-06 08:00:00,4534,OKAY,4534,4832
2015-07-06 09:00:00,4305,OKAY,4305,4551
2015-07-06 10:00:00,4166,OKAY,4166,4355
2015-07-06 11:00:00,4066,OKAY,4066,4226
2015-07-06 12:00:00,4092,OKAY,4092,4194
2015-07-06 13:00:00,4138,OKAY,4138,4142
2015-07-06 14:00:00,4181,OKAY,4181,4273
2015-07-06 15:00:00,4416,OKAY,4416,4572
2015-07-06 16:00:00,4664,OKAY,4664,5016
2015-07-06 17:00:00,4935,OKAY,4935,5438
2015-07-06 18:00:00,5173,OKAY,5173,5815
2015-07-06 19:00:00,5543,OKAY,5543,6135
2015-07-06 20:00:00,5901,OKAY,5901,6447
2015-07-06 21:00:00,6231,OKAY,6231,6688
2015-07-06 22:00:00,6468,OKAY,6468,6841
2015-07-06 23:00:00,6544,OKAY,6544,7063
2015-07-07 00:00:00,6551,OKAY,6551,7090
2015-07-07 01:00:00,6495,OKAY,6495,7132
2015-07-07 02:00:00,6117,OKAY,6117,7053
2015-07-07 03:00:00,5547,OKAY,5547,6728
2015-07-07 04:00:00,5440,OKAY,5440,6512
2015-07-07 05:00:00,5268,OKAY,5268,6217
2015-07-07 06:00:00,4947,OKAY,4947,5739
2015-07-07 07:00:00,4610,OKAY,4610,5215
2015-07-07 08:00:00,4323,OKAY,4323,4689
2015-07-07 09:00:00,4134,OKAY,4134,4447
2015-07-07 10:00:00,4013,OKAY,4013,4266
2015-07-07 11:00:00,3944,OKAY,3944,4124
2015-07-07 12:00:00,3923,OKAY,3923,4088
2015-07-07 13:00:00,3976,OKAY,3976,4099
2015-07-07 14:00:00,3984,OKAY,3984,4178
2015-07-07 15:00:00,4211,OKAY,4211,4434
2015-07-07 16:00:00,4535,OKAY,4535,4741
2015-07-07 17:00:00,4872,OKAY,4872,5035
2015-07-07 18:00:00,5294,OKAY,5294,5367
2015-07-07 19:00:00,5555,OKAY,5555,5713
2015-07-07 20:00:00,5884,OKAY,5884,5953
2015-07-07 21:00:00,6117,OKAY,6117,6243
2015-07-07 22:00:00,6271,OKAY,6271,6512
2015-07-07 23:00:00,6243,OKAY,6243,6639
2015-07-08 00:00:00,6219,OKAY,6219,6618
2015-07-08 01:00:00,6296,OKAY,6296,6626
2015-07-08 02:00:00,6120,OKAY,6120,6541
2015-07-08 03:00:00,5913,OKAY,5913,6232
2015-07-08 04:00:00,5854,OKAY,5854,6078
2015-07-08 05:00:00,5639,OKAY,5639,5783
2015-07-08 06:00:00,5299,OKAY,5299,5411
2015-07-08 07:00:00,4905,OKAY,4905,4916
2015-07-08 08:00:00,4571,OKAY,4571,4580
2015-07-08 09:00:00,4292,OKAY,4292,4321
2015-07-08 10:00:00,4090,OKAY,4090,4146
2015-07-08 11:00:00,3921,OKAY,3921,4033
2015-07-08 12:00:00,3949,OKAY,3949,4024
2015-07-08 13:00:00,3908,OKAY,3908,4048
2015-07-08 14:00:00,3966,OKAY,3966,4070
2015-07-08 15:00:00,4250,OKAY,4250,4349
2015-07-08 16:00:00,4569,OKAY,4569,4676
2015-07-08 17:00:00,4943,OKAY,4943,4940
2015-07-08 18:00:00,5311,OKAY,5311,5201
2015-07-08 19:00:00,5620,OKAY,5620,5390
2015-07-08 20:00:00,5838,OKAY,5838,5655
2015-07-08 21:00:00,6040,OKAY,6040,5862
2015-07-08 22:00:00,6194,OKAY,6194,6090
2015-07-08 23:00:00,6252,OKAY,6252,6145
2015-07-09 00:00:00,6208,OKAY,6208,6262
2015-07-09 01:00:00,6139,OKAY,6139,6202
2015-07-09 02:00:00,5968,OKAY,5968,6073
2015-07-09 03:00:00,5727,OKAY,5727,5772
2015-07-09 04:00:00,5601,OKAY,5601,5682
2015-07-09 05:00:00,5356,OKAY,5356,5423
2015-07-09 06:00:00,4987,OKAY,4987,5095
2015-07-09 07:00:00,4632,OKAY,4632,4681
2015-07-09 08:00:00,4287,OKAY,4287,4403
2015-07-09 09:00:00,4055,OKAY,4055,4179
2015-07-09 10:00:00,3894,OKAY,3894,4009
2015-07-09 11:00:00,3748,OKAY,3748,3882
2015-07-09 12:00:00,3734,OKAY,3734,3884
2015-07-09 13:00:00,3746,OKAY,3746,3875
2015-07-09 14:00:00,3817,OKAY,3817,3913
2015-07-09 15:00:00,4073,OKAY,4073,4142
