date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,8614,OKAY,8614,8832
2015-07-02 01:00:00,8488,OKAY,8488,8712
2015-07-02 02:00:00,8242,OKAY,8242,8477
2015-07-02 03:00:00,8065,OKAY,8065,8203
2015-07-02 04:00:00,7982,OKAY,7982,7963
2015-07-02 05:00:00,7348,OKAY,7348,7496
2015-07-02 06:00:00,6935,OKAY,6935,6854
2015-07-02 07:00:00,6466,OKAY,6466,6475
2015-07-02 08:00:00,6094,OKAY,6094,6144
2015-07-02 09:00:00,5892,OKAY,5892,5918
2015-07-02 10:00:00,5736,OKAY,5736,5760
2015-07-02 11:00:00,5707,OKAY,5707,5682
2015-07-02 12:00:00,5762,OKAY,5762,5791
2015-07-02 13:00:00,5942,OKAY,5942,5912
2015-07-02 14:00:00,6290,OKAY,6290,6336
2015-07-02 15:00:00,6781,OKAY,6781,6736
2015-07-02 16:00:00,7163,OKAY,7163,7155
2015-07-02 17:00:00,7540,OKAY,7540,7482
2015-07-02 18:00:00,7904,OKAY,7904,7726
2015-07-02 19:00:00,8140,OKAY,8140,7995
2015-07-02 20:00:00,8329,OKAY,8329,8298
2015-07-02 21:00:00,8476,OKAY,8476,8473
2015-07-02 22:00:00,8571,OKAY,8571,8634
2015-07-02 23:00:00,8623,OKAY,8623,8681
2015-07-03 00:00:00,8560,OKAY,8560,8627
2015-07-03 01:00:00,8423,OKAY,8423,8486
2015-07-03 02:00:00,8134,OKAY,8134,8283
2015-07-03 03:00:00,7774,OKAY,7774,7999
2015-07-03 04:00:00,7596,OKAY,7596,7760
2015-07-03 05:00:00,7255,OKAY,7255,7353
2015-07-03 06:00:00,6693,OKAY,6693,6748
2015-07-03 07:00:00,6221,OKAY,6221,6290
2015-07-03 08:00:00,5918,OKAY,5918,5987
2015-07-03 09:00:00,5688,OKAY,5688,5747
2015-07-03 10:00:00,5555,OKAY,5555,5658
2015-07-03 11:00:00,5520,OKAY,5520,5594
2015-07-03 12:00:00,5526,OKAY,5526,5643
2015-07-03 13:00:00,5569,OKAY,5569,5726
2015-07-03 14:00:00,5795,OKAY,5795,6215
2015-07-03 15:00:00,6188,OKAY,6188,6693
2015-07-03 16:00:00,6649,OKAY,6649,7003
2015-07-03 17:00:00,7093,OKAY,7093,7338
2015-07-03 18:00:00,7415,OKAY,7415,7632
2015-07-03 19:00:00,7685,OKAY,7685,7798
2015-07-03 20:00:00,7899,OKAY,7899,8065
2015-07-03 21:00:00,8071,OKAY,8071,8317
2015-07-03 22:00:00,8147,OKAY,8147,8468
2015-07-03 23:00:00,8270,OKAY,8270,8526
2015-07-04 00:00:00,8267,OKAY,8267,8490
2015-07-04 01:00:00,8165,OKAY,8165,8400
2015-07-04 02:00:00,7946,OKAY,7946,8264
2015-07-04 03:00:00,7653,OKAY,7653,8001
2015-07-04 04:00:00,7496,OKAY,7496,7675
2015-07-04 05:00:00,7120,OKAY,7120,7213
2015-07-04 06:00:00,6647,OKAY,6647,6644
2015-07-04 07:00:00,6287,OKAY,6287,6267
2015-07-04 08:00:00,5973,OKAY,5973,5971
2015-07-04 09:00:00,5738,OKAY,5738,5773
2015-07-04 10:00:00,5625,OKAY,5625,5617
2015-07-04 11:00:00,5543,OKAY,5543,5463
2015-07-04 12:00:00,5472,OKAY,5472,5471
2015-07-04 13:00:00,5469,OKAY,5469,5429
2015-07-04 14:00:00,5603,OKAY,5603,5588
2015-07-04 15:00:00,5898,OKAY,5898,5933
2015-07-04 16:00:00,6297,OKAY,6297,6303
2015-07-04 17:00:00,6573,OKAY,6573,6656
2015-07-04 18:00:00,6825,OKAY,6825,6984
2015-07-04 19:00:00,7092,OKAY,7092,7061
2015-07-04 20:00:00,7255,OKAY,7255,7337
2015-07-04 21:00:00,7414,OKAY,7414,7455
2015-07-04 22:00:00,7552,OKAY,7552,7598
2015-07-04 23:00:00,7665,OKAY,7665,7665
2015-07-05 00:00:00,7591,OKAY,7591,7703
2015-07-05 01:00:00,7426,OKAY,7426,7601
2015-07-05 02:00:00,7078,OKAY,7078,7407
2015-07-05 03:00:00,6748,OKAY,6748,7145
2015-07-05 04:00:00,6609,OKAY,6609,6778
2015-07-05 05:00:00,6310,OKAY,6310,6499
2015-07-05 06:00:00,6190,OKAY,6190,6419
2015-07-05 07:00:00,5970,OKAY,5970,6235
2015-07-05 08:00:00,5684,OKAY,5684,5970
2015-07-05 09:00:00,5504,OKAY,5504,5718
2015-07-05 10:00:00,5364,OKAY,5364,5582
2015-07-05 11:00:00,5337,OKAY,5337,5434
2015-07-05 12:00:00,5291,OKAY,5291,5394
2015-07-05 13:00:00,5302,OKAY,5302,5315
2015-07-05 14:00:00,5376,OKAY,5376,5579
2015-07-05 15:00:00,5636,OKAY,5636,5944
2015-07-05 16:00:00,5864,OKAY,5864,6196
2015-07-05 17:00:00,5949,OKAY,5949,6507
2015-07-05 18:00:00,6117,OKAY,6117,6717
2015-07-05 19:00:00,6396,OKAY,6396,6888
2015-07-05 20:00:00,6632,OKAY,6632,7218
2015-07-05 21:00:00,6873,OKAY,6873,7383
2015-07-05 22:00:00,7073,OKAY,7073,7544
2015-07-05 23:00:00,7231,OKAY,7231,7639
2015-07-06 00:00:00,7307,OKAY,7307,7671
2015-07-06 01:00:00,7262,OKAY,7262,7588
