date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,106560,OKAY,106560.0,42144
2015-07-02 01:00:00,103392,OKAY,103392.0,41045
2015-07-02 02:00:00,101862,OKAY,101862.0,39964
2015-07-02 03:00:00,96385,OKAY,96385.0,36830
2015-07-02 04:00:00,89387,OKAY,89387.0,33373
2015-07-02 05:00:00,82916,OKAY,82916.0,29377
2015-07-02 06:00:00,78807,OKAY,78807.0,27567
2015-07-02 07:00:00,75981,OKAY,75981.0,26464
2015-07-02 08:00:00,74349,OKAY,74349.0,25850
2015-07-02 09:00:00,74516,OKAY,74516.0,25967
2015-07-02 10:00:00,76778,OKAY,76778.0,27141
2015-07-02 11:00:00,79549,OKAY,79549.0,29409
2015-07-02 12:00:00,83459,OKAY,83459.0,31806
2015-07-02 13:00:00,87532,OKAY,87532.0,33668
2015-07-02 14:00:00,90936,OKAY,90936.0,35266
2015-07-02 15:00:00,94310,OKAY,94310.0,36703
2015-07-02 16:00:00,96771,OKAY,96771.0,37850
2015-07-02 17:00:00,98424,OKAY,98424.0,38804
2015-07-02 18:00:00,99845,OKAY,99845.0,39769
2015-07-02 19:00:00,100168,OKAY,100168.0,40463
2015-07-02 20:00:00,100101,OKAY,100101.0,41031
2015-07-02 21:00:00,99948,OKAY,99948.0,41564
2015-07-02 22:00:00,99598,OKAY,99598.0,41525
2015-07-02 23:00:00,97607,OKAY,97607.0,40466
2015-07-03 00:00:00,94843,OKAY,94843.0,39306
2015-07-03 01:00:00,92847,OKAY,92847.0,38441
2015-07-03 02:00:00,92013,OKAY,92013.0,37415
2015-07-03 03:00:00,86977,OKAY,86977.0,34611
2015-07-03 04:00:00,80446,OKAY,80446.0,31519
2015-07-03 05:00:00,75620,OKAY,75620.0,26881
2015-07-03 06:00:00,72699,OKAY,72699.0,25393
2015-07-03 07:00:00,70193,OKAY,70193.0,24430
2015-07-03 08:00:00,68542,OKAY,68542.0,24035
2015-07-03 09:00:00,68049,OKAY,68049.0,24249
2015-07-03 10:00:00,68821,OKAY,68821.0,25370
2015-07-03 11:00:00,69801,OKAY,69801.0,27350
2015-07-03 12:00:00,71654,OKAY,71654.0,29629
2015-07-03 13:00:00,74843,OKAY,74843.0,31463
2015-07-03 14:00:00,79828,OKAY,79828.0,33079
2015-07-03 15:00:00,84252,OKAY,84252.0,34479
2015-07-03 16:00:00,87856,OKAY,87856.0,35479
2015-07-03 17:00:00,91031,OKAY,91031.0,36246
2015-07-03 18:00:00,93580,OKAY,93580.0,37050
2015-07-03 19:00:00,95523,OKAY,95523.0,37634
2015-07-03 20:00:00,97219,OKAY,97219.0,38188
2015-07-03 21:00:00,97914,OKAY,97914.0,38559
2015-07-03 22:00:00,97612,OKAY,97612.0,38316
2015-07-03 23:00:00,95186,OKAY,95186.0,37174
2015-07-04 00:00:00,91960,OKAY,91960.0,35863
2015-07-04 01:00:00,90283,OKAY,90283.0,35044
2015-07-04 02:00:00,89176,OKAY,89176.0,34476
2015-07-04 03:00:00,85357,OKAY,85357.0,32409
2015-07-04 04:00:00,80078,OKAY,80078.0,29807
2015-07-04 05:00:00,75461,OKAY,75461.0,27458
2015-07-04 06:00:00,71516,OKAY,71516.0,25872
2015-07-04 07:00:00,69613,OKAY,69613.0,24862
2015-07-04 08:00:00,69288,OKAY,69288.0,24265
2015-07-04 09:00:00,68363,OKAY,68363.0,23971
2015-07-04 10:00:00,68490,OKAY,68490.0,23911
2015-07-04 11:00:00,68025,OKAY,68025.0,24071
2015-07-04 12:00:00,68880,OKAY,68880.0,25369
2015-07-04 13:00:00,71998,OKAY,71998.0,27544
2015-07-04 14:00:00,77278,OKAY,77278.0,29390
2015-07-04 15:00:00,81867,OKAY,81867.0,30664
2015-07-04 16:00:00,85819,OKAY,85819.0,31349
2015-07-04 17:00:00,88684,OKAY,88684.0,31732
2015-07-04 18:00:00,90671,OKAY,90671.0,31850
2015-07-04 19:00:00,91974,OKAY,91974.0,32005
2015-07-04 20:00:00,93401,OKAY,93401.0,32167
2015-07-04 21:00:00,94158,OKAY,94158.0,32473
2015-07-04 22:00:00,93894,OKAY,93894.0,32819
2015-07-04 23:00:00,92096,OKAY,92096.0,32256
2015-07-05 00:00:00,88884,OKAY,88884.0,31739
2015-07-05 01:00:00,85964,OKAY,85964.0,31482
2015-07-05 02:00:00,84073,OKAY,84073.0,31458
2015-07-05 03:00:00,81456,OKAY,81456.0,30068
2015-07-05 04:00:00,78170,OKAY,78170.0,28071
2015-07-05 05:00:00,73295,OKAY,73295.0,25451
2015-07-05 06:00:00,69134,OKAY,69134.0,24060
2015-07-05 07:00:00,66665,OKAY,66665.0,23071
2015-07-05 08:00:00,66391,OKAY,66391.0,22511
2015-07-05 09:00:00,66866,OKAY,66866.0,22234
2015-07-05 10:00:00,66751,OKAY,66751.0,22039
2015-07-05 11:00:00,66158,OKAY,66158.0,21905
2015-07-05 12:00:00,66817,OKAY,66817.0,23130
2015-07-05 13:00:00,70584,OKAY,70584.0,25301
2015-07-05 14:00:00,76273,OKAY,76273.0,27623
2015-07-05 15:00:00,81818,OKAY,81818.0,29547
2015-07-05 16:00:00,87146,OKAY,87146.0,31118
2015-07-05 17:00:00,91853,OKAY,91853.0,32463
2015-07-05 18:00:00,95849,OKAY,95849.0,33623
2015-07-05 19:00:00,99112,OKAY,99112.0,34729
2015-07-05 20:00:00,101731,OKAY,101731.0,35872
2015-07-05 21:00:00,104023,OKAY,104023.0,36834
2015-07-05 22:00:00,105129,OKAY,105129.0,37383
2015-07-05 23:00:00,104277,OKAY,104277.0,37017
2015-07-06 00:00:00,101799,OKAY,101799.0,36312
2015-07-06 01:00:00,100078,OKAY,100078.0,35840
2015-07-06 02:00:00,99139,OKAY,99139.0,35439
2015-07-06 03:00:00,94792,OKAY,94792.0,33212
2015-07-06 04:00:00,88495,OKAY,88495.0,30532
2015-07-06 05:00:00,83060,OKAY,83060.0,27934
2015-07-06 06:00:00,78722,OKAY,78722.0,26324
2015-07-06 07:00:00,76682,OKAY,76682.0,25493
2015-07-06 08:00:00,75883,OKAY,75883.0,24948
2015-07-06 09:00:00,75805,OKAY,75805.0,25190
2015-07-06 10:00:00,77945,OKAY,77945.0,26235
2015-07-06 11:00:00,81372,OKAY,81372.0,28404
2015-07-06 12:00:00,87521,OKAY,87521.0,30973
2015-07-06 13:00:00,93979,OKAY,93979.0,33160
2015-07-06 14:00:00,100237,OKAY,100237.0,35194
2015-07-06 15:00:00,106659,OKAY,106659.0,37190
2015-07-06 16:00:00,112168,OKAY,112168.0,38774
2015-07-06 17:00:00,116919,OKAY,116919.0,40069
2015-07-06 18:00:00,120992,OKAY,120992.0,41217
2015-07-06 19:00:00,123583,OKAY,123583.0,41951
2015-07-06 20:00:00,124818,OKAY,124818.0,42618
2015-07-06 21:00:00,125372,OKAY,125372.0,43028
2015-07-06 22:00:00,125613,OKAY,125613.0,43154
2015-07-06 23:00:00,123682,OKAY,123682.0,42190
2015-07-07 00:00:00,119832,OKAY,119832.0,40924
2015-07-07 01:00:00,116294,OKAY,116294.0,39724
2015-07-07 02:00:00,114171,OKAY,114171.0,38607
2015-07-07 03:00:00,107896,OKAY,107896.0,35680
2015-07-07 04:00:00,100061,OKAY,100061.0,32488
2015-07-07 05:00:00,92989,OKAY,92989.0,31194
2015-07-07 06:00:00,88010,OKAY,88010.0,29277
2015-07-07 07:00:00,85012,OKAY,85012.0,28082
2015-07-07 08:00:00,83209,OKAY,83209.0,27374
2015-07-07 09:00:00,83257,OKAY,83257.0,27454
2015-07-07 10:00:00,85401,OKAY,85401.0,28721
2015-07-07 11:00:00,89568,OKAY,89568.0,31074
2015-07-07 12:00:00,95193,OKAY,95193.0,33731
2015-07-07 13:00:00,100296,OKAY,100296.0,35876
2015-07-07 14:00:00,106031,OKAY,106031.0,37921
2015-07-07 15:00:00,112035,OKAY,112035.0,40045
2015-07-07 16:00:00,117487,OKAY,117487.0,41889
2015-07-07 17:00:00,121849,OKAY,121849.0,43572
2015-07-07 18:00:00,125282,OKAY,125282.0,45238
2015-07-07 19:00:00,126882,OKAY,126882.0,46623
2015-07-07 20:00:00,127478,OKAY,127478.0,47857
2015-07-07 21:00:00,127453,OKAY,127453.0,48721
2015-07-07 22:00:00,126361,OKAY,126361.0,48682
2015-07-07 23:00:00,123688,OKAY,123688.0,47243
2015-07-08 00:00:00,119418,OKAY,119418.0,45463
2015-07-08 01:00:00,115801,OKAY,115801.0,44252
2015-07-08 02:00:00,113028,OKAY,113028.0,42745
2015-07-08 03:00:00,105914,OKAY,105914.0,39381
2015-07-08 04:00:00,98477,OKAY,98477.0,35668
2015-07-08 05:00:00,92330,OKAY,92330.0,33801
2015-07-08 06:00:00,88002,OKAY,88002.0,31675
2015-07-08 07:00:00,84847,OKAY,84847.0,30112
2015-07-08 08:00:00,82926,OKAY,82926.0,29293
2015-07-08 09:00:00,82966,OKAY,82966.0,29292
2015-07-08 10:00:00,85690,OKAY,85690.0,30443
2015-07-08 11:00:00,89853,OKAY,89853.0,32508
2015-07-08 12:00:00,94018,OKAY,94018.0,34957
2015-07-08 13:00:00,98070,OKAY,98070.0,37004
2015-07-08 14:00:00,102088,OKAY,102088.0,39053
2015-07-08 15:00:00,106737,OKAY,106737.0,41014
2015-07-08 16:00:00,110445,OKAY,110445.0,42627
2015-07-08 17:00:00,113450,OKAY,113450.0,43866
2015-07-08 18:00:00,115875,OKAY,115875.0,44980
2015-07-08 19:00:00,117258,OKAY,117258.0,45683
2015-07-08 20:00:00,117354,OKAY,117354.0,46074
2015-07-08 21:00:00,116504,OKAY,116504.0,46114
2015-07-08 22:00:00,115016,OKAY,115016.0,45555
2015-07-08 23:00:00,112615,OKAY,112615.0,44003
2015-07-09 00:00:00,109947,OKAY,109947.0,42556
2015-07-09 01:00:00,108428,OKAY,108428.0,41650
2015-07-09 02:00:00,107340,OKAY,107340.0,40363
2015-07-09 03:00:00,100993,OKAY,100993.0,37292
2015-07-09 04:00:00,94089,OKAY,94089.0,33927
2015-07-09 05:00:00,89486,OKAY,89486.0,32183
2015-07-09 06:00:00,85774,OKAY,85774.0,30160
2015-07-09 07:00:00,82981,OKAY,82981.0,28883
2015-07-09 08:00:00,81367,OKAY,81367.0,28102
2015-07-09 09:00:00,81754,OKAY,81754.0,28136
2015-07-09 10:00:00,84823,OKAY,84823.0,29240
2015-07-09 11:00:00,90004,OKAY,90004.0,31312
2015-07-09 12:00:00,95132,OKAY,95132.0,33806
2015-07-09 13:00:00,98455,OKAY,98455.0,35953
2015-07-09 14:00:00,102532,OKAY,102532.0,37982
2015-07-09 15:00:00,107052,OKAY,107052.0,39980
2015-07-09 16:00:00,111321,OKAY,111321.0,41748
2015-07-09 17:00:00,114814,OKAY,114814.0,43309
2015-07-09 18:00:00,117923,OKAY,117923.0,44852
2015-07-09 19:00:00,119493,OKAY,119493.0,46080
2015-07-09 20:00:00,120431,OKAY,120431.0,47054
2015-07-09 21:00:00,121148,OKAY,121148.0,47634
2015-07-09 22:00:00,120588,OKAY,120588.0,47142
2015-07-09 23:00:00,118139,OKAY,118139.0,45529
2015-07-10 00:00:00,114600,OKAY,114600.0,43730
2015-07-10 01:00:00,111838,OKAY,111838.0,42746
2015-07-10 02:00:00,109710,OKAY,109710.0,41419
2015-07-10 03:00:00,103452,OKAY,103452.0,38317
2015-07-10 04:00:00,96544,OKAY,96544.0,34930
2015-07-10 05:00:00,91528,OKAY,91528.0,31706
2015-07-10 06:00:00,87390,OKAY,87390.0,29654
2015-07-10 07:00:00,84032,OKAY,84032.0,28116
2015-07-10 08:00:00,82017,OKAY,82017.0,27312
2015-07-10 09:00:00,81558,OKAY,81558.0,27275
2015-07-10 10:00:00,83705,OKAY,83705.0,28183
2015-07-10 11:00:00,87371,OKAY,87371.0,29968
2015-07-10 12:00:00,92016,OKAY,92016.0,32104
2015-07-10 13:00:00,95556,OKAY,95556.0,34068
2015-07-10 14:00:00,100187,OKAY,100187.0,35904
2015-07-10 15:00:00,104555,OKAY,104555.0,37688
2015-07-10 16:00:00,108282,OKAY,108282.0,39101
2015-07-10 17:00:00,110858,OKAY,110858.0,40412
2015-07-10 18:00:00,113367,OKAY,113367.0,41648
2015-07-10 19:00:00,115585,OKAY,115585.0,42657
2015-07-10 20:00:00,116664,OKAY,116664.0,43504
2015-07-10 21:00:00,117812,OKAY,117812.0,43967
2015-07-10 22:00:00,117560,OKAY,117560.0,43502
2015-07-10 23:00:00,114629,OKAY,114629.0,41764
2015-07-11 00:00:00,110117,OKAY,110117.0,40035
2015-07-11 01:00:00,106243,OKAY,106243.0,38949
2015-07-11 02:00:00,103978,OKAY,103978.0,37782
2015-07-11 03:00:00,98372,OKAY,98372.0,35272
2015-07-11 04:00:00,92135,OKAY,92135.0,32395
2015-07-11 05:00:00,86426,OKAY,86426.0,30385
2015-07-11 06:00:00,81616,OKAY,81616.0,28439
2015-07-11 07:00:00,78781,OKAY,78781.0,26999
2015-07-11 08:00:00,76544,OKAY,76544.0,26091
2015-07-11 09:00:00,75413,OKAY,75413.0,25679
2015-07-11 10:00:00,75484,OKAY,75484.0,25626
2015-07-11 11:00:00,76265,OKAY,76265.0,25871
2015-07-11 12:00:00,78536,OKAY,78536.0,27377
2015-07-11 13:00:00,83592,OKAY,83592.0,29716
2015-07-11 14:00:00,87593,OKAY,87593.0,32046
2015-07-11 15:00:00,93336,OKAY,93336.0,34069
2015-07-11 16:00:00,97861,OKAY,97861.0,35675
2015-07-11 17:00:00,101289,OKAY,101289.0,37016
2015-07-11 18:00:00,103721,OKAY,103721.0,38038
2015-07-11 19:00:00,105430,OKAY,105430.0,39003
2015-07-11 20:00:00,107104,OKAY,107104.0,39963
2015-07-11 21:00:00,108607,OKAY,108607.0,40628
2015-07-11 22:00:00,108943,OKAY,108943.0,40794
2015-07-11 23:00:00,107558,OKAY,107558.0,39755
2015-07-12 00:00:00,103849,OKAY,103849.0,38246
2015-07-12 01:00:00,100268,OKAY,100268.0,37262
2015-07-12 02:00:00,98881,OKAY,98881.0,36503
2015-07-12 03:00:00,94290,OKAY,94290.0,34422
2015-07-12 04:00:00,89321,OKAY,89321.0,31831
2015-07-12 05:00:00,84114,OKAY,84114.0,29468
2015-07-12 06:00:00,79310,OKAY,79310.0,27571
2015-07-12 07:00:00,76176,OKAY,76176.0,26215
2015-07-12 08:00:00,73945,OKAY,73945.0,25261
2015-07-12 09:00:00,72942,OKAY,72942.0,24807
2015-07-12 10:00:00,72670,OKAY,72670.0,24537
2015-07-12 11:00:00,72343,OKAY,72343.0,24597
2015-07-12 12:00:00,73677,OKAY,73677.0,26042
2015-07-12 13:00:00,77035,OKAY,77035.0,28534
2015-07-12 14:00:00,83017,OKAY,83017.0,31423
2015-07-12 15:00:00,89267,OKAY,89267.0,34138
2015-07-12 16:00:00,94821,OKAY,94821.0,36517
2015-07-12 17:00:00,99636,OKAY,99636.0,38604
2015-07-12 18:00:00,103060,OKAY,103060.0,40209
2015-07-12 19:00:00,105966,OKAY,105966.0,41487
2015-07-12 20:00:00,108161,OKAY,108161.0,42515
2015-07-12 21:00:00,109789,OKAY,109789.0,43211
2015-07-12 22:00:00,110766,OKAY,110766.0,43253
2015-07-12 23:00:00,109990,OKAY,109990.0,42269
2015-07-13 00:00:00,107421,OKAY,107421.0,41001
2015-07-13 01:00:00,105109,OKAY,105109.0,39726
2015-07-13 02:00:00,103835,OKAY,103835.0,38650
2015-07-13 03:00:00,98883,OKAY,98883.0,36158
2015-07-13 04:00:00,92300,OKAY,92300.0,33218
2015-07-13 05:00:00,85866,OKAY,85866.0,30193
