date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,95,OKAY,95,120
2015-07-02 01:00:00,108,OKAY,108,120
2015-07-02 02:00:00,87,OKAY,87,108
2015-07-02 03:00:00,101,OKAY,101,104
2015-07-02 04:00:00,89,OKAY,89,93
2015-07-02 05:00:00,89,OKAY,89,85
2015-07-02 06:00:00,68,OKAY,68,79
2015-07-02 07:00:00,79,OKAY,79,78
2015-07-02 08:00:00,70,OKAY,70,73
2015-07-02 09:00:00,70,OKAY,70,74
2015-07-02 10:00:00,72,OKAY,72,75
2015-07-02 11:00:00,83,OKAY,83,74
2015-07-02 12:00:00,68,OKAY,68,81
2015-07-02 13:00:00,83,OKAY,83,79
2015-07-02 14:00:00,80,OKAY,80,84
2015-07-02 15:00:00,85,OKAY,85,89
2015-07-02 16:00:00,96,OKAY,96,94
2015-07-02 17:00:00,103,OKAY,103,104
2015-07-02 18:00:00,105,OKAY,105,108
2015-07-02 19:00:00,96,OKAY,96,114
2015-07-02 20:00:00,187,LOCAL_DEM_UP,89,117
2015-07-02 21:00:00,90,OKAY,90,117
2015-07-02 22:00:00,112,OKAY,112,117
2015-07-02 23:00:00,109,OKAY,109,117
2015-07-03 00:00:00,95,OKAY,95,118
2015-07-03 01:00:00,94,OKAY,94,112
2015-07-03 02:00:00,89,OKAY,89,102
2015-07-03 03:00:00,96,OKAY,96,94
2015-07-03 04:00:00,71,OKAY,71,83
2015-07-03 05:00:00,76,OKAY,76,82
2015-07-03 06:00:00,79,OKAY,79,74
2015-07-03 07:00:00,63,OKAY,63,70
2015-07-03 08:00:00,69,OKAY,69,72
2015-07-03 09:00:00,70,OKAY,70,68
2015-07-03 10:00:00,68,OKAY,68,70
2015-07-03 11:00:00,65,OKAY,65,77
2015-07-03 12:00:00,72,OKAY,72,75
2015-07-03 13:00:00,70,OKAY,70,81
2015-07-03 14:00:00,71,OKAY,71,78
2015-07-03 15:00:00,82,OKAY,82,83
2015-07-03 16:00:00,80,OKAY,80,84
2015-07-03 17:00:00,88,OKAY,88,83
2015-07-03 18:00:00,89,OKAY,89,88
2015-07-03 19:00:00,85,OKAY,85,90
2015-07-03 20:00:00,88,OKAY,88,94
2015-07-03 21:00:00,90,OKAY,90,94
2015-07-03 22:00:00,93,OKAY,93,97
2015-07-03 23:00:00,75,OKAY,75,95
2015-07-04 00:00:00,83,OKAY,83,92
2015-07-04 01:00:00,82,OKAY,82,97
2015-07-04 02:00:00,70,OKAY,70,83
2015-07-04 03:00:00,78,OKAY,78,87
2015-07-04 04:00:00,72,OKAY,72,76
2015-07-04 05:00:00,69,OKAY,69,73
2015-07-04 06:00:00,73,OKAY,73,53
2015-07-04 07:00:00,47,OKAY,47,57
2015-07-04 08:00:00,62,OKAY,62,53
2015-07-04 09:00:00,70,OKAY,70,52
2015-07-04 10:00:00,51,OKAY,51,53
2015-07-04 11:00:00,108,OKAY,108,59
2015-07-04 12:00:00,152,LOCAL_DEM_UP,64,54
2015-07-04 13:00:00,174,LOCAL_DEM_UP,55,62
2015-07-04 14:00:00,180,LOCAL_DEM_UP,65,62
2015-07-04 15:00:00,95,OKAY,95,65
2015-07-04 16:00:00,108,OKAY,108,72
2015-07-04 17:00:00,120,OKAY,120,77
2015-07-04 18:00:00,122,OKAY,122,80
2015-07-04 19:00:00,79,OKAY,79,78
2015-07-04 20:00:00,81,OKAY,81,116
2015-07-04 21:00:00,87,OKAY,87,78
2015-07-04 22:00:00,88,OKAY,88,88
2015-07-04 23:00:00,71,OKAY,71,87
2015-07-05 00:00:00,78,OKAY,78,81
2015-07-05 01:00:00,78,OKAY,78,79
2015-07-05 02:00:00,67,OKAY,67,75
2015-07-05 03:00:00,70,OKAY,70,74
2015-07-05 04:00:00,62,OKAY,62,60
2015-07-05 05:00:00,72,OKAY,72,60
2015-07-05 06:00:00,49,OKAY,49,58
2015-07-05 07:00:00,53,OKAY,53,51
2015-07-05 08:00:00,54,OKAY,54,53
2015-07-05 09:00:00,51,OKAY,51,53
2015-07-05 10:00:00,51,OKAY,51,52
2015-07-05 11:00:00,50,OKAY,50,52
2015-07-05 12:00:00,50,OKAY,50,56
2015-07-05 13:00:00,55,OKAY,55,57
2015-07-05 14:00:00,54,OKAY,54,58
2015-07-05 15:00:00,58,OKAY,58,65
2015-07-05 16:00:00,61,OKAY,61,67
2015-07-05 17:00:00,72,OKAY,72,73
2015-07-05 18:00:00,68,OKAY,68,76
2015-07-05 19:00:00,80,OKAY,80,77
2015-07-05 20:00:00,73,OKAY,73,79
2015-07-05 21:00:00,85,OKAY,85,81
2015-07-05 22:00:00,86,OKAY,86,82
2015-07-05 23:00:00,85,OKAY,85,75
2015-07-06 00:00:00,86,OKAY,86,78
2015-07-06 01:00:00,75,OKAY,75,76
2015-07-06 02:00:00,69,OKAY,69,68
2015-07-06 03:00:00,80,OKAY,80,68
2015-07-06 04:00:00,70,OKAY,70,61
2015-07-06 05:00:00,29,DELTA,71,57
2015-07-06 06:00:00,66,OKAY,66,76
2015-07-06 07:00:00,56,OKAY,56,60
2015-07-06 08:00:00,61,OKAY,61,68
2015-07-06 09:00:00,61,OKAY,61,72
2015-07-06 10:00:00,58,OKAY,58,61
2015-07-06 11:00:00,78,OKAY,78,95
