date_time,demand (MW),forecast demand (MW)
2015-07-01 00:00:00,MISSING,MISSING
2015-07-01 01:00:00,MISSING,MISSING
2015-07-01 02:00:00,MISSING,MISSING
2015-07-01 03:00:00,MISSING,MISSING
2015-07-01 04:00:00,MISSING,MISSING
2015-07-01 05:00:00,MISSING,MISSING
2015-07-01 06:00:00,37456,39708
2015-07-01 07:00:00,35119,37338
2015-07-01 08:00:00,33638,35697
2015-07-01 09:00:00,32798,34772
2015-07-01 10:00:00,32805,34773
2015-07-01 11:00:00,34121,36046
2015-07-01 12:00:00,35894,37819
2015-07-01 13:00:00,37403,39136
2015-07-01 14:00:00,39964,41521
2015-07-01 15:00:00,43192,44414
2015-07-01 16:00:00,46593,47943
2015-07-01 17:00:00,48829,51438
2015-07-01 18:00:00,50231,54203
2015-07-01 19:00:00,51645,56880
2015-07-01 20:00:00,52622,58753
2015-07-01 21:00:00,53774,60003
2015-07-01 22:00:00,53665,60513
2015-07-01 23:00:00,52925,59714
2015-07-02 00:00:00,51756,58359
2015-07-02 01:00:00,50171,56030
2015-07-02 02:00:00,48655,54174
2015-07-02 03:00:00,47667,52900
2015-07-02 04:00:00,44629,49820
2015-07-02 05:00:00,40754,45902
2015-07-02 06:00:00,37547,39000
2015-07-02 07:00:00,35199,36959
2015-07-02 08:00:00,33637,35548
2015-07-02 09:00:00,32759,34790
2015-07-02 10:00:00,32536,34749
2015-07-02 11:00:00,33527,35896
2015-07-02 12:00:00,35196,37837
2015-07-02 13:00:00,36637,39197
2015-07-02 14:00:00,39221,41502
2015-07-02 15:00:00,42398,44365
2015-07-02 16:00:00,45675,47458
2015-07-02 17:00:00,48667,50287
2015-07-02 18:00:00,51260,52871
2015-07-02 19:00:00,53719,55398
2015-07-02 20:00:00,55525,57358
2015-07-02 21:00:00,56836,58987
2015-07-02 22:00:00,57505,59519
2015-07-02 23:00:00,56807,58634
2015-07-03 00:00:00,55044,57311
2015-07-03 01:00:00,52776,55059
2015-07-03 02:00:00,50986,53500
2015-07-03 03:00:00,49845,52166
2015-07-03 04:00:00,46817,49016
2015-07-03 05:00:00,43307,45108
2015-07-03 06:00:00,40173,39971
2015-07-03 07:00:00,37954,37656
2015-07-03 08:00:00,36353,35803
2015-07-03 09:00:00,35346,34716
2015-07-03 10:00:00,34981,34080
2015-07-03 11:00:00,35402,34180
2015-07-03 12:00:00,35919,34567
2015-07-03 13:00:00,36447,34875
2015-07-03 14:00:00,38820,36886
2015-07-03 15:00:00,42009,40782
2015-07-03 16:00:00,45201,45261
2015-07-03 17:00:00,48116,49239
2015-07-03 18:00:00,50501,52794
2015-07-03 19:00:00,52232,55171
2015-07-03 20:00:00,53443,56631
2015-07-03 21:00:00,54180,58416
2015-07-03 22:00:00,54510,58829
2015-07-03 23:00:00,54028,58231
2015-07-04 00:00:00,52732,55959
2015-07-04 01:00:00,50673,53211
2015-07-04 02:00:00,49028,49840
2015-07-04 03:00:00,47940,47344
2015-07-04 04:00:00,45385,44970
2015-07-04 05:00:00,42470,42789
2015-07-04 06:00:00,39566,38709
2015-07-04 07:00:00,37379,36527
2015-07-04 08:00:00,35757,34948
2015-07-04 09:00:00,34698,33997
2015-07-04 10:00:00,34057,33449
2015-07-04 11:00:00,33939,33533
2015-07-04 12:00:00,33910,33859
2015-07-04 13:00:00,34456,34470
2015-07-04 14:00:00,37333,37385
2015-07-04 15:00:00,41075,41155
2015-07-04 16:00:00,45018,44914
2015-07-04 17:00:00,48470,48502
2015-07-04 18:00:00,51173,51210
2015-07-04 19:00:00,52980,53095
2015-07-04 20:00:00,54226,54659
2015-07-04 21:00:00,54755,55789
2015-07-04 22:00:00,54722,56028
2015-07-04 23:00:00,54308,55529
2015-07-05 00:00:00,52974,54864
2015-07-05 01:00:00,50742,52779
2015-07-05 02:00:00,48474,51052
2015-07-05 03:00:00,46782,50045
2015-07-05 04:00:00,44767,47242
2015-07-05 05:00:00,42872,44048
2015-07-05 06:00:00,40437,39492
2015-07-05 07:00:00,38209,37226
2015-07-05 08:00:00,36459,35486
2015-07-05 09:00:00,35240,34406
2015-07-05 10:00:00,34500,33757
2015-07-05 11:00:00,34275,33552
2015-07-05 12:00:00,33984,33364
2015-07-05 13:00:00,34489,33768
2015-07-05 14:00:00,37297,36647
2015-07-05 15:00:00,40940,40476
2015-07-05 16:00:00,44533,44353
2015-07-05 17:00:00,47856,47780
2015-07-05 18:00:00,50701,50746
2015-07-05 19:00:00,52879,53284
2015-07-05 20:00:00,54568,55064
2015-07-05 21:00:00,55685,56616
2015-07-05 22:00:00,56335,57512
2015-07-05 23:00:00,56405,57082
2015-07-06 00:00:00,55512,55784
2015-07-06 01:00:00,53679,54428
2015-07-06 02:00:00,52057,53741
2015-07-06 03:00:00,51238,52635
2015-07-06 04:00:00,48381,49330
2015-07-06 05:00:00,44766,45461
2015-07-06 06:00:00,41716,40633
2015-07-06 07:00:00,39612,38299
2015-07-06 08:00:00,38216,36653
2015-07-06 09:00:00,37343,35827
2015-07-06 10:00:00,37325,35833
2015-07-06 11:00:00,38482,36960
2015-07-06 12:00:00,40081,38695
2015-07-06 13:00:00,41317,39732
2015-07-06 14:00:00,43577,42322
2015-07-06 15:00:00,46689,45720
2015-07-06 16:00:00,49913,49320
2015-07-06 17:00:00,52908,52716
2015-07-06 18:00:00,55354,55822
2015-07-06 19:00:00,57435,58471
2015-07-06 20:00:00,58925,60152
2015-07-06 21:00:00,59711,61777
2015-07-06 22:00:00,59930,61647
2015-07-06 23:00:00,59304,60627
2015-07-07 00:00:00,57860,59523
2015-07-07 01:00:00,55746,56847
2015-07-07 02:00:00,54110,55019
2015-07-07 03:00:00,52898,53210
2015-07-07 04:00:00,49409,49790
2015-07-07 05:00:00,45439,45942
2015-07-07 06:00:00,42025,41280
2015-07-07 07:00:00,39906,38767
2015-07-07 08:00:00,38581,37000
2015-07-07 09:00:00,37850,35996
2015-07-07 10:00:00,37916,35892
2015-07-07 11:00:00,39148,37039
2015-07-07 12:00:00,40895,38595
2015-07-07 13:00:00,42087,39542
2015-07-07 14:00:00,43999,41453
2015-07-07 15:00:00,46636,44219
2015-07-07 16:00:00,49708,47241
2015-07-07 17:00:00,52015,50250
2015-07-07 18:00:00,53759,52783
2015-07-07 19:00:00,55421,55208
2015-07-07 20:00:00,56694,56611
2015-07-07 21:00:00,57189,57643
2015-07-07 22:00:00,56906,57867
2015-07-07 23:00:00,55872,56851
2015-07-08 00:00:00,54385,55528
2015-07-08 01:00:00,52647,53658
2015-07-08 02:00:00,51754,52224
2015-07-08 03:00:00,51032,50926
2015-07-08 04:00:00,48208,48019
2015-07-08 05:00:00,44611,44342
2015-07-08 06:00:00,41550,39545
2015-07-08 07:00:00,39577,37307
2015-07-08 08:00:00,38291,35835
2015-07-08 09:00:00,37544,35058
2015-07-08 10:00:00,37545,35213
2015-07-08 11:00:00,38747,36428
2015-07-08 12:00:00,40249,38281
2015-07-08 13:00:00,41210,39306
2015-07-08 14:00:00,42927,41328
2015-07-08 15:00:00,45307,44381
2015-07-08 16:00:00,47839,47526
2015-07-08 17:00:00,50133,50367
2015-07-08 18:00:00,51675,52686
2015-07-08 19:00:00,53007,54645
2015-07-08 20:00:00,53892,56044
2015-07-08 21:00:00,54698,57095
2015-07-08 22:00:00,55243,57845
2015-07-08 23:00:00,55120,56912
2015-07-09 00:00:00,54163,55719
2015-07-09 01:00:00,52435,53556
2015-07-09 02:00:00,51291,52226
2015-07-09 03:00:00,50386,50931
2015-07-09 04:00:00,47339,47995
2015-07-09 05:00:00,43762,44252
2015-07-09 06:00:00,40674,39738
2015-07-09 07:00:00,38644,37634
2015-07-09 08:00:00,37246,36190
2015-07-09 09:00:00,36413,35496
2015-07-09 10:00:00,36291,35602
2015-07-09 11:00:00,37340,36813
2015-07-09 12:00:00,38847,38652
2015-07-09 13:00:00,40093,39853
2015-07-09 14:00:00,42543,42143
2015-07-09 15:00:00,45601,45140
2015-07-09 16:00:00,48847,48248
2015-07-09 17:00:00,51624,51028
2015-07-09 18:00:00,54256,53647
2015-07-09 19:00:00,56757,56070
2015-07-09 20:00:00,58875,57692
2015-07-09 21:00:00,60458,58826
2015-07-09 22:00:00,61133,59324
2015-07-09 23:00:00,60661,58047
2015-07-10 00:00:00,59092,56518
2015-07-10 01:00:00,56622,54331
2015-07-10 02:00:00,54311,52793
2015-07-10 03:00:00,52761,51549
2015-07-10 04:00:00,49075,48486
2015-07-10 05:00:00,44771,44618
2015-07-10 06:00:00,41144,41230
2015-07-10 07:00:00,38589,38719
2015-07-10 08:00:00,36785,36985
2015-07-10 09:00:00,35688,36046
2015-07-10 10:00:00,35399,35853
2015-07-10 11:00:00,36384,36799
2015-07-10 12:00:00,37726,38516
2015-07-10 13:00:00,38978,39575
2015-07-10 14:00:00,41656,41978
2015-07-10 15:00:00,44938,44842
2015-07-10 16:00:00,48512,47895
2015-07-10 17:00:00,51701,50654
2015-07-10 18:00:00,54559,53414
2015-07-10 19:00:00,57143,55704
2015-07-10 20:00:00,59142,57684
2015-07-10 21:00:00,60595,59118
2015-07-10 22:00:00,61174,59589
2015-07-10 23:00:00,60690,58832
2015-07-11 00:00:00,58895,57154
2015-07-11 01:00:00,56277,54729
2015-07-11 02:00:00,53832,52865
2015-07-11 03:00:00,52111,51538
2015-07-11 04:00:00,48757,48346
2015-07-11 05:00:00,44945,45002
2015-07-11 06:00:00,41603,41646
2015-07-11 07:00:00,39103,39013
2015-07-11 08:00:00,37255,36996
2015-07-11 09:00:00,35962,35765
2015-07-11 10:00:00,35185,35091
2015-07-11 11:00:00,35182,35030
2015-07-11 12:00:00,35265,35069
2015-07-11 13:00:00,36075,35746
2015-07-11 14:00:00,39199,38854
2015-07-11 15:00:00,42961,42668
2015-07-11 16:00:00,46804,46556
2015-07-11 17:00:00,50282,50229
2015-07-11 18:00:00,53053,52977
2015-07-11 19:00:00,55303,55278
2015-07-11 20:00:00,56943,56853
2015-07-11 21:00:00,58099,57884
2015-07-11 22:00:00,58805,58358
2015-07-11 23:00:00,58674,58087
2015-07-12 00:00:00,57576,57213
2015-07-12 01:00:00,55472,54830
2015-07-12 02:00:00,53054,52420
2015-07-12 03:00:00,51565,50863
2015-07-12 04:00:00,48465,47872
2015-07-12 05:00:00,44990,44707
2015-07-12 06:00:00,41794,41124
2015-07-12 07:00:00,39315,38623
2015-07-12 08:00:00,37331,36839
2015-07-12 09:00:00,35886,35425
2015-07-12 10:00:00,35026,34637
2015-07-12 11:00:00,34756,34313
2015-07-12 12:00:00,34420,34184
2015-07-12 13:00:00,35021,34701
2015-07-12 14:00:00,38219,37680
2015-07-12 15:00:00,42049,41772
2015-07-12 16:00:00,45945,45883
2015-07-12 17:00:00,49743,49935
2015-07-12 18:00:00,52982,53380
2015-07-12 19:00:00,55687,56669
2015-07-12 20:00:00,57801,58539
2015-07-12 21:00:00,59316,60683
2015-07-12 22:00:00,60254,61810
2015-07-12 23:00:00,60501,61743
2015-07-13 00:00:00,59694,60111
2015-07-13 01:00:00,57851,58285
2015-07-13 02:00:00,55693,56058
2015-07-13 03:00:00,54186,54542
