date_time,demand (MW),forecast demand (MW)
2015-07-01 00:00:00,MISSING,MISSING
2015-07-01 01:00:00,MISSING,MISSING
2015-07-01 02:00:00,MISSING,MISSING
2015-07-01 03:00:00,MISSING,MISSING
2015-07-01 04:00:00,MISSING,MISSING
2015-07-01 05:00:00,MISSING,MISSING
2015-07-01 06:00:00,MISSING,MISSING
2015-07-01 07:00:00,MISSING,MISSING
2015-07-01 08:00:00,663,650
2015-07-01 09:00:00,654,639
2015-07-01 10:00:00,646,630
2015-07-01 11:00:00,642,629
2015-07-01 12:00:00,642,627
2015-07-01 13:00:00,642,631
2015-07-01 14:00:00,656,643
2015-07-01 15:00:00,677,659
2015-07-01 16:00:00,690,675
2015-07-01 17:00:00,706,689
2015-07-01 18:00:00,715,709
2015-07-01 19:00:00,735,727
2015-07-01 20:00:00,749,745
2015-07-01 21:00:00,762,762
2015-07-01 22:00:00,770,764
2015-07-01 23:00:00,770,769
2015-07-02 00:00:00,770,767
2015-07-02 01:00:00,770,761
2015-07-02 02:00:00,757,744
2015-07-02 03:00:00,740,728
2015-07-02 04:00:00,722,715
2015-07-02 05:00:00,706,706
2015-07-02 06:00:00,688,687
2015-07-02 07:00:00,668,665
2015-07-02 08:00:00,648,655
2015-07-02 09:00:00,642,626
2015-07-02 10:00:00,636,620
2015-07-02 11:00:00,635,617
2015-07-02 12:00:00,634,617
2015-07-02 13:00:00,628,619
2015-07-02 14:00:00,643,635
2015-07-02 15:00:00,664,656
2015-07-02 16:00:00,683,671
2015-07-02 17:00:00,704,688
2015-07-02 18:00:00,727,706
2015-07-02 19:00:00,751,730
2015-07-02 20:00:00,767,749
2015-07-02 21:00:00,777,767
2015-07-02 22:00:00,782,773
2015-07-02 23:00:00,777,777
2015-07-03 00:00:00,774,774
2015-07-03 01:00:00,774,770
2015-07-03 02:00:00,762,754
2015-07-03 03:00:00,746,739
2015-07-03 04:00:00,730,725
2015-07-03 05:00:00,721,710
2015-07-03 06:00:00,703,690
2015-07-03 07:00:00,686,670
2015-07-03 08:00:00,669,640
2015-07-03 09:00:00,655,638
2015-07-03 10:00:00,642,631
2015-07-03 11:00:00,633,625
2015-07-03 12:00:00,629,621
2015-07-03 13:00:00,624,618
2015-07-03 14:00:00,636,625
2015-07-03 15:00:00,654,642
2015-07-03 16:00:00,672,664
2015-07-03 17:00:00,688,683
2015-07-03 18:00:00,710,702
2015-07-03 19:00:00,736,721
2015-07-03 20:00:00,749,740
2015-07-03 21:00:00,755,753
2015-07-03 22:00:00,760,757
2015-07-03 23:00:00,763,760
2015-07-04 00:00:00,761,758
2015-07-04 01:00:00,758,753
2015-07-04 02:00:00,744,737
2015-07-04 03:00:00,728,723
2015-07-04 04:00:00,712,712
2015-07-04 05:00:00,703,699
2015-07-04 06:00:00,686,682
2015-07-04 07:00:00,667,663
2015-07-04 08:00:00,650,648
2015-07-04 09:00:00,637,618
2015-07-04 10:00:00,629,610
2015-07-04 11:00:00,623,605
2015-07-04 12:00:00,617,602
2015-07-04 13:00:00,612,602
2015-07-04 14:00:00,621,609
2015-07-04 15:00:00,638,623
2015-07-04 16:00:00,655,643
2015-07-04 17:00:00,675,662
2015-07-04 18:00:00,699,680
2015-07-04 19:00:00,727,700
2015-07-04 20:00:00,741,718
2015-07-04 21:00:00,747,732
2015-07-04 22:00:00,748,738
2015-07-04 23:00:00,748,742
2015-07-05 00:00:00,749,740
2015-07-05 01:00:00,748,734
2015-07-05 02:00:00,729,717
2015-07-05 03:00:00,713,704
2015-07-05 04:00:00,696,690
2015-07-05 05:00:00,685,680
2015-07-05 06:00:00,671,662
2015-07-05 07:00:00,612,641
2015-07-05 08:00:00,588,629
2015-07-05 09:00:00,596,594
2015-07-05 10:00:00,606,575
2015-07-05 11:00:00,605,571
2015-07-05 12:00:00,600,567
2015-07-05 13:00:00,595,564
2015-07-05 14:00:00,599,571
2015-07-05 15:00:00,612,590
2015-07-05 16:00:00,632,614
2015-07-05 17:00:00,653,638
2015-07-05 18:00:00,670,659
2015-07-05 19:00:00,684,681
2015-07-05 20:00:00,703,694
2015-07-05 21:00:00,714,702
2015-07-05 22:00:00,719,699
2015-07-05 23:00:00,722,700
2015-07-06 00:00:00,727,698
2015-07-06 01:00:00,723,694
2015-07-06 02:00:00,710,679
2015-07-06 03:00:00,697,663
2015-07-06 04:00:00,684,652
2015-07-06 05:00:00,676,643
2015-07-06 06:00:00,659,627
2015-07-06 07:00:00,639,596
2015-07-06 08:00:00,623,567
2015-07-06 09:00:00,613,592
2015-07-06 10:00:00,606,594
2015-07-06 11:00:00,607,592
2015-07-06 12:00:00,607,591
2015-07-06 13:00:00,607,593
2015-07-06 14:00:00,627,609
2015-07-06 15:00:00,647,630
2015-07-06 16:00:00,663,646
2015-07-06 17:00:00,678,663
2015-07-06 18:00:00,693,682
2015-07-06 19:00:00,711,701
2015-07-06 20:00:00,731,720
2015-07-06 21:00:00,750,735
2015-07-06 22:00:00,758,739
2015-07-06 23:00:00,762,742
2015-07-07 00:00:00,768,745
2015-07-07 01:00:00,762,741
2015-07-07 02:00:00,741,727
2015-07-07 03:00:00,722,711
2015-07-07 04:00:00,709,697
2015-07-07 05:00:00,697,684
2015-07-07 06:00:00,680,664
2015-07-07 07:00:00,656,642
2015-07-07 08:00:00,639,601
2015-07-07 09:00:00,628,607
2015-07-07 10:00:00,618,601
2015-07-07 11:00:00,616,599
2015-07-07 12:00:00,618,597
2015-07-07 13:00:00,617,598
2015-07-07 14:00:00,629,615
2015-07-07 15:00:00,645,633
2015-07-07 16:00:00,666,649
2015-07-07 17:00:00,675,666
2015-07-07 18:00:00,694,684
2015-07-07 19:00:00,716,703
2015-07-07 20:00:00,739,722
2015-07-07 21:00:00,752,736
2015-07-07 22:00:00,759,741
2015-07-07 23:00:00,763,744
2015-07-08 00:00:00,771,746
2015-07-08 01:00:00,764,740
2015-07-08 02:00:00,744,724
2015-07-08 03:00:00,723,707
2015-07-08 04:00:00,710,695
2015-07-08 05:00:00,704,683
2015-07-08 06:00:00,683,664
2015-07-08 07:00:00,661,642
2015-07-08 08:00:00,644,617
2015-07-08 09:00:00,634,614
2015-07-08 10:00:00,627,609
2015-07-08 11:00:00,621,606
2015-07-08 12:00:00,608,606
2015-07-08 13:00:00,611,607
2015-07-08 14:00:00,625,621
2015-07-08 15:00:00,640,639
2015-07-08 16:00:00,651,655
2015-07-08 17:00:00,692,670
2015-07-08 18:00:00,709,688
2015-07-08 19:00:00,733,707
2015-07-08 20:00:00,757,725
2015-07-08 21:00:00,769,741
2015-07-08 22:00:00,775,746
2015-07-08 23:00:00,782,751
2015-07-09 00:00:00,786,752
2015-07-09 01:00:00,780,747
2015-07-09 02:00:00,763,731
2015-07-09 03:00:00,745,714
2015-07-09 04:00:00,729,700
2015-07-09 05:00:00,718,689
2015-07-09 06:00:00,695,670
2015-07-09 07:00:00,671,649
2015-07-09 08:00:00,653,622
2015-07-09 09:00:00,639,618
2015-07-09 10:00:00,632,617
2015-07-09 11:00:00,629,612
2015-07-09 12:00:00,633,609
2015-07-09 13:00:00,637,611
2015-07-09 14:00:00,636,627
2015-07-09 15:00:00,642,645
2015-07-09 16:00:00,656,658
2015-07-09 17:00:00,675,679
2015-07-09 18:00:00,699,696
2015-07-09 19:00:00,723,719
2015-07-09 20:00:00,761,738
2015-07-09 21:00:00,773,753
2015-07-09 22:00:00,779,758
2015-07-09 23:00:00,784,764
2015-07-10 00:00:00,784,764
2015-07-10 01:00:00,778,758
2015-07-10 02:00:00,757,741
2015-07-10 03:00:00,739,725
2015-07-10 04:00:00,723,711
2015-07-10 05:00:00,716,700
2015-07-10 06:00:00,694,678
2015-07-10 07:00:00,675,657
2015-07-10 08:00:00,663,631
2015-07-10 09:00:00,654,620
2015-07-10 10:00:00,644,619
2015-07-10 11:00:00,641,615
2015-07-10 12:00:00,643,615
2015-07-10 13:00:00,645,617
2015-07-10 14:00:00,655,625
2015-07-10 15:00:00,670,639
2015-07-10 16:00:00,683,654
2015-07-10 17:00:00,696,669
2015-07-10 18:00:00,707,685
2015-07-10 19:00:00,724,702
2015-07-10 20:00:00,744,721
2015-07-10 21:00:00,761,729
2015-07-10 22:00:00,769,734
2015-07-10 23:00:00,772,737
2015-07-11 00:00:00,771,739
2015-07-11 01:00:00,750,734
2015-07-11 02:00:00,722,717
2015-07-11 03:00:00,709,699
2015-07-11 04:00:00,697,685
2015-07-11 05:00:00,691,675
2015-07-11 06:00:00,678,658
2015-07-11 07:00:00,655,638
2015-07-11 08:00:00,635,641
2015-07-11 09:00:00,629,608
2015-07-11 10:00:00,620,600
2015-07-11 11:00:00,613,596
2015-07-11 12:00:00,612,591
2015-07-11 13:00:00,613,589
2015-07-11 14:00:00,614,595
2015-07-11 15:00:00,623,606
2015-07-11 16:00:00,636,623
2015-07-11 17:00:00,647,640
2015-07-11 18:00:00,657,650
2015-07-11 19:00:00,665,665
2015-07-11 20:00:00,672,679
2015-07-11 21:00:00,679,687
2015-07-11 22:00:00,683,690
2015-07-11 23:00:00,688,691
2015-07-12 00:00:00,691,692
2015-07-12 01:00:00,691,680
2015-07-12 02:00:00,677,665
2015-07-12 03:00:00,663,651
2015-07-12 04:00:00,653,641
2015-07-12 05:00:00,649,634
2015-07-12 06:00:00,633,621
2015-07-12 07:00:00,617,603
2015-07-12 08:00:00,606,613
2015-07-12 09:00:00,597,570
2015-07-12 10:00:00,590,573
2015-07-12 11:00:00,587,566
2015-07-12 12:00:00,585,562
2015-07-12 13:00:00,582,558
2015-07-12 14:00:00,586,563
2015-07-12 15:00:00,595,575
2015-07-12 16:00:00,611,596
2015-07-12 17:00:00,626,612
2015-07-12 18:00:00,635,624
2015-07-12 19:00:00,645,635
2015-07-12 20:00:00,652,645
2015-07-12 21:00:00,661,652
2015-07-12 22:00:00,672,656
2015-07-12 23:00:00,679,661
2015-07-13 00:00:00,683,664
2015-07-13 01:00:00,683,663
2015-07-13 02:00:00,672,654
2015-07-13 03:00:00,658,641
2015-07-13 04:00:00,648,631
2015-07-13 05:00:00,645,625
2015-07-13 06:00:00,629,608
2015-07-13 07:00:00,613,591
2015-07-13 08:00:00,601,584
2015-07-13 09:00:00,593,563
2015-07-13 10:00:00,590,566
2015-07-13 11:00:00,588,566
2015-07-13 12:00:00,592,566
2015-07-13 13:00:00,595,568
2015-07-13 14:00:00,613,584
2015-07-13 15:00:00,633,600
2015-07-13 16:00:00,645,612
2015-07-13 17:00:00,659,627
2015-07-13 18:00:00,670,640
2015-07-13 19:00:00,681,652
2015-07-13 20:00:00,694,664
2015-07-13 21:00:00,705,677
2015-07-13 22:00:00,708,687
2015-07-13 23:00:00,714,693
2015-07-14 00:00:00,719,698
2015-07-14 01:00:00,713,697
2015-07-14 02:00:00,697,686
2015-07-14 03:00:00,682,671
2015-07-14 04:00:00,666,659
2015-07-14 05:00:00,649,651
2015-07-14 06:00:00,637,633
2015-07-14 07:00:00,618,614
2015-07-14 08:00:00,609,579
2015-07-14 09:00:00,601,575
2015-07-14 10:00:00,601,574
2015-07-14 11:00:00,600,573
2015-07-14 12:00:00,595,572
