date_time,demand (MW),forecast demand (MW)
2015-07-01 00:00:00,MISSING,MISSING
2015-07-01 01:00:00,MISSING,MISSING
2015-07-01 02:00:00,MISSING,MISSING
2015-07-01 03:00:00,MISSING,MISSING
2015-07-01 04:00:00,MISSING,MISSING
2015-07-01 05:00:00,MISSING,MISSING
2015-07-01 06:00:00,73432,76958
2015-07-01 07:00:00,70211,74126
2015-07-01 08:00:00,68163,72102
2015-07-01 09:00:00,67309,71300
2015-07-01 10:00:00,68456,72363
2015-07-01 11:00:00,71503,75374
2015-07-01 12:00:00,75490,78240
2015-07-01 13:00:00,79965,82751
2015-07-01 14:00:00,83779,86916
2015-07-01 15:00:00,87101,90884
2015-07-01 16:00:00,90636,94708
2015-07-01 17:00:00,93663,97913
2015-07-01 18:00:00,96132,100527
2015-07-01 19:00:00,97459,102633
2015-07-01 20:00:00,97953,103730
2015-07-01 21:00:00,97830,104247
2015-07-01 22:00:00,97515,104258
2015-07-01 23:00:00,96279,103100
2015-07-02 00:00:00,94694,100720
2015-07-02 01:00:00,92555,97762
2015-07-02 02:00:00,91525,96197
2015-07-02 03:00:00,89457,93336
2015-07-02 04:00:00,83633,86913
2015-07-02 05:00:00,77437,80783
2015-07-02 06:00:00,72863,74996
2015-07-02 07:00:00,69862,72950
2015-07-02 08:00:00,67951,71088
2015-07-02 09:00:00,67153,70374
2015-07-02 10:00:00,68405,71423
2015-07-02 11:00:00,71204,74412
2015-07-02 12:00:00,75033,78277
2015-07-02 13:00:00,78999,81711
2015-07-02 14:00:00,82401,85566
2015-07-02 15:00:00,85489,89181
2015-07-02 16:00:00,88452,92519
2015-07-02 17:00:00,90991,95181
2015-07-02 18:00:00,93456,97403
2015-07-02 19:00:00,95601,99407
2015-07-02 20:00:00,97046,100600
2015-07-02 21:00:00,97627,101293
2015-07-02 22:00:00,97675,101327
2015-07-02 23:00:00,96420,100243
2015-07-03 00:00:00,93971,98045
2015-07-03 01:00:00,91118,95119
2015-07-03 02:00:00,89650,93665
2015-07-03 03:00:00,87493,91015
2015-07-03 04:00:00,81759,84925
2015-07-03 05:00:00,75509,79084
2015-07-03 06:00:00,70928,73490
2015-07-03 07:00:00,67829,71257
2015-07-03 08:00:00,65731,69239
2015-07-03 09:00:00,64468,68382
2015-07-03 10:00:00,64617,69214
2015-07-03 11:00:00,65541,71650
2015-07-03 12:00:00,66816,75410
2015-07-03 13:00:00,70175,78519
2015-07-03 14:00:00,75011,82669
2015-07-03 15:00:00,79584,86592
2015-07-03 16:00:00,83066,90055
2015-07-03 17:00:00,85636,92774
2015-07-03 18:00:00,87807,94970
2015-07-03 19:00:00,89648,96785
2015-07-03 20:00:00,90947,97772
2015-07-03 21:00:00,91958,98199
2015-07-03 22:00:00,92516,97754
2015-07-03 23:00:00,92032,96042
2015-07-04 00:00:00,89891,93220
2015-07-04 01:00:00,86886,89734
2015-07-04 02:00:00,85254,87399
2015-07-04 03:00:00,83291,85050
2015-07-04 04:00:00,78879,80139
2015-07-04 05:00:00,73880,75242
2015-07-04 06:00:00,69170,70031
2015-07-04 07:00:00,65909,67554
2015-07-04 08:00:00,63747,65108
2015-07-04 09:00:00,62427,63388
2015-07-04 10:00:00,61990,62103
2015-07-04 11:00:00,61749,60209
2015-07-04 12:00:00,61924,58735
2015-07-04 13:00:00,65173,60937
2015-07-04 14:00:00,70371,66247
2015-07-04 15:00:00,75670,71853
2015-07-04 16:00:00,80105,76251
2015-07-04 17:00:00,83562,79464
2015-07-04 18:00:00,85799,80679
2015-07-04 19:00:00,87258,82314
2015-07-04 20:00:00,88461,83806
2015-07-04 21:00:00,89592,85301
2015-07-04 22:00:00,90115,86385
2015-07-04 23:00:00,89556,86210
2015-07-05 00:00:00,87362,84353
2015-07-05 01:00:00,84060,81326
2015-07-05 02:00:00,81616,79252
2015-07-05 03:00:00,79465,78431
2015-07-05 04:00:00,76962,75278
2015-07-05 05:00:00,73499,72011
2015-07-05 06:00:00,69123,66176
2015-07-05 07:00:00,65684,63878
2015-07-05 08:00:00,63407,61644
2015-07-05 09:00:00,62006,60185
2015-07-05 10:00:00,61741,59451
2015-07-05 11:00:00,61426,58488
2015-07-05 12:00:00,61889,58279
2015-07-05 13:00:00,65234,62436
2015-07-05 14:00:00,70541,69085
2015-07-05 15:00:00,76446,75640
2015-07-05 16:00:00,81560,81322
2015-07-05 17:00:00,86259,85992
2015-07-05 18:00:00,90197,88622
2015-07-05 19:00:00,93245,91488
2015-07-05 20:00:00,95468,93912
2015-07-05 21:00:00,97478,95956
2015-07-05 22:00:00,98745,97553
2015-07-05 23:00:00,98773,97807
2015-07-06 00:00:00,97116,96454
2015-07-06 01:00:00,94393,93997
2015-07-06 02:00:00,93023,92220
2015-07-06 03:00:00,90712,90839
2015-07-06 04:00:00,84847,85240
2015-07-06 05:00:00,78546,79621
2015-07-06 06:00:00,73890,76852
2015-07-06 07:00:00,70589,74403
2015-07-06 08:00:00,68627,72279
2015-07-06 09:00:00,68070,71459
2015-07-06 10:00:00,69453,72652
2015-07-06 11:00:00,72763,75964
2015-07-06 12:00:00,77737,80592
2015-07-06 13:00:00,83383,86276
2015-07-06 14:00:00,88690,91891
2015-07-06 15:00:00,93981,97388
2015-07-06 16:00:00,99120,101774
2015-07-06 17:00:00,103833,106182
2015-07-06 18:00:00,107512,109563
2015-07-06 19:00:00,110262,112111
2015-07-06 20:00:00,111839,113541
2015-07-06 21:00:00,112499,114301
2015-07-06 22:00:00,112783,114267
2015-07-06 23:00:00,111767,112885
2015-07-07 00:00:00,109311,110206
2015-07-07 01:00:00,105673,106789
2015-07-07 02:00:00,103647,104447
2015-07-07 03:00:00,100323,100738
2015-07-07 04:00:00,93076,93664
2015-07-07 05:00:00,86034,87875
2015-07-07 06:00:00,80824,81194
2015-07-07 07:00:00,77258,78417
2015-07-07 08:00:00,75037,76031
2015-07-07 09:00:00,74129,74948
2015-07-07 10:00:00,75144,75840
2015-07-07 11:00:00,78335,79120
2015-07-07 12:00:00,82385,83178
2015-07-07 13:00:00,86842,86237
2015-07-07 14:00:00,90765,90156
2015-07-07 15:00:00,93967,93801
2015-07-07 16:00:00,97057,97141
2015-07-07 17:00:00,98746,99754
2015-07-07 18:00:00,99626,101734
2015-07-07 19:00:00,100269,103210
2015-07-07 20:00:00,99832,103714
2015-07-07 21:00:00,99402,103761
2015-07-07 22:00:00,98749,103318
2015-07-07 23:00:00,96977,101965
2015-07-08 00:00:00,94756,99650
2015-07-08 01:00:00,92471,96536
2015-07-08 02:00:00,91560,94887
2015-07-08 03:00:00,89363,92255
2015-07-08 04:00:00,83322,85951
2015-07-08 05:00:00,77171,79514
2015-07-08 06:00:00,72925,74594
2015-07-08 07:00:00,70227,72604
2015-07-08 08:00:00,68448,70762
2015-07-08 09:00:00,67878,70051
2015-07-08 10:00:00,68970,71057
2015-07-08 11:00:00,72026,74049
2015-07-08 12:00:00,75985,76764
2015-07-08 13:00:00,80518,80899
2015-07-08 14:00:00,84230,84690
2015-07-08 15:00:00,87774,88189
2015-07-08 16:00:00,90355,91384
2015-07-08 17:00:00,92526,93949
2015-07-08 18:00:00,94401,96040
2015-07-08 19:00:00,95930,97731
2015-07-08 20:00:00,96277,98524
2015-07-08 21:00:00,96020,98788
2015-07-08 22:00:00,95956,98775
2015-07-08 23:00:00,95334,97893
2015-07-09 00:00:00,93915,96149
2015-07-09 01:00:00,91916,94033
2015-07-09 02:00:00,91451,93356
2015-07-09 03:00:00,89410,90879
2015-07-09 04:00:00,83755,85391
2015-07-09 05:00:00,78238,79299
2015-07-09 06:00:00,73926,73622
2015-07-09 07:00:00,71250,71802
2015-07-09 08:00:00,69507,70129
2015-07-09 09:00:00,68835,69529
2015-07-09 10:00:00,69973,70656
2015-07-09 11:00:00,73409,73859
2015-07-09 12:00:00,77383,77549
2015-07-09 13:00:00,81700,80903
2015-07-09 14:00:00,85628,84784
2015-07-09 15:00:00,89224,88403
2015-07-09 16:00:00,92748,91783
2015-07-09 17:00:00,95552,94528
2015-07-09 18:00:00,98083,96867
2015-07-09 19:00:00,100416,99015
2015-07-09 20:00:00,101715,100358
2015-07-09 21:00:00,102551,101188
2015-07-09 22:00:00,103118,101342
2015-07-09 23:00:00,102139,100361
2015-07-10 00:00:00,100017,98231
2015-07-10 01:00:00,97491,95531
2015-07-10 02:00:00,96180,94194
2015-07-10 03:00:00,93680,91647
2015-07-10 04:00:00,87363,85840
2015-07-10 05:00:00,80766,80407
2015-07-10 06:00:00,75865,74291
2015-07-10 07:00:00,72397,72237
2015-07-10 08:00:00,70305,70371
2015-07-10 09:00:00,69573,69656
2015-07-10 10:00:00,70541,70682
2015-07-10 11:00:00,73469,73666
2015-07-10 12:00:00,77469,77171
2015-07-10 13:00:00,82450,82093
2015-07-10 14:00:00,87564,85894
2015-07-10 15:00:00,92232,90391
2015-07-10 16:00:00,96722,94575
2015-07-10 17:00:00,100181,97997
2015-07-10 18:00:00,103080,100790
2015-07-10 19:00:00,105469,103041
2015-07-10 20:00:00,106781,104289
2015-07-10 21:00:00,107510,105002
2015-07-10 22:00:00,107379,105089
2015-07-10 23:00:00,106108,103977
2015-07-11 00:00:00,103649,101578
2015-07-11 01:00:00,99944,98413
2015-07-11 02:00:00,97737,96515
2015-07-11 03:00:00,95245,93893
2015-07-11 04:00:00,88978,87758
2015-07-11 05:00:00,82316,82734
2015-07-11 06:00:00,76903,76906
2015-07-11 07:00:00,72889,74198
2015-07-11 08:00:00,70402,71842
2015-07-11 09:00:00,68767,70514
2015-07-11 10:00:00,68548,70363
2015-07-11 11:00:00,68868,71187
2015-07-11 12:00:00,70034,72684
2015-07-11 13:00:00,74298,76279
2015-07-11 14:00:00,80461,82223
2015-07-11 15:00:00,86703,87941
2015-07-11 16:00:00,92067,91950
2015-07-11 17:00:00,96248,96071
2015-07-11 18:00:00,99288,99317
2015-07-11 19:00:00,101784,101870
2015-07-11 20:00:00,103467,103671
2015-07-11 21:00:00,104678,104968
2015-07-11 22:00:00,105107,105596
2015-07-11 23:00:00,104810,104841
2015-07-12 00:00:00,103044,102566
2015-07-12 01:00:00,100015,99366
2015-07-12 02:00:00,97998,97585
2015-07-12 03:00:00,95719,94959
2015-07-12 04:00:00,89981,89198
2015-07-12 05:00:00,83871,84334
2015-07-12 06:00:00,78797,78622
2015-07-12 07:00:00,74957,75498
2015-07-12 08:00:00,72274,72988
2015-07-12 09:00:00,70516,71441
2015-07-12 10:00:00,69713,70991
2015-07-12 11:00:00,69469,71295
2015-07-12 12:00:00,69689,72083
2015-07-12 13:00:00,73877,75838
2015-07-12 14:00:00,80646,82052
2015-07-12 15:00:00,87193,88285
2015-07-12 16:00:00,93152,93935
2015-07-12 17:00:00,98409,98900
2015-07-12 18:00:00,102802,102389
2015-07-12 19:00:00,106271,105854
2015-07-12 20:00:00,108904,108476
2015-07-12 21:00:00,111202,110537
2015-07-12 22:00:00,112870,111904
2015-07-12 23:00:00,113687,111769
2015-07-13 00:00:00,112595,109905
2015-07-13 01:00:00,109427,107086
2015-07-13 02:00:00,107073,105194
2015-07-13 03:00:00,104245,102001
