date_time,demand (MW),forecast demand (MW)
2015-07-01 00:00:00,MISSING,MISSING
2015-07-01 01:00:00,MISSING,MISSING
2015-07-01 02:00:00,MISSING,MISSING
2015-07-01 03:00:00,MISSING,MISSING
2015-07-01 04:00:00,MISSING,MISSING
2015-07-01 05:00:00,MISSING,MISSING
2015-07-01 06:00:00,MISSING,MISSING
2015-07-01 07:00:00,MISSING,MISSING
2015-07-01 08:00:00,873,865
2015-07-01 09:00:00,833,841
2015-07-01 10:00:00,802,790
2015-07-01 11:00:00,796,783
2015-07-01 12:00:00,807,800
2015-07-01 13:00:00,856,857
2015-07-01 14:00:00,974,976
2015-07-01 15:00:00,1085,1086
2015-07-01 16:00:00,1155,1140
2015-07-01 17:00:00,1195,1175
2015-07-01 18:00:00,1211,1200
2015-07-01 19:00:00,1235,1225
2015-07-01 20:00:00,1248,1235
2015-07-01 21:00:00,1254,1245
2015-07-01 22:00:00,1262,1250
2015-07-01 23:00:00,1275,1250
2015-07-02 00:00:00,1282,1250
2015-07-02 01:00:00,1277,1240
2015-07-02 02:00:00,1226,1185
2015-07-02 03:00:00,1186,1150
2015-07-02 04:00:00,1157,1125
2015-07-02 05:00:00,1148,1110
2015-07-02 06:00:00,1099,1055
2015-07-02 07:00:00,995,955
2015-07-02 08:00:00,921,890
2015-07-02 09:00:00,859,842
2015-07-02 10:00:00,826,815
2015-07-02 11:00:00,819,810
2015-07-02 12:00:00,826,817
2015-07-02 13:00:00,870,880
2015-07-02 14:00:00,980,990
2015-07-02 15:00:00,1095,1114
2015-07-02 16:00:00,1164,1162
2015-07-02 17:00:00,1209,1207
2015-07-02 18:00:00,1231,1238
2015-07-02 19:00:00,1246,1261
2015-07-02 20:00:00,1265,1255
2015-07-02 21:00:00,1268,1270
2015-07-02 22:00:00,1282,1270
2015-07-02 23:00:00,1281,1275
2015-07-03 00:00:00,1284,1275
2015-07-03 01:00:00,1281,1260
2015-07-03 02:00:00,1221,1205
2015-07-03 03:00:00,1176,1160
2015-07-03 04:00:00,1140,1140
2015-07-03 05:00:00,1121,1120
2015-07-03 06:00:00,1083,1070
2015-07-03 07:00:00,992,985
2015-07-03 08:00:00,923,921
2015-07-03 09:00:00,867,853
2015-07-03 10:00:00,834,836
2015-07-03 11:00:00,818,873
2015-07-03 12:00:00,846,875
2015-07-03 13:00:00,865,885
2015-07-03 14:00:00,936,935
2015-07-03 15:00:00,1015,1005
2015-07-03 16:00:00,1080,1085
2015-07-03 17:00:00,1133,1155
2015-07-03 18:00:00,1178,1185
2015-07-03 19:00:00,1204,1205
2015-07-03 20:00:00,1209,1205
2015-07-03 21:00:00,1220,1215
2015-07-03 22:00:00,1218,1205
2015-07-03 23:00:00,1228,1220
2015-07-04 00:00:00,1240,1250
2015-07-04 01:00:00,1236,1280
2015-07-04 02:00:00,1204,1255
2015-07-04 03:00:00,1171,1230
2015-07-04 04:00:00,1134,1235
2015-07-04 05:00:00,1128,1200
2015-07-04 06:00:00,1096,1145
2015-07-04 07:00:00,1026,1070
2015-07-04 08:00:00,960,960
2015-07-04 09:00:00,905,905
2015-07-04 10:00:00,868,870
2015-07-04 11:00:00,860,845
2015-07-04 12:00:00,844,840
2015-07-04 13:00:00,831,855
2015-07-04 14:00:00,854,860
2015-07-04 15:00:00,910,915
2015-07-04 16:00:00,998,1035
2015-07-04 17:00:00,1044,1105
2015-07-04 18:00:00,1087,1145
2015-07-04 19:00:00,1104,1160
2015-07-04 20:00:00,1118,1165
2015-07-04 21:00:00,1116,1165
2015-07-04 22:00:00,1121,1160
2015-07-04 23:00:00,1108,1155
2015-07-05 00:00:00,1118,1170
2015-07-05 01:00:00,1109,1160
2015-07-05 02:00:00,1105,1145
2015-07-05 03:00:00,1073,1130
2015-07-05 04:00:00,1051,1140
2015-07-05 05:00:00,1035,1105
2015-07-05 06:00:00,1004,1060
2015-07-05 07:00:00,978,995
2015-07-05 08:00:00,930,930
2015-07-05 09:00:00,891,885
2015-07-05 10:00:00,867,860
2015-07-05 11:00:00,846,845
2015-07-05 12:00:00,837,835
2015-07-05 13:00:00,817,835
2015-07-05 14:00:00,826,860
2015-07-05 15:00:00,877,920
2015-07-05 16:00:00,918,1005
2015-07-05 17:00:00,1021,1080
2015-07-05 18:00:00,1072,1125
2015-07-05 19:00:00,1099,1150
2015-07-05 20:00:00,1115,1155
2015-07-05 21:00:00,1133,1170
2015-07-05 22:00:00,1087,1170
2015-07-05 23:00:00,1104,1170
2015-07-06 00:00:00,1117,1180
2015-07-06 01:00:00,1125,1195
2015-07-06 02:00:00,1157,1190
2015-07-06 03:00:00,1163,1190
2015-07-06 04:00:00,1157,1180
2015-07-06 05:00:00,1158,1175
2015-07-06 06:00:00,1114,1130
2015-07-06 07:00:00,1020,1030
2015-07-06 08:00:00,950,945
2015-07-06 09:00:00,909,900
2015-07-06 10:00:00,888,875
2015-07-06 11:00:00,875,870
2015-07-06 12:00:00,901,885
2015-07-06 13:00:00,932,945
2015-07-06 14:00:00,1035,1070
2015-07-06 15:00:00,1114,1190
2015-07-06 16:00:00,1188,1245
2015-07-06 17:00:00,1215,1280
2015-07-06 18:00:00,1268,1310
2015-07-06 19:00:00,1290,1330
2015-07-06 20:00:00,1288,1340
2015-07-06 21:00:00,1321,1360
2015-07-06 22:00:00,1330,1360
2015-07-06 23:00:00,1325,1365
2015-07-07 00:00:00,1334,1360
2015-07-07 01:00:00,1327,1350
2015-07-07 02:00:00,1280,1300
2015-07-07 03:00:00,1240,1265
2015-07-07 04:00:00,1197,1235
2015-07-07 05:00:00,1184,1205
2015-07-07 06:00:00,1118,1140
2015-07-07 07:00:00,1018,1040
2015-07-07 08:00:00,940,935
2015-07-07 09:00:00,889,885
2015-07-07 10:00:00,855,860
2015-07-07 11:00:00,842,850
2015-07-07 12:00:00,861,865
2015-07-07 13:00:00,887,910
2015-07-07 14:00:00,1005,1030
2015-07-07 15:00:00,1104,1140
2015-07-07 16:00:00,1148,1200
2015-07-07 17:00:00,1187,1240
2015-07-07 18:00:00,1204,1270
2015-07-07 19:00:00,1233,1290
2015-07-07 20:00:00,1228,1305
2015-07-07 21:00:00,1252,1320
2015-07-07 22:00:00,1266,1325
2015-07-07 23:00:00,1266,1330
2015-07-08 00:00:00,1271,1340
2015-07-08 01:00:00,1237,1325
2015-07-08 02:00:00,1159,1280
2015-07-08 03:00:00,1119,1235
2015-07-08 04:00:00,1095,1205
2015-07-08 05:00:00,1080,1180
2015-07-08 06:00:00,1022,1125
2015-07-08 07:00:00,926,1035
2015-07-08 08:00:00,849,860
2015-07-08 09:00:00,812,815
2015-07-08 10:00:00,783,785
2015-07-08 11:00:00,775,775
2015-07-08 12:00:00,793,790
2015-07-08 13:00:00,832,835
2015-07-08 14:00:00,943,955
2015-07-08 15:00:00,1052,1070
2015-07-08 16:00:00,1105,1155
2015-07-08 17:00:00,1131,1195
2015-07-08 18:00:00,1172,1225
2015-07-08 19:00:00,1201,1240
2015-07-08 20:00:00,1213,1255
2015-07-08 21:00:00,1220,1270
2015-07-08 22:00:00,1206,1275
2015-07-08 23:00:00,1227,1280
2015-07-09 00:00:00,1239,1285
2015-07-09 01:00:00,1231,1275
2015-07-09 02:00:00,1177,1215
2015-07-09 03:00:00,1138,1175
2015-07-09 04:00:00,1111,1145
2015-07-09 05:00:00,1105,1130
2015-07-09 06:00:00,1053,1080
2015-07-09 07:00:00,955,985
2015-07-09 08:00:00,870,865
2015-07-09 09:00:00,827,825
2015-07-09 10:00:00,802,795
2015-07-09 11:00:00,789,785
2015-07-09 12:00:00,798,795
2015-07-09 13:00:00,848,840
2015-07-09 14:00:00,946,955
2015-07-09 15:00:00,1051,1065
2015-07-09 16:00:00,1101,1155
2015-07-09 17:00:00,1136,1190
2015-07-09 18:00:00,1178,1220
2015-07-09 19:00:00,1199,1235
2015-07-09 20:00:00,1216,1250
2015-07-09 21:00:00,1238,1265
2015-07-09 22:00:00,1244,1270
2015-07-09 23:00:00,1255,1275
2015-07-10 00:00:00,1255,1280
2015-07-10 01:00:00,1249,1275
2015-07-10 02:00:00,1200,1215
2015-07-10 03:00:00,1152,1175
2015-07-10 04:00:00,1120,1145
2015-07-10 05:00:00,1114,1135
2015-07-10 06:00:00,1055,1085
2015-07-10 07:00:00,949,980
2015-07-10 08:00:00,870,865
2015-07-10 09:00:00,823,825
2015-07-10 10:00:00,796,795
2015-07-10 11:00:00,790,805
2015-07-10 12:00:00,830,825
2015-07-10 13:00:00,871,895
2015-07-10 14:00:00,972,1005
2015-07-10 15:00:00,1093,1105
2015-07-10 16:00:00,1141,1175
2015-07-10 17:00:00,1181,1210
2015-07-10 18:00:00,1194,1225
2015-07-10 19:00:00,1209,1240
2015-07-10 20:00:00,1211,1245
2015-07-10 21:00:00,1198,1250
2015-07-10 22:00:00,1193,1255
2015-07-10 23:00:00,1179,1255
2015-07-11 00:00:00,1168,1260
2015-07-11 01:00:00,1141,1250
2015-07-11 02:00:00,1088,1195
2015-07-11 03:00:00,1064,1150
2015-07-11 04:00:00,1041,1125
2015-07-11 05:00:00,1042,1115
2015-07-11 06:00:00,1005,1070
2015-07-11 07:00:00,937,990
2015-07-11 08:00:00,872,870
2015-07-11 09:00:00,805,832
2015-07-11 10:00:00,775,813
2015-07-11 11:00:00,797,780
2015-07-11 12:00:00,798,799
2015-07-11 13:00:00,808,805
2015-07-11 14:00:00,825,822
2015-07-11 15:00:00,890,876
2015-07-11 16:00:00,965,959
2015-07-11 17:00:00,1008,1025
2015-07-11 18:00:00,1054,1057
2015-07-11 19:00:00,1041,1074
2015-07-11 20:00:00,1066,1100
2015-07-11 21:00:00,1038,1090
2015-07-11 22:00:00,1044,1090
2015-07-11 23:00:00,1028,1080
2015-07-12 00:00:00,1021,1090
2015-07-12 01:00:00,1023,1095
2015-07-12 02:00:00,1017,1085
2015-07-12 03:00:00,1005,1065
2015-07-12 04:00:00,997,1055
2015-07-12 05:00:00,1000,1055
2015-07-12 06:00:00,966,1025
2015-07-12 07:00:00,911,955
2015-07-12 08:00:00,853,875
2015-07-12 09:00:00,826,827
2015-07-12 10:00:00,803,806
2015-07-12 11:00:00,785,791
2015-07-12 12:00:00,798,784
2015-07-12 13:00:00,799,783
2015-07-12 14:00:00,819,800
2015-07-12 15:00:00,864,846
2015-07-12 16:00:00,905,922
2015-07-12 17:00:00,984,987
2015-07-12 18:00:00,1025,1026
2015-07-12 19:00:00,1052,1049
2015-07-12 20:00:00,1070,1055
2015-07-12 21:00:00,1028,1050
2015-07-12 22:00:00,1044,1049
2015-07-12 23:00:00,1064,1051
2015-07-13 00:00:00,1078,1065
2015-07-13 01:00:00,1101,1080
2015-07-13 02:00:00,1091,1082
2015-07-13 03:00:00,1084,1074
2015-07-13 04:00:00,1075,1065
2015-07-13 05:00:00,1076,1062
2015-07-13 06:00:00,1026,1013
2015-07-13 07:00:00,938,934
2015-07-13 08:00:00,877,879
2015-07-13 09:00:00,841,843
2015-07-13 10:00:00,822,821
2015-07-13 11:00:00,817,813
2015-07-13 12:00:00,842,835
2015-07-13 13:00:00,902,889
2015-07-13 14:00:00,1011,1005
