date_time,demand (MW),forecast demand (MW)
2015-07-01 00:00:00,MISSING,MISSING
2015-07-01 01:00:00,MISSING,MISSING
2015-07-01 02:00:00,MISSING,MISSING
2015-07-01 03:00:00,MISSING,MISSING
2015-07-01 04:00:00,MISSING,MISSING
2015-07-01 05:00:00,MISSING,MISSING
2015-07-01 06:00:00,MISSING,MISSING
2015-07-01 07:00:00,MISSING,MISSING
2015-07-01 08:00:00,468,442
2015-07-01 09:00:00,441,416
2015-07-01 10:00:00,420,402
2015-07-01 11:00:00,417,398
2015-07-01 12:00:00,420,404
2015-07-01 13:00:00,436,422
2015-07-01 14:00:00,472,457
2015-07-01 15:00:00,507,493
2015-07-01 16:00:00,546,525
2015-07-01 17:00:00,562,546
2015-07-01 18:00:00,573,565
2015-07-01 19:00:00,585,595
2015-07-01 20:00:00,609,609
2015-07-01 21:00:00,614,618
2015-07-01 22:00:00,624,619
2015-07-01 23:00:00,633,621
2015-07-02 00:00:00,630,619
2015-07-02 01:00:00,633,617
2015-07-02 02:00:00,620,602
2015-07-02 03:00:00,612,597
2015-07-02 04:00:00,598,577
2015-07-02 05:00:00,596,583
2015-07-02 06:00:00,570,542
2015-07-02 07:00:00,515,490
2015-07-02 08:00:00,466,439
2015-07-02 09:00:00,454,415
2015-07-02 10:00:00,427,402
2015-07-02 11:00:00,426,397
2015-07-02 12:00:00,427,404
2015-07-02 13:00:00,438,423
2015-07-02 14:00:00,472,458
2015-07-02 15:00:00,515,494
2015-07-02 16:00:00,549,527
2015-07-02 17:00:00,581,547
2015-07-02 18:00:00,601,564
2015-07-02 19:00:00,616,588
2015-07-02 20:00:00,625,605
2015-07-02 21:00:00,637,611
2015-07-02 22:00:00,638,616
2015-07-02 23:00:00,644,620
2015-07-03 00:00:00,638,619
2015-07-03 01:00:00,639,618
2015-07-03 02:00:00,632,606
2015-07-03 03:00:00,614,597
2015-07-03 04:00:00,601,576
2015-07-03 05:00:00,603,579
2015-07-03 06:00:00,572,541
2015-07-03 07:00:00,531,489
2015-07-03 08:00:00,487,446
2015-07-03 09:00:00,456,425
2015-07-03 10:00:00,443,410
2015-07-03 11:00:00,425,402
2015-07-03 12:00:00,424,410
2015-07-03 13:00:00,416,417
2015-07-03 14:00:00,437,442
2015-07-03 15:00:00,464,475
2015-07-03 16:00:00,506,506
2015-07-03 17:00:00,536,531
2015-07-03 18:00:00,562,554
2015-07-03 19:00:00,572,568
2015-07-03 20:00:00,584,574
2015-07-03 21:00:00,590,582
2015-07-03 22:00:00,603,578
2015-07-03 23:00:00,602,579
2015-07-04 00:00:00,607,578
2015-07-04 01:00:00,605,575
2015-07-04 02:00:00,595,560
2015-07-04 03:00:00,587,545
2015-07-04 04:00:00,567,532
2015-07-04 05:00:00,560,537
2015-07-04 06:00:00,555,522
2015-07-04 07:00:00,512,489
2015-07-04 08:00:00,477,450
2015-07-04 09:00:00,433,423
2015-07-04 10:00:00,422,401
2015-07-04 11:00:00,401,391
2015-07-04 12:00:00,396,388
2015-07-04 13:00:00,381,373
2015-07-04 14:00:00,392,370
2015-07-04 15:00:00,411,392
2015-07-04 16:00:00,457,432
2015-07-04 17:00:00,486,469
2015-07-04 18:00:00,518,495
2015-07-04 19:00:00,530,508
2015-07-04 20:00:00,544,513
2015-07-04 21:00:00,546,513
2015-07-04 22:00:00,540,510
2015-07-04 23:00:00,551,511
2015-07-05 00:00:00,544,512
2015-07-05 01:00:00,540,514
2015-07-05 02:00:00,535,508
2015-07-05 03:00:00,522,495
2015-07-05 04:00:00,507,482
2015-07-05 05:00:00,507,492
2015-07-05 06:00:00,487,482
2015-07-05 07:00:00,477,459
2015-07-05 08:00:00,452,453
2015-07-05 09:00:00,428,427
2015-07-05 10:00:00,409,410
2015-07-05 11:00:00,391,398
2015-07-05 12:00:00,387,396
2015-07-05 13:00:00,384,387
2015-07-05 14:00:00,377,383
2015-07-05 15:00:00,405,410
2015-07-05 16:00:00,443,447
2015-07-05 17:00:00,478,483
2015-07-05 18:00:00,499,503
2015-07-05 19:00:00,521,521
2015-07-05 20:00:00,539,528
2015-07-05 21:00:00,546,537
2015-07-05 22:00:00,549,538
2015-07-05 23:00:00,559,544
2015-07-06 00:00:00,562,548
2015-07-06 01:00:00,576,555
2015-07-06 02:00:00,574,556
2015-07-06 03:00:00,567,547
2015-07-06 04:00:00,560,542
2015-07-06 05:00:00,557,554
2015-07-06 06:00:00,542,527
2015-07-06 07:00:00,488,481
2015-07-06 08:00:00,453,431
2015-07-06 09:00:00,420,410
2015-07-06 10:00:00,407,395
2015-07-06 11:00:00,401,390
2015-07-06 12:00:00,409,403
2015-07-06 13:00:00,425,428
2015-07-06 14:00:00,456,453
2015-07-06 15:00:00,490,490
2015-07-06 16:00:00,530,529
2015-07-06 17:00:00,548,555
2015-07-06 18:00:00,577,578
2015-07-06 19:00:00,592,610
2015-07-06 20:00:00,608,623
2015-07-06 21:00:00,625,633
2015-07-06 22:00:00,629,634
2015-07-06 23:00:00,634,639
2015-07-07 00:00:00,631,640
2015-07-07 01:00:00,637,632
2015-07-07 02:00:00,624,622
2015-07-07 03:00:00,604,610
2015-07-07 04:00:00,582,597
2015-07-07 05:00:00,582,601
2015-07-07 06:00:00,546,547
2015-07-07 07:00:00,498,495
2015-07-07 08:00:00,455,454
2015-07-07 09:00:00,428,433
2015-07-07 10:00:00,407,415
2015-07-07 11:00:00,412,410
2015-07-07 12:00:00,416,414
2015-07-07 13:00:00,432,430
2015-07-07 14:00:00,456,464
2015-07-07 15:00:00,494,501
2015-07-07 16:00:00,519,531
2015-07-07 17:00:00,531,555
2015-07-07 18:00:00,543,574
2015-07-07 19:00:00,560,599
2015-07-07 20:00:00,570,610
2015-07-07 21:00:00,587,622
2015-07-07 22:00:00,589,623
2015-07-07 23:00:00,599,627
2015-07-08 00:00:00,601,625
2015-07-08 01:00:00,608,622
2015-07-08 02:00:00,603,611
2015-07-08 03:00:00,583,601
2015-07-08 04:00:00,574,581
2015-07-08 05:00:00,566,585
2015-07-08 06:00:00,533,548
2015-07-08 07:00:00,493,500
2015-07-08 08:00:00,450,445
2015-07-08 09:00:00,428,426
2015-07-08 10:00:00,414,408
2015-07-08 11:00:00,408,405
2015-07-08 12:00:00,413,410
2015-07-08 13:00:00,429,428
2015-07-08 14:00:00,457,462
2015-07-08 15:00:00,486,498
2015-07-08 16:00:00,516,534
2015-07-08 17:00:00,534,558
2015-07-08 18:00:00,557,577
2015-07-08 19:00:00,565,593
2015-07-08 20:00:00,580,613
2015-07-08 21:00:00,591,625
2015-07-08 22:00:00,594,630
2015-07-08 23:00:00,612,634
2015-07-09 00:00:00,612,631
2015-07-09 01:00:00,609,631
2015-07-09 02:00:00,606,618
2015-07-09 03:00:00,602,609
2015-07-09 04:00:00,581,589
2015-07-09 05:00:00,572,583
2015-07-09 06:00:00,550,554
2015-07-09 07:00:00,499,506
2015-07-09 08:00:00,459,457
2015-07-09 09:00:00,433,437
2015-07-09 10:00:00,411,416
2015-07-09 11:00:00,415,414
2015-07-09 12:00:00,425,419
2015-07-09 13:00:00,444,435
2015-07-09 14:00:00,467,468
2015-07-09 15:00:00,501,505
2015-07-09 16:00:00,520,542
2015-07-09 17:00:00,549,566
2015-07-09 18:00:00,562,585
2015-07-09 19:00:00,577,600
2015-07-09 20:00:00,588,614
2015-07-09 21:00:00,602,621
2015-07-09 22:00:00,611,625
2015-07-09 23:00:00,619,630
2015-07-10 00:00:00,614,626
2015-07-10 01:00:00,621,625
2015-07-10 02:00:00,607,611
2015-07-10 03:00:00,592,600
2015-07-10 04:00:00,566,586
2015-07-10 05:00:00,569,590
2015-07-10 06:00:00,532,561
2015-07-10 07:00:00,486,509
2015-07-10 08:00:00,451,444
2015-07-10 09:00:00,425,416
2015-07-10 10:00:00,421,405
2015-07-10 11:00:00,409,399
2015-07-10 12:00:00,423,408
2015-07-10 13:00:00,442,424
2015-07-10 14:00:00,462,443
2015-07-10 15:00:00,495,475
2015-07-10 16:00:00,512,501
2015-07-10 17:00:00,526,518
2015-07-10 18:00:00,548,532
2015-07-10 19:00:00,553,542
2015-07-10 20:00:00,554,544
2015-07-10 21:00:00,549,550
2015-07-10 22:00:00,545,545
2015-07-10 23:00:00,542,545
2015-07-11 00:00:00,537,539
2015-07-11 01:00:00,524,540
2015-07-11 02:00:00,513,526
2015-07-11 03:00:00,514,519
2015-07-11 04:00:00,510,510
2015-07-11 05:00:00,516,520
2015-07-11 06:00:00,491,501
2015-07-11 07:00:00,453,463
2015-07-11 08:00:00,427,436
2015-07-11 09:00:00,404,412
2015-07-11 10:00:00,399,397
2015-07-11 11:00:00,383,388
2015-07-11 12:00:00,394,389
2015-07-11 13:00:00,390,383
2015-07-11 14:00:00,397,379
2015-07-11 15:00:00,424,402
2015-07-11 16:00:00,446,435
2015-07-11 17:00:00,481,464
2015-07-11 18:00:00,493,482
2015-07-11 19:00:00,500,491
2015-07-11 20:00:00,500,492
2015-07-11 21:00:00,495,492
2015-07-11 22:00:00,481,489
2015-07-11 23:00:00,488,488
2015-07-12 00:00:00,487,489
2015-07-12 01:00:00,486,493
2015-07-12 02:00:00,482,492
2015-07-12 03:00:00,484,489
2015-07-12 04:00:00,484,481
2015-07-12 05:00:00,486,492
2015-07-12 06:00:00,465,481
2015-07-12 07:00:00,445,448
2015-07-12 08:00:00,415,428
2015-07-12 09:00:00,395,408
2015-07-12 10:00:00,388,396
2015-07-12 11:00:00,375,385
2015-07-12 12:00:00,378,382
2015-07-12 13:00:00,379,375
2015-07-12 14:00:00,384,363
2015-07-12 15:00:00,397,382
2015-07-12 16:00:00,424,415
2015-07-12 17:00:00,449,445
2015-07-12 18:00:00,472,461
2015-07-12 19:00:00,486,474
2015-07-12 20:00:00,488,477
2015-07-12 21:00:00,496,477
2015-07-12 22:00:00,501,476
2015-07-12 23:00:00,504,478
2015-07-13 00:00:00,516,487
2015-07-13 01:00:00,524,492
2015-07-13 02:00:00,522,497
2015-07-13 03:00:00,517,493
2015-07-13 04:00:00,509,493
2015-07-13 05:00:00,530,503
2015-07-13 06:00:00,499,483
2015-07-13 07:00:00,457,442
2015-07-13 08:00:00,430,428
2015-07-13 09:00:00,402,402
2015-07-13 10:00:00,398,394
2015-07-13 11:00:00,393,391
2015-07-13 12:00:00,402,404
2015-07-13 13:00:00,428,422
2015-07-13 14:00:00,448,445
2015-07-13 15:00:00,489,477
2015-07-13 16:00:00,512,510
2015-07-13 17:00:00,532,525
2015-07-13 18:00:00,540,544
2015-07-13 19:00:00,557,556
2015-07-13 20:00:00,562,563
2015-07-13 21:00:00,576,565
2015-07-13 22:00:00,573,565
2015-07-13 23:00:00,579,560
2015-07-14 00:00:00,589,552
2015-07-14 01:00:00,590,553
2015-07-14 02:00:00,576,543
2015-07-14 03:00:00,567,538
2015-07-14 04:00:00,541,528
2015-07-14 05:00:00,552,535
2015-07-14 06:00:00,519,504
2015-07-14 07:00:00,471,456
2015-07-14 08:00:00,431,434
2015-07-14 09:00:00,408,411
2015-07-14 10:00:00,400,395
2015-07-14 11:00:00,393,391
2015-07-14 12:00:00,399,401
