date_time,demand (MW),forecast demand (MW)
2015-07-01 00:00:00,MISSING,MISSING
2015-07-01 01:00:00,MISSING,MISSING
2015-07-01 02:00:00,MISSING,MISSING
2015-07-01 03:00:00,MISSING,MISSING
2015-07-01 04:00:00,MISSING,MISSING
2015-07-01 05:00:00,162827,106573
2015-07-01 06:00:00,335153,269675
2015-07-01 07:00:00,333837,269773
2015-07-01 08:00:00,398386,331736
2015-07-01 09:00:00,388954,324545
2015-07-01 10:00:00,392487,326446
2015-07-01 11:00:00,404647,337630
2015-07-01 12:00:00,422227,353355
2015-07-01 13:00:00,442131,372203
2015-07-01 14:00:00,464371,395138
2015-07-01 15:00:00,491512,420886
2015-07-01 16:00:00,518043,445703
2015-07-01 17:00:00,540514,467559
2015-07-01 18:00:00,560701,487510
2015-07-01 19:00:00,576400,504068
2015-07-01 20:00:00,587405,515767
2015-07-01 21:00:00,594477,523445
2015-07-01 22:00:00,595242,525996
2015-07-01 23:00:00,586317,521087
2015-07-02 00:00:00,572656,503861
2015-07-02 01:00:00,554682,492105
2015-07-02 02:00:00,543332,478953
2015-07-02 03:00:00,520871,456668
2015-07-02 04:00:00,485722,425519
2015-07-02 05:00:00,453284,411876
2015-07-02 06:00:00,429199,376463
2015-07-02 07:00:00,407007,357039
2015-07-02 08:00:00,395194,345563
2015-07-02 09:00:00,387654,338945
2015-07-02 10:00:00,390157,340549
2015-07-02 11:00:00,401643,352156
2015-07-02 12:00:00,417369,369838
2015-07-02 13:00:00,437741,387686
2015-07-02 14:00:00,459562,410579
2015-07-02 15:00:00,485186,434941
2015-07-02 16:00:00,509369,457714
2015-07-02 17:00:00,529809,477083
2015-07-02 18:00:00,546611,495155
2015-07-02 19:00:00,558445,509838
2015-07-02 20:00:00,565833,519641
2015-07-02 21:00:00,569351,526548
2015-07-02 22:00:00,569616,527590
2015-07-02 23:00:00,561747,521476
2015-07-03 00:00:00,549867,504576
2015-07-03 01:00:00,533110,493022
2015-07-03 02:00:00,522864,480572
2015-07-03 03:00:00,501272,459462
2015-07-03 04:00:00,470322,429294
2015-07-03 05:00:00,440084,398418
2015-07-03 06:00:00,415203,366612
2015-07-03 07:00:00,394227,346046
2015-07-03 08:00:00,383147,335370
2015-07-03 09:00:00,373941,327615
2015-07-03 10:00:00,371552,325208
2015-07-03 11:00:00,373312,328913
2015-07-03 12:00:00,380160,339597
2015-07-03 13:00:00,396051,354886
2015-07-03 14:00:00,418789,377446
2015-07-03 15:00:00,444329,402733
2015-07-03 16:00:00,466734,425978
2015-07-03 17:00:00,487268,446378
2015-07-03 18:00:00,504422,464278
2015-07-03 19:00:00,518545,478021
2015-07-03 20:00:00,528781,487275
2015-07-03 21:00:00,536381,494228
2015-07-03 22:00:00,539823,494553
2015-07-03 23:00:00,534988,488288
2015-07-04 00:00:00,523996,469684
2015-07-04 01:00:00,510066,457743
2015-07-04 02:00:00,500554,444904
2015-07-04 03:00:00,482726,426922
2015-07-04 04:00:00,455366,402821
2015-07-04 05:00:00,428928,379495
2015-07-04 06:00:00,403685,354085
2015-07-04 07:00:00,384331,335786
2015-07-04 08:00:00,373639,323283
2015-07-04 09:00:00,363002,314433
2015-07-04 10:00:00,357789,308075
2015-07-04 11:00:00,355088,303989
2015-07-04 12:00:00,356956,306729
2015-07-04 13:00:00,371087,321959
2015-07-04 14:00:00,396040,346381
2015-07-04 15:00:00,423956,373033
2015-07-04 16:00:00,450542,397381
2015-07-04 17:00:00,472985,417139
2015-07-04 18:00:00,490561,430729
2015-07-04 19:00:00,502921,442610
2015-07-04 20:00:00,512645,451394
2015-07-04 21:00:00,519700,458388
2015-07-04 22:00:00,521413,461838
2015-07-04 23:00:00,515522,458272
2015-07-05 00:00:00,501977,446185
2015-07-05 01:00:00,482706,435835
2015-07-05 02:00:00,469315,426035
2015-07-05 03:00:00,454492,412090
2015-07-05 04:00:00,436638,391065
2015-07-05 05:00:00,414372,368380
2015-07-05 06:00:00,391943,342438
2015-07-05 07:00:00,374853,325986
2015-07-05 08:00:00,366221,316378
2015-07-05 09:00:00,357581,307421
2015-07-05 10:00:00,352403,302139
2015-07-05 11:00:00,348599,298946
2015-07-05 12:00:00,351157,302400
2015-07-05 13:00:00,368197,318622
2015-07-05 14:00:00,393860,343905
2015-07-05 15:00:00,423719,371135
2015-07-05 16:00:00,452969,396687
2015-07-05 17:00:00,480469,419229
2015-07-05 18:00:00,503990,437557
2015-07-05 19:00:00,521951,453128
2015-07-05 20:00:00,535678,465714
2015-07-05 21:00:00,545454,476293
2015-07-05 22:00:00,550003,482564
2015-07-05 23:00:00,547755,481529
2015-07-06 00:00:00,538399,469455
2015-07-06 01:00:00,524023,462869
2015-07-06 02:00:00,515913,455094
2015-07-06 03:00:00,497970,438667
2015-07-06 04:00:00,467812,412627
2015-07-06 05:00:00,438224,386509
2015-07-06 06:00:00,414590,360937
2015-07-06 07:00:00,395547,343413
2015-07-06 08:00:00,386688,333807
2015-07-06 09:00:00,380838,328336
2015-07-06 10:00:00,385464,332060
2015-07-06 11:00:00,398533,345543
2015-07-06 12:00:00,420832,365500
2015-07-06 13:00:00,446871,387361
2015-07-06 14:00:00,474788,413355
2015-07-06 15:00:00,506007,441757
2015-07-06 16:00:00,536868,467163
2015-07-06 17:00:00,563797,489684
2015-07-06 18:00:00,589744,509747
2015-07-06 19:00:00,605239,524726
2015-07-06 20:00:00,615340,534915
2015-07-06 21:00:00,621261,542000
2015-07-06 22:00:00,623522,542480
2015-07-06 23:00:00,615818,536071
2015-07-07 00:00:00,601361,519144
2015-07-07 01:00:00,581218,506420
2015-07-07 02:00:00,568149,493229
2015-07-07 03:00:00,542142,470032
2015-07-07 04:00:00,505672,438282
2015-07-07 05:00:00,470729,410660
2015-07-07 06:00:00,442811,379410
2015-07-07 07:00:00,420969,358727
2015-07-07 08:00:00,409642,346199
2015-07-07 09:00:00,402985,339884
2015-07-07 10:00:00,407068,342438
2015-07-07 11:00:00,421136,355229
2015-07-07 12:00:00,441560,373636
2015-07-07 13:00:00,464681,392166
2015-07-07 14:00:00,491014,414831
2015-07-07 15:00:00,520354,440168
2015-07-07 16:00:00,548163,464616
2015-07-07 17:00:00,569321,484754
2015-07-07 18:00:00,586642,502450
2015-07-07 19:00:00,597474,516812
2015-07-07 20:00:00,603058,525377
2015-07-07 21:00:00,604647,531280
2015-07-07 22:00:00,603780,531471
2015-07-07 23:00:00,595497,524092
2015-07-08 00:00:00,581339,506721
2015-07-08 01:00:00,564321,494677
2015-07-08 02:00:00,553340,482433
2015-07-08 03:00:00,528957,460547
2015-07-08 04:00:00,494752,430161
2015-07-08 05:00:00,462961,402166
2015-07-08 06:00:00,437583,373234
2015-07-08 07:00:00,416753,354016
2015-07-08 08:00:00,405718,343553
2015-07-08 09:00:00,399035,336965
2015-07-08 10:00:00,402850,341045
2015-07-08 11:00:00,416976,353068
2015-07-08 12:00:00,434829,369979
2015-07-08 13:00:00,456051,389469
2015-07-08 14:00:00,478751,412310
2015-07-08 15:00:00,505965,438309
2015-07-08 16:00:00,531366,462520
2015-07-08 17:00:00,552901,482292
2015-07-08 18:00:00,569979,499283
2015-07-08 19:00:00,583083,511524
2015-07-08 20:00:00,589376,519479
2015-07-08 21:00:00,591145,524341
2015-07-08 22:00:00,589491,524578
2015-07-08 23:00:00,583168,517448
2015-07-09 00:00:00,572032,500349
2015-07-09 01:00:00,556190,488798
2015-07-09 02:00:00,546810,477714
2015-07-09 03:00:00,523743,456593
2015-07-09 04:00:00,490385,427367
2015-07-09 05:00:00,459870,399675
2015-07-09 06:00:00,434165,371388
2015-07-09 07:00:00,413711,352128
2015-07-09 08:00:00,402481,341760
2015-07-09 09:00:00,395743,335715
2015-07-09 10:00:00,400413,338768
2015-07-09 11:00:00,415287,350674
2015-07-09 12:00:00,433812,368186
2015-07-09 13:00:00,455226,386422
2015-07-09 14:00:00,479933,410402
2015-07-09 15:00:00,508105,436799
2015-07-09 16:00:00,535096,461268
2015-07-09 17:00:00,557013,480937
2015-07-09 18:00:00,576290,498537
2015-07-09 19:00:00,590510,512689
2015-07-09 20:00:00,600423,521720
2015-07-09 21:00:00,606757,527450
2015-07-09 22:00:00,607992,527721
2015-07-09 23:00:00,600910,520195
2015-07-10 00:00:00,587071,502306
2015-07-10 01:00:00,568610,491143
2015-07-10 02:00:00,555377,479941
2015-07-10 03:00:00,531088,458624
2015-07-10 04:00:00,497102,429482
2015-07-10 05:00:00,464134,401416
2015-07-10 06:00:00,439444,372731
2015-07-10 07:00:00,416798,353158
2015-07-10 08:00:00,404413,343571
2015-07-10 09:00:00,396409,337034
2015-07-10 10:00:00,399157,339324
2015-07-10 11:00:00,410814,350120
2015-07-10 12:00:00,429427,366483
2015-07-10 13:00:00,452385,386533
2015-07-10 14:00:00,480259,410552
2015-07-10 15:00:00,510769,437414
2015-07-10 16:00:00,539582,462984
2015-07-10 17:00:00,562007,483874
2015-07-10 18:00:00,580803,501563
2015-07-10 19:00:00,596045,515126
2015-07-10 20:00:00,605642,524898
2015-07-10 21:00:00,612238,530583
2015-07-10 22:00:00,612494,529987
2015-07-10 23:00:00,603834,522024
2015-07-11 00:00:00,587174,503017
2015-07-11 01:00:00,568304,490021
2015-07-11 02:00:00,553155,477281
2015-07-11 03:00:00,537202,456978
2015-07-11 04:00:00,497571,428521
2015-07-11 05:00:00,465592,403489
2015-07-11 06:00:00,436874,375507
2015-07-11 07:00:00,415135,355410
2015-07-11 08:00:00,398333,343632
2015-07-11 09:00:00,387369,333690
2015-07-11 10:00:00,382586,328804
2015-07-11 11:00:00,382347,328262
2015-07-11 12:00:00,388981,335717
2015-07-11 13:00:00,411386,352983
2015-07-11 14:00:00,441399,381195
2015-07-11 15:00:00,476195,412105
2015-07-11 16:00:00,508693,440024
2015-07-11 17:00:00,535117,464103
2015-07-11 18:00:00,555206,482886
2015-07-11 19:00:00,569949,497402
2015-07-11 20:00:00,580793,508303
2015-07-11 21:00:00,588357,515389
2015-07-11 22:00:00,590674,517531
2015-07-11 23:00:00,585565,512600
2015-07-12 00:00:00,572182,501207
2015-07-12 01:00:00,557178,489428
2015-07-12 02:00:00,545278,477410
2015-07-12 03:00:00,521572,458457
2015-07-12 04:00:00,500055,431887
2015-07-12 05:00:00,462786,406356
2015-07-12 06:00:00,435470,378315
2015-07-12 07:00:00,413008,357592
2015-07-12 08:00:00,395793,340577
2015-07-12 09:00:00,384439,330553
2015-07-12 10:00:00,378391,324863
2015-07-12 11:00:00,375454,322297
2015-07-12 12:00:00,379065,327613
2015-07-12 13:00:00,398175,345123
2015-07-12 14:00:00,429947,373345
2015-07-12 15:00:00,464001,404627
2015-07-12 16:00:00,496491,435087
2015-07-12 17:00:00,526438,462227
2015-07-12 18:00:00,550584,483798
2015-07-12 19:00:00,569472,502641
2015-07-12 20:00:00,583736,515211
2015-07-12 21:00:00,595098,525876
2015-07-12 22:00:00,599597,531265
2015-07-12 23:00:00,600921,528707
2015-07-13 00:00:00,593789,514477
2015-07-13 01:00:00,575562,503988
2015-07-13 02:00:00,565194,492069
2015-07-13 03:00:00,543470,471318
