date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,14570,14570
2018-10-01 01:00:00,14555,14555
2018-10-01 02:00:00,14398,14398
2018-10-01 03:00:00,14539,14539
2018-10-01 04:00:00,14043,14043
2018-10-01 05:00:00,13349,13349
2018-10-01 06:00:00,12322,12322
2018-10-01 07:00:00,11322,11322
2018-10-01 08:00:00,10618,10618
2018-10-01 09:00:00,10175,10175
2018-10-01 10:00:00,9858,9858
2018-10-01 11:00:00,9696,9696
2018-10-01 12:00:00,9942,9942
2018-10-01 13:00:00,10645,10645
2018-10-01 14:00:00,11686,11686
2018-10-01 15:00:00,12158,12158
2018-10-01 16:00:00,12772,12772
2018-10-01 17:00:00,13618,13618
2018-10-01 18:00:00,14305,14305
2018-10-01 19:00:00,15174,15174
2018-10-01 20:00:00,15920,15920
2018-10-01 21:00:00,16880,16880
2018-10-01 22:00:00,17367,17367
2018-10-01 23:00:00,17647,17647
2018-10-02 00:00:00,17832,17832
2018-10-02 01:00:00,17474,17474
2018-10-02 02:00:00,16957,16957
2018-10-02 03:00:00,16940,16940
2018-10-02 04:00:00,16237,16237
2018-10-02 05:00:00,15222,15222
2018-10-02 06:00:00,13851,13851
2018-10-02 07:00:00,12589,12589
2018-10-02 08:00:00,11654,11654
2018-10-02 09:00:00,10882,10882
2018-10-02 10:00:00,10499,10499
2018-10-02 11:00:00,10290,10290
2018-10-02 12:00:00,10443,10443
2018-10-02 13:00:00,11090,11090
2018-10-02 14:00:00,12155,12155
2018-10-02 15:00:00,12626,12626
2018-10-02 16:00:00,13003,13003
2018-10-02 17:00:00,13571,13571
2018-10-02 18:00:00,13988,13988
2018-10-02 19:00:00,14320,14320
2018-10-02 20:00:00,14537,14537
2018-10-02 21:00:00,14762,14762
2018-10-02 22:00:00,14930,14930
2018-10-02 23:00:00,15100,15100
2018-10-03 00:00:00,14905,14905
2018-10-03 01:00:00,14532,14532
2018-10-03 02:00:00,14415,14415
2018-10-03 03:00:00,14492,14492
2018-10-03 04:00:00,14134,14134
2018-10-03 05:00:00,13534,13534
2018-10-03 06:00:00,12568,12568
2018-10-03 07:00:00,11583,11583
2018-10-03 08:00:00,10934,10934
2018-10-03 09:00:00,10460,10460
2018-10-03 10:00:00,10189,10189
2018-10-03 11:00:00,10007,10007
2018-10-03 12:00:00,10162,10162
2018-10-03 13:00:00,10846,10846
2018-10-03 14:00:00,11893,11893
2018-10-03 15:00:00,12384,12384
2018-10-03 16:00:00,12725,12725
2018-10-03 17:00:00,13006,13006
2018-10-03 18:00:00,13210,13210
2018-10-03 19:00:00,13401,13401
2018-10-03 20:00:00,13631,13631
2018-10-03 21:00:00,13857,13857
2018-10-03 22:00:00,14035,14035
2018-10-03 23:00:00,14003,14003
2018-10-04 00:00:00,13812,13812
2018-10-04 01:00:00,13742,13742
2018-10-04 02:00:00,13943,13943
2018-10-04 03:00:00,14264,14264
2018-10-04 04:00:00,13810,13810
2018-10-04 05:00:00,13205,13205
2018-10-04 06:00:00,12261,12261
2018-10-04 07:00:00,11336,11336
2018-10-04 08:00:00,10739,10739
2018-10-04 09:00:00,10308,10308
2018-10-04 10:00:00,9946,9946
2018-10-04 11:00:00,9827,9827
2018-10-04 12:00:00,9951,9951
