date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,600,572
2018-10-01 01:00:00,592,562
2018-10-01 02:00:00,564,520
2018-10-01 03:00:00,526,478
2018-10-01 04:00:00,474,436
2018-10-01 05:00:00,434,417
2018-10-01 06:00:00,417,396
2018-10-01 07:00:00,406,386
2018-10-01 08:00:00,398,380
2018-10-01 09:00:00,405,387
2018-10-01 10:00:00,432,420
2018-10-01 11:00:00,493,485
2018-10-01 12:00:00,524,521
2018-10-01 13:00:00,541,529
2018-10-01 14:00:00,560,537
2018-10-01 15:00:00,579,557
2018-10-01 16:00:00,601,570
2018-10-01 17:00:00,622,587
2018-10-01 18:00:00,636,601
2018-10-01 19:00:00,657,610
2018-10-01 20:00:00,668,618
2018-10-01 21:00:00,680,632
2018-10-01 22:00:00,673,633
2018-10-01 23:00:00,667,629
2018-10-02 00:00:00,663,639
2018-10-02 01:00:00,648,629
2018-10-02 02:00:00,611,584
2018-10-02 03:00:00,545,526
2018-10-02 04:00:00,487,472
2018-10-02 05:00:00,447,432
2018-10-02 06:00:00,426,413
2018-10-02 07:00:00,413,403
2018-10-02 08:00:00,408,395
2018-10-02 09:00:00,409,401
2018-10-02 10:00:00,441,434
2018-10-02 11:00:00,500,494
2018-10-02 12:00:00,525,531
2018-10-02 13:00:00,537,537
2018-10-02 14:00:00,550,543
2018-10-02 15:00:00,540,555
2018-10-02 16:00:00,583,572
2018-10-02 17:00:00,593,589
2018-10-02 18:00:00,626,603
2018-10-02 19:00:00,646,612
2018-10-02 20:00:00,648,626
2018-10-02 21:00:00,652,642
2018-10-02 22:00:00,648,639
2018-10-02 23:00:00,649,633
2018-10-03 00:00:00,653,646
2018-10-03 01:00:00,638,633
2018-10-03 02:00:00,606,586
2018-10-03 03:00:00,548,530
2018-10-03 04:00:00,485,479
2018-10-03 05:00:00,450,464
2018-10-03 06:00:00,423,441
2018-10-03 07:00:00,412,427
2018-10-03 08:00:00,411,420
2018-10-03 09:00:00,410,424
2018-10-03 10:00:00,440,458
2018-10-03 11:00:00,497,520
2018-10-03 12:00:00,535,559
2018-10-03 13:00:00,545,568
2018-10-03 14:00:00,559,582
2018-10-03 15:00:00,576,605
2018-10-03 16:00:00,605,621
2018-10-03 17:00:00,631,642
2018-10-03 18:00:00,658,662
2018-10-03 19:00:00,675,677
2018-10-03 20:00:00,683,689
2018-10-03 21:00:00,698,702
2018-10-03 22:00:00,698,708
2018-10-03 23:00:00,684,700
2018-10-04 00:00:00,688,710
2018-10-04 01:00:00,666,695
2018-10-04 02:00:00,633,641
2018-10-04 03:00:00,567,582
2018-10-04 04:00:00,502,521
2018-10-04 05:00:00,465,466
2018-10-04 06:00:00,437,440
2018-10-04 07:00:00,423,424
2018-10-04 08:00:00,417,415
2018-10-04 09:00:00,420,418
2018-10-04 10:00:00,445,451
2018-10-04 11:00:00,509,521
2018-10-04 12:00:00,541,557
2018-10-04 13:00:00,550,566
2018-10-04 14:00:00,558,590
2018-10-04 15:00:00,575,618
2018-10-04 16:00:00,614,641
2018-10-04 17:00:00,644,665
2018-10-04 18:00:00,675,695
2018-10-04 19:00:00,697,710
2018-10-04 20:00:00,717,722
2018-10-04 21:00:00,723,730
2018-10-04 22:00:00,720,727
2018-10-04 23:00:00,705,710
2018-10-05 00:00:00,693,715
2018-10-05 01:00:00,674,695
2018-10-05 02:00:00,630,642
2018-10-05 03:00:00,573,584
2018-10-05 04:00:00,515,514
2018-10-05 05:00:00,464,486
2018-10-05 06:00:00,437,454
2018-10-05 07:00:00,424,439
2018-10-05 08:00:00,412,426
2018-10-05 09:00:00,417,431
2018-10-05 10:00:00,441,465
2018-10-05 11:00:00,504,528
2018-10-05 12:00:00,536,569
2018-10-05 13:00:00,547,582
2018-10-05 14:00:00,568,603
2018-10-05 15:00:00,591,631
2018-10-05 16:00:00,616,657
2018-10-05 17:00:00,651,685
2018-10-05 18:00:00,679,710
2018-10-05 19:00:00,703,723
2018-10-05 20:00:00,716,732
2018-10-05 21:00:00,726,734
2018-10-05 22:00:00,723,726
2018-10-05 23:00:00,693,694
2018-10-06 00:00:00,670,693
2018-10-06 01:00:00,646,672
2018-10-06 02:00:00,609,628
2018-10-06 03:00:00,562,581
2018-10-06 04:00:00,513,517
2018-10-06 05:00:00,472,480
2018-10-06 06:00:00,449,447
2018-10-06 07:00:00,423,426
2018-10-06 08:00:00,404,418
2018-10-06 09:00:00,409,414
2018-10-06 10:00:00,414,419
2018-10-06 11:00:00,436,442
2018-10-06 12:00:00,456,471
2018-10-06 13:00:00,492,507
2018-10-06 14:00:00,526,542
2018-10-06 15:00:00,561,573
2018-10-06 16:00:00,604,598
2018-10-06 17:00:00,631,630
2018-10-06 18:00:00,656,654
2018-10-06 19:00:00,673,677
2018-10-06 20:00:00,672,683
2018-10-06 21:00:00,681,694
2018-10-06 22:00:00,678,695
2018-10-06 23:00:00,664,676
2018-10-07 00:00:00,655,661
2018-10-07 01:00:00,635,646
2018-10-07 02:00:00,601,609
2018-10-07 03:00:00,558,554
2018-10-07 04:00:00,514,504
2018-10-07 05:00:00,462,452
2018-10-07 06:00:00,438,424
2018-10-07 07:00:00,420,407
2018-10-07 08:00:00,411,396
2018-10-07 09:00:00,409,393
2018-10-07 10:00:00,413,398
2018-10-07 11:00:00,427,411
2018-10-07 12:00:00,458,437
2018-10-07 13:00:00,495,480
2018-10-07 14:00:00,532,514
2018-10-07 15:00:00,562,539
2018-10-07 16:00:00,588,556
2018-10-07 17:00:00,627,578
2018-10-07 18:00:00,655,598
2018-10-07 19:00:00,672,608
2018-10-07 20:00:00,680,618
2018-10-07 21:00:00,695,628
2018-10-07 22:00:00,700,627
2018-10-07 23:00:00,682,625
2018-10-08 00:00:00,678,630
