date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,9182,7108
2018-10-01 01:00:00,8719,6789
2018-10-01 02:00:00,7998,6232
2018-10-01 03:00:00,7188,5644
2018-10-01 04:00:00,6452,5110
2018-10-01 05:00:00,5850,4615
2018-10-01 06:00:00,5427,4274
2018-10-01 07:00:00,5143,4060
2018-10-01 08:00:00,4978,3927
2018-10-01 09:00:00,4956,3918
2018-10-01 10:00:00,5250,4123
2018-10-01 11:00:00,5782,4540
2018-10-01 12:00:00,6050,4778
2018-10-01 13:00:00,6232,5003
2018-10-01 14:00:00,6718,5527
2018-10-01 15:00:00,7286,6120
2018-10-01 16:00:00,7929,6661
2018-10-01 17:00:00,8583,7067
2018-10-01 18:00:00,9084,7428
2018-10-01 19:00:00,9425,7744
2018-10-01 20:00:00,9601,7856
2018-10-01 21:00:00,9669,7873
2018-10-01 22:00:00,9509,7753
2018-10-01 23:00:00,9081,7439
2018-10-02 00:00:00,8811,7126
2018-10-02 01:00:00,8481,6884
2018-10-02 02:00:00,7841,6285
2018-10-02 03:00:00,7049,5708
2018-10-02 04:00:00,6370,5153
2018-10-02 05:00:00,5827,4587
2018-10-02 06:00:00,5397,4285
2018-10-02 07:00:00,5139,4080
2018-10-02 08:00:00,5000,3965
2018-10-02 09:00:00,5010,3956
2018-10-02 10:00:00,5254,4138
2018-10-02 11:00:00,5822,4577
2018-10-02 12:00:00,6010,4803
2018-10-02 13:00:00,6280,4996
2018-10-02 14:00:00,6865,5405
2018-10-02 15:00:00,7577,5935
2018-10-02 16:00:00,8161,6379
2018-10-02 17:00:00,8662,6733
2018-10-02 18:00:00,9024,7073
2018-10-02 19:00:00,9259,7285
2018-10-02 20:00:00,9359,7362
2018-10-02 21:00:00,9246,7359
2018-10-02 22:00:00,8970,7191
2018-10-02 23:00:00,8629,6868
2018-10-03 00:00:00,8463,6684
2018-10-03 01:00:00,8142,6419
2018-10-03 02:00:00,7521,5881
2018-10-03 03:00:00,6751,5329
2018-10-03 04:00:00,6035,4824
2018-10-03 05:00:00,5437,4370
2018-10-03 06:00:00,5018,4062
2018-10-03 07:00:00,4756,3830
2018-10-03 08:00:00,4613,3701
2018-10-03 09:00:00,4580,3701
2018-10-03 10:00:00,4852,3905
2018-10-03 11:00:00,5389,4327
2018-10-03 12:00:00,5620,4533
2018-10-03 13:00:00,5886,4719
