date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,4259,3973
2018-10-01 01:00:00,4191,3965
2018-10-01 02:00:00,3953,3807
2018-10-01 03:00:00,3633,3569
2018-10-01 04:00:00,3377,3294
2018-10-01 05:00:00,3067,3086
2018-10-01 06:00:00,2920,2983
2018-10-01 07:00:00,2872,2880
2018-10-01 08:00:00,2822,2830
2018-10-01 09:00:00,2845,2875
2018-10-01 10:00:00,3081,3022
2018-10-01 11:00:00,3421,3355
2018-10-01 12:00:00,3639,3608
2018-10-01 13:00:00,3744,3752
2018-10-01 14:00:00,3954,3939
2018-10-01 15:00:00,4227,4126
2018-10-01 16:00:00,4522,4277
2018-10-01 17:00:00,4763,4432
2018-10-01 18:00:00,4974,4597
2018-10-01 19:00:00,5180,4721
2018-10-01 20:00:00,5317,4759
2018-10-01 21:00:00,5364,4744
2018-10-01 22:00:00,5213,4693
2018-10-01 23:00:00,5145,4617
2018-10-02 00:00:00,5075,4578
2018-10-02 01:00:00,4983,4522
2018-10-02 02:00:00,4662,4315
2018-10-02 03:00:00,4343,4038
2018-10-02 04:00:00,4025,3733
2018-10-02 05:00:00,3781,3480
2018-10-02 06:00:00,3606,3455
2018-10-02 07:00:00,3439,3324
2018-10-02 08:00:00,3377,3214
2018-10-02 09:00:00,3354,3214
2018-10-02 10:00:00,3467,3352
2018-10-02 11:00:00,3843,3698
2018-10-02 12:00:00,4088,3928
2018-10-02 13:00:00,4218,4047
2018-10-02 14:00:00,4366,4226
2018-10-02 15:00:00,4548,4425
2018-10-02 16:00:00,4733,4604
2018-10-02 17:00:00,4926,4746
2018-10-02 18:00:00,5097,4889
2018-10-02 19:00:00,5281,5024
2018-10-02 20:00:00,5328,5142
2018-10-02 21:00:00,5432,5166
2018-10-02 22:00:00,5371,5143
2018-10-02 23:00:00,5260,5066
2018-10-03 00:00:00,5150,4949
2018-10-03 01:00:00,5055,4866
2018-10-03 02:00:00,4785,4608
2018-10-03 03:00:00,4440,4272
2018-10-03 04:00:00,4113,3948
2018-10-03 05:00:00,3803,3659
2018-10-03 06:00:00,3579,3531
2018-10-03 07:00:00,3425,3373
2018-10-03 08:00:00,3331,3282
2018-10-03 09:00:00,3277,3261
2018-10-03 10:00:00,3429,3419
2018-10-03 11:00:00,3775,3764
2018-10-03 12:00:00,3981,3997
2018-10-03 13:00:00,4135,4107
2018-10-03 14:00:00,4316,4297
2018-10-03 15:00:00,4638,4559
2018-10-03 16:00:00,4952,4817
2018-10-03 17:00:00,5186,5022
2018-10-03 18:00:00,5482,5210
2018-10-03 19:00:00,5595,5394
2018-10-03 20:00:00,5768,5517
2018-10-03 21:00:00,5782,5548
2018-10-03 22:00:00,5756,5484
2018-10-03 23:00:00,5599,5382
2018-10-04 00:00:00,5408,5282
2018-10-04 01:00:00,5278,5185
2018-10-04 02:00:00,4977,4861
2018-10-04 03:00:00,4603,4514
2018-10-04 04:00:00,4293,4174
2018-10-04 05:00:00,3995,3892
2018-10-04 06:00:00,3759,3719
2018-10-04 07:00:00,3642,3553
2018-10-04 08:00:00,3491,3453
2018-10-04 09:00:00,3469,3427
2018-10-04 10:00:00,3604,3574
2018-10-04 11:00:00,3926,3924
2018-10-04 12:00:00,4165,4182
2018-10-04 13:00:00,4286,4314
2018-10-04 14:00:00,4469,4519
2018-10-04 15:00:00,4767,4786
2018-10-04 16:00:00,5121,5023
2018-10-04 17:00:00,5367,5233
2018-10-04 18:00:00,5564,5403
2018-10-04 19:00:00,5719,5529
2018-10-04 20:00:00,5757,5551
2018-10-04 21:00:00,5721,5527
2018-10-04 22:00:00,5615,5403
2018-10-04 23:00:00,5420,5201
2018-10-05 00:00:00,5303,5047
2018-10-05 01:00:00,5173,4930
2018-10-05 02:00:00,4926,4625
2018-10-05 03:00:00,4594,4287
2018-10-05 04:00:00,4230,3959
2018-10-05 05:00:00,3944,3673
2018-10-05 06:00:00,3734,3619
2018-10-05 07:00:00,3539,3453
2018-10-05 08:00:00,3456,3351
2018-10-05 09:00:00,3432,3308
2018-10-05 10:00:00,3569,3429
2018-10-05 11:00:00,3865,3732
2018-10-05 12:00:00,4110,3938
2018-10-05 13:00:00,4207,4106
2018-10-05 14:00:00,4430,4306
2018-10-05 15:00:00,4741,4546
2018-10-05 16:00:00,5123,4784
