date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,9930,9930
2018-10-01 01:00:00,10307,10307
2018-10-01 02:00:00,10164,10164
2018-10-01 03:00:00,9656,9656
2018-10-01 04:00:00,9079,9079
2018-10-01 05:00:00,8545,8545
2018-10-01 06:00:00,8182,8182
2018-10-01 07:00:00,8028,8028
2018-10-01 08:00:00,7959,7959
2018-10-01 09:00:00,7975,7975
2018-10-01 10:00:00,8140,8140
2018-10-01 11:00:00,8773,8773
2018-10-01 12:00:00,9911,9911
2018-10-01 13:00:00,10704,10704
2018-10-01 14:00:00,10906,10906
2018-10-01 15:00:00,11005,11005
2018-10-01 16:00:00,11063,11063
2018-10-01 17:00:00,11025,11025
2018-10-01 18:00:00,11038,11038
2018-10-01 19:00:00,10943,10943
2018-10-01 20:00:00,10749,10749
2018-10-01 21:00:00,10703,10703
2018-10-01 22:00:00,10730,10730
2018-10-01 23:00:00,10732,10732
2018-10-02 00:00:00,10810,10810
2018-10-02 01:00:00,11017,11017
2018-10-02 02:00:00,10776,10776
2018-10-02 03:00:00,10293,10293
2018-10-02 04:00:00,9578,9578
2018-10-02 05:00:00,8962,8962
2018-10-02 06:00:00,8628,8628
2018-10-02 07:00:00,8372,8372
2018-10-02 08:00:00,8252,8252
2018-10-02 09:00:00,8191,8191
2018-10-02 10:00:00,8350,8350
2018-10-02 11:00:00,8817,8817
2018-10-02 12:00:00,9831,9831
2018-10-02 13:00:00,10719,10719
2018-10-02 14:00:00,10758,10758
2018-10-02 15:00:00,10750,10750
2018-10-02 16:00:00,10828,10828
2018-10-02 17:00:00,10751,10751
2018-10-02 18:00:00,10655,10655
2018-10-02 19:00:00,10643,10643
2018-10-02 20:00:00,10565,10565
2018-10-02 21:00:00,10482,10482
2018-10-02 22:00:00,10494,10494
2018-10-02 23:00:00,10608,10608
2018-10-03 00:00:00,10789,10789
2018-10-03 01:00:00,10976,10976
2018-10-03 02:00:00,10755,10755
2018-10-03 03:00:00,10271,10271
2018-10-03 04:00:00,9520,9520
2018-10-03 05:00:00,8960,8960
2018-10-03 06:00:00,8622,8622
2018-10-03 07:00:00,8363,8363
2018-10-03 08:00:00,8224,8224
2018-10-03 09:00:00,8178,8178
2018-10-03 10:00:00,8304,8304
2018-10-03 11:00:00,8870,8870
2018-10-03 12:00:00,9960,9960
2018-10-03 13:00:00,10691,10691
2018-10-03 14:00:00,10828,10828
2018-10-03 15:00:00,10943,10943
2018-10-03 16:00:00,11087,11087
2018-10-03 17:00:00,11234,11234
2018-10-03 18:00:00,11334,11334
2018-10-03 19:00:00,11421,11421
2018-10-03 20:00:00,11423,11423
2018-10-03 21:00:00,11367,11367
2018-10-03 22:00:00,11389,11389
2018-10-03 23:00:00,11471,11471
2018-10-04 00:00:00,11364,11364
2018-10-04 01:00:00,11410,11410
2018-10-04 02:00:00,11092,11092
2018-10-04 03:00:00,10519,10519
2018-10-04 04:00:00,9723,9723
2018-10-04 05:00:00,9186,9186
2018-10-04 06:00:00,8811,8811
2018-10-04 07:00:00,8523,8523
2018-10-04 08:00:00,8385,8385
2018-10-04 09:00:00,8371,8371
2018-10-04 10:00:00,8589,8589
2018-10-04 11:00:00,9148,9148
2018-10-04 12:00:00,10314,10314
2018-10-04 13:00:00,11047,11047
2018-10-04 14:00:00,10954,10954
2018-10-04 15:00:00,10737,10737
2018-10-04 16:00:00,10649,10649
2018-10-04 17:00:00,10512,10512
2018-10-04 18:00:00,10426,10426
2018-10-04 19:00:00,10473,10473
2018-10-04 20:00:00,10535,10535
2018-10-04 21:00:00,10507,10507
2018-10-04 22:00:00,10570,10570
2018-10-04 23:00:00,10677,10677
2018-10-05 00:00:00,10873,10873
2018-10-05 01:00:00,11148,11148
2018-10-05 02:00:00,10863,10863
2018-10-05 03:00:00,10430,10430
2018-10-05 04:00:00,9702,9702
2018-10-05 05:00:00,9257,9257
2018-10-05 06:00:00,8898,8898
2018-10-05 07:00:00,8648,8648
2018-10-05 08:00:00,8502,8502
2018-10-05 09:00:00,8470,8470
2018-10-05 10:00:00,8607,8607
2018-10-05 11:00:00,9170,9170
2018-10-05 12:00:00,10204,10204
2018-10-05 13:00:00,10928,10928
2018-10-05 14:00:00,11076,11076
2018-10-05 15:00:00,11093,11093
2018-10-05 16:00:00,11187,11187
2018-10-05 17:00:00,11170,11170
2018-10-05 18:00:00,11028,11028
2018-10-05 19:00:00,10934,10934
2018-10-05 20:00:00,10838,10838
2018-10-05 21:00:00,10721,10721
2018-10-05 22:00:00,10660,10660
2018-10-05 23:00:00,10634,10634
2018-10-06 00:00:00,10614,10614
2018-10-06 01:00:00,10721,10721
2018-10-06 02:00:00,10528,10528
2018-10-06 03:00:00,10136,10136
2018-10-06 04:00:00,9618,9618
2018-10-06 05:00:00,9120,9120
2018-10-06 06:00:00,8729,8729
2018-10-06 07:00:00,8441,8441
2018-10-06 08:00:00,8292,8292
2018-10-06 09:00:00,8206,8206
2018-10-06 10:00:00,8243,8243
2018-10-06 11:00:00,8462,8462
2018-10-06 12:00:00,8885,8885
2018-10-06 13:00:00,9416,9416
2018-10-06 14:00:00,9795,9795
2018-10-06 15:00:00,10061,10061
2018-10-06 16:00:00,10139,10139
2018-10-06 17:00:00,10100,10100
2018-10-06 18:00:00,9946,9946
2018-10-06 19:00:00,9818,9818
2018-10-06 20:00:00,9699,9699
2018-10-06 21:00:00,9676,9676
2018-10-06 22:00:00,9751,9751
2018-10-06 23:00:00,9929,9929
2018-10-07 00:00:00,10109,10109
2018-10-07 01:00:00,10344,10344
2018-10-07 02:00:00,10205,10205
2018-10-07 03:00:00,9868,9868
2018-10-07 04:00:00,9414,9414
2018-10-07 05:00:00,8951,8951
2018-10-07 06:00:00,8588,8588
2018-10-07 07:00:00,8346,8346
2018-10-07 08:00:00,8190,8190
2018-10-07 09:00:00,8160,8160
2018-10-07 10:00:00,8152,8152
2018-10-07 11:00:00,8298,8298
2018-10-07 12:00:00,8576,8576
2018-10-07 13:00:00,8993,8993
2018-10-07 14:00:00,9331,9331
2018-10-07 15:00:00,9588,9588
2018-10-07 16:00:00,9745,9745
2018-10-07 17:00:00,9845,9845
2018-10-07 18:00:00,9902,9902
2018-10-07 19:00:00,9886,9886
2018-10-07 20:00:00,9832,9832
2018-10-07 21:00:00,9856,9856
2018-10-07 22:00:00,9993,9993
2018-10-07 23:00:00,10179,10179
2018-10-08 00:00:00,10356,10356
2018-10-08 01:00:00,10609,10609
2018-10-08 02:00:00,10318,10318
2018-10-08 03:00:00,9842,9842
2018-10-08 04:00:00,9218,9218
2018-10-08 05:00:00,8683,8683
2018-10-08 06:00:00,8382,8382
2018-10-08 07:00:00,8201,8201
2018-10-08 08:00:00,8149,8149
2018-10-08 09:00:00,8146,8146
2018-10-08 10:00:00,8330,8330
2018-10-08 11:00:00,8920,8920
2018-10-08 12:00:00,10008,10008
