date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,73631,76145
2018-10-01 01:00:00,74555,77031
2018-10-01 02:00:00,72669,75053
2018-10-01 03:00:00,69126,71370
2018-10-01 04:00:00,65284,66969
2018-10-01 05:00:00,61849,63218
2018-10-01 06:00:00,59413,60851
2018-10-01 07:00:00,57946,59502
2018-10-01 08:00:00,57089,58893
2018-10-01 09:00:00,57049,59115
2018-10-01 10:00:00,58482,61023
2018-10-01 11:00:00,62574,65814
2018-10-01 12:00:00,68214,71949
2018-10-01 13:00:00,70964,74394
2018-10-01 14:00:00,72708,76190
2018-10-01 15:00:00,74672,78563
2018-10-01 16:00:00,77024,80936
2018-10-01 17:00:00,78839,82873
2018-10-01 18:00:00,80708,84603
2018-10-01 19:00:00,82081,86019
2018-10-01 20:00:00,82590,86809
2018-10-01 21:00:00,82559,86971
2018-10-01 22:00:00,82426,86886
2018-10-01 23:00:00,81865,86067
2018-10-02 00:00:00,81702,85199
2018-10-02 01:00:00,82054,85392
2018-10-02 02:00:00,79584,82812
2018-10-02 03:00:00,75608,78390
2018-10-02 04:00:00,71016,73084
2018-10-02 05:00:00,66575,68563
2018-10-02 06:00:00,63593,64723
2018-10-02 07:00:00,61634,62769
2018-10-02 08:00:00,60584,61619
2018-10-02 09:00:00,60213,61453
2018-10-02 10:00:00,61411,63171
2018-10-02 11:00:00,65229,67877
2018-10-02 12:00:00,70790,73776
2018-10-02 13:00:00,73154,75878
2018-10-02 14:00:00,74558,77468
2018-10-02 15:00:00,76801,79788
2018-10-02 16:00:00,79521,82154
2018-10-02 17:00:00,81745,84044
2018-10-02 18:00:00,83748,85763
2018-10-02 19:00:00,85453,87107
2018-10-02 20:00:00,86185,87987
2018-10-02 21:00:00,86441,88101
2018-10-02 22:00:00,86125,87869
2018-10-02 23:00:00,85457,86698
2018-10-03 00:00:00,84567,85658
2018-10-03 01:00:00,84442,85836
2018-10-03 02:00:00,81771,83116
2018-10-03 03:00:00,77317,78488
2018-10-03 04:00:00,72181,73045
2018-10-03 05:00:00,67667,68456
2018-10-03 06:00:00,64444,65451
2018-10-03 07:00:00,62340,63400
2018-10-03 08:00:00,61085,62264
2018-10-03 09:00:00,60542,62089
2018-10-03 10:00:00,61642,63766
2018-10-03 11:00:00,65448,68358
2018-10-03 12:00:00,71222,74114
2018-10-03 13:00:00,73623,75999
2018-10-03 14:00:00,75577,78016
2018-10-03 15:00:00,78489,81108
2018-10-03 16:00:00,81863,84410
2018-10-03 17:00:00,85051,87350
2018-10-03 18:00:00,87606,90085
2018-10-03 19:00:00,90035,92466
2018-10-03 20:00:00,91420,94038
2018-10-03 21:00:00,92191,94723
2018-10-03 22:00:00,92548,94874
2018-10-03 23:00:00,91819,93796
2018-10-04 00:00:00,90408,92473
2018-10-04 01:00:00,90328,92190
2018-10-04 02:00:00,87557,89380
2018-10-04 03:00:00,83085,84430
2018-10-04 04:00:00,77569,78404
2018-10-04 05:00:00,72754,73068
2018-10-04 06:00:00,69054,69422
2018-10-04 07:00:00,66699,67001
2018-10-04 08:00:00,64951,65515
2018-10-04 09:00:00,64231,65022
2018-10-04 10:00:00,65173,66260
2018-10-04 11:00:00,68620,70469
2018-10-04 12:00:00,74139,76162
2018-10-04 13:00:00,76216,77816
2018-10-04 14:00:00,77088,79224
2018-10-04 15:00:00,78046,81130
2018-10-04 16:00:00,79643,83075
2018-10-04 17:00:00,81002,84398
2018-10-04 18:00:00,82064,85325
2018-10-04 19:00:00,83209,85752
2018-10-04 20:00:00,83637,85717
2018-10-04 21:00:00,83306,85213
2018-10-04 22:00:00,82972,84726
2018-10-04 23:00:00,81853,83918
2018-10-05 00:00:00,81126,83384
2018-10-05 01:00:00,81564,83471
2018-10-05 02:00:00,79189,80904
2018-10-05 03:00:00,75338,76739
2018-10-05 04:00:00,70422,71773
2018-10-05 05:00:00,66356,67539
2018-10-05 06:00:00,63088,64689
2018-10-05 07:00:00,61114,62672
2018-10-05 08:00:00,59845,61610
2018-10-05 09:00:00,59545,61472
2018-10-05 10:00:00,60663,63098
2018-10-05 11:00:00,64298,67572
2018-10-05 12:00:00,69489,73165
2018-10-05 13:00:00,72293,75221
2018-10-05 14:00:00,73741,76759
2018-10-05 15:00:00,76278,78749
2018-10-05 16:00:00,79055,80881
2018-10-05 17:00:00,81146,82615
2018-10-05 18:00:00,82319,84166
2018-10-05 19:00:00,83769,85472
2018-10-05 20:00:00,84279,86029
2018-10-05 21:00:00,84518,85915
2018-10-05 22:00:00,84387,85514
2018-10-05 23:00:00,83366,84201
2018-10-06 00:00:00,81760,83065
2018-10-06 01:00:00,80933,82825
2018-10-06 02:00:00,78550,80484
2018-10-06 03:00:00,75431,77027
2018-10-06 04:00:00,71510,72713
2018-10-06 05:00:00,67255,68544
2018-10-06 06:00:00,64139,64938
2018-10-06 07:00:00,62395,62677
2018-10-06 08:00:00,61019,61313
2018-10-06 09:00:00,60267,60620
2018-10-06 10:00:00,60395,60844
2018-10-06 11:00:00,61637,62354
2018-10-06 12:00:00,63326,64472
2018-10-06 13:00:00,64836,66321
2018-10-06 14:00:00,68216,69848
2018-10-06 15:00:00,72010,73247
2018-10-06 16:00:00,75139,76094
2018-10-06 17:00:00,77465,78168
2018-10-06 18:00:00,78720,79839
2018-10-06 19:00:00,79019,81077
2018-10-06 20:00:00,78707,81591
2018-10-06 21:00:00,78521,81677
2018-10-06 22:00:00,78209,81459
2018-10-06 23:00:00,77713,80434
2018-10-07 00:00:00,76811,79509
2018-10-07 01:00:00,76664,79184
2018-10-07 02:00:00,74455,76805
2018-10-07 03:00:00,71258,73990
2018-10-07 04:00:00,67534,69872
2018-10-07 05:00:00,64199,65871
2018-10-07 06:00:00,61528,63181
2018-10-07 07:00:00,59588,61007
2018-10-07 08:00:00,58192,59661
2018-10-07 09:00:00,57326,58827
2018-10-07 10:00:00,56970,58693
2018-10-07 11:00:00,57655,59474
2018-10-07 12:00:00,58835,61044
2018-10-07 13:00:00,60485,62677
2018-10-07 14:00:00,63554,65936
2018-10-07 15:00:00,66841,69408
2018-10-07 16:00:00,69939,72743
2018-10-07 17:00:00,72646,75005
2018-10-07 18:00:00,75083,77166
2018-10-07 19:00:00,76679,78730
2018-10-07 20:00:00,77626,79688
2018-10-07 21:00:00,78261,80306
2018-10-07 22:00:00,78707,80583
2018-10-07 23:00:00,78398,80387
2018-10-08 00:00:00,78000,80269
2018-10-08 01:00:00,77936,80716
2018-10-08 02:00:00,75343,78211
2018-10-08 03:00:00,71842,75057
2018-10-08 04:00:00,68087,70530
2018-10-08 05:00:00,64833,66410
2018-10-08 06:00:00,62799,63461
2018-10-08 07:00:00,61240,61922
2018-10-08 08:00:00,60477,61092
2018-10-08 09:00:00,60340,61224
2018-10-08 10:00:00,61779,63062
2018-10-08 11:00:00,64903,67993
2018-10-08 12:00:00,70355,73778
2018-10-08 13:00:00,73309,76154
2018-10-08 14:00:00,75164,78297
2018-10-08 15:00:00,78192,81077
2018-10-08 16:00:00,81366,84041
2018-10-08 17:00:00,84297,86655
2018-10-08 18:00:00,86684,88788
2018-10-08 19:00:00,88570,90509
2018-10-08 20:00:00,89664,91301
2018-10-08 21:00:00,89985,91568
2018-10-08 22:00:00,89736,91305
2018-10-08 23:00:00,88938,90356
2018-10-09 00:00:00,87767,89668
2018-10-09 01:00:00,87418,89287
2018-10-09 02:00:00,83999,86393
2018-10-09 03:00:00,79653,82020
2018-10-09 04:00:00,75259,76788
2018-10-09 05:00:00,71129,71841
2018-10-09 06:00:00,68218,69317
2018-10-09 07:00:00,65974,67104
2018-10-09 08:00:00,64439,65709
2018-10-09 09:00:00,63980,65407
2018-10-09 10:00:00,65274,67050
2018-10-09 11:00:00,68443,70944
2018-10-09 12:00:00,73530,76570
2018-10-09 13:00:00,75773,78413
2018-10-09 14:00:00,77370,80467
2018-10-09 15:00:00,80265,83195
2018-10-09 16:00:00,83372,86094
2018-10-09 17:00:00,85838,88706
2018-10-09 18:00:00,87886,90732
2018-10-09 19:00:00,89629,92314
2018-10-09 20:00:00,90379,92913
2018-10-09 21:00:00,90617,92811
2018-10-09 22:00:00,90214,92209
2018-10-09 23:00:00,88912,91175
2018-10-10 00:00:00,88441,90348
2018-10-10 01:00:00,88034,90009
2018-10-10 02:00:00,84946,86992
2018-10-10 03:00:00,81069,82954
2018-10-10 04:00:00,76565,77276
2018-10-10 05:00:00,71850,72332
2018-10-10 06:00:00,68292,68998
2018-10-10 07:00:00,66140,66724
2018-10-10 08:00:00,64787,65381
2018-10-10 09:00:00,64493,65038
2018-10-10 10:00:00,65488,66548
2018-10-10 11:00:00,68662,70077
2018-10-10 12:00:00,73246,75634
2018-10-10 13:00:00,75569,77950
2018-10-10 14:00:00,76560,79237
2018-10-10 15:00:00,77929,81058
2018-10-10 16:00:00,79439,83165
2018-10-10 17:00:00,80795,85011
2018-10-10 18:00:00,81788,86414
