date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,39127,38297
2018-10-01 01:00:00,39714,38685
2018-10-01 02:00:00,40225,38864
2018-10-01 03:00:00,40345,39094
2018-10-01 04:00:00,38821,38048
2018-10-01 05:00:00,36434,35688
2018-10-01 06:00:00,33893,33722
2018-10-01 07:00:00,31887,31650
2018-10-01 08:00:00,30447,30369
2018-10-01 09:00:00,29749,29581
2018-10-01 10:00:00,29491,29389
2018-10-01 11:00:00,29758,29695
2018-10-01 12:00:00,31034,30854
2018-10-01 13:00:00,33773,33342
2018-10-01 14:00:00,36793,35984
2018-10-01 15:00:00,38060,37520
2018-10-01 16:00:00,38469,37743
2018-10-01 17:00:00,38845,38003
2018-10-01 18:00:00,39278,38365
2018-10-01 19:00:00,39668,38660
2018-10-01 20:00:00,39887,39239
2018-10-01 21:00:00,40047,39588
2018-10-01 22:00:00,40406,40062
2018-10-01 23:00:00,40498,40609
2018-10-02 00:00:00,40684,40791
2018-10-02 01:00:00,40962,40918
2018-10-02 02:00:00,41600,41113
2018-10-02 03:00:00,41406,41269
2018-10-02 04:00:00,39881,39759
2018-10-02 05:00:00,37453,37136
2018-10-02 06:00:00,34868,34870
2018-10-02 07:00:00,32743,32599
2018-10-02 08:00:00,31446,31138
2018-10-02 09:00:00,30628,30467
2018-10-02 10:00:00,30229,29959
2018-10-02 11:00:00,30361,30150
2018-10-02 12:00:00,31435,31209
2018-10-02 13:00:00,34153,33801
2018-10-02 14:00:00,37175,36361
2018-10-02 15:00:00,38495,37809
2018-10-02 16:00:00,38697,37966
2018-10-02 17:00:00,38939,38180
2018-10-02 18:00:00,39093,38276
2018-10-02 19:00:00,39738,38583
2018-10-02 20:00:00,40027,38916
2018-10-02 21:00:00,40320,39261
2018-10-02 22:00:00,40378,39479
2018-10-02 23:00:00,40386,39875
2018-10-03 00:00:00,40597,40116
2018-10-03 01:00:00,39555,40405
2018-10-03 02:00:00,41320,40628
2018-10-03 03:00:00,41325,40883
