date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,867,867
2018-10-01 01:00:00,840,840
2018-10-01 02:00:00,781,781
2018-10-01 03:00:00,721,721
2018-10-01 04:00:00,652,652
2018-10-01 05:00:00,604,604
2018-10-01 06:00:00,592,592
2018-10-01 07:00:00,580,580
2018-10-01 08:00:00,578,578
2018-10-01 09:00:00,603,603
2018-10-01 10:00:00,675,675
2018-10-01 11:00:00,799,799
2018-10-01 12:00:00,854,854
2018-10-01 13:00:00,888,888
2018-10-01 14:00:00,894,894
2018-10-01 15:00:00,909,909
2018-10-01 16:00:00,910,910
2018-10-01 17:00:00,891,891
2018-10-01 18:00:00,893,893
2018-10-01 19:00:00,889,889
2018-10-01 20:00:00,886,886
2018-10-01 21:00:00,898,898
2018-10-01 22:00:00,912,912
2018-10-01 23:00:00,933,933
2018-10-02 00:00:00,945,945
2018-10-02 01:00:00,900,900
2018-10-02 02:00:00,830,830
2018-10-02 03:00:00,758,758
2018-10-02 04:00:00,703,703
2018-10-02 05:00:00,656,656
2018-10-02 06:00:00,640,640
2018-10-02 07:00:00,616,616
2018-10-02 08:00:00,613,613
2018-10-02 09:00:00,627,627
2018-10-02 10:00:00,705,705
2018-10-02 11:00:00,825,825
2018-10-02 12:00:00,894,894
2018-10-02 13:00:00,905,905
2018-10-02 14:00:00,923,923
2018-10-02 15:00:00,924,924
2018-10-02 16:00:00,945,945
2018-10-02 17:00:00,941,941
2018-10-02 18:00:00,923,923
2018-10-02 19:00:00,907,907
2018-10-02 20:00:00,896,896
2018-10-02 21:00:00,904,904
2018-10-02 22:00:00,903,903
2018-10-02 23:00:00,934,934
2018-10-03 00:00:00,930,930
2018-10-03 01:00:00,888,888
2018-10-03 02:00:00,824,824
2018-10-03 03:00:00,749,749
2018-10-03 04:00:00,692,692
2018-10-03 05:00:00,669,669
2018-10-03 06:00:00,639,639
2018-10-03 07:00:00,615,615
2018-10-03 08:00:00,605,605
2018-10-03 09:00:00,627,627
2018-10-03 10:00:00,695,695
2018-10-03 11:00:00,808,808
2018-10-03 12:00:00,857,857
2018-10-03 13:00:00,863,863
2018-10-03 14:00:00,866,866
2018-10-03 15:00:00,861,861
2018-10-03 16:00:00,865,865
2018-10-03 17:00:00,849,849
2018-10-03 18:00:00,847,847
2018-10-03 19:00:00,842,842
2018-10-03 20:00:00,835,835
2018-10-03 21:00:00,847,847
2018-10-03 22:00:00,846,846
2018-10-03 23:00:00,873,873
2018-10-04 00:00:00,887,887
2018-10-04 01:00:00,890,890
2018-10-04 02:00:00,831,831
2018-10-04 03:00:00,748,748
2018-10-04 04:00:00,675,675
2018-10-04 05:00:00,625,625
2018-10-04 06:00:00,603,603
2018-10-04 07:00:00,585,585
2018-10-04 08:00:00,599,599
2018-10-04 09:00:00,624,624
2018-10-04 10:00:00,688,688
2018-10-04 11:00:00,802,802
2018-10-04 12:00:00,845,845
2018-10-04 13:00:00,871,871
2018-10-04 14:00:00,884,884
2018-10-04 15:00:00,894,894
2018-10-04 16:00:00,905,905
2018-10-04 17:00:00,911,911
2018-10-04 18:00:00,908,908
2018-10-04 19:00:00,896,896
2018-10-04 20:00:00,880,880
2018-10-04 21:00:00,880,880
2018-10-04 22:00:00,875,875
2018-10-04 23:00:00,898,898
2018-10-05 00:00:00,917,917
2018-10-05 01:00:00,886,886
2018-10-05 02:00:00,823,823
2018-10-05 03:00:00,745,745
2018-10-05 04:00:00,675,675
2018-10-05 05:00:00,636,636
2018-10-05 06:00:00,596,596
2018-10-05 07:00:00,597,597
2018-10-05 08:00:00,588,588
2018-10-05 09:00:00,598,598
2018-10-05 10:00:00,652,652
2018-10-05 11:00:00,769,769
2018-10-05 12:00:00,810,810
2018-10-05 13:00:00,804,804
2018-10-05 14:00:00,799,799
2018-10-05 15:00:00,799,799
2018-10-05 16:00:00,787,787
2018-10-05 17:00:00,786,786
2018-10-05 18:00:00,782,782
2018-10-05 19:00:00,778,778
2018-10-05 20:00:00,774,774
2018-10-05 21:00:00,783,783
2018-10-05 22:00:00,782,782
2018-10-05 23:00:00,817,817
2018-10-06 00:00:00,839,839
2018-10-06 01:00:00,814,814
2018-10-06 02:00:00,766,766
2018-10-06 03:00:00,708,708
2018-10-06 04:00:00,659,659
2018-10-06 05:00:00,595,595
2018-10-06 06:00:00,565,565
2018-10-06 07:00:00,554,554
2018-10-06 08:00:00,549,549
2018-10-06 09:00:00,556,556
2018-10-06 10:00:00,584,584
2018-10-06 11:00:00,623,623
2018-10-06 12:00:00,681,681
2018-10-06 13:00:00,748,748
2018-10-06 14:00:00,793,793
2018-10-06 15:00:00,805,805
2018-10-06 16:00:00,809,809
2018-10-06 17:00:00,784,784
2018-10-06 18:00:00,766,766
2018-10-06 19:00:00,753,753
2018-10-06 20:00:00,752,752
2018-10-06 21:00:00,779,779
2018-10-06 22:00:00,814,814
2018-10-06 23:00:00,844,844
2018-10-07 00:00:00,845,845
2018-10-07 01:00:00,839,839
2018-10-07 02:00:00,780,780
2018-10-07 03:00:00,712,712
2018-10-07 04:00:00,647,647
2018-10-07 05:00:00,612,612
2018-10-07 06:00:00,578,578
2018-10-07 07:00:00,574,574
2018-10-07 08:00:00,559,559
2018-10-07 09:00:00,560,560
2018-10-07 10:00:00,569,569
2018-10-07 11:00:00,602,602
2018-10-07 12:00:00,655,655
2018-10-07 13:00:00,722,722
2018-10-07 14:00:00,771,771
2018-10-07 15:00:00,789,789
2018-10-07 16:00:00,797,797
2018-10-07 17:00:00,794,794
2018-10-07 18:00:00,780,780
2018-10-07 19:00:00,776,776
2018-10-07 20:00:00,765,765
2018-10-07 21:00:00,791,791
2018-10-07 22:00:00,812,812
2018-10-07 23:00:00,844,844
2018-10-08 00:00:00,854,854
2018-10-08 01:00:00,818,818
2018-10-08 02:00:00,771,771
2018-10-08 03:00:00,706,706
2018-10-08 04:00:00,661,661
2018-10-08 05:00:00,623,623
2018-10-08 06:00:00,597,597
2018-10-08 07:00:00,575,575
2018-10-08 08:00:00,574,574
2018-10-08 09:00:00,600,600
2018-10-08 10:00:00,649,649
2018-10-08 11:00:00,717,717
2018-10-08 12:00:00,795,795
2018-10-08 13:00:00,836,836
2018-10-08 14:00:00,851,851
2018-10-08 15:00:00,861,861
2018-10-08 16:00:00,856,856
2018-10-08 17:00:00,861,861
2018-10-08 18:00:00,861,861
2018-10-08 19:00:00,848,848
2018-10-08 20:00:00,851,851
2018-10-08 21:00:00,845,845
2018-10-08 22:00:00,868,868
2018-10-08 23:00:00,907,907
2018-10-09 00:00:00,916,916
2018-10-09 01:00:00,884,884
2018-10-09 02:00:00,834,834
2018-10-09 03:00:00,766,766
2018-10-09 04:00:00,718,718
2018-10-09 05:00:00,682,682
2018-10-09 06:00:00,657,657
2018-10-09 07:00:00,642,642
2018-10-09 08:00:00,645,645
2018-10-09 09:00:00,652,652
2018-10-09 10:00:00,703,703
2018-10-09 11:00:00,825,825
2018-10-09 12:00:00,888,888
2018-10-09 13:00:00,895,895
2018-10-09 14:00:00,898,898
2018-10-09 15:00:00,919,919
2018-10-09 16:00:00,914,914
2018-10-09 17:00:00,925,925
2018-10-09 18:00:00,920,920
2018-10-09 19:00:00,912,912
2018-10-09 20:00:00,902,902
2018-10-09 21:00:00,905,905
2018-10-09 22:00:00,920,920
2018-10-09 23:00:00,958,958
2018-10-10 00:00:00,986,986
2018-10-10 01:00:00,946,946
2018-10-10 02:00:00,885,885
2018-10-10 03:00:00,818,818
2018-10-10 04:00:00,767,767
2018-10-10 05:00:00,722,722
2018-10-10 06:00:00,688,688
2018-10-10 07:00:00,687,687
2018-10-10 08:00:00,675,675
2018-10-10 09:00:00,683,683
2018-10-10 10:00:00,745,745
2018-10-10 11:00:00,855,855
2018-10-10 12:00:00,901,901
2018-10-10 13:00:00,923,923
2018-10-10 14:00:00,915,915
2018-10-10 15:00:00,925,925
2018-10-10 16:00:00,924,924
2018-10-10 17:00:00,927,927
2018-10-10 18:00:00,936,936
2018-10-10 19:00:00,945,945
2018-10-10 20:00:00,949,949
2018-10-10 21:00:00,954,954
2018-10-10 22:00:00,960,960
2018-10-10 23:00:00,991,991
2018-10-11 00:00:00,1007,1007
2018-10-11 01:00:00,961,961
2018-10-11 02:00:00,899,899
2018-10-11 03:00:00,802,802
2018-10-11 04:00:00,756,756
2018-10-11 05:00:00,726,726
2018-10-11 06:00:00,705,705
2018-10-11 07:00:00,681,681
2018-10-11 08:00:00,684,684
2018-10-11 09:00:00,705,705
2018-10-11 10:00:00,766,766
2018-10-11 11:00:00,880,880
2018-10-11 12:00:00,924,924
2018-10-11 13:00:00,946,946
2018-10-11 14:00:00,965,965
2018-10-11 15:00:00,967,967
2018-10-11 16:00:00,958,958
2018-10-11 17:00:00,958,958
2018-10-11 18:00:00,945,945
2018-10-11 19:00:00,927,927
2018-10-11 20:00:00,929,929
2018-10-11 21:00:00,934,934
2018-10-11 22:00:00,931,931
2018-10-11 23:00:00,950,950
2018-10-12 00:00:00,953,953
2018-10-12 01:00:00,918,918
2018-10-12 02:00:00,859,859
2018-10-12 03:00:00,782,782
2018-10-12 04:00:00,695,695
2018-10-12 05:00:00,661,661
2018-10-12 06:00:00,619,619
2018-10-12 07:00:00,599,599
2018-10-12 08:00:00,582,582
2018-10-12 09:00:00,600,600
2018-10-12 10:00:00,654,654
