date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,7122,7122
2018-10-01 01:00:00,7212,7212
2018-10-01 02:00:00,6989,6989
2018-10-01 03:00:00,6633,6633
2018-10-01 04:00:00,6258,6258
2018-10-01 05:00:00,5972,5972
2018-10-01 06:00:00,5813,5813
2018-10-01 07:00:00,5729,5729
2018-10-01 08:00:00,5743,5743
2018-10-01 09:00:00,5838,5838
2018-10-01 10:00:00,6158,6158
2018-10-01 11:00:00,6860,6860
2018-10-01 12:00:00,7334,7334
2018-10-01 13:00:00,7518,7518
2018-10-01 14:00:00,7672,7672
2018-10-01 15:00:00,7896,7896
2018-10-01 16:00:00,7988,7988
2018-10-01 17:00:00,8098,8098
2018-10-01 18:00:00,8339,8339
2018-10-01 19:00:00,8492,8492
2018-10-01 20:00:00,8577,8577
2018-10-01 21:00:00,8606,8606
2018-10-01 22:00:00,8587,8587
2018-10-01 23:00:00,8394,8394
2018-10-02 00:00:00,8510,8510
2018-10-02 01:00:00,8494,8494
2018-10-02 02:00:00,8030,8030
2018-10-02 03:00:00,7471,7471
2018-10-02 04:00:00,6987,6987
2018-10-02 05:00:00,6639,6639
2018-10-02 06:00:00,6404,6404
2018-10-02 07:00:00,6259,6259
2018-10-02 08:00:00,6206,6206
2018-10-02 09:00:00,6280,6280
2018-10-02 10:00:00,6678,6678
2018-10-02 11:00:00,7471,7471
2018-10-02 12:00:00,7900,7900
2018-10-02 13:00:00,8071,8071
2018-10-02 14:00:00,8309,8309
2018-10-02 15:00:00,8487,8487
2018-10-02 16:00:00,8646,8646
2018-10-02 17:00:00,8764,8764
2018-10-02 18:00:00,8897,8897
2018-10-02 19:00:00,8889,8889
2018-10-02 20:00:00,8843,8843
2018-10-02 21:00:00,8827,8827
2018-10-02 22:00:00,8673,8673
2018-10-02 23:00:00,8525,8525
2018-10-03 00:00:00,8610,8610
2018-10-03 01:00:00,8431,8431
2018-10-03 02:00:00,8010,8010
2018-10-03 03:00:00,7429,7429
2018-10-03 04:00:00,6879,6879
2018-10-03 05:00:00,6513,6513
2018-10-03 06:00:00,6286,6286
2018-10-03 07:00:00,6078,6078
2018-10-03 08:00:00,5948,5948
2018-10-03 09:00:00,6037,6037
2018-10-03 10:00:00,6351,6351
2018-10-03 11:00:00,6986,6986
2018-10-03 12:00:00,7356,7356
2018-10-03 13:00:00,7518,7518
2018-10-03 14:00:00,7720,7720
2018-10-03 15:00:00,7925,7925
2018-10-03 16:00:00,8091,8091
2018-10-03 17:00:00,8226,8226
2018-10-03 18:00:00,8539,8539
2018-10-03 19:00:00,8714,8714
2018-10-03 20:00:00,8832,8832
2018-10-03 21:00:00,9039,9039
2018-10-03 22:00:00,9103,9103
2018-10-03 23:00:00,9085,9085
2018-10-04 00:00:00,9246,9246
2018-10-04 01:00:00,9196,9196
2018-10-04 02:00:00,8810,8810
2018-10-04 03:00:00,8233,8233
2018-10-04 04:00:00,7633,7633
2018-10-04 05:00:00,7187,7187
2018-10-04 06:00:00,6896,6896
2018-10-04 07:00:00,6716,6716
2018-10-04 08:00:00,6603,6603
2018-10-04 09:00:00,6702,6702
2018-10-04 10:00:00,7048,7048
2018-10-04 11:00:00,7739,7739
2018-10-04 12:00:00,8293,8293
2018-10-04 13:00:00,8498,8498
2018-10-04 14:00:00,8702,8702
2018-10-04 15:00:00,8899,8899
2018-10-04 16:00:00,8899,8899
2018-10-04 17:00:00,8775,8775
2018-10-04 18:00:00,8695,8695
2018-10-04 19:00:00,8469,8469
2018-10-04 20:00:00,8241,8241
2018-10-04 21:00:00,8015,8015
2018-10-04 22:00:00,7879,7879
2018-10-04 23:00:00,7729,7729
2018-10-05 00:00:00,7783,7783
2018-10-05 01:00:00,7706,7706
2018-10-05 02:00:00,7380,7380
2018-10-05 03:00:00,6892,6892
2018-10-05 04:00:00,6455,6455
2018-10-05 05:00:00,6104,6104
2018-10-05 06:00:00,5934,5934
2018-10-05 07:00:00,5811,5811
2018-10-05 08:00:00,5792,5792
2018-10-05 09:00:00,5904,5904
2018-10-05 10:00:00,6194,6194
2018-10-05 11:00:00,6822,6822
2018-10-05 12:00:00,7187,7187
2018-10-05 13:00:00,7286,7286
2018-10-05 14:00:00,7388,7388
2018-10-05 15:00:00,7507,7507
2018-10-05 16:00:00,7571,7571
2018-10-05 17:00:00,7595,7595
2018-10-05 18:00:00,7624,7624
2018-10-05 19:00:00,7566,7566
2018-10-05 20:00:00,7448,7448
2018-10-05 21:00:00,7395,7395
2018-10-05 22:00:00,7409,7409
2018-10-05 23:00:00,7350,7350
2018-10-06 00:00:00,7446,7446
2018-10-06 01:00:00,7353,7353
2018-10-06 02:00:00,7193,7193
2018-10-06 03:00:00,6844,6844
2018-10-06 04:00:00,6334,6334
2018-10-06 05:00:00,6064,6064
2018-10-06 06:00:00,5863,5863
2018-10-06 07:00:00,5693,5693
2018-10-06 08:00:00,5656,5656
2018-10-06 09:00:00,5707,5707
2018-10-06 10:00:00,5834,5834
2018-10-06 11:00:00,6029,6029
2018-10-06 12:00:00,6363,6363
2018-10-06 13:00:00,6632,6632
2018-10-06 14:00:00,6910,6910
2018-10-06 15:00:00,7227,7227
2018-10-06 16:00:00,7448,7448
2018-10-06 17:00:00,7710,7710
2018-10-06 18:00:00,7938,7938
2018-10-06 19:00:00,8196,8196
2018-10-06 20:00:00,8313,8313
2018-10-06 21:00:00,8431,8431
2018-10-06 22:00:00,8518,8518
2018-10-06 23:00:00,8323,8323
2018-10-07 00:00:00,8326,8326
2018-10-07 01:00:00,8232,8232
2018-10-07 02:00:00,7857,7857
2018-10-07 03:00:00,7424,7424
2018-10-07 04:00:00,6858,6858
2018-10-07 05:00:00,6397,6397
2018-10-07 06:00:00,6115,6115
2018-10-07 07:00:00,5937,5937
2018-10-07 08:00:00,5761,5761
2018-10-07 09:00:00,5758,5758
2018-10-07 10:00:00,5781,5781
2018-10-07 11:00:00,5907,5907
2018-10-07 12:00:00,5946,5946
2018-10-07 13:00:00,6207,6207
2018-10-07 14:00:00,6523,6523
2018-10-07 15:00:00,6882,6882
2018-10-07 16:00:00,7253,7253
2018-10-07 17:00:00,7564,7564
2018-10-07 18:00:00,7768,7768
2018-10-07 19:00:00,7904,7904
2018-10-07 20:00:00,7991,7991
2018-10-07 21:00:00,8050,8050
2018-10-07 22:00:00,8113,8113
2018-10-07 23:00:00,8076,8076
2018-10-08 00:00:00,8212,8212
2018-10-08 01:00:00,8051,8051
2018-10-08 02:00:00,7679,7679
2018-10-08 03:00:00,7217,7217
2018-10-08 04:00:00,6794,6794
2018-10-08 05:00:00,6513,6513
2018-10-08 06:00:00,6291,6291
2018-10-08 07:00:00,6127,6127
2018-10-08 08:00:00,6099,6099
2018-10-08 09:00:00,6217,6217
2018-10-08 10:00:00,6550,6550
2018-10-08 11:00:00,7224,7224
2018-10-08 12:00:00,7724,7724
2018-10-08 13:00:00,7901,7901
