date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,9660,9660
2018-10-01 01:00:00,9857,9857
2018-10-01 02:00:00,9673,9673
2018-10-01 03:00:00,9314,9314
2018-10-01 04:00:00,8849,8849
2018-10-01 05:00:00,8423,8423
2018-10-01 06:00:00,8079,8079
2018-10-01 07:00:00,7863,7863
2018-10-01 08:00:00,7781,7781
2018-10-01 09:00:00,7740,7740
2018-10-01 10:00:00,7998,7998
2018-10-01 11:00:00,8664,8664
2018-10-01 12:00:00,9773,9773
2018-10-01 13:00:00,10445,10445
2018-10-01 14:00:00,10669,10669
2018-10-01 15:00:00,10853,10853
2018-10-01 16:00:00,11054,11054
2018-10-01 17:00:00,11179,11179
2018-10-01 18:00:00,11305,11305
2018-10-01 19:00:00,11504,11504
2018-10-01 20:00:00,11542,11542
2018-10-01 21:00:00,11487,11487
2018-10-01 22:00:00,11405,11405
2018-10-01 23:00:00,11339,11339
2018-10-02 00:00:00,11464,11464
2018-10-02 01:00:00,11574,11574
2018-10-02 02:00:00,11276,11276
2018-10-02 03:00:00,10824,10824
2018-10-02 04:00:00,10226,10226
2018-10-02 05:00:00,9637,9637
2018-10-02 06:00:00,9077,9077
2018-10-02 07:00:00,8740,8740
2018-10-02 08:00:00,8532,8532
2018-10-02 09:00:00,8443,8443
2018-10-02 10:00:00,8583,8583
2018-10-02 11:00:00,9131,9131
2018-10-02 12:00:00,10081,10081
2018-10-02 13:00:00,10553,10553
2018-10-02 14:00:00,10825,10825
2018-10-02 15:00:00,10962,10962
2018-10-02 16:00:00,11086,11086
2018-10-02 17:00:00,11148,11148
2018-10-02 18:00:00,11209,11209
2018-10-02 19:00:00,11256,11256
2018-10-02 20:00:00,11186,11186
2018-10-02 21:00:00,11113,11113
2018-10-02 22:00:00,11038,11038
2018-10-02 23:00:00,10937,10937
2018-10-03 00:00:00,11088,11088
2018-10-03 01:00:00,11254,11254
2018-10-03 02:00:00,11023,11023
2018-10-03 03:00:00,10537,10537
2018-10-03 04:00:00,9888,9888
2018-10-03 05:00:00,9313,9313
2018-10-03 06:00:00,8770,8770
2018-10-03 07:00:00,8445,8445
2018-10-03 08:00:00,8252,8252
2018-10-03 09:00:00,8213,8213
2018-10-03 10:00:00,8386,8386
2018-10-03 11:00:00,9028,9028
2018-10-03 12:00:00,10140,10140
2018-10-03 13:00:00,10698,10698
2018-10-03 14:00:00,11161,11161
2018-10-03 15:00:00,11747,11747
2018-10-03 16:00:00,12295,12295
2018-10-03 17:00:00,12828,12828
2018-10-03 18:00:00,13217,13217
2018-10-03 19:00:00,13688,13688
2018-10-03 20:00:00,14089,14089
2018-10-03 21:00:00,14378,14378
2018-10-03 22:00:00,14524,14524
2018-10-03 23:00:00,14394,14394
2018-10-04 00:00:00,14341,14341
2018-10-04 01:00:00,14530,14530
2018-10-04 02:00:00,14242,14242
2018-10-04 03:00:00,13671,13671
2018-10-04 04:00:00,12841,12841
2018-10-04 05:00:00,11984,11984
2018-10-04 06:00:00,11236,11236
2018-10-04 07:00:00,10587,10587
2018-10-04 08:00:00,10075,10075
2018-10-04 09:00:00,9757,9757
2018-10-04 10:00:00,9641,9641
2018-10-04 11:00:00,9971,9971
2018-10-04 12:00:00,10646,10646
2018-10-04 13:00:00,10786,10786
2018-10-04 14:00:00,10959,10959
2018-10-04 15:00:00,11070,11070
2018-10-04 16:00:00,11144,11144
2018-10-04 17:00:00,11146,11146
2018-10-04 18:00:00,11152,11152
2018-10-04 19:00:00,11177,11177
2018-10-04 20:00:00,11038,11038
2018-10-04 21:00:00,10884,10884
2018-10-04 22:00:00,10762,10762
2018-10-04 23:00:00,10576,10576
2018-10-05 00:00:00,10697,10697
2018-10-05 01:00:00,10888,10888
2018-10-05 02:00:00,10636,10636
2018-10-05 03:00:00,10237,10237
2018-10-05 04:00:00,9569,9569
2018-10-05 05:00:00,8986,8986
2018-10-05 06:00:00,8575,8575
2018-10-05 07:00:00,8309,8309
2018-10-05 08:00:00,8122,8122
2018-10-05 09:00:00,8060,8060
2018-10-05 10:00:00,8226,8226
2018-10-05 11:00:00,8815,8815
2018-10-05 12:00:00,9744,9744
2018-10-05 13:00:00,10391,10391
2018-10-05 14:00:00,10631,10631
2018-10-05 15:00:00,10770,10770
2018-10-05 16:00:00,10948,10948
2018-10-05 17:00:00,11026,11026
2018-10-05 18:00:00,11034,11034
2018-10-05 19:00:00,11072,11072
2018-10-05 20:00:00,11006,11006
2018-10-05 21:00:00,10914,10914
2018-10-05 22:00:00,10859,10859
2018-10-05 23:00:00,10830,10830
2018-10-06 00:00:00,10985,10985
2018-10-06 01:00:00,10887,10887
2018-10-06 02:00:00,10662,10662
2018-10-06 03:00:00,10304,10304
2018-10-06 04:00:00,9719,9719
2018-10-06 05:00:00,9210,9210
2018-10-06 06:00:00,8713,8713
2018-10-06 07:00:00,8472,8472
2018-10-06 08:00:00,8232,8232
2018-10-06 09:00:00,8121,8121
2018-10-06 10:00:00,8177,8177
2018-10-06 11:00:00,8457,8457
2018-10-06 12:00:00,8851,8851
2018-10-06 13:00:00,9079,9079
2018-10-06 14:00:00,9619,9619
2018-10-06 15:00:00,10013,10013
2018-10-06 16:00:00,10288,10288
2018-10-06 17:00:00,10297,10297
2018-10-06 18:00:00,10113,10113
2018-10-06 19:00:00,9760,9760
2018-10-06 20:00:00,9653,9653
2018-10-06 21:00:00,9524,9524
2018-10-06 22:00:00,9430,9430
2018-10-06 23:00:00,9419,9419
2018-10-07 00:00:00,9696,9696
2018-10-07 01:00:00,9737,9737
2018-10-07 02:00:00,9574,9574
2018-10-07 03:00:00,9261,9261
2018-10-07 04:00:00,8863,8863
2018-10-07 05:00:00,8431,8431
2018-10-07 06:00:00,8063,8063
2018-10-07 07:00:00,7756,7756
2018-10-07 08:00:00,7562,7562
2018-10-07 09:00:00,7480,7480
2018-10-07 10:00:00,7504,7504
2018-10-07 11:00:00,7657,7657
2018-10-07 12:00:00,7846,7846
2018-10-07 13:00:00,7986,7986
2018-10-07 14:00:00,8240,8240
2018-10-07 15:00:00,8562,8562
2018-10-07 16:00:00,8763,8763
2018-10-07 17:00:00,8892,8892
2018-10-07 18:00:00,8951,8951
2018-10-07 19:00:00,8952,8952
2018-10-07 20:00:00,8942,8942
2018-10-07 21:00:00,9000,9000
2018-10-07 22:00:00,9114,9114
2018-10-07 23:00:00,9269,9269
2018-10-08 00:00:00,9692,9692
2018-10-08 01:00:00,9754,9754
2018-10-08 02:00:00,9646,9646
2018-10-08 03:00:00,9383,9383
2018-10-08 04:00:00,9030,9030
2018-10-08 05:00:00,8584,8584
2018-10-08 06:00:00,8349,8349
2018-10-08 07:00:00,8087,8087
2018-10-08 08:00:00,7999,7999
2018-10-08 09:00:00,8003,8003
2018-10-08 10:00:00,8232,8232
2018-10-08 11:00:00,8892,8892
2018-10-08 12:00:00,9867,9867
2018-10-08 13:00:00,10371,10371
2018-10-08 14:00:00,10968,10968
2018-10-08 15:00:00,11386,11386
2018-10-08 16:00:00,11843,11843
2018-10-08 17:00:00,12360,12360
2018-10-08 18:00:00,12884,12884
2018-10-08 19:00:00,13330,13330
2018-10-08 20:00:00,13623,13623
2018-10-08 21:00:00,13748,13748
2018-10-08 22:00:00,13831,13831
2018-10-08 23:00:00,13633,13633
2018-10-09 00:00:00,13492,13492
2018-10-09 01:00:00,13396,13396
