date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,11871,11871
2018-10-01 01:00:00,11588,11588
2018-10-01 02:00:00,10941,10941
2018-10-01 03:00:00,10047,10047
2018-10-01 04:00:00,9173,9173
2018-10-01 05:00:00,8553,8553
2018-10-01 06:00:00,8143,8143
2018-10-01 07:00:00,7919,7919
2018-10-01 08:00:00,7838,7838
2018-10-01 09:00:00,7982,7982
2018-10-01 10:00:00,8471,8471
2018-10-01 11:00:00,9459,9459
2018-10-01 12:00:00,9928,9928
2018-10-01 13:00:00,10115,10115
2018-10-01 14:00:00,10407,10407
2018-10-01 15:00:00,10847,10847
2018-10-01 16:00:00,11439,11439
2018-10-01 17:00:00,12081,12081
2018-10-01 18:00:00,12718,12718
2018-10-01 19:00:00,13313,13313
2018-10-01 20:00:00,13703,13703
2018-10-01 21:00:00,13878,13878
2018-10-01 22:00:00,13879,13879
2018-10-01 23:00:00,13573,13573
2018-10-02 00:00:00,13563,13563
2018-10-02 01:00:00,13027,13027
2018-10-02 02:00:00,12098,12098
2018-10-02 03:00:00,11038,11038
2018-10-02 04:00:00,10054,10054
2018-10-02 05:00:00,9284,9284
2018-10-02 06:00:00,8806,8806
2018-10-02 07:00:00,8499,8499
2018-10-02 08:00:00,8306,8306
2018-10-02 09:00:00,8468,8468
2018-10-02 10:00:00,8975,8975
2018-10-02 11:00:00,9914,9914
2018-10-02 12:00:00,10406,10406
2018-10-02 13:00:00,10671,10671
2018-10-02 14:00:00,11002,11002
2018-10-02 15:00:00,11637,11637
2018-10-02 16:00:00,12365,12365
2018-10-02 17:00:00,13076,13076
2018-10-02 18:00:00,13654,13654
2018-10-02 19:00:00,13961,13961
2018-10-02 20:00:00,14151,14151
2018-10-02 21:00:00,14226,14226
2018-10-02 22:00:00,14159,14159
2018-10-02 23:00:00,14026,14026
2018-10-03 00:00:00,13900,13900
2018-10-03 01:00:00,13275,13275
2018-10-03 02:00:00,12362,12362
2018-10-03 03:00:00,11309,11309
2018-10-03 04:00:00,10395,10395
2018-10-03 05:00:00,9614,9614
2018-10-03 06:00:00,9139,9139
2018-10-03 07:00:00,8744,8744
2018-10-03 08:00:00,8666,8666
2018-10-03 09:00:00,8876,8876
2018-10-03 10:00:00,9369,9369
2018-10-03 11:00:00,10471,10471
2018-10-03 12:00:00,10897,10897
2018-10-03 13:00:00,11157,11157
2018-10-03 14:00:00,11652,11652
2018-10-03 15:00:00,12477,12477
2018-10-03 16:00:00,13053,13053
2018-10-03 17:00:00,13779,13779
2018-10-03 18:00:00,14336,14336
2018-10-03 19:00:00,14816,14816
2018-10-03 20:00:00,15153,15153
2018-10-03 21:00:00,15288,15288
2018-10-03 22:00:00,15126,15126
2018-10-03 23:00:00,14698,14698
2018-10-04 00:00:00,14506,14506
2018-10-04 01:00:00,13824,13824
2018-10-04 02:00:00,12968,12968
2018-10-04 03:00:00,11880,11880
2018-10-04 04:00:00,10765,10765
2018-10-04 05:00:00,9890,9890
2018-10-04 06:00:00,9333,9333
2018-10-04 07:00:00,9015,9015
2018-10-04 08:00:00,8819,8819
2018-10-04 09:00:00,8837,8837
2018-10-04 10:00:00,9390,9390
2018-10-04 11:00:00,10401,10401
