date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,4173,4173
2018-10-01 01:00:00,4065,4065
2018-10-01 02:00:00,3833,3833
2018-10-01 03:00:00,3560,3560
2018-10-01 04:00:00,3340,3340
2018-10-01 05:00:00,3187,3187
2018-10-01 06:00:00,3113,3113
2018-10-01 07:00:00,3068,3068
2018-10-01 08:00:00,3075,3075
2018-10-01 09:00:00,3158,3158
2018-10-01 10:00:00,3456,3456
2018-10-01 11:00:00,3946,3946
2018-10-01 12:00:00,4220,4220
2018-10-01 13:00:00,4276,4276
2018-10-01 14:00:00,4389,4389
2018-10-01 15:00:00,4504,4504
2018-10-01 16:00:00,4577,4577
2018-10-01 17:00:00,4663,4663
2018-10-01 18:00:00,4787,4787
2018-10-01 19:00:00,4839,4839
2018-10-01 20:00:00,4874,4874
2018-10-01 21:00:00,4910,4910
2018-10-01 22:00:00,4907,4907
2018-10-01 23:00:00,4873,4873
2018-10-02 00:00:00,4968,4968
2018-10-02 01:00:00,4810,4810
2018-10-02 02:00:00,4507,4507
2018-10-02 03:00:00,4137,4137
2018-10-02 04:00:00,3887,3887
2018-10-02 05:00:00,3607,3607
2018-10-02 06:00:00,3452,3452
2018-10-02 07:00:00,3342,3342
2018-10-02 08:00:00,3322,3322
2018-10-02 09:00:00,3389,3389
2018-10-02 10:00:00,3661,3661
2018-10-02 11:00:00,4188,4188
2018-10-02 12:00:00,4456,4456
2018-10-02 13:00:00,4526,4526
2018-10-02 14:00:00,4600,4600
2018-10-02 15:00:00,4706,4706
2018-10-02 16:00:00,4827,4827
2018-10-02 17:00:00,4920,4920
2018-10-02 18:00:00,4990,4990
2018-10-02 19:00:00,4989,4989
2018-10-02 20:00:00,4985,4985
2018-10-02 21:00:00,4998,4998
2018-10-02 22:00:00,4963,4963
2018-10-02 23:00:00,4990,4990
2018-10-03 00:00:00,4985,4985
2018-10-03 01:00:00,4821,4821
2018-10-03 02:00:00,4509,4509
2018-10-03 03:00:00,4092,4092
2018-10-03 04:00:00,3841,3841
2018-10-03 05:00:00,3574,3574
2018-10-03 06:00:00,3434,3434
2018-10-03 07:00:00,3329,3329
2018-10-03 08:00:00,3291,3291
2018-10-03 09:00:00,3341,3341
2018-10-03 10:00:00,3611,3611
2018-10-03 11:00:00,4132,4132
2018-10-03 12:00:00,4344,4344
2018-10-03 13:00:00,4441,4441
2018-10-03 14:00:00,4527,4527
2018-10-03 15:00:00,4627,4627
2018-10-03 16:00:00,4690,4690
2018-10-03 17:00:00,4751,4751
2018-10-03 18:00:00,4841,4841
2018-10-03 19:00:00,4895,4895
2018-10-03 20:00:00,5037,5037
2018-10-03 21:00:00,5073,5073
2018-10-03 22:00:00,5034,5034
2018-10-03 23:00:00,4867,4867
2018-10-04 00:00:00,4799,4799
2018-10-04 01:00:00,4619,4619
2018-10-04 02:00:00,4331,4331
2018-10-04 03:00:00,3963,3963
2018-10-04 04:00:00,3687,3687
2018-10-04 05:00:00,3471,3471
2018-10-04 06:00:00,3332,3332
2018-10-04 07:00:00,3256,3256
2018-10-04 08:00:00,3216,3216
2018-10-04 09:00:00,3250,3250
2018-10-04 10:00:00,3521,3521
2018-10-04 11:00:00,4038,4038
2018-10-04 12:00:00,4250,4250
2018-10-04 13:00:00,4297,4297
2018-10-04 14:00:00,4413,4413
2018-10-04 15:00:00,4553,4553
2018-10-04 16:00:00,4671,4671
2018-10-04 17:00:00,4748,4748
2018-10-04 18:00:00,4920,4920
2018-10-04 19:00:00,4959,4959
2018-10-04 20:00:00,4912,4912
2018-10-04 21:00:00,4916,4916
2018-10-04 22:00:00,4913,4913
2018-10-04 23:00:00,4954,4954
2018-10-05 00:00:00,5001,5001
2018-10-05 01:00:00,4838,4838
2018-10-05 02:00:00,4565,4565
2018-10-05 03:00:00,4208,4208
2018-10-05 04:00:00,3905,3905
2018-10-05 05:00:00,3589,3589
2018-10-05 06:00:00,3383,3383
2018-10-05 07:00:00,3304,3304
2018-10-05 08:00:00,3251,3251
2018-10-05 09:00:00,3301,3301
2018-10-05 10:00:00,3542,3542
2018-10-05 11:00:00,4005,4005
2018-10-05 12:00:00,4246,4246
2018-10-05 13:00:00,4270,4270
2018-10-05 14:00:00,4365,4365
2018-10-05 15:00:00,4399,4399
2018-10-05 16:00:00,4420,4420
2018-10-05 17:00:00,4438,4438
2018-10-05 18:00:00,4471,4471
2018-10-05 19:00:00,4433,4433
2018-10-05 20:00:00,4359,4359
2018-10-05 21:00:00,4351,4351
2018-10-05 22:00:00,4316,4316
2018-10-05 23:00:00,4313,4313
2018-10-06 00:00:00,4339,4339
2018-10-06 01:00:00,4229,4229
2018-10-06 02:00:00,4047,4047
2018-10-06 03:00:00,3799,3799
2018-10-06 04:00:00,3533,3533
2018-10-06 05:00:00,3289,3289
2018-10-06 06:00:00,3119,3119
2018-10-06 07:00:00,3036,3036
2018-10-06 08:00:00,2993,2993
2018-10-06 09:00:00,3008,3008
2018-10-06 10:00:00,3118,3118
2018-10-06 11:00:00,3315,3315
2018-10-06 12:00:00,3531,3531
2018-10-06 13:00:00,3711,3711
2018-10-06 14:00:00,4016,4016
2018-10-06 15:00:00,4174,4174
2018-10-06 16:00:00,4199,4199
2018-10-06 17:00:00,4180,4180
2018-10-06 18:00:00,4168,4168
2018-10-06 19:00:00,4151,4151
2018-10-06 20:00:00,4152,4152
2018-10-06 21:00:00,4186,4186
2018-10-06 22:00:00,4089,4089
2018-10-06 23:00:00,4095,4095
2018-10-07 00:00:00,4134,4134
2018-10-07 01:00:00,4042,4042
2018-10-07 02:00:00,3874,3874
2018-10-07 03:00:00,3654,3654
2018-10-07 04:00:00,3430,3430
2018-10-07 05:00:00,3229,3229
2018-10-07 06:00:00,3107,3107
2018-10-07 07:00:00,3047,3047
2018-10-07 08:00:00,2993,2993
2018-10-07 09:00:00,2991,2991
2018-10-07 10:00:00,3064,3064
2018-10-07 11:00:00,3221,3221
2018-10-07 12:00:00,3411,3411
2018-10-07 13:00:00,3676,3676
2018-10-07 14:00:00,3855,3855
2018-10-07 15:00:00,3995,3995
2018-10-07 16:00:00,4150,4150
2018-10-07 17:00:00,4286,4286
2018-10-07 18:00:00,4458,4458
2018-10-07 19:00:00,4602,4602
2018-10-07 20:00:00,4721,4721
2018-10-07 21:00:00,4831,4831
2018-10-07 22:00:00,4886,4886
2018-10-07 23:00:00,4849,4849
2018-10-08 00:00:00,4871,4871
2018-10-08 01:00:00,4708,4708
2018-10-08 02:00:00,4439,4439
2018-10-08 03:00:00,4145,4145
2018-10-08 04:00:00,3891,3891
2018-10-08 05:00:00,3685,3685
2018-10-08 06:00:00,3546,3546
2018-10-08 07:00:00,3476,3476
2018-10-08 08:00:00,3464,3464
2018-10-08 09:00:00,3534,3534
2018-10-08 10:00:00,3773,3773
2018-10-08 11:00:00,4249,4249
2018-10-08 12:00:00,4526,4526
2018-10-08 13:00:00,4626,4626
2018-10-08 14:00:00,4784,4784
2018-10-08 15:00:00,4888,4888
2018-10-08 16:00:00,4960,4960
2018-10-08 17:00:00,5036,5036
2018-10-08 18:00:00,5087,5087
2018-10-08 19:00:00,5004,5004
2018-10-08 20:00:00,5048,5048
2018-10-08 21:00:00,5038,5038
2018-10-08 22:00:00,5028,5028
2018-10-08 23:00:00,5048,5048
2018-10-09 00:00:00,5060,5060
2018-10-09 01:00:00,4881,4881
2018-10-09 02:00:00,4612,4612
2018-10-09 03:00:00,4261,4261
2018-10-09 04:00:00,4012,4012
2018-10-09 05:00:00,3759,3759
2018-10-09 06:00:00,3629,3629
2018-10-09 07:00:00,3538,3538
2018-10-09 08:00:00,3534,3534
2018-10-09 09:00:00,3606,3606
2018-10-09 10:00:00,3875,3875
2018-10-09 11:00:00,4410,4410
2018-10-09 12:00:00,4735,4735
2018-10-09 13:00:00,4791,4791
2018-10-09 14:00:00,4891,4891
2018-10-09 15:00:00,4993,4993
2018-10-09 16:00:00,5102,5102
2018-10-09 17:00:00,5197,5197
2018-10-09 18:00:00,5300,5300
2018-10-09 19:00:00,5288,5288
2018-10-09 20:00:00,5090,5090
2018-10-09 21:00:00,5166,5166
2018-10-09 22:00:00,5204,5204
2018-10-09 23:00:00,5297,5297
2018-10-10 00:00:00,5347,5347
2018-10-10 01:00:00,5120,5120
2018-10-10 02:00:00,4815,4815
2018-10-10 03:00:00,4432,4432
2018-10-10 04:00:00,4159,4159
