date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,1018,1023
2018-10-01 01:00:00,1044,1054
2018-10-01 02:00:00,1084,1072
2018-10-01 03:00:00,1099,1084
2018-10-01 04:00:00,1052,1056
2018-10-01 05:00:00,1008,990
2018-10-01 06:00:00,925,913
2018-10-01 07:00:00,852,839
2018-10-01 08:00:00,802,804
2018-10-01 09:00:00,751,772
2018-10-01 10:00:00,748,755
2018-10-01 11:00:00,754,750
2018-10-01 12:00:00,779,772
2018-10-01 13:00:00,812,866
2018-10-01 14:00:00,959,1003
2018-10-01 15:00:00,1070,1096
2018-10-01 16:00:00,1080,1112
2018-10-01 17:00:00,1087,1122
2018-10-01 18:00:00,1090,1121
2018-10-01 19:00:00,1097,1136
2018-10-01 20:00:00,1089,1132
2018-10-01 21:00:00,1099,1146
2018-10-01 22:00:00,1079,1137
2018-10-01 23:00:00,1069,1125
2018-10-02 00:00:00,1082,1133
2018-10-02 01:00:00,1104,1149
2018-10-02 02:00:00,1104,1151
2018-10-02 03:00:00,1108,1151
2018-10-02 04:00:00,1062,1117
2018-10-02 05:00:00,997,1057
2018-10-02 06:00:00,904,972
2018-10-02 07:00:00,825,886
2018-10-02 08:00:00,762,790
2018-10-02 09:00:00,729,760
2018-10-02 10:00:00,707,745
2018-10-02 11:00:00,708,745
2018-10-02 12:00:00,728,770
2018-10-02 13:00:00,812,865
2018-10-02 14:00:00,958,1018
2018-10-02 15:00:00,1059,1106
2018-10-02 16:00:00,1069,1121
2018-10-02 17:00:00,1064,1123
2018-10-02 18:00:00,1055,1112
2018-10-02 19:00:00,1060,1112
2018-10-02 20:00:00,1068,1110
2018-10-02 21:00:00,1062,1112
2018-10-02 22:00:00,1047,1108
2018-10-02 23:00:00,1038,1101
2018-10-03 00:00:00,1042,1102
2018-10-03 01:00:00,1063,1118
2018-10-03 02:00:00,1076,1126
2018-10-03 03:00:00,1097,1132
2018-10-03 04:00:00,1056,1104
2018-10-03 05:00:00,999,1041
2018-10-03 06:00:00,916,952
2018-10-03 07:00:00,835,869
2018-10-03 08:00:00,779,793
2018-10-03 09:00:00,747,751
2018-10-03 10:00:00,736,723
2018-10-03 11:00:00,744,744
2018-10-03 12:00:00,768,774
2018-10-03 13:00:00,875,877
2018-10-03 14:00:00,1033,1045
2018-10-03 15:00:00,1151,1138
2018-10-03 16:00:00,1173,1146
2018-10-03 17:00:00,1145,1108
2018-10-03 18:00:00,1120,1092
2018-10-03 19:00:00,1097,1081
2018-10-03 20:00:00,1095,1080
2018-10-03 21:00:00,1070,1074
2018-10-03 22:00:00,1059,1062
2018-10-03 23:00:00,1063,1059
2018-10-04 00:00:00,1070,1067
2018-10-04 01:00:00,1101,1095
2018-10-04 02:00:00,1136,1099
2018-10-04 03:00:00,1147,1107
2018-10-04 04:00:00,1111,1073
2018-10-04 05:00:00,1054,1023
2018-10-04 06:00:00,954,939
2018-10-04 07:00:00,864,860
2018-10-04 08:00:00,807,818
2018-10-04 09:00:00,768,787
2018-10-04 10:00:00,752,764
2018-10-04 11:00:00,751,759
2018-10-04 12:00:00,784,786
2018-10-04 13:00:00,882,891
2018-10-04 14:00:00,1054,1044
2018-10-04 15:00:00,1164,1135
2018-10-04 16:00:00,1158,1128
2018-10-04 17:00:00,1127,1114
2018-10-04 18:00:00,1104,1094
2018-10-04 19:00:00,1100,1086
2018-10-04 20:00:00,1085,1076
2018-10-04 21:00:00,1071,1072
2018-10-04 22:00:00,1056,1063
2018-10-04 23:00:00,1044,1065
2018-10-05 00:00:00,1051,1070
2018-10-05 01:00:00,1061,1098
2018-10-05 02:00:00,1069,1108
2018-10-05 03:00:00,1101,1117
2018-10-05 04:00:00,1071,1085
2018-10-05 05:00:00,1021,1025
2018-10-05 06:00:00,930,948
2018-10-05 07:00:00,861,866
2018-10-05 08:00:00,808,792
2018-10-05 09:00:00,772,755
2018-10-05 10:00:00,760,734
2018-10-05 11:00:00,754,737
2018-10-05 12:00:00,783,774
2018-10-05 13:00:00,878,880
2018-10-05 14:00:00,1028,1025
2018-10-05 15:00:00,1130,1137
2018-10-05 16:00:00,1146,1154
2018-10-05 17:00:00,1154,1143
2018-10-05 18:00:00,1157,1134
2018-10-05 19:00:00,1158,1127
2018-10-05 20:00:00,1144,1115
2018-10-05 21:00:00,1137,1105
2018-10-05 22:00:00,1126,1090
2018-10-05 23:00:00,1127,1085
2018-10-06 00:00:00,1143,1111
2018-10-06 01:00:00,1158,1135
2018-10-06 02:00:00,1146,1130
2018-10-06 03:00:00,1128,1131
2018-10-06 04:00:00,1084,1087
2018-10-06 05:00:00,1032,1031
2018-10-06 06:00:00,960,960
2018-10-06 07:00:00,890,896
2018-10-06 08:00:00,837,838
2018-10-06 09:00:00,790,795
2018-10-06 10:00:00,769,771
2018-10-06 11:00:00,764,761
2018-10-06 12:00:00,767,773
2018-10-06 13:00:00,800,805
2018-10-06 14:00:00,858,854
2018-10-06 15:00:00,918,921
2018-10-06 16:00:00,994,985
2018-10-06 17:00:00,1038,1024
2018-10-06 18:00:00,1046,1047
2018-10-06 19:00:00,1040,1051
2018-10-06 20:00:00,1010,1037
2018-10-06 21:00:00,982,1011
2018-10-06 22:00:00,961,996
2018-10-06 23:00:00,947,1009
2018-10-07 00:00:00,953,1015
2018-10-07 01:00:00,970,1029
2018-10-07 02:00:00,990,1062
2018-10-07 03:00:00,1020,1060
2018-10-07 04:00:00,1002,1032
2018-10-07 05:00:00,959,994
2018-10-07 06:00:00,914,948
2018-10-07 07:00:00,858,890
2018-10-07 08:00:00,809,860
2018-10-07 09:00:00,774,825
2018-10-07 10:00:00,755,810
2018-10-07 11:00:00,745,795
2018-10-07 12:00:00,752,805
2018-10-07 13:00:00,772,825
2018-10-07 14:00:00,822,845
2018-10-07 15:00:00,868,900
2018-10-07 16:00:00,946,971
2018-10-07 17:00:00,995,1023
2018-10-07 18:00:00,1018,1043
2018-10-07 19:00:00,1031,1043
2018-10-07 20:00:00,1032,1030
2018-10-07 21:00:00,1007,1024
2018-10-07 22:00:00,1001,1013
2018-10-07 23:00:00,995,1019
2018-10-08 00:00:00,1008,1023
2018-10-08 01:00:00,1044,1054
2018-10-08 02:00:00,1083,1104
2018-10-08 03:00:00,1102,1133
2018-10-08 04:00:00,1070,1103
2018-10-08 05:00:00,1008,1050
2018-10-08 06:00:00,928,973
2018-10-08 07:00:00,837,898
2018-10-08 08:00:00,784,795
2018-10-08 09:00:00,752,760
2018-10-08 10:00:00,738,745
2018-10-08 11:00:00,737,745
2018-10-08 12:00:00,770,780
2018-10-08 13:00:00,860,875
2018-10-08 14:00:00,1019,1025
2018-10-08 15:00:00,1126,1125
2018-10-08 16:00:00,1137,1123
2018-10-08 17:00:00,1129,1122
2018-10-08 18:00:00,1130,1115
2018-10-08 19:00:00,1120,1121
2018-10-08 20:00:00,1119,1116
2018-10-08 21:00:00,1114,1114
2018-10-08 22:00:00,1099,1096
2018-10-08 23:00:00,1098,1096
2018-10-09 00:00:00,1110,1117
2018-10-09 01:00:00,1134,1141
2018-10-09 02:00:00,1149,1162
2018-10-09 03:00:00,1154,1163
2018-10-09 04:00:00,1107,1100
2018-10-09 05:00:00,1039,1100
2018-10-09 06:00:00,945,800
2018-10-09 07:00:00,861,800
2018-10-09 08:00:00,796,812
2018-10-09 09:00:00,757,773
2018-10-09 10:00:00,744,754
2018-10-09 11:00:00,743,750
2018-10-09 12:00:00,770,779
2018-10-09 13:00:00,864,881
2018-10-09 14:00:00,1029,1038
2018-10-09 15:00:00,1139,1131
2018-10-09 16:00:00,1146,1128
2018-10-09 17:00:00,1149,1119
2018-10-09 18:00:00,1145,1108
2018-10-09 19:00:00,1141,1111
2018-10-09 20:00:00,1136,1103
2018-10-09 21:00:00,1128,1096
2018-10-09 22:00:00,1097,1085
2018-10-09 23:00:00,1086,1083
2018-10-10 00:00:00,1082,1098
2018-10-10 01:00:00,1085,1123
2018-10-10 02:00:00,1122,1145
2018-10-10 03:00:00,1137,1147
2018-10-10 04:00:00,1112,1105
2018-10-10 05:00:00,1045,1042
2018-10-10 06:00:00,957,956
2018-10-10 07:00:00,863,879
2018-10-10 08:00:00,806,801
2018-10-10 09:00:00,767,765
2018-10-10 10:00:00,748,746
2018-10-10 11:00:00,743,744
2018-10-10 12:00:00,775,770
2018-10-10 13:00:00,874,873
2018-10-10 14:00:00,1041,1030
2018-10-10 15:00:00,1140,1127
2018-10-10 16:00:00,1144,1131
