date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,4554,5554
2018-10-01 01:00:00,4485,5341
2018-10-01 02:00:00,4439,5070
2018-10-01 03:00:00,4136,4819
2018-10-01 04:00:00,3910,4507
2018-10-01 05:00:00,3690,4226
2018-10-01 06:00:00,3418,3885
2018-10-01 07:00:00,3180,3560
2018-10-01 08:00:00,3010,3403
2018-10-01 09:00:00,2883,3198
2018-10-01 10:00:00,2807,3037
2018-10-01 11:00:00,2782,2945
2018-10-01 12:00:00,2825,2855
2018-10-01 13:00:00,2980,2840
2018-10-01 14:00:00,3187,2801
2018-10-01 15:00:00,3205,2926
2018-10-01 16:00:00,3243,3242
2018-10-01 17:00:00,3289,3645
2018-10-01 18:00:00,3394,4049
2018-10-01 19:00:00,3418,4425
2018-10-01 20:00:00,3425,4784
2018-10-01 21:00:00,3429,4696
2018-10-01 22:00:00,3418,4736
2018-10-01 23:00:00,3414,4681
2018-10-02 00:00:00,3457,4594
2018-10-02 01:00:00,3548,4525
2018-10-02 02:00:00,3742,4478
2018-10-02 03:00:00,3735,4224
2018-10-02 04:00:00,3668,4030
2018-10-02 05:00:00,3537,3802
2018-10-02 06:00:00,3293,3370
2018-10-02 07:00:00,3056,3078
2018-10-02 08:00:00,2897,3020
2018-10-02 09:00:00,2805,2898
2018-10-02 10:00:00,2717,2816
2018-10-02 11:00:00,2680,2791
2018-10-02 12:00:00,2711,2833
2018-10-02 13:00:00,2906,2990
2018-10-02 14:00:00,3075,3196
2018-10-02 15:00:00,3116,3219
2018-10-02 16:00:00,3130,3262
2018-10-02 17:00:00,3204,3305
2018-10-02 18:00:00,3256,3406
2018-10-02 19:00:00,3355,3429
2018-10-02 20:00:00,3366,3442
2018-10-02 21:00:00,3434,3453
2018-10-02 22:00:00,3493,3445
2018-10-02 23:00:00,3512,3440
2018-10-03 00:00:00,3581,3489
2018-10-03 01:00:00,3633,3579
2018-10-03 02:00:00,3785,3773
2018-10-03 03:00:00,3794,3519
2018-10-03 04:00:00,3700,3435
2018-10-03 05:00:00,3550,3290
2018-10-03 06:00:00,3303,3368
2018-10-03 07:00:00,3059,3155
2018-10-03 08:00:00,2878,2885
2018-10-03 09:00:00,2772,2794
2018-10-03 10:00:00,2691,2710
2018-10-03 11:00:00,2698,2671
2018-10-03 12:00:00,2738,2705
2018-10-03 13:00:00,2891,2896
2018-10-03 14:00:00,3060,3066
2018-10-03 15:00:00,3146,3109
2018-10-03 16:00:00,3222,3119
2018-10-03 17:00:00,3386,3193
2018-10-03 18:00:00,3558,3245
2018-10-03 19:00:00,3737,3342
2018-10-03 20:00:00,3898,3357
2018-10-03 21:00:00,4050,3423
2018-10-03 22:00:00,4172,3485
2018-10-03 23:00:00,4233,3507
2018-10-04 00:00:00,4298,3582
2018-10-04 01:00:00,4263,3629
2018-10-04 02:00:00,4355,3783
2018-10-04 03:00:00,4219,3692
2018-10-04 04:00:00,4049,3619
2018-10-04 05:00:00,3797,3447
2018-10-04 06:00:00,3489,3319
2018-10-04 07:00:00,3240,3080
2018-10-04 08:00:00,3017,2896
2018-10-04 09:00:00,2874,2791
2018-10-04 10:00:00,2776,2712
2018-10-04 11:00:00,2727,2716
2018-10-04 12:00:00,2726,2760
2018-10-04 13:00:00,2881,2912
2018-10-04 14:00:00,2955,3089
2018-10-04 15:00:00,3490,3181
2018-10-04 16:00:00,3165,3261
2018-10-04 17:00:00,3392,3429
2018-10-04 18:00:00,3586,3598
2018-10-04 19:00:00,3747,3779
2018-10-04 20:00:00,3895,3934
2018-10-04 21:00:00,4003,4079
2018-10-04 22:00:00,4104,4211
2018-10-04 23:00:00,4129,4269
2018-10-05 00:00:00,4137,4336
2018-10-05 01:00:00,4058,4296
2018-10-05 02:00:00,4079,4395
2018-10-05 03:00:00,4005,4306
2018-10-05 04:00:00,3837,4141
2018-10-05 05:00:00,3619,3879
2018-10-05 06:00:00,3282,3582
2018-10-05 07:00:00,2975,3298
2018-10-05 08:00:00,2765,3045
2018-10-05 09:00:00,2636,2895
2018-10-05 10:00:00,2543,2796
2018-10-05 11:00:00,2494,2749
2018-10-05 12:00:00,2518,2746
2018-10-05 13:00:00,2653,2916
2018-10-05 14:00:00,2779,3004
2018-10-05 15:00:00,2863,3543
2018-10-05 16:00:00,2989,3212
2018-10-05 17:00:00,3192,3438
2018-10-05 18:00:00,3399,3635
2018-10-05 19:00:00,3622,3794
2018-10-05 20:00:00,3755,3939
2018-10-05 21:00:00,3877,4049
2018-10-05 22:00:00,3978,4154
2018-10-05 23:00:00,4003,4180
2018-10-06 00:00:00,3911,4192
2018-10-06 01:00:00,3815,4116
2018-10-06 02:00:00,3798,4124
2018-10-06 03:00:00,3653,4073
2018-10-06 04:00:00,3506,3926
2018-10-06 05:00:00,3333,3691
2018-10-06 06:00:00,3105,3343
2018-10-06 07:00:00,2870,3083
2018-10-06 08:00:00,2665,2793
2018-10-06 09:00:00,2526,2664
2018-10-06 10:00:00,2428,2569
2018-10-06 11:00:00,2382,2519
2018-10-06 12:00:00,2353,2545
2018-10-06 13:00:00,2405,2686
2018-10-06 14:00:00,2406,2819
2018-10-06 15:00:00,2437,2909
2018-10-06 16:00:00,2700,3035
2018-10-06 17:00:00,2911,3225
2018-10-06 18:00:00,3112,3438
2018-10-06 19:00:00,3314,3659
2018-10-06 20:00:00,3485,3794
2018-10-06 21:00:00,3606,3916
2018-10-06 22:00:00,3627,4028
2018-10-06 23:00:00,3568,4046
2018-10-07 00:00:00,3525,3960
2018-10-07 01:00:00,3450,3866
2018-10-07 02:00:00,3491,3844
2018-10-07 03:00:00,3407,3738
2018-10-07 04:00:00,3259,3589
2018-10-07 05:00:00,3122,3422
2018-10-07 06:00:00,2993,3115
2018-10-07 07:00:00,2825,2863
2018-10-07 08:00:00,2674,2692
2018-10-07 09:00:00,2540,2555
2018-10-07 10:00:00,2446,2455
2018-10-07 11:00:00,2362,2405
2018-10-07 12:00:00,2288,2383
2018-10-07 13:00:00,2282,2438
2018-10-07 14:00:00,2298,2436
2018-10-07 15:00:00,2321,2464
2018-10-07 16:00:00,2424,2731
2018-10-07 17:00:00,2510,2948
2018-10-07 18:00:00,2700,3146
2018-10-07 19:00:00,2688,3352
2018-10-07 20:00:00,2729,3526
2018-10-07 21:00:00,2726,3642
2018-10-07 22:00:00,2755,3668
2018-10-07 23:00:00,2834,3615
2018-10-08 00:00:00,2889,3562
2018-10-08 01:00:00,2905,3491
2018-10-08 02:00:00,2972,3529
2018-10-08 03:00:00,2951,3352
2018-10-08 04:00:00,2872,3242
2018-10-08 05:00:00,2746,3128
2018-10-08 06:00:00,2597,2970
2018-10-08 07:00:00,2419,2783
2018-10-08 08:00:00,2311,2690
2018-10-08 09:00:00,2213,2563
2018-10-08 10:00:00,2183,2467
2018-10-08 11:00:00,2176,2383
2018-10-08 12:00:00,2240,2307
2018-10-08 13:00:00,2372,2306
2018-10-08 14:00:00,2467,2325
2018-10-08 15:00:00,2492,2353
2018-10-08 16:00:00,2528,2458
2018-10-08 17:00:00,2653,2544
2018-10-08 18:00:00,2729,2630
2018-10-08 19:00:00,2813,2728
2018-10-08 20:00:00,2928,2764
2018-10-08 21:00:00,2962,2759
2018-10-08 22:00:00,3031,2794
2018-10-08 23:00:00,3002,2877
2018-10-09 00:00:00,3094,2933
2018-10-09 01:00:00,3087,2942
2018-10-09 02:00:00,3172,3010
2018-10-09 03:00:00,3141,3054
2018-10-09 04:00:00,3041,3023
2018-10-09 05:00:00,2892,2923
2018-10-09 06:00:00,2711,2653
2018-10-09 07:00:00,2526,2500
2018-10-09 08:00:00,2392,2332
2018-10-09 09:00:00,2299,2239
2018-10-09 10:00:00,2258,2204
2018-10-09 11:00:00,2228,2195
2018-10-09 12:00:00,2290,2264
2018-10-09 13:00:00,2413,2399
2018-10-09 14:00:00,2496,2496
2018-10-09 15:00:00,2525,2536
2018-10-09 16:00:00,2597,2578
2018-10-09 17:00:00,2676,2692
2018-10-09 18:00:00,2725,2767
2018-10-09 19:00:00,2821,2845
2018-10-09 20:00:00,2921,2962
2018-10-09 21:00:00,3012,2991
2018-10-09 22:00:00,3092,3070
2018-10-09 23:00:00,3136,3049
2018-10-10 00:00:00,3212,3142
2018-10-10 01:00:00,3241,3124
2018-10-10 02:00:00,3294,3211
2018-10-10 03:00:00,3267,3229
2018-10-10 04:00:00,3144,3143
2018-10-10 05:00:00,2979,2974
2018-10-10 06:00:00,2745,2685
2018-10-10 07:00:00,2549,2498
2018-10-10 08:00:00,2420,2410
2018-10-10 09:00:00,2328,2317
2018-10-10 10:00:00,2245,2279
2018-10-10 11:00:00,2235,2246
2018-10-10 12:00:00,2285,2309
2018-10-10 13:00:00,2427,2432
2018-10-10 14:00:00,2516,2530
2018-10-10 15:00:00,2531,2566
2018-10-10 16:00:00,2579,2621
2018-10-10 17:00:00,2660,2699
2018-10-10 18:00:00,2754,2749
2018-10-10 19:00:00,2844,2847
2018-10-10 20:00:00,2956,2942
2018-10-10 21:00:00,3099,3034
2018-10-10 22:00:00,3225,3118
2018-10-10 23:00:00,3296,3159
2018-10-11 00:00:00,3407,3239
2018-10-11 01:00:00,3377,3264
2018-10-11 02:00:00,3455,3322
2018-10-11 03:00:00,3410,3304
2018-10-11 04:00:00,3288,3238
2018-10-11 05:00:00,3110,3067
2018-10-11 06:00:00,2876,2741
2018-10-11 07:00:00,2653,2501
2018-10-11 08:00:00,2476,2420
2018-10-11 09:00:00,2403,2331
2018-10-11 10:00:00,2335,2254
2018-10-11 11:00:00,2311,2241
2018-10-11 12:00:00,2371,2299
2018-10-11 13:00:00,2502,2452
2018-10-11 14:00:00,2622,2529
2018-10-11 15:00:00,2673,2550
2018-10-11 16:00:00,2744,2602
2018-10-11 17:00:00,2835,2681
2018-10-11 18:00:00,2973,2776
2018-10-11 19:00:00,3109,2868
2018-10-11 20:00:00,3250,2979
2018-10-11 21:00:00,3374,3116
2018-10-11 22:00:00,3419,3244
2018-10-11 23:00:00,3399,3314
2018-10-12 00:00:00,3346,3426
2018-10-12 01:00:00,3374,3396
2018-10-12 02:00:00,3499,3473
2018-10-12 03:00:00,3471,3446
2018-10-12 04:00:00,3387,3346
2018-10-12 05:00:00,3224,3168
2018-10-12 06:00:00,3043,2958
2018-10-12 07:00:00,2828,2748
2018-10-12 08:00:00,2637,2501
2018-10-12 09:00:00,2538,2418
2018-10-12 10:00:00,2468,2358
2018-10-12 11:00:00,2424,2341
2018-10-12 12:00:00,2452,2395
2018-10-12 13:00:00,2579,2521
2018-10-12 14:00:00,2704,2637
2018-10-12 15:00:00,2738,2687
2018-10-12 16:00:00,2811,2761
2018-10-12 17:00:00,2876,2860
2018-10-12 18:00:00,2936,2988
2018-10-12 19:00:00,2985,3129
2018-10-12 20:00:00,3043,3268
2018-10-12 21:00:00,3104,3395
2018-10-12 22:00:00,3171,3442
2018-10-12 23:00:00,3272,3424
2018-10-13 00:00:00,3307,3369
2018-10-13 01:00:00,3294,3392
2018-10-13 02:00:00,3391,3515
2018-10-13 03:00:00,3331,3401
2018-10-13 04:00:00,3249,3338
2018-10-13 05:00:00,3114,3169
2018-10-13 06:00:00,2958,3005
2018-10-13 07:00:00,2773,2805
2018-10-13 08:00:00,2610,2665
2018-10-13 09:00:00,2481,2556
2018-10-13 10:00:00,2403,2487
2018-10-13 11:00:00,2368,2445
2018-10-13 12:00:00,2364,2486
2018-10-13 13:00:00,2373,2621
2018-10-13 14:00:00,2455,2752
2018-10-13 15:00:00,2512,2794
2018-10-13 16:00:00,2669,2864
2018-10-13 17:00:00,2792,2924
2018-10-13 18:00:00,2812,2985
2018-10-13 19:00:00,2806,3035
2018-10-13 20:00:00,2810,3091
2018-10-13 21:00:00,2760,3154
2018-10-13 22:00:00,2698,3223
2018-10-13 23:00:00,2686,3313
2018-10-14 00:00:00,2707,3349
2018-10-14 01:00:00,2753,3342
2018-10-14 02:00:00,2883,3444
2018-10-14 03:00:00,2865,3370
2018-10-14 04:00:00,2784,3284
