date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,30507,31101
2018-10-01 01:00:00,30702,30709
2018-10-01 02:00:00,30346,30451
2018-10-01 03:00:00,29105,29317
2018-10-01 04:00:00,27379,27626
2018-10-01 05:00:00,25599,25943
2018-10-01 06:00:00,24430,24326
2018-10-01 07:00:00,23698,23485
2018-10-01 08:00:00,23287,22974
2018-10-01 09:00:00,23173,22784
2018-10-01 10:00:00,23430,23042
2018-10-01 11:00:00,24625,24140
2018-10-01 12:00:00,26827,26233
2018-10-01 13:00:00,28205,27504
2018-10-01 14:00:00,28597,28215
2018-10-01 15:00:00,29351,29171
2018-10-01 16:00:00,30190,30259
2018-10-01 17:00:00,30944,31171
2018-10-01 18:00:00,31678,31994
2018-10-01 19:00:00,32707,32991
2018-10-01 20:00:00,33574,33720
2018-10-01 21:00:00,34242,34411
2018-10-01 22:00:00,34676,34727
2018-10-01 23:00:00,34513,34469
2018-10-02 00:00:00,33753,33900
2018-10-02 01:00:00,33462,33406
2018-10-02 02:00:00,32665,33176
2018-10-02 03:00:00,31207,31644
2018-10-02 04:00:00,29203,29495
2018-10-02 05:00:00,27247,27344
2018-10-02 06:00:00,25775,25504
2018-10-02 07:00:00,24829,24551
2018-10-02 08:00:00,24184,23936
2018-10-02 09:00:00,23925,23632
2018-10-02 10:00:00,24094,23795
2018-10-02 11:00:00,25146,24803
2018-10-02 12:00:00,27274,26831
2018-10-02 13:00:00,28324,28040
2018-10-02 14:00:00,28848,28670
2018-10-02 15:00:00,29833,29605
2018-10-02 16:00:00,31130,30761
2018-10-02 17:00:00,32662,31841
2018-10-02 18:00:00,34183,32890
2018-10-02 19:00:00,35468,34014
2018-10-02 20:00:00,36414,34877
2018-10-02 21:00:00,36940,35644
2018-10-02 22:00:00,37166,36009
2018-10-02 23:00:00,36518,35728
2018-10-03 00:00:00,35603,35058
2018-10-03 01:00:00,35305,34579
2018-10-03 02:00:00,34565,33920
2018-10-03 03:00:00,32936,32387
2018-10-03 04:00:00,30861,30219
2018-10-03 05:00:00,28884,28068
2018-10-03 06:00:00,27397,26562
2018-10-03 07:00:00,26413,25602
2018-10-03 08:00:00,25774,24998
2018-10-03 09:00:00,25450,24679
2018-10-03 10:00:00,25571,24797
2018-10-03 11:00:00,26635,25827
