date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,48420,47550
2018-10-01 01:00:00,47800,46905
2018-10-01 02:00:00,47022,46989
2018-10-01 03:00:00,45002,44638
2018-10-01 04:00:00,41973,41612
2018-10-01 05:00:00,38675,38324
2018-10-01 06:00:00,36254,36417
2018-10-01 07:00:00,34742,34814
2018-10-01 08:00:00,33894,33542
2018-10-01 09:00:00,33550,33372
2018-10-01 10:00:00,34048,33670
2018-10-01 11:00:00,35982,35434
2018-10-01 12:00:00,39318,38447
2018-10-01 13:00:00,40533,40278
2018-10-01 14:00:00,40996,40460
2018-10-01 15:00:00,42517,42331
2018-10-01 16:00:00,44139,44409
2018-10-01 17:00:00,45743,46463
2018-10-01 18:00:00,47993,48953
2018-10-01 19:00:00,50184,50815
2018-10-01 20:00:00,52078,52374
2018-10-01 21:00:00,53549,53704
2018-10-01 22:00:00,54621,53929
2018-10-01 23:00:00,54324,52948
2018-10-02 00:00:00,52615,51551
2018-10-02 01:00:00,51560,51318
2018-10-02 02:00:00,50287,49971
2018-10-02 03:00:00,47705,47522
2018-10-02 04:00:00,44229,44312
2018-10-02 05:00:00,40600,41242
2018-10-02 06:00:00,37811,38482
2018-10-02 07:00:00,35939,36516
2018-10-02 08:00:00,34673,35491
2018-10-02 09:00:00,34071,34806
2018-10-02 10:00:00,34396,34958
2018-10-02 11:00:00,36239,36746
2018-10-02 12:00:00,39497,39805
2018-10-02 13:00:00,40741,41455
2018-10-02 14:00:00,41289,41658
2018-10-02 15:00:00,43041,43472
2018-10-02 16:00:00,45598,45674
2018-10-02 17:00:00,48464,48129
2018-10-02 18:00:00,51276,50540
2018-10-02 19:00:00,53869,52281
2018-10-02 20:00:00,55508,54026
2018-10-02 21:00:00,56342,55925
2018-10-02 22:00:00,56589,56418
2018-10-02 23:00:00,55901,55658
2018-10-03 00:00:00,54355,54113
2018-10-03 01:00:00,53413,53416
2018-10-03 02:00:00,52480,51542
2018-10-03 03:00:00,50096,49294
2018-10-03 04:00:00,46512,45748
2018-10-03 05:00:00,42766,42277
2018-10-03 06:00:00,39956,40123
2018-10-03 07:00:00,38023,38054
2018-10-03 08:00:00,36871,36704
2018-10-03 09:00:00,36350,36045
2018-10-03 10:00:00,36644,36146
2018-10-03 11:00:00,38382,37969
2018-10-03 12:00:00,41489,41042
2018-10-03 13:00:00,42586,42614
2018-10-03 14:00:00,43122,42891
2018-10-03 15:00:00,45598,44768
2018-10-03 16:00:00,48587,46987
2018-10-03 17:00:00,51452,49426
2018-10-03 18:00:00,54317,52123
2018-10-03 19:00:00,56983,54210
2018-10-03 20:00:00,58745,55950
2018-10-03 21:00:00,59803,57447
2018-10-03 22:00:00,60242,57951
2018-10-03 23:00:00,59609,57372
2018-10-04 00:00:00,57347,55774
2018-10-04 01:00:00,55972,54667
2018-10-04 02:00:00,54449,52873
2018-10-04 03:00:00,51711,50191
2018-10-04 04:00:00,48008,46841
2018-10-04 05:00:00,44213,43173
2018-10-04 06:00:00,41197,40369
2018-10-04 07:00:00,39100,38364
2018-10-04 08:00:00,37757,36869
2018-10-04 09:00:00,36947,36038
2018-10-04 10:00:00,36886,36026
2018-10-04 11:00:00,38561,37519
2018-10-04 12:00:00,41389,40399
2018-10-04 13:00:00,42386,41708
2018-10-04 14:00:00,43254,42388
2018-10-04 15:00:00,45897,44567
2018-10-04 16:00:00,49017,47066
2018-10-04 17:00:00,51849,49668
2018-10-04 18:00:00,54740,52318
2018-10-04 19:00:00,57404,54825
2018-10-04 20:00:00,59063,56877
2018-10-04 21:00:00,60122,58268
2018-10-04 22:00:00,60678,58891
2018-10-04 23:00:00,59808,57936
2018-10-05 00:00:00,57499,55755
2018-10-05 01:00:00,55938,54557
2018-10-05 02:00:00,54188,52778
2018-10-05 03:00:00,51380,50267
2018-10-05 04:00:00,47820,46823
2018-10-05 05:00:00,43977,43250
