date_time,demand (MW),forecast demand (MW)
2018-10-01 00:00:00,489,475
2018-10-01 01:00:00,494,478
2018-10-01 02:00:00,520,483
2018-10-01 03:00:00,523,505
2018-10-01 04:00:00,506,504
2018-10-01 05:00:00,473,475
2018-10-01 06:00:00,430,435
2018-10-01 07:00:00,411,401
2018-10-01 08:00:00,372,388
2018-10-01 09:00:00,361,373
2018-10-01 10:00:00,360,368
2018-10-01 11:00:00,360,369
2018-10-01 12:00:00,383,383
2018-10-01 13:00:00,418,424
2018-10-01 14:00:00,483,479
2018-10-01 15:00:00,507,505
2018-10-01 16:00:00,517,515
2018-10-01 17:00:00,513,518
2018-10-01 18:00:00,529,526
2018-10-01 19:00:00,528,528
2018-10-01 20:00:00,528,531
2018-10-01 21:00:00,526,529
2018-10-01 22:00:00,524,523
2018-10-01 23:00:00,520,521
2018-10-02 00:00:00,527,522
2018-10-02 01:00:00,541,525
2018-10-02 02:00:00,553,529
2018-10-02 03:00:00,562,546
2018-10-02 04:00:00,542,537
2018-10-02 05:00:00,505,502
2018-10-02 06:00:00,463,459
2018-10-02 07:00:00,429,422
2018-10-02 08:00:00,405,405
2018-10-02 09:00:00,390,392
2018-10-02 10:00:00,380,385
2018-10-02 11:00:00,390,388
2018-10-02 12:00:00,401,401
2018-10-02 13:00:00,447,445
2018-10-02 14:00:00,500,502
2018-10-02 15:00:00,533,529
2018-10-02 16:00:00,536,534
2018-10-02 17:00:00,532,537
2018-10-02 18:00:00,536,537
2018-10-02 19:00:00,538,536
2018-10-02 20:00:00,532,535
2018-10-02 21:00:00,535,532
2018-10-02 22:00:00,532,525
2018-10-02 23:00:00,526,523
2018-10-03 00:00:00,529,524
2018-10-03 01:00:00,543,532
2018-10-03 02:00:00,549,549
2018-10-03 03:00:00,580,566
2018-10-03 04:00:00,569,562
2018-10-03 05:00:00,531,530
2018-10-03 06:00:00,487,486
2018-10-03 07:00:00,452,453
2018-10-03 08:00:00,435,438
2018-10-03 09:00:00,432,428
2018-10-03 10:00:00,425,423
2018-10-03 11:00:00,440,431
2018-10-03 12:00:00,455,454
2018-10-03 13:00:00,525,507
