date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,600,OKAY,600,572
2018-10-01 01:00:00,592,OKAY,592,562
2018-10-01 02:00:00,564,OKAY,564,520
2018-10-01 03:00:00,526,OKAY,526,478
2018-10-01 04:00:00,474,OKAY,474,436
2018-10-01 05:00:00,434,OKAY,434,417
2018-10-01 06:00:00,417,OKAY,417,396
2018-10-01 07:00:00,406,OKAY,406,386
2018-10-01 08:00:00,398,OKAY,398,380
2018-10-01 09:00:00,405,OKAY,405,387
2018-10-01 10:00:00,432,OKAY,432,420
2018-10-01 11:00:00,493,OKAY,493,485
2018-10-01 12:00:00,524,OKAY,524,521
2018-10-01 13:00:00,541,OKAY,541,529
2018-10-01 14:00:00,560,OKAY,560,537
2018-10-01 15:00:00,579,OKAY,579,557
2018-10-01 16:00:00,601,OKAY,601,570
2018-10-01 17:00:00,622,OKAY,622,587
2018-10-01 18:00:00,636,OKAY,636,601
2018-10-01 19:00:00,657,OKAY,657,610
2018-10-01 20:00:00,668,OKAY,668,618
2018-10-01 21:00:00,680,OKAY,680,632
2018-10-01 22:00:00,673,OKAY,673,633
2018-10-01 23:00:00,667,OKAY,667,629
2018-10-02 00:00:00,663,OKAY,663,639
2018-10-02 01:00:00,648,OKAY,648,629
2018-10-02 02:00:00,611,OKAY,611,584
2018-10-02 03:00:00,545,OKAY,545,526
2018-10-02 04:00:00,487,OKAY,487,472
2018-10-02 05:00:00,447,OKAY,447,432
2018-10-02 06:00:00,426,OKAY,426,413
2018-10-02 07:00:00,413,OKAY,413,403
2018-10-02 08:00:00,408,OKAY,408,395
2018-10-02 09:00:00,409,OKAY,409,401
2018-10-02 10:00:00,441,OKAY,441,434
2018-10-02 11:00:00,500,OKAY,500,494
2018-10-02 12:00:00,525,OKAY,525,531
2018-10-02 13:00:00,537,OKAY,537,537
2018-10-02 14:00:00,550,OKAY,550,543
2018-10-02 15:00:00,540,OKAY,540,555
2018-10-02 16:00:00,583,OKAY,583,572
2018-10-02 17:00:00,593,OKAY,593,589
2018-10-02 18:00:00,626,OKAY,626,603
2018-10-02 19:00:00,646,OKAY,646,612
2018-10-02 20:00:00,648,OKAY,648,626
2018-10-02 21:00:00,652,OKAY,652,642
2018-10-02 22:00:00,648,OKAY,648,639
2018-10-02 23:00:00,649,OKAY,649,633
2018-10-03 00:00:00,653,OKAY,653,646
2018-10-03 01:00:00,638,OKAY,638,633
2018-10-03 02:00:00,606,OKAY,606,586
2018-10-03 03:00:00,548,OKAY,548,530
2018-10-03 04:00:00,485,OKAY,485,479
2018-10-03 05:00:00,450,OKAY,450,464
2018-10-03 06:00:00,423,OKAY,423,441
2018-10-03 07:00:00,412,OKAY,412,427
2018-10-03 08:00:00,411,OKAY,411,420
2018-10-03 09:00:00,410,OKAY,410,424
2018-10-03 10:00:00,440,OKAY,440,458
2018-10-03 11:00:00,497,OKAY,497,520
2018-10-03 12:00:00,535,OKAY,535,559
2018-10-03 13:00:00,545,OKAY,545,568
2018-10-03 14:00:00,559,OKAY,559,582
2018-10-03 15:00:00,576,OKAY,576,605
2018-10-03 16:00:00,605,OKAY,605,621
2018-10-03 17:00:00,631,OKAY,631,642
2018-10-03 18:00:00,658,OKAY,658,662
2018-10-03 19:00:00,675,OKAY,675,677
2018-10-03 20:00:00,683,OKAY,683,689
2018-10-03 21:00:00,698,OKAY,698,702
2018-10-03 22:00:00,698,OKAY,698,708
2018-10-03 23:00:00,684,OKAY,684,700
2018-10-04 00:00:00,688,OKAY,688,710
2018-10-04 01:00:00,666,OKAY,666,695
2018-10-04 02:00:00,633,OKAY,633,641
2018-10-04 03:00:00,567,OKAY,567,582
2018-10-04 04:00:00,502,OKAY,502,521
2018-10-04 05:00:00,465,OKAY,465,466
2018-10-04 06:00:00,437,OKAY,437,440
2018-10-04 07:00:00,423,OKAY,423,424
2018-10-04 08:00:00,417,OKAY,417,415
2018-10-04 09:00:00,420,OKAY,420,418
2018-10-04 10:00:00,445,OKAY,445,451
2018-10-04 11:00:00,509,OKAY,509,521
2018-10-04 12:00:00,541,OKAY,541,557
2018-10-04 13:00:00,550,OKAY,550,566
2018-10-04 14:00:00,558,OKAY,558,590
2018-10-04 15:00:00,575,OKAY,575,618
2018-10-04 16:00:00,614,OKAY,614,641
2018-10-04 17:00:00,644,OKAY,644,665
2018-10-04 18:00:00,675,OKAY,675,695
2018-10-04 19:00:00,697,OKAY,697,710
2018-10-04 20:00:00,717,OKAY,717,722
2018-10-04 21:00:00,723,OKAY,723,730
2018-10-04 22:00:00,720,OKAY,720,727
2018-10-04 23:00:00,705,OKAY,705,710
2018-10-05 00:00:00,693,OKAY,693,715
2018-10-05 01:00:00,674,OKAY,674,695
2018-10-05 02:00:00,630,OKAY,630,642
2018-10-05 03:00:00,573,OKAY,573,584
2018-10-05 04:00:00,515,OKAY,515,514
2018-10-05 05:00:00,464,OKAY,464,486
2018-10-05 06:00:00,437,OKAY,437,454
2018-10-05 07:00:00,424,OKAY,424,439
2018-10-05 08:00:00,412,OKAY,412,426
2018-10-05 09:00:00,417,OKAY,417,431
2018-10-05 10:00:00,441,OKAY,441,465
2018-10-05 11:00:00,504,OKAY,504,528
2018-10-05 12:00:00,536,OKAY,536,569
2018-10-05 13:00:00,547,OKAY,547,582
2018-10-05 14:00:00,568,OKAY,568,603
2018-10-05 15:00:00,591,OKAY,591,631
2018-10-05 16:00:00,616,OKAY,616,657
2018-10-05 17:00:00,651,OKAY,651,685
2018-10-05 18:00:00,679,OKAY,679,710
2018-10-05 19:00:00,703,OKAY,703,723
2018-10-05 20:00:00,716,OKAY,716,732
2018-10-05 21:00:00,726,OKAY,726,734
2018-10-05 22:00:00,723,OKAY,723,726
2018-10-05 23:00:00,693,OKAY,693,694
2018-10-06 00:00:00,670,OKAY,670,693
2018-10-06 01:00:00,646,OKAY,646,672
2018-10-06 02:00:00,609,OKAY,609,628
2018-10-06 03:00:00,562,OKAY,562,581
2018-10-06 04:00:00,513,OKAY,513,517
2018-10-06 05:00:00,472,OKAY,472,480
2018-10-06 06:00:00,449,OKAY,449,447
2018-10-06 07:00:00,423,OKAY,423,426
2018-10-06 08:00:00,404,OKAY,404,418
2018-10-06 09:00:00,409,OKAY,409,414
2018-10-06 10:00:00,414,OKAY,414,419
2018-10-06 11:00:00,436,OKAY,436,442
2018-10-06 12:00:00,456,OKAY,456,471
2018-10-06 13:00:00,492,OKAY,492,507
2018-10-06 14:00:00,526,OKAY,526,542
2018-10-06 15:00:00,561,OKAY,561,573
2018-10-06 16:00:00,604,OKAY,604,598
2018-10-06 17:00:00,631,OKAY,631,630
