date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,13290,OKAY,13290,12646
2018-10-01 01:00:00,13017,OKAY,13017,12478
2018-10-01 02:00:00,12230,OKAY,12230,11694
2018-10-01 03:00:00,11235,OKAY,11235,10801
2018-10-01 04:00:00,10302,OKAY,10302,9927
2018-10-01 05:00:00,9561,OKAY,9561,9359
2018-10-01 06:00:00,9059,OKAY,9059,8883
2018-10-01 07:00:00,8765,OKAY,8765,8592
2018-10-01 08:00:00,8619,OKAY,8619,8477
2018-10-01 09:00:00,8764,OKAY,8764,8617
2018-10-01 10:00:00,9336,OKAY,9336,9087
2018-10-01 11:00:00,10506,OKAY,10506,10373
2018-10-01 12:00:00,11041,OKAY,11041,10954
2018-10-01 13:00:00,11283,OKAY,11283,11092
2018-10-01 14:00:00,11670,OKAY,11670,11576
2018-10-01 15:00:00,12334,OKAY,12334,12016
2018-10-01 16:00:00,12988,OKAY,12988,12538
2018-10-01 17:00:00,13721,OKAY,13721,13008
2018-10-01 18:00:00,14488,OKAY,14488,13639
2018-10-01 19:00:00,15100,OKAY,15100,14120
2018-10-01 20:00:00,15427,OKAY,15427,14493
2018-10-01 21:00:00,15562,OKAY,15562,14761
2018-10-01 22:00:00,15386,OKAY,15386,14823
2018-10-01 23:00:00,14977,OKAY,14977,14355
2018-10-02 00:00:00,14744,OKAY,14744,14211
2018-10-02 01:00:00,14212,OKAY,14212,13875
2018-10-02 02:00:00,13105,OKAY,13105,12915
2018-10-02 03:00:00,11881,OKAY,11881,11778
2018-10-02 04:00:00,10774,OKAY,10774,10671
2018-10-02 05:00:00,9913,OKAY,9913,9962
2018-10-02 06:00:00,9391,OKAY,9391,9409
2018-10-02 07:00:00,9043,OKAY,9043,9072
2018-10-02 08:00:00,8895,OKAY,8895,8885
2018-10-02 09:00:00,9010,OKAY,9010,8930
2018-10-02 10:00:00,9577,OKAY,9577,9471
2018-10-02 11:00:00,10751,OKAY,10751,10521
2018-10-02 12:00:00,11307,OKAY,11307,11136
2018-10-02 13:00:00,11431,OKAY,11431,11306
2018-10-02 14:00:00,11770,OKAY,11770,11779
2018-10-02 15:00:00,12245,OKAY,12245,12353
2018-10-02 16:00:00,13100,OKAY,13100,12989
2018-10-02 17:00:00,13903,OKAY,13903,13561
2018-10-02 18:00:00,14671,OKAY,14671,14299
2018-10-02 19:00:00,15179,OKAY,15179,14928
2018-10-02 20:00:00,15574,OKAY,15574,15291
2018-10-02 21:00:00,15779,OKAY,15779,15480
2018-10-02 22:00:00,15535,OKAY,15535,15473
2018-10-02 23:00:00,15115,OKAY,15115,15180
2018-10-03 00:00:00,14931,OKAY,14931,15047
2018-10-03 01:00:00,14353,OKAY,14353,14489
2018-10-03 02:00:00,13345,OKAY,13345,13469
2018-10-03 03:00:00,12120,OKAY,12120,12320
2018-10-03 04:00:00,11020,OKAY,11020,11165
2018-10-03 05:00:00,10171,OKAY,10171,10027
2018-10-03 06:00:00,9649,OKAY,9649,9466
2018-10-03 07:00:00,9318,OKAY,9318,9110
2018-10-03 08:00:00,9145,OKAY,9145,8913
2018-10-03 09:00:00,9206,OKAY,9206,8990
2018-10-03 10:00:00,9753,OKAY,9753,9510
2018-10-03 11:00:00,10893,OKAY,10893,10674
2018-10-03 12:00:00,11372,OKAY,11372,11251
2018-10-03 13:00:00,11546,OKAY,11546,11461
2018-10-03 14:00:00,11997,OKAY,11997,11951
2018-10-03 15:00:00,12892,OKAY,12892,12683
2018-10-03 16:00:00,13732,OKAY,13732,13401
2018-10-03 17:00:00,14696,OKAY,14696,14191
2018-10-03 18:00:00,15659,OKAY,15659,14977
2018-10-03 19:00:00,16319,OKAY,16319,15472
2018-10-03 20:00:00,16682,OKAY,16682,15812
2018-10-03 21:00:00,16826,OKAY,16826,15934
2018-10-03 22:00:00,16627,OKAY,16627,15894
2018-10-03 23:00:00,16127,OKAY,16127,15544
2018-10-04 00:00:00,15814,OKAY,15814,15261
2018-10-04 01:00:00,15210,OKAY,15210,14679
2018-10-04 02:00:00,14124,OKAY,14124,13624
2018-10-04 03:00:00,12841,OKAY,12841,12520
2018-10-04 04:00:00,11653,OKAY,11653,11390
2018-10-04 05:00:00,10723,OKAY,10723,10652
2018-10-04 06:00:00,10083,OKAY,10083,10046
2018-10-04 07:00:00,9720,OKAY,9720,9653
2018-10-04 08:00:00,9464,OKAY,9464,9464
2018-10-04 09:00:00,9540,OKAY,9540,9540
2018-10-04 10:00:00,10027,OKAY,10027,10154
2018-10-04 11:00:00,11149,OKAY,11149,11353
2018-10-04 12:00:00,11666,OKAY,11666,11963
2018-10-04 13:00:00,11915,OKAY,11915,12170
2018-10-04 14:00:00,12428,OKAY,12428,12789
2018-10-04 15:00:00,13472,OKAY,13472,13658
2018-10-04 16:00:00,14512,OKAY,14512,14538
2018-10-04 17:00:00,15540,OKAY,15540,15248
2018-10-04 18:00:00,16483,OKAY,16483,16115
2018-10-04 19:00:00,17150,OKAY,17150,16651
2018-10-04 20:00:00,17453,OKAY,17453,17002
2018-10-04 21:00:00,17658,OKAY,17658,17037
2018-10-04 22:00:00,17476,OKAY,17476,16923
2018-10-04 23:00:00,16819,OKAY,16819,16488
2018-10-05 00:00:00,16342,OKAY,16342,16268
2018-10-05 01:00:00,15721,OKAY,15721,15634
2018-10-05 02:00:00,14534,OKAY,14534,14309
