date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,19708,OKAY,19708,19047
2018-10-01 01:00:00,19128,OKAY,19128,18121
2018-10-01 02:00:00,18147,OKAY,18147,17039
2018-10-01 03:00:00,16770,OKAY,16770,15708
2018-10-01 04:00:00,15151,OKAY,15151,14393
2018-10-01 05:00:00,13919,OKAY,13919,13297
2018-10-01 06:00:00,13005,OKAY,13005,12440
2018-10-01 07:00:00,12380,OKAY,12380,11859
2018-10-01 08:00:00,12018,OKAY,12018,11611
2018-10-01 09:00:00,12035,OKAY,12035,11726
2018-10-01 10:00:00,12686,OKAY,12686,12375
2018-10-01 11:00:00,13823,OKAY,13823,13246
2018-10-01 12:00:00,14220,OKAY,14220,13655
2018-10-01 13:00:00,15121,OKAY,15121,15024
2018-10-01 14:00:00,16534,OKAY,16534,16847
2018-10-01 15:00:00,18091,OKAY,18091,18339
2018-10-01 16:00:00,19133,OKAY,19133,19373
2018-10-01 17:00:00,20102,OKAY,20102,20475
2018-10-01 18:00:00,20946,OKAY,20946,21089
2018-10-01 19:00:00,21502,OKAY,21502,21458
2018-10-01 20:00:00,21821,OKAY,21821,21733
2018-10-01 21:00:00,21825,OKAY,21825,21487
2018-10-01 22:00:00,21329,OKAY,21329,20888
2018-10-01 23:00:00,20520,OKAY,20520,19792
2018-10-02 00:00:00,20208,OKAY,20208,19481
2018-10-02 01:00:00,19505,OKAY,19505,18540
2018-10-02 02:00:00,18454,OKAY,18454,17338
2018-10-02 03:00:00,17017,OKAY,17017,15849
2018-10-02 04:00:00,15500,OKAY,15500,14453
2018-10-02 05:00:00,14166,OKAY,14166,13643
2018-10-02 06:00:00,13267,OKAY,13267,12826
2018-10-02 07:00:00,12670,OKAY,12670,12087
2018-10-02 08:00:00,12284,OKAY,12284,11823
2018-10-02 09:00:00,12240,OKAY,12240,11836
2018-10-02 10:00:00,12860,OKAY,12860,12698
2018-10-02 11:00:00,13973,OKAY,13973,13552
2018-10-02 12:00:00,14321,OKAY,14321,13786
2018-10-02 13:00:00,15048,OKAY,15048,15181
2018-10-02 14:00:00,16313,OKAY,16313,16892
2018-10-02 15:00:00,17725,OKAY,17725,18071
2018-10-02 16:00:00,18745,OKAY,18745,19065
2018-10-02 17:00:00,19620,OKAY,19620,19955
2018-10-02 18:00:00,20393,OKAY,20393,20654
2018-10-02 19:00:00,20972,OKAY,20972,21093
2018-10-02 20:00:00,21319,OKAY,21319,21026
2018-10-02 21:00:00,21268,OKAY,21268,20674
2018-10-02 22:00:00,20723,OKAY,20723,20106
2018-10-02 23:00:00,19836,OKAY,19836,19303
2018-10-03 00:00:00,19542,OKAY,19542,19220
2018-10-03 01:00:00,18907,OKAY,18907,18176
2018-10-03 02:00:00,17813,OKAY,17813,17118
2018-10-03 03:00:00,16363,OKAY,16363,15481
2018-10-03 04:00:00,14836,OKAY,14836,14140
2018-10-03 05:00:00,13517,OKAY,13517,13109
2018-10-03 06:00:00,12618,OKAY,12618,12185
2018-10-03 07:00:00,12019,OKAY,12019,11533
2018-10-03 08:00:00,11652,OKAY,11652,11262
2018-10-03 09:00:00,11544,OKAY,11544,11341
2018-10-03 10:00:00,12031,OKAY,12031,12064
2018-10-03 11:00:00,13123,OKAY,13123,12869
2018-10-03 12:00:00,13509,OKAY,13509,12999
2018-10-03 13:00:00,14314,OKAY,14314,14248
2018-10-03 14:00:00,15680,OKAY,15680,16038
2018-10-03 15:00:00,17100,OKAY,17100,17622
2018-10-03 16:00:00,18248,OKAY,18248,18673
2018-10-03 17:00:00,19236,OKAY,19236,19672
2018-10-03 18:00:00,20061,OKAY,20061,20333
2018-10-03 19:00:00,20473,OKAY,20473,20758
2018-10-03 20:00:00,21032,OKAY,21032,20837
2018-10-03 21:00:00,21192,OKAY,21192,20530
2018-10-03 22:00:00,20893,OKAY,20893,19859
2018-10-03 23:00:00,19991,OKAY,19991,19115
