date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,539,OKAY,539,532
2018-10-01 01:00:00,544,OKAY,544,534
2018-10-01 02:00:00,553,OKAY,553,534
2018-10-01 03:00:00,564,OKAY,564,541
2018-10-01 04:00:00,558,OKAY,558,551
2018-10-01 05:00:00,548,OKAY,548,548
2018-10-01 06:00:00,536,OKAY,536,531
2018-10-01 07:00:00,528,OKAY,528,513
2018-10-01 08:00:00,522,OKAY,522,523
2018-10-01 09:00:00,516,OKAY,516,520
2018-10-01 10:00:00,502,OKAY,502,520
2018-10-01 11:00:00,501,OKAY,501,521
2018-10-01 12:00:00,505,OKAY,505,522
2018-10-01 13:00:00,521,OKAY,521,521
2018-10-01 14:00:00,541,OKAY,541,534
2018-10-01 15:00:00,554,OKAY,554,549
2018-10-01 16:00:00,558,OKAY,558,555
2018-10-01 17:00:00,557,OKAY,557,557
2018-10-01 18:00:00,560,OKAY,560,559
2018-10-01 19:00:00,559,OKAY,559,555
2018-10-01 20:00:00,559,OKAY,559,559
2018-10-01 21:00:00,564,OKAY,564,559
2018-10-01 22:00:00,563,OKAY,563,560
2018-10-01 23:00:00,566,OKAY,566,566
2018-10-02 00:00:00,570,OKAY,570,565
2018-10-02 01:00:00,570,OKAY,570,566
2018-10-02 02:00:00,571,OKAY,571,569
2018-10-02 03:00:00,571,OKAY,571,572
2018-10-02 04:00:00,567,OKAY,567,567
2018-10-02 05:00:00,555,OKAY,555,554
2018-10-02 06:00:00,542,OKAY,542,536
2018-10-02 07:00:00,530,OKAY,530,522
2018-10-02 08:00:00,524,OKAY,524,519
2018-10-02 09:00:00,520,OKAY,520,524
2018-10-02 10:00:00,515,OKAY,515,515
2018-10-02 11:00:00,517,OKAY,517,513
2018-10-02 12:00:00,523,OKAY,523,516
2018-10-02 13:00:00,535,OKAY,535,531
2018-10-02 14:00:00,559,OKAY,559,550
2018-10-02 15:00:00,566,OKAY,566,559
2018-10-02 16:00:00,567,OKAY,567,566
2018-10-02 17:00:00,571,OKAY,571,565
2018-10-02 18:00:00,573,OKAY,573,566
2018-10-02 19:00:00,571,OKAY,571,568
2018-10-02 20:00:00,571,OKAY,571,569
2018-10-02 21:00:00,572,OKAY,572,569
2018-10-02 22:00:00,573,OKAY,573,569
2018-10-02 23:00:00,577,OKAY,577,572
2018-10-03 00:00:00,574,OKAY,574,575
2018-10-03 01:00:00,571,OKAY,571,575
2018-10-03 02:00:00,573,OKAY,573,572
2018-10-03 03:00:00,580,OKAY,580,572
2018-10-03 04:00:00,575,OKAY,575,572
2018-10-03 05:00:00,566,OKAY,566,566
2018-10-03 06:00:00,551,OKAY,551,547
2018-10-03 07:00:00,541,OKAY,541,538
2018-10-03 08:00:00,536,OKAY,536,521
2018-10-03 09:00:00,535,OKAY,535,539
2018-10-03 10:00:00,539,OKAY,539,534
2018-10-03 11:00:00,546,OKAY,546,540
2018-10-03 12:00:00,552,OKAY,552,551
2018-10-03 13:00:00,575,OKAY,575,567
2018-10-03 14:00:00,601,OKAY,601,588
2018-10-03 15:00:00,609,OKAY,609,602
2018-10-03 16:00:00,601,OKAY,601,598
2018-10-03 17:00:00,587,OKAY,587,590
2018-10-03 18:00:00,584,OKAY,584,585
2018-10-03 19:00:00,576,OKAY,576,572
2018-10-03 20:00:00,572,OKAY,572,569
2018-10-03 21:00:00,574,OKAY,574,566
2018-10-03 22:00:00,569,OKAY,569,567
2018-10-03 23:00:00,571,OKAY,571,577
2018-10-04 00:00:00,572,OKAY,572,575
2018-10-04 01:00:00,573,OKAY,573,573
2018-10-04 02:00:00,587,OKAY,587,574
2018-10-04 03:00:00,592,OKAY,592,581
2018-10-04 04:00:00,590,OKAY,590,590
2018-10-04 05:00:00,580,OKAY,580,581
2018-10-04 06:00:00,565,OKAY,565,565
2018-10-04 07:00:00,556,OKAY,556,553
2018-10-04 08:00:00,551,OKAY,551,533
2018-10-04 09:00:00,550,OKAY,550,542
2018-10-04 10:00:00,546,OKAY,546,548
2018-10-04 11:00:00,548,OKAY,548,550
2018-10-04 12:00:00,550,OKAY,550,555
2018-10-04 13:00:00,570,OKAY,570,569
2018-10-04 14:00:00,598,OKAY,598,585
2018-10-04 15:00:00,601,OKAY,601,591
2018-10-04 16:00:00,598,OKAY,598,589
2018-10-04 17:00:00,594,OKAY,594,576
2018-10-04 18:00:00,589,OKAY,589,573
