date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,709,OKAY,709,625
2018-10-01 01:00:00,686,OKAY,686,575
2018-10-01 02:00:00,647,OKAY,647,545
2018-10-01 03:00:00,614,OKAY,614,552
2018-10-01 04:00:00,576,OKAY,576,523
2018-10-01 05:00:00,531,OKAY,531,486
2018-10-01 06:00:00,479,OKAY,479,445
2018-10-01 07:00:00,431,OKAY,431,408
2018-10-01 08:00:00,383,OKAY,383,403
2018-10-01 09:00:00,358,OKAY,358,376
2018-10-01 10:00:00,348,OKAY,348,363
2018-10-01 11:00:00,346,OKAY,346,354
2018-10-01 12:00:00,345,OKAY,345,353
2018-10-01 13:00:00,366,OKAY,366,374
2018-10-01 14:00:00,391,OKAY,391,399
2018-10-01 15:00:00,415,OKAY,415,414
2018-10-01 16:00:00,442,OKAY,442,443
2018-10-01 17:00:00,475,OKAY,475,465
2018-10-01 18:00:00,506,OKAY,506,489
2018-10-01 19:00:00,514,OKAY,514,510
2018-10-01 20:00:00,532,OKAY,532,534
2018-10-01 21:00:00,553,OKAY,553,549
2018-10-01 22:00:00,550,OKAY,550,554
2018-10-01 23:00:00,549,OKAY,549,558
2018-10-02 00:00:00,532,OKAY,532,551
2018-10-02 01:00:00,520,OKAY,520,537
2018-10-02 02:00:00,517,OKAY,517,518
2018-10-02 03:00:00,519,OKAY,519,516
2018-10-02 04:00:00,496,OKAY,496,502
2018-10-02 05:00:00,465,OKAY,465,471
2018-10-02 06:00:00,424,OKAY,424,423
2018-10-02 07:00:00,389,OKAY,389,387
2018-10-02 08:00:00,361,OKAY,361,361
2018-10-02 09:00:00,340,OKAY,340,339
2018-10-02 10:00:00,337,OKAY,337,326
2018-10-02 11:00:00,322,OKAY,322,319
2018-10-02 12:00:00,336,OKAY,336,322
2018-10-02 13:00:00,354,OKAY,354,336
2018-10-02 14:00:00,380,OKAY,380,365
2018-10-02 15:00:00,406,OKAY,406,386
2018-10-02 16:00:00,444,OKAY,444,421
2018-10-02 17:00:00,484,OKAY,484,457
2018-10-02 18:00:00,522,OKAY,522,492
2018-10-02 19:00:00,560,OKAY,560,536
2018-10-02 20:00:00,599,OKAY,599,574
2018-10-02 21:00:00,645,OKAY,645,609
2018-10-02 22:00:00,677,OKAY,677,641
2018-10-02 23:00:00,697,OKAY,697,654
2018-10-03 00:00:00,696,OKAY,696,652
2018-10-03 01:00:00,661,OKAY,661,620
2018-10-03 02:00:00,617,OKAY,617,594
2018-10-03 03:00:00,598,OKAY,598,575
2018-10-03 04:00:00,561,OKAY,561,540
2018-10-03 05:00:00,501,OKAY,501,497
2018-10-03 06:00:00,456,OKAY,456,443
2018-10-03 07:00:00,406,OKAY,406,397
2018-10-03 08:00:00,371,OKAY,371,357
2018-10-03 09:00:00,349,OKAY,349,335
2018-10-03 10:00:00,332,OKAY,332,322
2018-10-03 11:00:00,322,OKAY,322,307
2018-10-03 12:00:00,323,OKAY,323,309
2018-10-03 13:00:00,338,OKAY,338,325
2018-10-03 14:00:00,356,OKAY,356,354
2018-10-03 15:00:00,388,OKAY,388,376
2018-10-03 16:00:00,424,OKAY,424,400
2018-10-03 17:00:00,464,OKAY,464,429
2018-10-03 18:00:00,505,OKAY,505,459
2018-10-03 19:00:00,534,OKAY,534,489
2018-10-03 20:00:00,579,OKAY,579,522
2018-10-03 21:00:00,619,OKAY,619,553
2018-10-03 22:00:00,641,OKAY,641,571
2018-10-03 23:00:00,652,OKAY,652,581
2018-10-04 00:00:00,624,OKAY,624,576
2018-10-04 01:00:00,567,OKAY,567,556
2018-10-04 02:00:00,542,OKAY,542,531
2018-10-04 03:00:00,528,OKAY,528,517
2018-10-04 04:00:00,490,OKAY,490,493
2018-10-04 05:00:00,453,OKAY,453,458
2018-10-04 06:00:00,407,OKAY,407,409
2018-10-04 07:00:00,373,OKAY,373,368
2018-10-04 08:00:00,345,OKAY,345,336
2018-10-04 09:00:00,326,OKAY,326,314
2018-10-04 10:00:00,312,OKAY,312,300
2018-10-04 11:00:00,300,OKAY,300,293
2018-10-04 12:00:00,306,OKAY,306,296
2018-10-04 13:00:00,317,OKAY,317,311
2018-10-04 14:00:00,346,OKAY,346,337
2018-10-04 15:00:00,363,OKAY,363,357
2018-10-04 16:00:00,393,OKAY,393,380
2018-10-04 17:00:00,421,OKAY,421,407
2018-10-04 18:00:00,446,OKAY,446,430
2018-10-04 19:00:00,469,OKAY,469,459
2018-10-04 20:00:00,509,OKAY,509,489
2018-10-04 21:00:00,542,OKAY,542,517
2018-10-04 22:00:00,565,OKAY,565,541
2018-10-04 23:00:00,576,OKAY,576,555
2018-10-05 00:00:00,591,OKAY,591,557
2018-10-05 01:00:00,566,OKAY,566,535
2018-10-05 02:00:00,538,OKAY,538,508
2018-10-05 03:00:00,517,OKAY,517,492
2018-10-05 04:00:00,491,OKAY,491,471
2018-10-05 05:00:00,444,OKAY,444,437
2018-10-05 06:00:00,404,OKAY,404,390
2018-10-05 07:00:00,356,OKAY,356,349
2018-10-05 08:00:00,331,OKAY,331,322
2018-10-05 09:00:00,309,OKAY,309,300
2018-10-05 10:00:00,297,OKAY,297,287
2018-10-05 11:00:00,292,OKAY,292,277
2018-10-05 12:00:00,289,OKAY,289,280
2018-10-05 13:00:00,309,OKAY,309,294
2018-10-05 14:00:00,334,OKAY,334,320
2018-10-05 15:00:00,350,OKAY,350,341
2018-10-05 16:00:00,389,OKAY,389,367
2018-10-05 17:00:00,405,OKAY,405,397
2018-10-05 18:00:00,435,OKAY,435,426
2018-10-05 19:00:00,472,OKAY,472,459
2018-10-05 20:00:00,502,OKAY,502,494
2018-10-05 21:00:00,531,OKAY,531,531
2018-10-05 22:00:00,566,OKAY,566,557
2018-10-05 23:00:00,579,OKAY,579,579
2018-10-06 00:00:00,573,OKAY,573,579
2018-10-06 01:00:00,561,OKAY,561,551
2018-10-06 02:00:00,527,OKAY,527,524
2018-10-06 03:00:00,508,OKAY,508,501
2018-10-06 04:00:00,476,OKAY,476,476
2018-10-06 05:00:00,442,OKAY,442,443
2018-10-06 06:00:00,401,OKAY,401,399
2018-10-06 07:00:00,363,OKAY,363,358
2018-10-06 08:00:00,337,OKAY,337,327
2018-10-06 09:00:00,308,OKAY,308,302
