date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,4259,OKAY,4259,3973
2018-10-01 01:00:00,4191,OKAY,4191,3965
2018-10-01 02:00:00,3953,OKAY,3953,3807
2018-10-01 03:00:00,3633,OKAY,3633,3569
2018-10-01 04:00:00,3377,OKAY,3377,3294
2018-10-01 05:00:00,3067,OKAY,3067,3086
2018-10-01 06:00:00,2920,OKAY,2920,2983
2018-10-01 07:00:00,2872,OKAY,2872,2880
2018-10-01 08:00:00,2822,OKAY,2822,2830
2018-10-01 09:00:00,2845,OKAY,2845,2875
2018-10-01 10:00:00,3081,OKAY,3081,3022
2018-10-01 11:00:00,3421,OKAY,3421,3355
2018-10-01 12:00:00,3639,OKAY,3639,3608
2018-10-01 13:00:00,3744,OKAY,3744,3752
2018-10-01 14:00:00,3954,OKAY,3954,3939
2018-10-01 15:00:00,4227,OKAY,4227,4126
2018-10-01 16:00:00,4522,OKAY,4522,4277
2018-10-01 17:00:00,4763,OKAY,4763,4432
2018-10-01 18:00:00,4974,OKAY,4974,4597
2018-10-01 19:00:00,5180,OKAY,5180,4721
2018-10-01 20:00:00,5317,OKAY,5317,4759
2018-10-01 21:00:00,5364,OKAY,5364,4744
2018-10-01 22:00:00,5213,OKAY,5213,4693
2018-10-01 23:00:00,5145,OKAY,5145,4617
2018-10-02 00:00:00,5075,OKAY,5075,4578
2018-10-02 01:00:00,4983,OKAY,4983,4522
2018-10-02 02:00:00,4662,OKAY,4662,4315
2018-10-02 03:00:00,4343,OKAY,4343,4038
2018-10-02 04:00:00,4025,OKAY,4025,3733
2018-10-02 05:00:00,3781,OKAY,3781,3480
2018-10-02 06:00:00,3606,OKAY,3606,3455
2018-10-02 07:00:00,3439,OKAY,3439,3324
2018-10-02 08:00:00,3377,OKAY,3377,3214
2018-10-02 09:00:00,3354,OKAY,3354,3214
2018-10-02 10:00:00,3467,OKAY,3467,3352
2018-10-02 11:00:00,3843,OKAY,3843,3698
2018-10-02 12:00:00,4088,OKAY,4088,3928
2018-10-02 13:00:00,4218,OKAY,4218,4047
2018-10-02 14:00:00,4366,OKAY,4366,4226
2018-10-02 15:00:00,4548,OKAY,4548,4425
2018-10-02 16:00:00,4733,OKAY,4733,4604
2018-10-02 17:00:00,4926,OKAY,4926,4746
2018-10-02 18:00:00,5097,OKAY,5097,4889
2018-10-02 19:00:00,5281,OKAY,5281,5024
2018-10-02 20:00:00,5328,OKAY,5328,5142
2018-10-02 21:00:00,5432,OKAY,5432,5166
2018-10-02 22:00:00,5371,OKAY,5371,5143
2018-10-02 23:00:00,5260,OKAY,5260,5066
2018-10-03 00:00:00,5150,OKAY,5150,4949
2018-10-03 01:00:00,5055,OKAY,5055,4866
2018-10-03 02:00:00,4785,OKAY,4785,4608
2018-10-03 03:00:00,4440,OKAY,4440,4272
2018-10-03 04:00:00,4113,OKAY,4113,3948
2018-10-03 05:00:00,3803,OKAY,3803,3659
2018-10-03 06:00:00,3579,OKAY,3579,3531
2018-10-03 07:00:00,3425,OKAY,3425,3373
2018-10-03 08:00:00,3331,OKAY,3331,3282
2018-10-03 09:00:00,3277,OKAY,3277,3261
2018-10-03 10:00:00,3429,OKAY,3429,3419
2018-10-03 11:00:00,3775,OKAY,3775,3764
2018-10-03 12:00:00,3981,OKAY,3981,3997
2018-10-03 13:00:00,4135,OKAY,4135,4107
2018-10-03 14:00:00,4316,OKAY,4316,4297
2018-10-03 15:00:00,4638,OKAY,4638,4559
2018-10-03 16:00:00,4952,OKAY,4952,4817
2018-10-03 17:00:00,5186,OKAY,5186,5022
2018-10-03 18:00:00,5482,OKAY,5482,5210
2018-10-03 19:00:00,5595,OKAY,5595,5394
2018-10-03 20:00:00,5768,OKAY,5768,5517
2018-10-03 21:00:00,5782,OKAY,5782,5548
2018-10-03 22:00:00,5756,OKAY,5756,5484
2018-10-03 23:00:00,5599,OKAY,5599,5382
2018-10-04 00:00:00,5408,OKAY,5408,5282
2018-10-04 01:00:00,5278,OKAY,5278,5185
2018-10-04 02:00:00,4977,OKAY,4977,4861
2018-10-04 03:00:00,4603,OKAY,4603,4514
2018-10-04 04:00:00,4293,OKAY,4293,4174
2018-10-04 05:00:00,3995,OKAY,3995,3892
2018-10-04 06:00:00,3759,OKAY,3759,3719
2018-10-04 07:00:00,3642,OKAY,3642,3553
2018-10-04 08:00:00,3491,OKAY,3491,3453
2018-10-04 09:00:00,3469,OKAY,3469,3427
2018-10-04 10:00:00,3604,OKAY,3604,3574
2018-10-04 11:00:00,3926,OKAY,3926,3924
2018-10-04 12:00:00,4165,OKAY,4165,4182
2018-10-04 13:00:00,4286,OKAY,4286,4314
2018-10-04 14:00:00,4469,OKAY,4469,4519
2018-10-04 15:00:00,4767,OKAY,4767,4786
2018-10-04 16:00:00,5121,OKAY,5121,5023
2018-10-04 17:00:00,5367,OKAY,5367,5233
2018-10-04 18:00:00,5564,OKAY,5564,5403
2018-10-04 19:00:00,5719,OKAY,5719,5529
2018-10-04 20:00:00,5757,OKAY,5757,5551
2018-10-04 21:00:00,5721,OKAY,5721,5527
2018-10-04 22:00:00,5615,OKAY,5615,5403
2018-10-04 23:00:00,5420,OKAY,5420,5201
2018-10-05 00:00:00,5303,OKAY,5303,5047
2018-10-05 01:00:00,5173,OKAY,5173,4930
2018-10-05 02:00:00,4926,OKAY,4926,4625
2018-10-05 03:00:00,4594,OKAY,4594,4287
2018-10-05 04:00:00,4230,OKAY,4230,3959
2018-10-05 05:00:00,3944,OKAY,3944,3673
2018-10-05 06:00:00,3734,OKAY,3734,3619
2018-10-05 07:00:00,3539,OKAY,3539,3453
2018-10-05 08:00:00,3456,OKAY,3456,3351
2018-10-05 09:00:00,3432,OKAY,3432,3308
2018-10-05 10:00:00,3569,OKAY,3569,3429
2018-10-05 11:00:00,3865,OKAY,3865,3732
2018-10-05 12:00:00,4110,OKAY,4110,3938
2018-10-05 13:00:00,4207,OKAY,4207,4106
2018-10-05 14:00:00,4430,OKAY,4430,4306
2018-10-05 15:00:00,4741,OKAY,4741,4546
2018-10-05 16:00:00,5123,OKAY,5123,4784
2018-10-05 17:00:00,5418,OKAY,5418,5007
2018-10-05 18:00:00,5684,OKAY,5684,5217
2018-10-05 19:00:00,5859,OKAY,5859,5377
2018-10-05 20:00:00,5844,OKAY,5844,5493
2018-10-05 21:00:00,5927,OKAY,5927,5524
2018-10-05 22:00:00,5815,OKAY,5815,5474
2018-10-05 23:00:00,5585,OKAY,5585,5351
2018-10-06 00:00:00,5322,OKAY,5322,5171
2018-10-06 01:00:00,5149,OKAY,5149,5018
2018-10-06 02:00:00,4847,OKAY,4847,4806
2018-10-06 03:00:00,4515,OKAY,4515,4471
2018-10-06 04:00:00,4204,OKAY,4204,4132
2018-10-06 05:00:00,3944,OKAY,3944,3832
2018-10-06 06:00:00,3702,OKAY,3702,3757
2018-10-06 07:00:00,3521,OKAY,3521,3577
2018-10-06 08:00:00,3355,OKAY,3355,3443
2018-10-06 09:00:00,3304,OKAY,3304,3359
2018-10-06 10:00:00,3291,OKAY,3291,3345
2018-10-06 11:00:00,3373,OKAY,3373,3377
2018-10-06 12:00:00,3474,OKAY,3474,3436
2018-10-06 13:00:00,3589,OKAY,3589,3654
2018-10-06 14:00:00,3977,OKAY,3977,3984
2018-10-06 15:00:00,4316,OKAY,4316,4329
2018-10-06 16:00:00,4700,OKAY,4700,4646
2018-10-06 17:00:00,4970,OKAY,4970,4889
2018-10-06 18:00:00,5162,OKAY,5162,5118
2018-10-06 19:00:00,5247,OKAY,5247,5292
2018-10-06 20:00:00,5317,OKAY,5317,5411
2018-10-06 21:00:00,5380,OKAY,5380,5461
2018-10-06 22:00:00,5361,OKAY,5361,5472
2018-10-06 23:00:00,5181,OKAY,5181,5350
2018-10-07 00:00:00,4964,OKAY,4964,5141
2018-10-07 01:00:00,4829,OKAY,4829,4973
2018-10-07 02:00:00,4542,OKAY,4542,4817
2018-10-07 03:00:00,4254,OKAY,4254,4506
2018-10-07 04:00:00,3957,OKAY,3957,4179
2018-10-07 05:00:00,3684,OKAY,3684,3858
