date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,5777,OKAY,5777,4975
2018-10-01 01:00:00,5656,OKAY,5656,4990
2018-10-01 02:00:00,5523,OKAY,5523,4923
2018-10-01 03:00:00,5429,OKAY,5429,4860
2018-10-01 04:00:00,5225,OKAY,5225,4780
2018-10-01 05:00:00,4922,OKAY,4922,4564
2018-10-01 06:00:00,4635,OKAY,4635,4287
2018-10-01 07:00:00,4345,OKAY,4345,3998
2018-10-01 08:00:00,4096,OKAY,4096,3697
2018-10-01 09:00:00,3925,OKAY,3925,3546
2018-10-01 10:00:00,3777,OKAY,3777,3428
2018-10-01 11:00:00,3707,OKAY,3707,3381
2018-10-01 12:00:00,3765,OKAY,3765,3442
2018-10-01 13:00:00,3872,OKAY,3872,3399
2018-10-01 14:00:00,4040,OKAY,4040,3813
2018-10-01 15:00:00,4082,OKAY,4082,3896
2018-10-01 16:00:00,4322,OKAY,4322,3945
2018-10-01 17:00:00,4577,OKAY,4577,4087
2018-10-01 18:00:00,4827,OKAY,4827,4302
2018-10-01 19:00:00,5062,OKAY,5062,4411
2018-10-01 20:00:00,5244,OKAY,5244,4609
2018-10-01 21:00:00,5391,OKAY,5391,4685
2018-10-01 22:00:00,5500,OKAY,5500,4937
2018-10-01 23:00:00,5494,OKAY,5494,5186
2018-10-02 00:00:00,5466,OKAY,5466,5049
2018-10-02 01:00:00,5339,OKAY,5339,4923
2018-10-02 02:00:00,5332,OKAY,5332,4828
2018-10-02 03:00:00,5298,OKAY,5298,4908
2018-10-02 04:00:00,5133,OKAY,5133,4865
2018-10-02 05:00:00,4864,OKAY,4864,4652
2018-10-02 06:00:00,4514,OKAY,4514,4329
2018-10-02 07:00:00,4256,OKAY,4256,4045
2018-10-02 08:00:00,3996,OKAY,3996,3709
2018-10-02 09:00:00,3820,OKAY,3820,3591
2018-10-02 10:00:00,3720,OKAY,3720,3494
2018-10-02 11:00:00,3637,OKAY,3637,3394
2018-10-02 12:00:00,3678,OKAY,3678,3405
2018-10-02 13:00:00,3795,OKAY,3795,3601
2018-10-02 14:00:00,3998,OKAY,3998,3756
2018-10-02 15:00:00,4051,OKAY,4051,3858
2018-10-02 16:00:00,4227,OKAY,4227,3883
2018-10-02 17:00:00,4369,OKAY,4369,3943
2018-10-02 18:00:00,4458,OKAY,4458,4034
2018-10-02 19:00:00,4727,OKAY,4727,4171
2018-10-02 20:00:00,4961,OKAY,4961,4285
2018-10-02 21:00:00,5097,OKAY,5097,4339
2018-10-02 22:00:00,5231,OKAY,5231,4461
2018-10-02 23:00:00,5297,OKAY,5297,4640
2018-10-03 00:00:00,5373,OKAY,5373,4747
2018-10-03 01:00:00,5308,OKAY,5308,4771
2018-10-03 02:00:00,5273,OKAY,5273,4738
2018-10-03 03:00:00,5284,OKAY,5284,4800
2018-10-03 04:00:00,5114,OKAY,5114,4740
2018-10-03 05:00:00,4845,OKAY,4845,4540
2018-10-03 06:00:00,4529,OKAY,4529,4267
2018-10-03 07:00:00,4243,OKAY,4243,3967
2018-10-03 08:00:00,3975,OKAY,3975,3662
2018-10-03 09:00:00,3797,OKAY,3797,3507
2018-10-03 10:00:00,3679,OKAY,3679,3400
2018-10-03 11:00:00,3620,OKAY,3620,3362
2018-10-03 12:00:00,3613,OKAY,3613,3395
2018-10-03 13:00:00,3752,OKAY,3752,3490
2018-10-03 14:00:00,3888,OKAY,3888,3646
2018-10-03 15:00:00,3925,OKAY,3925,3742
2018-10-03 16:00:00,4085,OKAY,4085,3861
2018-10-03 17:00:00,4295,OKAY,4295,3969
2018-10-03 18:00:00,4500,OKAY,4500,4063
2018-10-03 19:00:00,4676,OKAY,4676,4248
2018-10-03 20:00:00,4820,OKAY,4820,4418
2018-10-03 21:00:00,5008,OKAY,5008,4522
2018-10-03 22:00:00,5154,OKAY,5154,4683
2018-10-03 23:00:00,5190,OKAY,5190,4778
2018-10-04 00:00:00,5202,OKAY,5202,4736
2018-10-04 01:00:00,5032,OKAY,5032,4641
2018-10-04 02:00:00,5013,OKAY,5013,4571
2018-10-04 03:00:00,4977,OKAY,4977,4600
2018-10-04 04:00:00,4830,OKAY,4830,4572
2018-10-04 05:00:00,4543,OKAY,4543,4418
2018-10-04 06:00:00,4272,OKAY,4272,4143
2018-10-04 07:00:00,3968,OKAY,3968,3865
2018-10-04 08:00:00,3706,OKAY,3706,3619
2018-10-04 09:00:00,3526,OKAY,3526,3556
2018-10-04 10:00:00,3411,OKAY,3411,3450
2018-10-04 11:00:00,3336,OKAY,3336,3385
2018-10-04 12:00:00,3385,OKAY,3385,3374
2018-10-04 13:00:00,3473,OKAY,3473,3461
2018-10-04 14:00:00,3647,OKAY,3647,3605
2018-10-04 15:00:00,3671,OKAY,3671,3613
2018-10-04 16:00:00,3760,OKAY,3760,3728
2018-10-04 17:00:00,3900,OKAY,3900,3790
2018-10-04 18:00:00,4078,OKAY,4078,3832
