date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,5712,OKAY,5712,5712
2018-10-01 01:00:00,5652,OKAY,5652,5652
2018-10-01 02:00:00,5505,OKAY,5505,5505
2018-10-01 03:00:00,5269,OKAY,5269,5269
2018-10-01 04:00:00,4973,OKAY,4973,4973
2018-10-01 05:00:00,4700,OKAY,4700,4700
2018-10-01 06:00:00,4507,OKAY,4507,4507
2018-10-01 07:00:00,4379,OKAY,4379,4379
2018-10-01 08:00:00,4323,OKAY,4323,4323
2018-10-01 09:00:00,4371,OKAY,4371,4371
2018-10-01 10:00:00,4691,OKAY,4691,4691
2018-10-01 11:00:00,5288,OKAY,5288,5288
2018-10-01 12:00:00,5848,OKAY,5848,5848
2018-10-01 13:00:00,6234,OKAY,6234,6234
2018-10-01 14:00:00,6464,OKAY,6464,6464
2018-10-01 15:00:00,6605,OKAY,6605,6605
2018-10-01 16:00:00,6752,OKAY,6752,6752
2018-10-01 17:00:00,6909,OKAY,6909,6909
2018-10-01 18:00:00,6976,OKAY,6976,6976
2018-10-01 19:00:00,6972,OKAY,6972,6972
2018-10-01 20:00:00,7044,OKAY,7044,7044
2018-10-01 21:00:00,7141,OKAY,7141,7141
2018-10-01 22:00:00,7122,OKAY,7122,7122
2018-10-01 23:00:00,6945,OKAY,6945,6945
2018-10-02 00:00:00,6911,OKAY,6911,6911
2018-10-02 01:00:00,6703,OKAY,6703,6703
2018-10-02 02:00:00,6447,OKAY,6447,6447
2018-10-02 03:00:00,6066,OKAY,6066,6066
2018-10-02 04:00:00,5621,OKAY,5621,5621
2018-10-02 05:00:00,5228,OKAY,5228,5228
2018-10-02 06:00:00,4967,OKAY,4967,4967
2018-10-02 07:00:00,4805,OKAY,4805,4805
2018-10-02 08:00:00,4709,OKAY,4709,4709
2018-10-02 09:00:00,4735,OKAY,4735,4735
2018-10-02 10:00:00,5011,OKAY,5011,5011
2018-10-02 11:00:00,5609,OKAY,5609,5609
2018-10-02 12:00:00,6160,OKAY,6160,6160
2018-10-02 13:00:00,6567,OKAY,6567,6567
2018-10-02 14:00:00,6870,OKAY,6870,6870
2018-10-02 15:00:00,7061,OKAY,7061,7061
2018-10-02 16:00:00,7246,OKAY,7246,7246
2018-10-02 17:00:00,7425,OKAY,7425,7425
2018-10-02 18:00:00,7487,OKAY,7487,7487
2018-10-02 19:00:00,7506,OKAY,7506,7506
2018-10-02 20:00:00,7587,OKAY,7587,7587
2018-10-02 21:00:00,7603,OKAY,7603,7603
2018-10-02 22:00:00,7556,OKAY,7556,7556
2018-10-02 23:00:00,7368,OKAY,7368,7368
2018-10-03 00:00:00,7314,OKAY,7314,7314
2018-10-03 01:00:00,7106,OKAY,7106,7106
2018-10-03 02:00:00,6822,OKAY,6822,6822
2018-10-03 03:00:00,6316,OKAY,6316,6316
2018-10-03 04:00:00,5680,OKAY,5680,5680
2018-10-03 05:00:00,5264,OKAY,5264,5264
2018-10-03 06:00:00,4990,OKAY,4990,4990
2018-10-03 07:00:00,4793,OKAY,4793,4793
2018-10-03 08:00:00,4701,OKAY,4701,4701
2018-10-03 09:00:00,4707,OKAY,4707,4707
2018-10-03 10:00:00,4949,OKAY,4949,4949
2018-10-03 11:00:00,5557,OKAY,5557,5557
2018-10-03 12:00:00,6114,OKAY,6114,6114
2018-10-03 13:00:00,6521,OKAY,6521,6521
2018-10-03 14:00:00,6815,OKAY,6815,6815
2018-10-03 15:00:00,6972,OKAY,6972,6972
2018-10-03 16:00:00,7095,OKAY,7095,7095
2018-10-03 17:00:00,7180,OKAY,7180,7180
2018-10-03 18:00:00,7239,OKAY,7239,7239
2018-10-03 19:00:00,7261,OKAY,7261,7261
2018-10-03 20:00:00,7322,OKAY,7322,7322
2018-10-03 21:00:00,7345,OKAY,7345,7345
2018-10-03 22:00:00,7235,OKAY,7235,7235
2018-10-03 23:00:00,6965,OKAY,6965,6965
2018-10-04 00:00:00,6842,OKAY,6842,6842
2018-10-04 01:00:00,6577,OKAY,6577,6577
2018-10-04 02:00:00,6276,OKAY,6276,6276
2018-10-04 03:00:00,5903,OKAY,5903,5903
2018-10-04 04:00:00,5459,OKAY,5459,5459
2018-10-04 05:00:00,5037,OKAY,5037,5037
2018-10-04 06:00:00,4817,OKAY,4817,4817
2018-10-04 07:00:00,4646,OKAY,4646,4646
2018-10-04 08:00:00,4536,OKAY,4536,4536
2018-10-04 09:00:00,4554,OKAY,4554,4554
2018-10-04 10:00:00,4798,OKAY,4798,4798
