date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,7122,OKAY,7122,7122
2018-10-01 01:00:00,7212,OKAY,7212,7212
2018-10-01 02:00:00,6989,OKAY,6989,6989
2018-10-01 03:00:00,6633,OKAY,6633,6633
2018-10-01 04:00:00,6258,OKAY,6258,6258
2018-10-01 05:00:00,5972,OKAY,5972,5972
2018-10-01 06:00:00,5813,OKAY,5813,5813
2018-10-01 07:00:00,5729,OKAY,5729,5729
2018-10-01 08:00:00,5743,OKAY,5743,5743
2018-10-01 09:00:00,5838,OKAY,5838,5838
2018-10-01 10:00:00,6158,OKAY,6158,6158
2018-10-01 11:00:00,6860,OKAY,6860,6860
2018-10-01 12:00:00,7334,OKAY,7334,7334
2018-10-01 13:00:00,7518,OKAY,7518,7518
2018-10-01 14:00:00,7672,OKAY,7672,7672
2018-10-01 15:00:00,7896,OKAY,7896,7896
2018-10-01 16:00:00,7988,OKAY,7988,7988
2018-10-01 17:00:00,8098,OKAY,8098,8098
2018-10-01 18:00:00,8339,OKAY,8339,8339
2018-10-01 19:00:00,8492,OKAY,8492,8492
2018-10-01 20:00:00,8577,OKAY,8577,8577
2018-10-01 21:00:00,8606,OKAY,8606,8606
2018-10-01 22:00:00,8587,OKAY,8587,8587
2018-10-01 23:00:00,8394,OKAY,8394,8394
2018-10-02 00:00:00,8510,OKAY,8510,8510
2018-10-02 01:00:00,8494,OKAY,8494,8494
2018-10-02 02:00:00,8030,OKAY,8030,8030
2018-10-02 03:00:00,7471,OKAY,7471,7471
2018-10-02 04:00:00,6987,OKAY,6987,6987
2018-10-02 05:00:00,6639,OKAY,6639,6639
2018-10-02 06:00:00,6404,OKAY,6404,6404
2018-10-02 07:00:00,6259,OKAY,6259,6259
2018-10-02 08:00:00,6206,OKAY,6206,6206
2018-10-02 09:00:00,6280,OKAY,6280,6280
2018-10-02 10:00:00,6678,OKAY,6678,6678
2018-10-02 11:00:00,7471,OKAY,7471,7471
2018-10-02 12:00:00,7900,OKAY,7900,7900
2018-10-02 13:00:00,8071,OKAY,8071,8071
2018-10-02 14:00:00,8309,OKAY,8309,8309
2018-10-02 15:00:00,8487,OKAY,8487,8487
2018-10-02 16:00:00,8646,OKAY,8646,8646
2018-10-02 17:00:00,8764,OKAY,8764,8764
2018-10-02 18:00:00,8897,OKAY,8897,8897
2018-10-02 19:00:00,8889,OKAY,8889,8889
2018-10-02 20:00:00,8843,OKAY,8843,8843
2018-10-02 21:00:00,8827,OKAY,8827,8827
2018-10-02 22:00:00,8673,OKAY,8673,8673
2018-10-02 23:00:00,8525,OKAY,8525,8525
2018-10-03 00:00:00,8610,OKAY,8610,8610
2018-10-03 01:00:00,8431,OKAY,8431,8431
2018-10-03 02:00:00,8010,OKAY,8010,8010
2018-10-03 03:00:00,7429,OKAY,7429,7429
2018-10-03 04:00:00,6879,OKAY,6879,6879
2018-10-03 05:00:00,6513,OKAY,6513,6513
2018-10-03 06:00:00,6286,OKAY,6286,6286
2018-10-03 07:00:00,6078,OKAY,6078,6078
2018-10-03 08:00:00,5948,OKAY,5948,5948
2018-10-03 09:00:00,6037,OKAY,6037,6037
2018-10-03 10:00:00,6351,OKAY,6351,6351
2018-10-03 11:00:00,6986,OKAY,6986,6986
2018-10-03 12:00:00,7356,OKAY,7356,7356
2018-10-03 13:00:00,7518,OKAY,7518,7518
2018-10-03 14:00:00,7720,OKAY,7720,7720
2018-10-03 15:00:00,7925,OKAY,7925,7925
2018-10-03 16:00:00,8091,OKAY,8091,8091
2018-10-03 17:00:00,8226,OKAY,8226,8226
2018-10-03 18:00:00,8539,OKAY,8539,8539
2018-10-03 19:00:00,8714,OKAY,8714,8714
2018-10-03 20:00:00,8832,OKAY,8832,8832
2018-10-03 21:00:00,9039,OKAY,9039,9039
2018-10-03 22:00:00,9103,OKAY,9103,9103
2018-10-03 23:00:00,9085,OKAY,9085,9085
2018-10-04 00:00:00,9246,OKAY,9246,9246
2018-10-04 01:00:00,9196,OKAY,9196,9196
2018-10-04 02:00:00,8810,OKAY,8810,8810
2018-10-04 03:00:00,8233,OKAY,8233,8233
2018-10-04 04:00:00,7633,OKAY,7633,7633
2018-10-04 05:00:00,7187,OKAY,7187,7187
2018-10-04 06:00:00,6896,OKAY,6896,6896
2018-10-04 07:00:00,6716,OKAY,6716,6716
2018-10-04 08:00:00,6603,OKAY,6603,6603
2018-10-04 09:00:00,6702,OKAY,6702,6702
2018-10-04 10:00:00,7048,OKAY,7048,7048
2018-10-04 11:00:00,7739,OKAY,7739,7739
2018-10-04 12:00:00,8293,OKAY,8293,8293
2018-10-04 13:00:00,8498,OKAY,8498,8498
