date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,3737,OKAY,3737,3737
2018-10-01 01:00:00,3660,OKAY,3660,3660
2018-10-01 02:00:00,3439,OKAY,3439,3439
2018-10-01 03:00:00,3155,OKAY,3155,3155
2018-10-01 04:00:00,2887,OKAY,2887,2887
2018-10-01 05:00:00,2682,OKAY,2682,2682
2018-10-01 06:00:00,2544,OKAY,2544,2544
2018-10-01 07:00:00,2468,OKAY,2468,2468
2018-10-01 08:00:00,2440,OKAY,2440,2440
2018-10-01 09:00:00,2493,OKAY,2493,2493
2018-10-01 10:00:00,2685,OKAY,2685,2685
2018-10-01 11:00:00,3033,OKAY,3033,3033
2018-10-01 12:00:00,3172,OKAY,3172,3172
2018-10-01 13:00:00,3247,OKAY,3247,3247
2018-10-01 14:00:00,3359,OKAY,3359,3359
2018-10-01 15:00:00,3485,OKAY,3485,3485
2018-10-01 16:00:00,3637,OKAY,3637,3637
2018-10-01 17:00:00,3792,OKAY,3792,3792
2018-10-01 18:00:00,3999,OKAY,3999,3999
2018-10-01 19:00:00,4203,OKAY,4203,4203
2018-10-01 20:00:00,4346,OKAY,4346,4346
2018-10-01 21:00:00,4445,OKAY,4445,4445
2018-10-01 22:00:00,4470,OKAY,4470,4470
2018-10-01 23:00:00,4379,OKAY,4379,4379
2018-10-02 00:00:00,4427,OKAY,4427,4427
2018-10-02 01:00:00,4292,OKAY,4292,4292
2018-10-02 02:00:00,4016,OKAY,4016,4016
2018-10-02 03:00:00,3630,OKAY,3630,3630
2018-10-02 04:00:00,3262,OKAY,3262,3262
2018-10-02 05:00:00,3002,OKAY,3002,3002
2018-10-02 06:00:00,2842,OKAY,2842,2842
2018-10-02 07:00:00,2734,OKAY,2734,2734
2018-10-02 08:00:00,2664,OKAY,2664,2664
2018-10-02 09:00:00,2673,OKAY,2673,2673
2018-10-02 10:00:00,2863,OKAY,2863,2863
2018-10-02 11:00:00,3217,OKAY,3217,3217
2018-10-02 12:00:00,3334,OKAY,3334,3334
2018-10-02 13:00:00,3419,OKAY,3419,3419
2018-10-02 14:00:00,3558,OKAY,3558,3558
2018-10-02 15:00:00,3728,OKAY,3728,3728
2018-10-02 16:00:00,3907,OKAY,3907,3907
2018-10-02 17:00:00,4097,OKAY,4097,4097
2018-10-02 18:00:00,4228,OKAY,4228,4228
2018-10-02 19:00:00,4292,OKAY,4292,4292
2018-10-02 20:00:00,4417,OKAY,4417,4417
2018-10-02 21:00:00,4421,OKAY,4421,4421
2018-10-02 22:00:00,4425,OKAY,4425,4425
2018-10-02 23:00:00,4426,OKAY,4426,4426
2018-10-03 00:00:00,4519,OKAY,4519,4519
2018-10-03 01:00:00,4393,OKAY,4393,4393
2018-10-03 02:00:00,4132,OKAY,4132,4132
2018-10-03 03:00:00,3769,OKAY,3769,3769
2018-10-03 04:00:00,3433,OKAY,3433,3433
2018-10-03 05:00:00,3137,OKAY,3137,3137
2018-10-03 06:00:00,2972,OKAY,2972,2972
2018-10-03 07:00:00,2868,OKAY,2868,2868
2018-10-03 08:00:00,2809,OKAY,2809,2809
2018-10-03 09:00:00,2829,OKAY,2829,2829
2018-10-03 10:00:00,3019,OKAY,3019,3019
2018-10-03 11:00:00,3377,OKAY,3377,3377
2018-10-03 12:00:00,3499,OKAY,3499,3499
2018-10-03 13:00:00,3627,OKAY,3627,3627
2018-10-03 14:00:00,3790,OKAY,3790,3790
2018-10-03 15:00:00,3941,OKAY,3941,3941
2018-10-03 16:00:00,4065,OKAY,4065,4065
2018-10-03 17:00:00,4188,OKAY,4188,4188
2018-10-03 18:00:00,4322,OKAY,4322,4322
2018-10-03 19:00:00,4430,OKAY,4430,4430
2018-10-03 20:00:00,4543,OKAY,4543,4543
2018-10-03 21:00:00,4594,OKAY,4594,4594
2018-10-03 22:00:00,4572,OKAY,4572,4572
2018-10-03 23:00:00,4430,OKAY,4430,4430
2018-10-04 00:00:00,4407,OKAY,4407,4407
2018-10-04 01:00:00,4229,OKAY,4229,4229
2018-10-04 02:00:00,3942,OKAY,3942,3942
2018-10-04 03:00:00,3558,OKAY,3558,3558
2018-10-04 04:00:00,3197,OKAY,3197,3197
2018-10-04 05:00:00,2919,OKAY,2919,2919
2018-10-04 06:00:00,2748,OKAY,2748,2748
2018-10-04 07:00:00,2651,OKAY,2651,2651
2018-10-04 08:00:00,2623,OKAY,2623,2623
2018-10-04 09:00:00,2683,OKAY,2683,2683
2018-10-04 10:00:00,2904,OKAY,2904,2904
2018-10-04 11:00:00,3289,OKAY,3289,3289
