date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,9660,OKAY,9660,9660
2018-10-01 01:00:00,9857,OKAY,9857,9857
2018-10-01 02:00:00,9673,OKAY,9673,9673
2018-10-01 03:00:00,9314,OKAY,9314,9314
2018-10-01 04:00:00,8849,OKAY,8849,8849
2018-10-01 05:00:00,8423,OKAY,8423,8423
2018-10-01 06:00:00,8079,OKAY,8079,8079
2018-10-01 07:00:00,7863,OKAY,7863,7863
2018-10-01 08:00:00,7781,OKAY,7781,7781
2018-10-01 09:00:00,7740,OKAY,7740,7740
2018-10-01 10:00:00,7998,OKAY,7998,7998
2018-10-01 11:00:00,8664,OKAY,8664,8664
2018-10-01 12:00:00,9773,OKAY,9773,9773
2018-10-01 13:00:00,10445,OKAY,10445,10445
2018-10-01 14:00:00,10669,OKAY,10669,10669
2018-10-01 15:00:00,10853,OKAY,10853,10853
2018-10-01 16:00:00,11054,OKAY,11054,11054
2018-10-01 17:00:00,11179,OKAY,11179,11179
2018-10-01 18:00:00,11305,OKAY,11305,11305
2018-10-01 19:00:00,11504,OKAY,11504,11504
2018-10-01 20:00:00,11542,OKAY,11542,11542
2018-10-01 21:00:00,11487,OKAY,11487,11487
2018-10-01 22:00:00,11405,OKAY,11405,11405
2018-10-01 23:00:00,11339,OKAY,11339,11339
2018-10-02 00:00:00,11464,OKAY,11464,11464
2018-10-02 01:00:00,11574,OKAY,11574,11574
2018-10-02 02:00:00,11276,OKAY,11276,11276
2018-10-02 03:00:00,10824,OKAY,10824,10824
2018-10-02 04:00:00,10226,OKAY,10226,10226
2018-10-02 05:00:00,9637,OKAY,9637,9637
2018-10-02 06:00:00,9077,OKAY,9077,9077
2018-10-02 07:00:00,8740,OKAY,8740,8740
2018-10-02 08:00:00,8532,OKAY,8532,8532
2018-10-02 09:00:00,8443,OKAY,8443,8443
2018-10-02 10:00:00,8583,OKAY,8583,8583
2018-10-02 11:00:00,9131,OKAY,9131,9131
2018-10-02 12:00:00,10081,OKAY,10081,10081
2018-10-02 13:00:00,10553,OKAY,10553,10553
2018-10-02 14:00:00,10825,OKAY,10825,10825
2018-10-02 15:00:00,10962,OKAY,10962,10962
2018-10-02 16:00:00,11086,OKAY,11086,11086
2018-10-02 17:00:00,11148,OKAY,11148,11148
2018-10-02 18:00:00,11209,OKAY,11209,11209
2018-10-02 19:00:00,11256,OKAY,11256,11256
2018-10-02 20:00:00,11186,OKAY,11186,11186
2018-10-02 21:00:00,11113,OKAY,11113,11113
2018-10-02 22:00:00,11038,OKAY,11038,11038
2018-10-02 23:00:00,10937,OKAY,10937,10937
2018-10-03 00:00:00,11088,OKAY,11088,11088
2018-10-03 01:00:00,11254,OKAY,11254,11254
2018-10-03 02:00:00,11023,OKAY,11023,11023
2018-10-03 03:00:00,10537,OKAY,10537,10537
2018-10-03 04:00:00,9888,OKAY,9888,9888
2018-10-03 05:00:00,9313,OKAY,9313,9313
2018-10-03 06:00:00,8770,OKAY,8770,8770
2018-10-03 07:00:00,8445,OKAY,8445,8445
2018-10-03 08:00:00,8252,OKAY,8252,8252
2018-10-03 09:00:00,8213,OKAY,8213,8213
